#,Leve,CraftLeveTalk,Item[0],Item[1],Item[2],Item[3],ItemCount[0],ItemCount[1],ItemCount[2],ItemCount[3],Repeats
917557,469,5,4430,0,0,0,1,0,0,0,2
917558,470,5,2111,0,0,0,1,0,0,0,0
917559,405,13,3800,0,0,0,1,0,0,0,0
917560,406,13,3336,0,0,0,1,0,0,0,2
917561,407,5,3053,0,0,0,1,0,0,0,0
917562,408,5,3568,0,0,0,1,0,0,0,0
917563,409,5,2700,0,0,0,1,0,0,0,2
917564,410,5,3052,0,0,0,1,0,0,0,0
917565,345,13,1963,0,0,0,1,0,0,0,0
917566,346,13,4597,0,0,0,3,0,0,0,2
917567,347,5,5477,0,0,0,1,0,0,0,0
917568,348,5,4575,0,0,0,3,0,0,0,0
917569,349,5,4595,0,0,0,3,0,0,0,2
917570,350,5,4576,0,0,0,3,0,0,0,0
917571,285,8,4746,0,0,0,3,0,0,0,0
917572,286,8,4697,0,0,0,3,0,0,0,2
917573,287,5,4662,0,0,0,3,0,0,0,0
917574,288,5,4698,0,0,0,3,0,0,0,0
917575,289,5,4709,0,0,0,3,0,0,0,2
917576,290,5,4710,0,0,0,3,0,0,0,0
917577,153,8,2342,0,0,0,1,0,0,0,0
917578,154,8,1605,0,0,0,1,0,0,0,0
917579,155,10,1684,0,0,0,1,0,0,0,0
917580,159,8,5057,0,0,0,1,0,0,0,0
917581,160,8,2433,0,0,0,1,0,0,0,0
917582,161,11,5092,0,0,0,1,0,0,0,0
917583,156,10,2393,0,0,0,1,0,0,0,0
917584,157,10,2419,0,0,0,1,0,0,0,0
917585,158,8,1753,0,0,0,1,0,0,0,0
917586,162,11,1686,0,0,0,1,0,0,0,0
917587,163,11,2420,0,0,0,1,0,0,0,0
917588,164,8,2370,0,0,0,1,0,0,0,0
917589,213,8,2673,0,0,0,1,0,0,0,0
917590,214,8,2496,0,0,0,1,0,0,0,0
917591,215,10,3775,0,0,0,1,0,0,0,0
917592,219,8,2680,0,0,0,1,0,0,0,0
917593,220,8,3045,0,0,0,1,0,0,0,0
917594,221,11,2497,0,0,0,1,0,0,0,0
917595,216,10,2495,0,0,0,1,0,0,0,0
917596,217,10,2470,0,0,0,1,0,0,0,0
917597,218,8,3544,0,0,0,1,0,0,0,0
917598,222,11,2236,0,0,0,1,0,0,0,0
917599,223,11,3563,0,0,0,1,0,0,0,0
917600,224,8,2471,0,0,0,1,0,0,0,0
917601,273,8,4855,0,0,0,3,0,0,0,0
917602,274,8,4661,0,0,0,3,0,0,0,0
917603,275,10,4641,0,0,0,3,0,0,0,0
917604,279,8,4651,0,0,0,3,0,0,0,0
917605,280,8,4667,0,0,0,3,0,0,0,0
917606,281,11,4697,0,0,0,3,0,0,0,0
917607,276,10,4640,0,0,0,3,0,0,0,0
917608,277,10,4666,0,0,0,3,0,0,0,0
917609,278,8,4682,0,0,0,3,0,0,0,0
917610,282,11,4858,0,0,0,3,0,0,0,0
917611,283,11,4690,0,0,0,3,0,0,0,0
917612,284,8,4709,0,0,0,3,0,0,0,0
917613,453,13,4198,0,0,0,1,0,0,0,0
917614,454,13,4204,0,0,0,1,0,0,0,0
917615,455,15,2108,0,0,0,1,0,0,0,0
917616,456,15,2445,0,0,0,1,0,0,0,0
917617,457,15,4309,0,0,0,1,0,0,0,0
917618,458,13,2668,0,0,0,1,0,0,0,0
917619,459,13,4095,0,0,0,1,0,0,0,0
917620,460,13,4430,0,0,0,1,0,0,0,0
917621,461,16,2685,0,0,0,1,0,0,0,0
917622,462,16,2444,0,0,0,1,0,0,0,0
917623,463,16,4431,0,0,0,1,0,0,0,0
917624,464,13,2687,0,0,0,1,0,0,0,0
917625,393,13,2658,0,0,0,1,0,0,0,0
917626,394,13,2670,0,0,0,1,0,0,0,0
917627,395,15,2665,0,0,0,1,0,0,0,0
917628,396,15,3539,0,0,0,1,0,0,0,0
917629,397,15,3543,0,0,0,1,0,0,0,0
917630,398,13,2666,0,0,0,1,0,0,0,0
917631,399,13,3023,0,0,0,1,0,0,0,0
917632,400,13,3341,0,0,0,1,0,0,0,0
917633,401,16,3041,0,0,0,1,0,0,0,0
917634,402,16,3325,0,0,0,1,0,0,0,0
917635,403,16,3561,0,0,0,1,0,0,0,0
917636,404,13,3064,0,0,0,1,0,0,0,0
917637,333,13,1960,0,0,0,1,0,0,0,0
917638,334,13,4555,0,0,0,3,0,0,0,0
917639,335,15,2146,0,0,0,1,0,0,0,0
917640,336,15,4551,0,0,0,3,0,0,0,0
917641,337,15,5471,0,0,0,1,0,0,0,0
917642,338,13,7015,0,0,0,1,0,0,0,0
917643,339,13,1961,0,0,0,1,0,0,0,0
917644,340,13,2149,0,0,0,1,0,0,0,0
917645,341,16,4596,0,0,0,3,0,0,0,0
917646,342,16,2147,0,0,0,1,0,0,0,0
917647,343,16,4598,0,0,0,3,0,0,0,0
917648,344,13,4594,0,0,0,3,0,0,0,0
917649,21,6,1820,0,0,0,1,0,0,0,0
917650,22,6,3763,0,0,0,1,0,0,0,0
917651,23,7,3742,0,0,0,1,0,0,0,0
917652,27,6,1892,0,0,0,1,0,0,0,0
917653,28,6,2228,0,0,0,1,0,0,0,0
917654,29,7,1997,0,0,0,1,0,0,0,0
917655,24,7,1891,0,0,0,1,0,0,0,0
917656,25,7,2219,0,0,0,1,0,0,0,0
917657,26,6,5361,0,0,0,1,0,0,0,0
917658,30,7,1821,0,0,0,1,0,0,0,0
917659,31,7,1604,0,0,0,1,0,0,0,0
917660,32,6,1996,0,0,0,1,0,0,0,0
917661,81,6,2631,0,0,0,1,0,0,0,0
917662,82,6,3516,0,0,0,1,0,0,0,0
917663,83,7,3740,0,0,0,1,0,0,0,0
917664,87,6,4092,0,0,0,1,0,0,0,0
917665,88,6,1682,0,0,0,1,0,0,0,0
917666,89,7,3765,0,0,0,1,0,0,0,0
917667,84,7,3741,0,0,0,1,0,0,0,0
917668,85,7,4304,0,0,0,1,0,0,0,0
917669,86,6,5275,0,0,0,1,0,0,0,0
917670,90,7,3534,0,0,0,1,0,0,0,0
917671,91,7,2654,0,0,0,1,0,0,0,0
917672,92,6,3530,0,0,0,1,0,0,0,0
917673,51,6,2246,0,0,0,1,0,0,0,0
917674,52,5,1836,0,0,0,1,0,0,0,0
917675,53,6,5371,0,0,0,1,0,0,0,2
917676,54,5,1627,0,0,0,1,0,0,0,0
917677,55,5,1845,0,0,0,1,0,0,0,0
917678,56,5,2011,0,0,0,1,0,0,0,2
917679,57,12,1637,0,0,0,1,0,0,0,0
917680,58,6,1915,0,0,0,1,0,0,0,0
917681,59,6,1845,0,0,0,1,0,0,0,2
917682,60,12,1917,0,0,0,1,0,0,0,0
917683,61,12,1847,0,0,0,1,0,0,0,0
917684,62,12,1838,0,0,0,1,0,0,0,2
917685,63,18,1850,0,0,0,1,0,0,0,0
917686,64,6,2026,0,0,0,1,0,0,0,0
917687,65,6,1637,0,0,0,1,0,0,0,2
917688,66,18,1920,0,0,0,1,0,0,0,0
917689,67,18,3870,0,0,0,1,0,0,0,0
917690,68,18,1915,0,0,0,1,0,0,0,2
917691,69,19,1862,0,0,0,1,0,0,0,0
917692,70,6,2039,0,0,0,1,0,0,0,0
917693,71,6,2464,0,0,0,1,0,0,0,2
917694,72,19,1925,0,0,0,1,0,0,0,0
917695,73,19,2413,0,0,0,1,0,0,0,0
917696,74,19,1855,0,0,0,1,0,0,0,2
917697,75,20,1867,0,0,0,1,0,0,0,0
917698,76,6,3908,0,0,0,1,0,0,0,0
917699,77,6,5374,0,0,0,1,0,0,0,2
917700,78,20,1942,0,0,0,1,0,0,0,0
917701,79,20,1937,0,0,0,1,0,0,0,0
917702,80,20,2039,0,0,0,1,0,0,0,2
917703,111,6,2250,0,0,0,1,0,0,0,0
917704,112,5,4106,0,0,0,1,0,0,0,0
917705,113,6,3347,0,0,0,1,0,0,0,2
917706,114,5,1697,0,0,0,1,0,0,0,0
917707,115,5,3100,0,0,0,1,0,0,0,0
917708,116,5,3788,0,0,0,1,0,0,0,2
917709,117,12,2767,0,0,0,1,0,0,0,0
917710,118,6,1708,0,0,0,1,0,0,0,0
917711,119,6,5280,0,0,0,1,0,0,0,2
917712,120,12,3611,0,0,0,1,0,0,0,0
917713,121,12,4333,0,0,0,1,0,0,0,0
917714,122,12,4314,0,0,0,1,0,0,0,2
917715,123,18,3616,0,0,0,1,0,0,0,0
917716,124,6,3851,0,0,0,1,0,0,0,0
917717,125,6,5282,0,0,0,1,0,0,0,2
917718,126,18,3138,0,0,0,1,0,0,0,0
917719,127,18,3625,0,0,0,1,0,0,0,0
917720,128,18,4333,0,0,0,1,0,0,0,2
917721,129,19,3426,0,0,0,1,0,0,0,0
917722,130,6,3423,0,0,0,1,0,0,0,0
917723,131,6,3138,0,0,0,1,0,0,0,2
917724,132,19,3866,0,0,0,1,0,0,0,0
917725,133,19,3177,0,0,0,1,0,0,0,0
917726,134,19,5284,0,0,0,1,0,0,0,2
917727,135,20,3668,0,0,0,1,0,0,0,0
917728,136,6,4153,0,0,0,1,0,0,0,0
917729,137,6,1728,0,0,0,1,0,0,0,2
917730,138,20,3885,0,0,0,1,0,0,0,0
917731,139,20,3904,0,0,0,1,0,0,0,0
917732,140,20,5285,0,0,0,1,0,0,0,2
917733,141,8,2546,0,0,0,1,0,0,0,0
917734,142,8,5056,0,0,0,1,0,0,0,0
917735,143,9,5091,0,0,0,1,0,0,0,0
917736,144,9,1750,0,0,0,1,0,0,0,0
917737,145,9,2315,0,0,0,1,0,0,0,0
917738,146,8,1602,0,0,0,1,0,0,0,0
917739,147,8,2507,0,0,0,1,0,0,0,0
917740,148,8,1603,0,0,0,1,0,0,0,0
917741,149,9,2417,0,0,0,1,0,0,0,0
917742,150,9,2481,0,0,0,1,0,0,0,0
917743,151,9,2392,0,0,0,1,0,0,0,0
917744,152,8,2520,0,0,0,1,0,0,0,0
917745,171,8,2397,0,0,0,1,0,0,0,0
917746,172,5,1625,0,0,0,1,0,0,0,0
917747,173,8,2421,0,0,0,1,0,0,0,2
917748,174,5,2346,0,0,0,1,0,0,0,0
917749,175,5,2320,0,0,0,1,0,0,0,0
917750,176,5,2485,0,0,0,1,0,0,0,2
917751,177,12,1633,0,0,0,1,0,0,0,0
917752,178,8,2321,0,0,0,1,0,0,0,0
917753,179,8,2527,0,0,0,1,0,0,0,2
917754,180,12,2436,0,0,0,1,0,0,0,0
917755,181,12,2539,0,0,0,1,0,0,0,0
917756,182,12,2565,0,0,0,1,0,0,0,2
917757,201,8,5056,0,0,0,1,0,0,0,0
917758,202,8,2494,0,0,0,1,0,0,0,0
917759,203,9,5071,0,0,0,1,0,0,0,0
917760,204,9,5091,0,0,0,1,0,0,0,0
917761,205,9,2226,0,0,0,1,0,0,0,0
917762,206,8,2468,0,0,0,1,0,0,0,0
917763,207,8,3011,0,0,0,1,0,0,0,0
917764,208,8,2664,0,0,0,1,0,0,0,0
917765,209,9,2662,0,0,0,1,0,0,0,0
917766,210,9,3767,0,0,0,1,0,0,0,0
917767,211,9,2230,0,0,0,1,0,0,0,0
917768,212,8,2656,0,0,0,1,0,0,0,0
917769,231,8,5058,0,0,0,1,0,0,0,0
917770,232,5,3352,0,0,0,1,0,0,0,0
917771,233,8,2753,0,0,0,1,0,0,0,2
917772,234,5,2473,0,0,0,1,0,0,0,0
917773,235,5,3068,0,0,0,1,0,0,0,0
917774,236,5,3096,0,0,0,1,0,0,0,2
917775,237,12,2260,0,0,0,1,0,0,0,0
917776,238,8,2257,0,0,0,1,0,0,0,0
917777,239,8,3833,0,0,0,1,0,0,0,2
917778,240,12,2501,0,0,0,1,0,0,0,0
917779,241,12,2765,0,0,0,1,0,0,0,0
917780,242,12,3825,0,0,0,1,0,0,0,2
917781,261,8,4847,0,0,0,6,0,0,0,0
917782,262,8,4660,0,0,0,3,0,0,0,0
917783,263,9,4650,0,0,0,3,0,0,0,0
917784,264,9,4849,0,0,0,3,0,0,0,0
917785,265,9,4639,0,0,0,3,0,0,0,0
917786,266,8,4728,0,0,0,3,0,0,0,0
917787,267,8,4852,0,0,0,3,0,0,0,0
917788,268,8,4681,0,0,0,3,0,0,0,0
917789,269,9,4689,0,0,0,3,0,0,0,0
917790,270,9,4745,0,0,0,3,0,0,0,0
917791,271,9,4854,0,0,0,3,0,0,0,0
917792,272,8,4657,0,0,0,3,0,0,0,0
917793,291,8,4731,0,0,0,3,0,0,0,0
917794,292,5,4867,0,0,0,6,0,0,0,0
917795,293,8,4749,0,0,0,3,0,0,0,2
917796,294,5,4718,0,0,0,3,0,0,0,0
917797,295,5,4732,0,0,0,3,0,0,0,0
917798,296,5,4711,0,0,0,3,0,0,0,2
917799,297,12,4860,0,0,0,3,0,0,0,0
917800,298,8,4712,0,0,0,3,0,0,0,0
917801,299,8,4827,0,0,0,4,0,0,0,2
917802,300,12,4700,0,0,0,3,0,0,0,0
917803,301,12,4670,0,0,0,3,0,0,0,0
917804,302,12,4669,0,0,0,3,0,0,0,2
917805,321,13,5489,0,0,0,1,0,0,0,0
917806,322,13,2143,0,0,0,1,0,0,0,0
917807,323,14,5470,0,0,0,1,0,0,0,0
917808,324,14,5503,0,0,0,1,0,0,0,0
917809,325,14,4564,0,0,0,3,0,0,0,0
917810,326,13,1958,0,0,0,1,0,0,0,0
917811,327,13,4565,0,0,0,3,0,0,0,0
917812,328,13,5487,0,0,0,1,0,0,0,0
917813,329,14,1959,0,0,0,1,0,0,0,0
917814,330,14,5510,0,0,0,1,0,0,0,0
917815,331,14,5515,0,0,0,1,0,0,0,0
917816,332,13,2144,0,0,0,1,0,0,0,0
917817,351,13,5484,0,0,0,1,0,0,0,0
917818,352,5,5512,0,0,0,1,0,0,0,0
917819,353,13,2156,0,0,0,1,0,0,0,2
917820,354,5,1965,0,0,0,1,0,0,0,0
917821,355,5,2160,0,0,0,1,0,0,0,0
917822,356,5,4552,0,0,0,3,0,0,0,2
917823,357,12,4599,0,0,0,3,0,0,0,0
917824,358,13,4603,0,0,0,3,0,0,0,0
917825,359,13,5505,0,0,0,1,0,0,0,2
917826,360,12,5478,0,0,0,1,0,0,0,0
917827,361,12,4600,0,0,0,3,0,0,0,0
917828,362,12,5472,0,0,0,1,0,0,0,2
917829,381,13,3307,0,0,0,1,0,0,0,0
917830,382,13,3309,0,0,0,1,0,0,0,0
917831,383,14,2996,0,0,0,1,0,0,0,0
917832,384,14,3515,0,0,0,1,0,0,0,0
917833,385,14,3000,0,0,0,1,0,0,0,0
917834,386,13,2629,0,0,0,1,0,0,0,0
917835,387,13,2999,0,0,0,1,0,0,0,0
917836,388,13,3015,0,0,0,1,0,0,0,0
917837,389,14,3313,0,0,0,1,0,0,0,0
917838,390,14,3001,0,0,0,1,0,0,0,0
917839,391,14,3316,0,0,0,1,0,0,0,0
917840,392,13,3008,0,0,0,1,0,0,0,0
917841,411,13,3066,0,0,0,1,0,0,0,0
917842,412,5,2734,0,0,0,1,0,0,0,0
917843,413,13,3349,0,0,0,1,0,0,0,2
917844,414,5,3341,0,0,0,1,0,0,0,0
917845,415,5,2734,0,0,0,1,0,0,0,0
917846,416,5,3351,0,0,0,1,0,0,0,2
917847,417,12,3379,0,0,0,1,0,0,0,0
917848,418,13,3106,0,0,0,1,0,0,0,0
917849,419,13,3601,0,0,0,1,0,0,0,2
917850,420,12,3607,0,0,0,1,0,0,0,0
917851,421,12,3372,0,0,0,1,0,0,0,0
917852,422,12,3831,0,0,0,1,0,0,0,2
917853,441,13,5062,0,0,0,1,0,0,0,0
917854,442,13,4091,0,0,0,1,0,0,0,0
917855,443,14,2056,0,0,0,1,0,0,0,0
917856,444,14,1681,0,0,0,1,0,0,0,0
917857,445,14,2106,0,0,0,1,0,0,0,0
917858,446,13,5086,0,0,0,1,0,0,0,0
917859,447,13,4197,0,0,0,1,0,0,0,0
917860,448,13,1683,0,0,0,1,0,0,0,0
917861,449,14,4306,0,0,0,1,0,0,0,0
917862,450,14,4422,0,0,0,1,0,0,0,0
917863,451,14,4093,0,0,0,1,0,0,0,0
917864,452,13,2443,0,0,0,1,0,0,0,0
917865,471,13,4439,0,0,0,1,0,0,0,0
917866,472,5,4450,0,0,0,1,0,0,0,0
917867,473,13,2731,0,0,0,1,0,0,0,2
917868,474,5,4317,0,0,0,1,0,0,0,0
917869,475,5,4222,0,0,0,1,0,0,0,0
917870,476,5,2118,0,0,0,1,0,0,0,2
917871,477,12,2737,0,0,0,1,0,0,0,0
917872,478,13,4454,0,0,0,1,0,0,0,0
917873,479,13,4113,0,0,0,1,0,0,0,2
917874,480,12,2449,0,0,0,1,0,0,0,0
917875,481,12,4332,0,0,0,1,0,0,0,0
917876,482,12,4218,0,0,0,1,0,0,0,2
917877,183,18,1643,0,0,0,1,0,0,0,0
917878,184,8,2437,0,0,0,1,0,0,0,0
917879,185,8,2488,0,0,0,1,0,0,0,2
917880,186,18,2375,0,0,0,1,0,0,0,0
917881,187,18,2424,0,0,0,1,0,0,0,0
917882,188,18,2514,0,0,0,1,0,0,0,2
917883,189,19,2542,0,0,0,1,0,0,0,0
917884,190,8,2388,0,0,0,1,0,0,0,0
917885,191,8,2363,0,0,0,1,0,0,0,2
917886,192,19,2516,0,0,0,1,0,0,0,0
917887,193,19,2376,0,0,0,1,0,0,0,0
917888,194,19,2337,0,0,0,1,0,0,0,2
917889,195,20,2427,0,0,0,1,0,0,0,0
917890,196,8,2364,0,0,0,1,0,0,0,0
917891,197,8,2389,0,0,0,1,0,0,0,2
917892,198,20,2377,0,0,0,1,0,0,0,0
917893,199,20,2338,0,0,0,1,0,0,0,0
917894,200,20,2543,0,0,0,1,0,0,0,2
917895,243,18,5079,0,0,0,1,0,0,0,0
917896,244,8,5065,0,0,0,1,0,0,0,0
917897,245,8,3386,0,0,0,1,0,0,0,2
917898,246,18,3622,0,0,0,1,0,0,0,0
917899,247,18,2502,0,0,0,1,0,0,0,0
917900,248,18,3847,0,0,0,1,0,0,0,2
917901,249,19,2827,0,0,0,1,0,0,0,0
917902,250,8,3858,0,0,0,1,0,0,0,0
917903,251,8,2476,0,0,0,1,0,0,0,2
917904,252,19,3623,0,0,0,1,0,0,0,0
917905,253,19,2817,0,0,0,1,0,0,0,0
917906,254,19,2802,0,0,0,1,0,0,0,2
917907,255,20,2504,0,0,0,1,0,0,0,0
917908,256,8,5074,0,0,0,1,0,0,0,0
917909,257,8,3180,0,0,0,1,0,0,0,2
917910,258,20,3887,0,0,0,1,0,0,0,0
917911,259,20,3883,0,0,0,1,0,0,0,0
917912,260,20,5059,0,0,0,1,0,0,0,2
917913,303,18,4702,0,0,0,3,0,0,0,0
917914,304,8,4686,0,0,0,3,0,0,0,0
917915,305,8,4701,0,0,0,3,0,0,0,2
917916,306,18,4663,0,0,0,3,0,0,0,0
917917,307,18,4724,0,0,0,3,0,0,0,0
917918,308,18,4719,0,0,0,3,0,0,0,2
917919,309,19,4757,0,0,0,3,0,0,0,0
917920,310,8,4646,0,0,0,3,0,0,0,0
917921,311,8,4747,0,0,0,3,0,0,0,2
917922,312,19,4757,0,0,0,3,0,0,0,0
917923,313,19,4671,0,0,0,3,0,0,0,0
917924,314,19,4733,0,0,0,3,0,0,0,2
917925,315,20,4713,0,0,0,1,0,0,0,0
917926,316,8,4655,0,0,0,3,0,0,0,0
917927,317,8,4703,0,0,0,3,0,0,0,2
917928,318,20,4694,0,0,0,3,0,0,0,0
917929,319,20,4750,0,0,0,3,0,0,0,0
917930,320,20,4727,0,0,0,3,0,0,0,2
917931,363,18,1971,0,0,0,1,0,0,0,0
917932,364,13,4580,0,0,0,3,0,0,0,0
917933,365,13,4579,0,0,0,3,0,0,0,2
917934,366,18,2169,0,0,0,1,0,0,0,0
917935,367,18,4582,0,0,0,3,0,0,0,0
917936,368,18,4583,0,0,0,3,0,0,0,2
917937,369,19,4553,0,0,0,3,0,0,0,0
917938,370,13,5486,0,0,0,1,0,0,0,0
917939,371,13,4567,0,0,0,3,0,0,0,2
917940,372,19,5479,0,0,0,1,0,0,0,0
917941,373,19,2174,0,0,0,1,0,0,0,0
917942,374,19,5517,0,0,0,1,0,0,0,2
917943,375,20,4587,0,0,0,3,0,0,0,0
917944,376,13,4569,0,0,0,3,0,0,0,0
917945,377,13,4606,0,0,0,3,0,0,0,2
917946,378,20,4586,0,0,0,3,0,0,0,0
917947,379,20,4584,0,0,0,3,0,0,0,0
917948,380,20,4604,0,0,0,3,0,0,0,2
917949,423,18,2805,0,0,0,1,0,0,0,0
917950,424,13,3399,0,0,0,1,0,0,0,0
917951,425,13,2779,0,0,0,1,0,0,0,2
917952,426,18,3144,0,0,0,1,0,0,0,0
917953,427,18,3140,0,0,0,1,0,0,0,0
917954,428,18,3397,0,0,0,1,0,0,0,2
917955,429,19,3421,0,0,0,1,0,0,0,0
917956,430,13,3162,0,0,0,1,0,0,0,0
917957,431,13,2816,0,0,0,1,0,0,0,2
917958,432,19,3172,0,0,0,1,0,0,0,0
917959,433,19,3413,0,0,0,1,0,0,0,0
917960,434,19,2814,0,0,0,1,0,0,0,2
917961,435,20,3456,0,0,0,1,0,0,0,0
917962,436,13,2852,0,0,0,1,0,0,0,0
917963,437,13,3187,0,0,0,1,0,0,0,2
917964,438,20,3201,0,0,0,1,0,0,0,0
917965,439,20,3185,0,0,0,1,0,0,0,0
917966,440,20,2854,0,0,0,1,0,0,0,2
917967,483,18,4143,0,0,0,1,0,0,0,0
917968,484,13,4465,0,0,0,1,0,0,0,0
917969,485,13,2078,0,0,0,1,0,0,0,2
917970,486,18,4343,0,0,0,1,0,0,0,0
917971,487,18,4337,0,0,0,1,0,0,0,0
917972,488,18,4232,0,0,0,1,0,0,0,2
917973,489,19,4485,0,0,0,1,0,0,0,0
917974,490,13,4247,0,0,0,1,0,0,0,0
917975,491,13,4147,0,0,0,1,0,0,0,2
917976,492,19,4361,0,0,0,1,0,0,0,0
917977,493,19,2125,0,0,0,1,0,0,0,0
917978,494,19,4237,0,0,0,1,0,0,0,2
917979,495,20,4369,0,0,0,1,0,0,0,0
917980,496,13,2876,0,0,0,1,0,0,0,0
917981,497,13,4363,0,0,0,1,0,0,0,2
917982,498,20,2453,0,0,0,1,0,0,0,0
917983,499,20,4508,0,0,0,1,0,0,0,0
917984,500,20,4371,0,0,0,1,0,0,0,2
917985,754,21,4870,0,0,0,3,0,0,0,0
917986,755,21,4869,0,0,0,3,0,0,0,0
917987,756,21,4776,0,0,0,3,0,0,0,0
917988,757,21,4871,0,0,0,3,0,0,0,0
917989,758,21,4872,0,0,0,3,0,0,0,0
917990,759,21,4876,0,0,0,3,0,0,0,0
917991,760,21,4873,0,0,0,3,0,0,0,2
917992,761,21,4874,0,0,0,3,0,0,0,2
917993,762,22,4877,0,0,0,3,0,0,0,0
917994,763,22,4879,0,0,0,3,0,0,0,0
917995,764,22,4878,0,0,0,3,0,0,0,2
917996,765,22,4874,0,0,0,3,0,0,0,2
917997,766,23,4881,0,0,0,3,0,0,0,0
917998,767,23,4884,0,0,0,3,0,0,0,0
917999,768,23,5460,0,0,0,3,0,0,0,2
918000,769,23,4880,0,0,0,3,0,0,0,2
918001,770,24,4948,0,0,0,3,0,0,0,0
918002,771,24,4958,0,0,0,3,0,0,0,0
918003,772,24,4943,0,0,0,3,0,0,0,2
918004,773,24,4945,0,0,0,3,0,0,0,2
918005,774,24,4964,0,0,0,3,0,0,0,0
918006,775,24,4967,0,0,0,3,0,0,0,0
918007,776,24,4959,0,0,0,3,0,0,0,2
918008,777,24,4961,0,0,0,3,0,0,0,2
918009,778,25,4896,0,0,0,3,0,0,0,0
918010,779,25,4895,0,0,0,3,0,0,0,0
918011,780,25,4892,0,0,0,3,0,0,0,2
918012,781,25,4894,0,0,0,3,0,0,0,2
918013,782,26,4976,0,0,0,3,0,0,0,0
918014,783,26,4986,0,0,0,3,0,0,0,0
918015,784,26,4981,0,0,0,3,0,0,0,2
918016,785,26,5544,0,0,0,3,0,0,0,2
918017,786,27,4988,0,0,0,3,0,0,0,0
918018,787,27,4997,0,0,0,3,0,0,0,0
918019,788,27,4937,0,0,0,3,0,0,0,2
918020,789,27,4984,0,0,0,3,0,0,0,2
918021,790,28,5004,0,0,0,3,0,0,0,0
918022,791,28,5006,0,0,0,3,0,0,0,0
918023,792,28,4989,0,0,0,3,0,0,0,2
918024,793,28,5003,0,0,0,3,0,0,0,2
918025,908,29,5366,0,0,0,1,0,0,0,0
918026,909,29,10604,0,0,0,1,0,0,0,0
918027,910,29,10610,0,0,0,1,0,0,0,2
918028,911,29,5366,0,0,0,5,0,0,0,0
918029,912,29,10604,10604,10604,0,1,1,1,0,0
918030,913,29,10610,0,0,0,1,0,0,0,5
918031,914,29,10611,0,0,0,1,0,0,0,0
918032,915,29,11911,0,0,0,1,0,0,0,0
918033,916,29,12011,0,0,0,1,0,0,0,2
918034,917,29,10611,10611,10611,0,1,1,1,0,0
918035,918,29,11911,11911,11911,0,1,1,1,0,0
