#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
78,set of Emerald barding,sets of Emerald barding,Emerald Barding,0,0,0,1,0,0,65609,65609,65609,58735,58737,58736,0,147
79,set of queen's guard barding,sets of queen's guard barding,Queen's Guard Barding,0,0,0,1,0,0,65610,65610,65610,58738,58740,58739,0,148
80,set of Bozjan barding,sets of Bozjan barding,Bozjan Barding,0,0,0,1,0,0,65611,65611,65611,58741,58743,58742,0,150
81,set of Diamond barding,sets of Diamond barding,Diamond Barding,0,0,0,1,0,0,65612,65612,65612,58744,58746,58745,0,149
82,set of barding of eternal Darkness,sets of barding of eternal Darkness,Barding of Eternal Darkness,0,0,0,1,0,0,65613,65613,65613,58747,58749,58748,0,151
83,set of barding of divine Light,sets of barding of divine Light,Barding of Divine Light,0,0,0,1,0,0,65614,65614,65614,58750,58752,58751,0,152
84,set of postmoogle barding,sets of postmoogle barding,Postmoogle Barding,0,0,0,1,0,0,65615,65615,65615,58753,58755,58754,0,107
85,set of Thavnairian barding,sets of Thavnairian barding,Thavnairian Barding,0,0,0,1,0,0,65616,65616,65616,58756,58758,58757,0,73
86,set of bluefeather barding,sets of bluefeather barding,Bluefeather Barding,0,0,0,1,0,0,65617,65617,65617,58759,58761,58760,0,153
87,set of wolf barding,sets of wolf barding,Wolf Barding,0,0,0,1,0,0,65618,65618,65618,58762,58764,58763,0,74
88,set of windswept barding,sets of windswept barding,Windswept Barding,0,0,0,1,0,0,65619,65619,65619,58768,58770,58769,0,154
89,set of isle pioneer's barding,sets of isle pioneer's barding,Isle Pioneer's Barding,0,0,0,1,0,0,65620,65620,65620,58765,58767,58766,0,75
90,set of flamecloaked barding,sets of flamecloaked barding,Flamecloaked Barding,0,0,0,1,0,0,65621,65621,65621,58771,58773,58772,0,155
91,set of Allagan barding,sets of Allagan barding,Allagan Barding,0,0,0,1,0,0,65622,65622,65622,58774,58776,58775,0,76
92,set of voidcast barding,sets of voidcast barding,Voidcast Barding,0,0,0,1,0,0,65623,65623,65623,58777,58779,58778,0,156
93,set of felicitous barding,sets of felicitous barding,Felicitous Barding,0,0,0,1,0,0,65624,65624,65624,58780,58782,58781,0,78
94,set of abyssal barding,sets of abyssal barding,Abyssal Barding,0,0,0,1,0,0,65625,65625,65625,58783,58785,58784,0,157
95,set of wayfarer's barding,sets of wayfarer's barding,Wayfarer's Barding,0,0,0,1,0,0,65626,65626,65626,58786,58788,58787,0,79
96,set of Turali barding,sets of Turali barding,Turali Barding,0,0,0,1,0,0,65627,65627,65627,58789,58791,58790,0,80
97,set of Skyruin barding,sets of Skyruin barding,Skyruin Barding,0,0,0,1,0,0,65628,65628,65628,58792,58794,58793,0,161
98,set of electrope barding,sets of electrope barding,Electrope Barding,0,0,0,1,0,0,65629,65629,65629,58795,58797,58796,0,162
99,set of wild ride barding,sets of wild ride barding,Wild Ride Barding,0,0,0,1,0,0,65630,65630,65630,58798,58800,58799,0,83
100,set of eternal barding,sets of eternal barding,Eternal Barding,0,0,0,1,0,0,65631,65631,65631,58801,58803,58802,0,163
101,set of Starlight Stalls barding,sets of Starlight Stalls barding,Starlight Stalls Barding,0,0,0,1,0,0,65632,65632,65632,58804,58806,58805,0,108
102,set of queen's knight barding,sets of queen's knight barding,Queen's Knight Barding,0,0,0,1,0,0,65633,65633,65633,58807,58809,58808,0,164
103,set of barding of the dead,sets of barding of the dead,Barding of the Dead,0,0,0,1,0,0,65634,65634,65634,58810,58812,58811,0,165
104,set of pilgrim's barding,sets of pilgrim's barding,Pilgrim's Barding,0,0,0,1,0,0,65635,65635,65635,58813,58815,58814,0,84
105,set of runaway barding,sets of runaway barding,Runaway Barding,0,0,0,1,0,0,65636,65636,65636,58816,58818,58817,0,166
106,set of cosmic barding,sets of cosmic barding,Cosmic Barding,0,0,0,1,0,0,65637,65637,65637,58819,58821,58820,0,85
107,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
