#,Name,Abilities[0],Abilities[1],Abilities[2],Abilities[3],AutoAction,SmallScalePercentage,MediumScalePercentage,LargeScalePercentage,AllowedPetMirage[0],AllowedPetMirage[1],AllowedPetMirage[2],AllowedPetMirage[3],AllowedPetMirage[4],AllowedPetMirage[5],Unknown18,Unknown14,AutoDespawn,NonCombatSummon,ShowPetActionBar
41,Obsidian Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
42,Obsidian Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
43,Obsidian Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
44,Moonstone Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
45,Moonstone Carbuncle,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
46,Solar Bahamut,36993,0,36999,0,0,13,26,40,0,0,0,0,0,0,0,-1,False,False,True
47,Cu Sith,44935,44936,44934,46752,0,56,80,96,9,0,0,0,0,0,1,-1,False,True,True
48,squirrel,44937,44938,44934,46752,0,140,200,240,10,0,0,0,0,0,2,-1,False,True,True
49,lamb,44939,44940,44934,46752,0,84,120,144,11,0,0,0,0,0,3,-1,False,True,True
50,pugil,44941,44942,44934,46752,0,70,100,120,12,0,0,0,0,0,4,-1,False,True,True
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
52,opo-opo,44943,44944,44934,46752,0,70,100,120,13,0,0,0,0,0,5,-1,False,True,True
53,dodo,44945,44946,44934,46752,0,70,100,120,14,0,0,0,0,0,6,-1,False,True,True
54,coblyn,44947,44948,44934,46752,0,70,100,120,15,0,0,0,0,0,7,-1,False,True,True
55,diremite,44949,44950,44934,46752,0,56,80,96,16,0,0,0,0,0,8,-1,False,True,True
56,megalocrab,44951,44952,44934,46752,0,56,80,96,17,0,0,0,0,0,9,-1,False,True,True
57,wespe,44953,44954,44934,46752,0,105,150,180,18,0,0,0,0,0,10,-1,False,True,True
58,vulture,44955,44956,44934,46752,0,105,150,180,19,0,0,0,0,0,11,-1,False,True,True
59,mandragora,44957,44958,44934,46752,0,91,130,156,20,0,0,0,0,0,12,-1,False,True,True
60,geshunpest,44959,44960,44934,46752,0,49,70,84,21,0,0,0,0,0,13,-1,False,True,True
61,puk,44961,44962,44934,46752,0,105,150,180,22,0,0,0,0,0,14,-1,False,True,True
62,crab,44963,44964,44934,46752,0,70,100,120,23,0,0,0,0,0,15,-1,False,True,True
63,mantis,44965,44966,44934,46752,0,49,70,84,24,0,0,0,0,0,16,-1,False,True,True
64,slime,44967,44968,44934,46752,0,56,80,96,25,0,0,0,0,0,17,-1,False,True,True
65,dullahan,44969,44970,44934,46752,0,70,100,120,26,0,0,0,0,0,18,-1,False,True,True
66,bat,44971,44972,44934,46752,0,175,200,240,27,0,0,0,0,0,19,-1,False,True,True
67,flying trap,44973,44974,44934,46752,0,91,130,156,28,0,0,0,0,0,20,-1,False,True,True
68,ziz,44975,44976,44934,46752,0,42,60,72,29,0,0,0,0,0,21,-1,False,True,True
69,sabotender,44977,44978,44934,46752,0,126,180,216,30,0,0,0,0,0,22,-1,False,True,True
70,golem,44979,44980,44934,46752,0,70,100,120,31,0,0,0,0,0,23,-1,False,True,True
71,apkallu,44981,44982,44934,46752,0,77,110,132,32,0,0,0,0,0,24,-1,False,True,True
72,adamantoise,44983,44984,44934,46752,0,28,40,48,33,0,0,0,0,0,25,-1,False,True,True
73,buffalo,44985,44986,44934,46752,0,28,40,48,34,0,0,0,0,0,26,-1,False,True,True
74,uragnite,44987,44988,44934,46752,0,56,80,96,35,0,0,0,0,0,27,-1,False,True,True
75,worm,44989,44990,44934,46752,0,42,60,72,36,0,0,0,0,0,28,-1,False,True,True
76,spriggan,44991,44992,44934,46752,0,119,170,204,37,0,0,0,0,0,29,-1,False,True,True
77,goobbue,44993,44994,44934,46752,0,49,70,84,38,0,0,0,0,0,30,-1,False,True,True
78,gigantoad,44995,44996,44934,46752,0,42,60,72,39,0,0,0,0,0,31,-1,False,True,True
79,colibri,44997,44998,44934,46752,0,70,100,120,40,0,0,0,0,0,32,-1,False,True,True
80,coeurl,44999,45000,44934,46752,0,56,80,96,41,0,0,0,0,0,33,-1,False,True,True
81,raptor,45001,45002,44934,46752,0,70,100,120,42,0,0,0,0,0,34,-1,False,True,True
82,drake,45003,45004,44934,46752,0,56,80,96,43,0,0,0,0,0,35,-1,False,True,True
83,treant,45005,45006,44934,46752,0,35,50,60,44,0,0,0,0,0,36,-1,False,True,True
84,antling,45007,45008,44934,46752,0,84,120,144,45,0,0,0,0,0,37,-1,False,True,True
85,chimera,45009,45010,44934,46752,0,42,60,72,46,0,0,0,0,0,38,-1,False,True,True
86,morbol,45011,45012,44934,46752,0,42,60,72,47,0,0,0,0,0,39,-1,False,True,True
87,ghost,45013,45014,44934,46752,0,140,200,240,48,0,0,0,0,0,40,-1,False,True,True
88,salamander,45015,45016,44934,46752,0,56,80,96,49,0,0,0,0,0,41,-1,False,True,True
89,cobra,45017,45018,44934,46752,0,49,70,84,50,0,0,0,0,0,42,-1,False,True,True
90,hydra,45019,45020,44934,46752,0,32,45,54,51,0,0,0,0,0,43,-1,False,True,True
91,damselfly,45021,45022,44934,46752,0,49,70,84,52,0,0,0,0,0,44,-1,False,True,True
92,rotting goobbue,45023,45024,44934,46752,0,49,70,84,53,0,0,0,0,0,45,-1,False,True,True
93,zu,45025,45026,44934,46752,0,35,50,60,54,0,0,0,0,0,46,-1,False,True,True
94,ice golem,45027,45028,44934,46752,0,56,80,96,55,0,0,0,0,0,47,-1,False,True,True
95,Karlabos,45029,45030,44934,46752,0,63,90,108,56,0,0,0,0,0,48,-1,False,True,True
96,rafflesia,45031,45032,44934,46752,0,56,80,96,57,0,0,0,0,0,49,-1,False,True,True
97,behemoth,45033,45034,44934,46752,0,35,50,60,58,0,0,0,0,0,50,-1,False,True,True
98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False
