#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
78,Dimensional Disruption,extradimensional,,,,,60274
79,Dimensional Disruption,extradimensional,,,,,60274
80,Revelstorms,revelry,,,,,60271
81,Revelstorms,revelry,,,,,60271
82,Eternal Bliss,blissful,,,,,60270
83,Eternal Bliss,blissful,,,,,60270
84,Wyrmstorms,unnaturally stormy,,,,,60272
85,Wyrmstorms,unnaturally stormy,,,,,60272
86,Revelstorms,revelry,,,,,60271
87,Quicklevin,hypervoltaic,,,,,60273
88,Thunder,thundery,,,,,60209
89,Dimensional Disruption,extradimensional,,,,,60274
90,Fair Skies,fair,,,,,60202
91,Clear Skies,clear,,,,,60201
92,White Cyclones,cyclonic,,,,,60275
93,White Cyclones,cyclonic,,,,,60275
94,White Cyclones,cyclonic,,,,,60275
95,Ultimania,ultimaniacal,,,,,60277
96,White Cyclones,cyclonic,,,,,60275
97,Moonlight,moonlit,,,,,60276
98,Moonlight,moonlit,,,,,60276
99,Moonlight,moonlit,,,,,60276
100,Moonlight,moonlit,,,,,60276
101,Red Moon,portentious,,,,,60293
102,Scarlet,scarlet,,,,,60278
103,Scarlet,scarlet,,,,,60278
104,Scarlet,scarlet,,,,,60278
105,Fair Skies,fair,,,,,60202
106,Fair Skies,fair,,,,,60202
107,Fair Skies,fair,,,,,60202
108,Fair Skies,fair,,,,,60202
109,Flames,fiery,,,,,60279
110,Tsunamis,wet,,,,,60280
111,Cyclones,cyclonic,,,,,60281
112,Geostorms,shakey,,,,,60282
113,True Blue,true blue,,,,,60283
114,True Blue,true blue,,,,,60283
115,True Blue,true blue,,,,,60283
116,Umbral Turbulence,umbrally turbulent,,,,,60284
117,True Blue,true blue,,,,,60283
118,Everlasting Light,bright,,,,,60221
119,Gales,gusty,,,,,60253
120,Termination,terminal,,,,,60287
121,Termination,terminal,,,,,60287
122,Dreams,dreamy,,,,,60285
123,Dreams,dreamy,,,,,60285
124,Dreams,dreamy,,,,,60285
125,Brilliance,brilliant,,,,,60286
126,Brilliance,brilliant,,,,,60286
127,Termination,terminal,,,,,60287
128,Termination,terminal,,,,,60287
129,Everlasting Light,bright,,,,,60221
130,Eruptions,erupting,,,,,60254
131,Termination,terminal,,,,,60287
132,Fair Skies,fair,,,,,60202
133,Umbral Flare,darkly burning,,,,,60288
134,Umbral Duststorms,darkly dusty,,,,,60289
135,Umbral Levin,darkly thunderous,,,,,60290
136,Umbral Tempest,darkly tempestuous,,,,,60291
137,Starshower,calamitous,,,,,60296
138,Delirium,delirium,,,,,60294
139,Clouds,overcast,,,,,60203
140,Clouds,overcast,,,,,60203
141,Irradiance,irradiant,,,,,60260
142,Irradiance,irradiant,,,,,60260
143,Storm Clouds,threatened by rain,,,,,60259
144,Firestorms,hellacious,,,,,60295
145,Spectral Current,spectral,,,,,60292
146,,,,,,,0
147,Climactic,climactic,,,,,60297
148,Moon Dust,regolithic,,,,,60222
149,Astromagnetic Storms,astromagnetic,,,,,60223
150,Apocalypse,apocalyptic,,,,,60224
151,Polarization,polarized,,,,,60298
152,Polarization,polarized,,,,,60298
153,Polarization,polarized,,,,,60298
154,Polarization,polarized,,,,,60298
155,Polarization,polarized,,,,,60298
156,Projection,projected,,,,,60225
157,Pandæmonium,demonic,,,,,60228
158,Pandæmonium,demonic,,,,,60228
159,Pandæmonium,demonic,,,,,60228
160,Ultimatum,ultimate,,,,,60299
161,Inevitability,inevitable,,,,,60229
162,Transcendence,transcendent,,,,,60230
163,Transcendence,transcendent,,,,,60230
164,Transcendence,transcendent,,,,,60230
165,Transcendence,transcendent,,,,,60230
166,Transcendence,transcendent,,,,,60230
167,Transcendence,transcendent,,,,,60230
168,Transcendence,transcendent,,,,,60230
169,Transcendence,transcendent,,,,,60230
170,Dragonstorms,unnaturally stormy,,,,,60266
171,Vacuity,vacuous,,,,,60231
172,Vacuity,vacuous,,,,,60231
173,Vacuity,vacuous,,,,,60231
174,Dimensional Disruption,extradimensional,,,,,60274
175,Dimensional Disruption,extradimensional,,,,,60274
176,Dimensional Disruption,extradimensional,,,,,60274
177,Pandæmonium,demonic,,,,,60228
178,Pandæmonium,demonic,,,,,60228
179,Lyrical Catharsis,lyrical,,,,,60232
180,Vacuity,vacuous,,,,,60231
181,Liminality,liminal,,,,,60233
182,Liminality,liminal,,,,,60233
183,Projection,projected,,,,,60234
184,Projection,projected,,,,,60234
185,Projection,projected,,,,,60234
186,Projection,projected,,,,,60234
187,Reminiscence,nostalgic,,,,,60235
188,Ominous Clouds,ominous,,,,,60236
189,Projection,projected,,,,,60234
190,Atmospheric Phantasms,phantasmal,,,,,60238
191,Illusory Disturbances,illusory,,,,,60239
192,Auroral Mirages,auroral,,,,,60240
193,Electrostatic Dust,electrostatic,,,,,60237
194,Meteor Showers,meteoric,,,,,60241
195,Meteor Showers,meteoric,,,,,60241
196,Astromagnetic Storms,astromagnetic,,,,,60223
197,Sporing Mist,unicellular,,,,,60242
198,Dying Breath,deadly,,,,,60243
199,Dying Breath,deadly,,,,,60243
200,Dying Breath,deadly,,,,,60243
201,Annealing Winds,annealing,,,,,60244
202,Glass Storms,vitrescent,,,,,60245
203,Thunder,thundery,,,,,60209
204,Thunder,thundery,,,,,60209
205,Gravitational Flux,anomalous,,,,,60246
206,Bubble Bloom,bubbly,,,,,60247
