#,UsageParameter,CustomTalk,Item,ModelKey,HousingItemCategory,UsageType,Placement,AquariumTier,Unknown1,Unplacement,UnplacementStorage,DestroyOnRemoval,Unknown4,Unknown5,Unknown6
196637,0,0,6576,29,12,0,0,0,0,0,0,False,False,True,False
196638,0,0,6662,30,15,0,0,0,0,0,0,False,False,True,False
196639,0,0,6649,31,14,0,0,0,0,0,0,False,False,True,False
196640,0,0,6663,32,15,0,0,0,0,0,0,False,False,True,False
196641,0,0,6622,33,13,0,0,0,0,0,0,False,False,True,False
196642,0,0,6623,34,13,0,0,0,0,0,0,False,False,True,False
196643,0,0,6624,35,13,0,0,0,0,0,0,False,False,True,False
196644,0,0,6629,36,13,0,0,0,0,0,0,False,False,True,False
196645,10,721048,7067,37,12,4,22,0,0,0,0,False,False,True,False
196646,11,721048,7068,38,12,4,22,0,0,0,0,False,False,True,False
196647,12,721048,7069,39,12,4,22,0,0,0,0,False,False,True,False
196648,0,0,6679,40,16,0,0,0,0,0,0,False,False,True,False
196649,0,0,6680,41,16,0,0,0,0,0,0,False,False,True,False
196650,0,0,6681,42,16,0,0,0,0,0,0,False,False,True,False
196651,13,721048,7070,43,12,4,22,0,0,0,0,False,False,True,False
196652,14,721048,7071,44,12,4,22,0,0,0,0,False,False,True,False
196653,15,721048,7072,45,12,4,22,0,0,0,0,False,False,True,False
196654,0,0,6676,46,16,0,0,0,0,0,0,False,False,True,False
196655,0,0,6677,47,16,0,0,0,0,0,0,False,False,True,False
196656,0,0,6678,48,16,0,0,0,0,0,0,False,False,True,False
196657,0,0,6591,49,12,0,0,0,0,0,0,False,False,True,False
196658,0,0,6593,50,12,0,0,0,0,0,0,False,False,True,False
196659,0,0,6592,51,12,0,0,0,0,0,0,False,False,True,False
196660,0,0,6665,52,15,0,7,0,0,0,0,False,False,True,False
196661,0,0,6536,53,12,0,9,0,0,0,0,False,False,True,False
196662,0,0,6575,54,12,0,0,0,0,0,0,False,False,True,False
196663,0,0,6578,55,12,0,0,0,0,0,0,False,False,True,False
196664,0,0,6574,56,12,0,0,0,0,0,0,False,False,True,False
196665,0,0,6577,57,12,0,0,0,0,0,0,False,False,True,False
196666,0,0,6683,58,16,0,0,0,0,0,0,False,False,True,False
196667,0,0,6684,59,16,0,0,0,0,0,0,False,False,True,False
196668,0,0,6666,60,15,0,8,0,0,0,0,False,False,True,False
196669,0,0,6537,61,12,0,10,0,0,0,0,False,False,True,False
196670,0,0,6523,62,12,0,0,0,0,0,0,False,False,True,False
196671,0,0,6533,63,12,0,0,0,0,0,0,False,False,True,False
196672,0,0,6579,64,12,0,0,0,0,0,0,False,False,True,False
196673,0,0,6596,65,12,0,0,0,0,0,0,False,False,True,False
196674,0,0,6650,66,14,0,0,0,0,0,0,False,False,True,False
196675,0,0,6610,67,13,0,0,0,0,0,0,False,False,True,False
196676,0,0,6519,68,12,0,0,0,0,0,0,False,False,True,False
196677,0,0,6625,69,13,0,0,0,0,0,0,False,False,True,False
196678,0,0,6664,70,15,0,0,0,0,0,0,False,False,True,False
196679,0,0,6597,71,12,0,0,0,0,0,0,False,False,True,False
196680,0,0,6590,72,12,0,0,0,0,0,0,False,False,True,False
196681,0,0,6634,73,13,0,0,0,0,0,0,False,False,True,False
196682,0,0,6598,74,12,0,0,0,0,0,0,False,False,True,False
196683,0,0,6552,75,12,0,0,0,0,0,0,False,False,True,False
196684,0,0,6619,76,13,0,0,0,0,0,0,False,False,True,False
196685,0,0,6520,77,12,0,0,0,0,0,0,False,False,True,False
196686,0,0,6615,78,13,0,0,0,0,0,0,False,False,True,False
196687,0,0,6535,79,12,0,0,0,0,0,0,False,False,True,False
196688,0,0,6569,80,12,0,0,0,0,0,0,False,False,True,False
196689,0,0,6563,81,12,0,0,0,0,0,0,False,False,True,False
196690,0,0,6586,82,12,0,0,0,0,0,0,False,False,True,False
196691,0,0,6636,83,14,0,0,0,0,0,0,False,False,True,False
196692,0,0,6637,84,14,0,0,0,0,0,0,False,False,True,False
196693,0,0,6638,85,14,0,0,0,0,0,0,False,False,True,False
196694,0,0,6604,86,13,0,0,0,0,0,0,False,False,True,False
196695,0,0,6626,87,13,0,0,0,0,0,0,False,False,True,False
196696,0,0,6517,88,12,0,0,0,0,0,0,False,False,True,False
196697,0,0,6570,89,12,0,0,0,0,0,0,False,False,True,False
196698,0,0,6564,90,13,0,0,0,0,0,0,False,False,True,False
196699,0,0,6580,91,12,0,0,0,0,0,0,False,False,True,False
196700,0,0,6643,92,14,0,0,0,0,0,0,False,False,True,False
196701,0,0,6648,93,14,0,0,0,0,0,0,False,False,True,False
196702,0,0,6609,94,13,0,0,0,0,0,0,False,False,True,False
196703,0,0,6614,95,13,0,0,0,0,0,0,False,False,True,False
196704,0,0,6633,96,13,0,0,0,0,0,0,False,False,True,False
196705,0,0,6518,97,12,0,0,0,0,0,0,False,False,True,False
196706,0,0,6571,98,12,0,0,0,0,0,0,False,False,True,False
196707,0,0,6565,99,12,0,0,0,0,0,0,False,False,True,False
196708,0,0,6581,100,12,0,0,0,0,0,0,False,False,True,False
196709,0,0,6642,101,14,0,0,0,0,0,0,False,False,True,False
196710,0,0,6667,102,15,0,0,0,0,0,0,False,False,True,False
196711,0,0,6620,103,13,0,0,0,0,0,0,False,False,True,False
196712,0,0,6521,104,12,0,0,0,0,0,0,False,False,True,False
196713,0,0,6668,105,15,0,0,0,0,0,0,False,False,True,False
196714,0,0,6669,106,15,0,0,0,0,0,0,False,False,True,False
196715,0,0,6652,107,14,0,0,0,0,0,0,False,False,True,False
196716,0,0,6670,108,15,0,0,0,0,0,0,False,False,True,False
196717,0,0,6653,109,14,0,0,0,0,0,0,False,False,True,False
196718,0,0,6654,110,14,0,0,0,0,0,0,False,False,True,False
196719,0,0,6655,111,14,0,0,0,0,0,0,False,False,True,False
196720,0,721037,6587,112,12,0,0,0,0,0,0,False,False,True,False
196721,0,721037,6588,113,12,0,0,0,0,0,0,False,False,True,False
196722,0,721037,6589,114,12,0,0,0,0,0,0,False,False,True,False
196723,0,0,6599,115,12,0,19,0,0,0,0,False,False,True,False
196724,0,0,7073,116,14,0,0,0,0,0,0,False,False,True,False
196725,0,0,6526,117,12,0,0,0,0,0,0,False,False,True,False
196726,0,0,6553,118,12,0,0,0,0,0,0,False,False,True,False
196727,0,0,6538,119,13,0,0,0,0,0,0,False,False,True,False
196728,0,0,6556,120,13,0,0,0,0,0,0,False,False,True,False
196729,0,0,6545,121,12,0,0,0,0,0,0,False,False,True,False
196730,0,0,7074,122,15,0,0,0,0,0,0,False,False,True,False
196731,0,0,6527,123,12,0,0,0,0,0,0,False,False,True,False
196732,0,0,6555,124,12,0,0,0,0,0,0,False,False,True,False
196733,0,0,6540,125,13,0,0,0,0,0,0,False,False,True,False
196734,0,0,6558,126,13,0,0,0,0,0,0,False,False,True,False
196735,0,0,6547,127,12,0,0,0,0,0,0,False,False,True,False
196736,0,0,7075,128,13,0,0,0,0,0,0,False,False,True,False
196737,0,0,6528,129,12,0,0,0,0,0,0,False,False,True,False
196738,0,0,6554,130,12,0,0,0,0,0,0,False,False,True,False
196739,0,0,6539,131,13,0,0,0,0,0,0,False,False,True,False
196740,0,0,6557,132,13,0,0,0,0,0,0,False,False,True,False
196741,0,0,6546,133,12,0,0,0,0,0,0,False,False,True,False
196742,0,0,7076,134,13,0,0,0,0,0,0,False,False,True,False
196743,0,0,6685,135,16,0,0,0,0,0,0,False,False,True,False
196744,0,0,6572,136,12,0,0,0,0,0,0,False,False,True,False
196745,0,0,6516,137,12,0,0,0,0,0,0,False,False,True,False
196746,0,0,6582,138,12,0,0,0,0,0,0,False,False,True,False
196747,0,0,6673,139,16,0,0,0,0,0,0,False,False,True,False
196748,0,0,6605,140,13,0,17,0,0,0,0,False,False,True,False
196749,0,0,6522,141,12,0,0,0,0,0,0,False,False,True,False
196750,0,0,7077,142,12,0,0,0,0,0,0,False,False,True,False
196751,0,0,6639,143,14,0,0,0,0,0,0,False,False,True,False
196752,0,0,6641,144,14,0,0,0,0,0,0,False,False,True,False
196753,0,0,6640,145,14,0,0,0,0,0,0,False,False,True,False
196754,0,0,6583,146,12,0,0,0,0,0,0,False,False,True,False
196755,0,0,6585,147,12,0,0,0,0,0,0,False,False,True,False
196756,0,0,6584,148,12,0,0,0,0,0,0,False,False,True,False
196757,0,0,6644,149,14,0,0,0,0,0,0,False,False,True,False
196758,0,0,6646,150,14,0,0,0,0,0,0,False,False,True,False
196759,0,0,6645,151,14,0,0,0,0,0,0,False,False,True,False
196760,0,0,6661,152,15,0,0,0,0,0,0,False,False,True,False
196761,0,0,6660,153,15,0,0,0,0,0,0,False,False,True,False
196762,0,0,6550,154,12,0,0,0,0,0,0,False,False,True,False
196763,0,0,6529,155,12,0,0,0,0,0,0,False,False,True,False
196764,0,0,6531,156,12,0,0,0,0,0,0,False,False,True,False
196765,0,0,6530,157,12,0,0,0,0,0,0,False,False,True,False
196766,0,0,6532,158,12,0,0,0,0,0,0,False,False,True,False
196767,0,0,6534,159,12,0,0,0,0,0,0,False,False,True,False
196768,0,0,6543,160,12,0,0,0,0,0,0,False,False,True,False
196769,0,0,6525,161,12,0,0,0,0,0,0,False,False,True,False
196770,0,0,6551,162,12,0,0,0,0,0,0,False,False,True,False
196771,0,0,6549,163,12,0,0,0,0,0,0,False,False,True,False
196772,0,0,6627,164,13,0,0,0,0,0,0,False,False,True,False
196773,0,0,6628,165,13,0,0,0,0,0,0,False,False,True,False
196774,0,0,6630,166,13,0,0,0,0,0,0,False,False,True,False
196775,0,0,6632,167,13,0,0,0,0,0,0,False,False,True,False
196776,0,0,6631,168,13,0,0,0,0,0,0,False,False,True,False
196777,0,0,6606,169,13,0,0,0,0,0,0,False,False,True,False
196778,0,0,6608,170,13,0,0,0,0,0,0,False,False,True,False
196779,0,0,6607,171,13,0,0,0,0,0,0,False,False,True,False
196780,0,0,6612,172,13,0,0,0,0,0,0,False,False,True,False
196781,0,0,6611,173,13,0,0,0,0,0,0,False,False,True,False
196782,0,0,6616,174,13,0,0,0,0,0,0,False,False,True,False
196783,0,0,6617,175,13,0,0,0,0,0,0,False,False,True,False
196784,0,0,6618,176,13,0,0,0,0,0,0,False,False,True,False
196785,0,0,6566,177,12,0,0,0,0,0,0,False,False,True,False
196786,0,0,6568,178,12,0,0,0,0,0,0,False,False,True,False
196787,0,0,6567,179,12,0,0,0,0,0,0,False,False,True,False
196788,0,0,6560,180,12,0,0,0,0,0,0,False,False,True,False
196789,0,0,6562,181,12,0,0,0,0,0,0,False,False,True,False
196790,0,0,6561,182,12,0,0,0,0,0,0,False,False,True,False
196791,0,0,6647,183,14,0,0,0,0,0,0,False,False,True,False
196792,0,0,6651,184,14,0,0,0,0,0,0,False,False,True,False
196793,0,0,6671,185,15,0,0,0,0,0,0,False,False,True,False
196794,0,0,6672,186,15,0,16,0,0,0,0,False,False,True,False
196795,0,0,7078,187,12,0,0,0,0,0,0,False,False,True,False
196796,0,0,7079,188,12,0,0,0,0,0,0,False,False,True,False
196797,0,0,7080,189,12,0,0,0,0,0,0,False,False,True,False
196798,0,0,7081,190,12,0,0,0,0,0,0,False,False,True,False
196799,0,0,7082,191,15,0,0,0,0,0,0,False,False,True,False
196800,0,0,7083,192,16,0,0,0,0,0,0,False,False,True,False
196801,0,0,7084,193,12,0,0,0,0,0,0,False,False,True,False
196802,0,0,7085,194,14,0,0,0,0,0,0,False,False,True,False
196803,0,0,7086,195,14,0,0,0,0,0,0,False,False,True,False
196804,0,0,7087,196,13,0,0,0,0,0,0,False,False,True,False
196805,0,0,7088,197,12,0,0,0,0,0,0,False,False,True,False
196806,0,0,7089,198,13,0,0,0,0,0,0,False,False,True,False
196807,0,0,7090,199,12,0,0,0,0,0,0,False,False,True,False
196808,0,0,7091,200,12,0,0,0,0,0,0,False,False,True,False
196809,0,0,7092,201,16,0,0,0,0,0,0,False,False,True,False
196810,0,0,7093,202,15,0,0,0,0,0,0,False,False,True,False
196811,0,0,7094,203,14,0,0,0,0,0,0,False,False,True,False
196812,0,0,7095,204,15,0,0,0,0,0,0,False,False,True,False
196813,0,0,7096,205,15,0,0,0,0,0,0,False,False,True,False
196814,0,0,7097,206,15,0,0,0,0,0,0,False,False,True,False
196815,0,721226,14045,207,12,10,52,0,0,0,0,False,False,True,False
196816,0,0,7098,208,12,0,0,0,0,0,0,False,False,True,False
196817,0,0,7099,209,16,0,0,0,0,0,0,False,False,True,False
196818,1,721112,8838,210,12,8,36,0,0,0,0,False,False,False,False
196819,0,721037,7100,211,16,0,26,0,0,0,0,False,False,True,False
196820,2,721272,16935,212,15,12,0,0,0,7,14,False,False,True,False
196821,2,721272,16936,213,15,12,0,0,0,7,14,False,False,True,False
196822,2,721272,16937,214,15,12,0,0,0,7,14,False,False,True,False
196823,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196824,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196825,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196826,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196827,22,721109,14053,219,14,7,0,0,9,4,11,True,False,True,False
196828,1,721232,14008,220,14,12,0,0,0,5,12,False,False,True,False
196829,1,721232,14010,221,14,12,0,0,0,5,12,False,False,True,False
196830,1,721232,14009,222,14,12,0,0,0,5,12,False,False,True,False
196831,0,0,15265,223,14,0,0,0,5,0,0,False,False,True,False
196832,0,721037,7101,224,16,0,27,0,0,0,0,False,False,True,False
196833,2,721112,9462,225,12,8,36,0,0,0,0,False,False,False,False
196834,3,721112,9463,226,12,8,36,0,0,0,0,False,False,False,False
196835,4,721112,9464,227,12,8,36,0,0,0,0,False,False,False,False
196836,5,721112,9465,228,12,8,36,0,0,0,0,False,False,False,False
196837,6,721112,9466,229,12,8,36,0,0,0,0,False,False,False,False
196838,0,0,7102,230,13,0,0,0,0,0,0,False,False,True,False
196839,0,0,7103,231,14,0,0,0,0,0,0,False,False,True,False
196840,0,0,7104,232,14,0,0,0,0,0,0,False,False,True,False
196841,0,0,7105,233,14,0,0,0,0,0,0,False,False,True,False
196842,0,0,7106,234,14,0,0,0,0,0,0,False,False,True,False
196843,0,0,7107,235,14,0,0,0,0,0,0,False,False,True,False
196844,0,721037,7108,236,12,0,0,0,0,0,0,False,False,True,False
196845,0,0,7109,237,12,0,0,0,0,0,0,False,False,True,False
196846,0,721037,7110,238,12,0,0,0,0,0,0,False,False,True,False
196847,0,721037,7111,239,12,0,0,0,0,0,0,False,False,True,False
196848,0,721037,7112,240,12,0,0,0,0,0,0,False,False,True,False
196849,0,721037,7113,241,12,0,0,0,0,0,0,False,False,True,False
196850,0,0,7114,242,12,0,0,0,0,0,0,False,False,True,False
196851,1,0,7153,243,12,3,21,0,0,2,9,False,False,False,False
196852,0,0,7152,244,15,0,0,0,0,0,0,False,False,True,False
196853,2,0,7154,245,12,3,21,0,0,2,9,False,False,False,False
196854,5,0,16704,246,12,3,21,0,0,2,9,False,False,False,False
196855,3,0,7156,247,12,3,21,0,0,2,9,False,False,False,False
196856,0,0,7958,248,15,0,0,0,0,0,0,False,False,True,False
196857,1,721109,7959,249,14,7,0,0,9,4,11,True,False,True,False
196858,2,721109,7960,250,14,7,0,0,9,4,11,True,False,True,False
196859,3,721109,7961,251,14,7,0,0,9,4,11,True,False,True,False
196860,4,721109,7962,252,14,7,0,0,9,4,11,True,False,True,False
196861,5,721109,7963,253,14,7,0,0,9,4,11,True,False,True,False
196862,0,0,7964,254,14,0,0,0,0,0,0,False,False,True,False
196863,0,0,7965,255,14,0,0,0,0,0,0,False,False,True,False
196864,0,0,7966,256,14,0,0,0,0,0,0,False,False,True,False
196865,0,0,7967,257,14,0,0,0,0,0,0,False,False,True,False
196866,0,0,7968,258,15,0,0,0,6,0,0,False,False,True,False
196867,0,0,7969,259,15,0,0,0,0,0,0,False,False,True,False
196868,0,0,7970,260,15,0,0,0,0,0,0,False,False,True,False
196869,0,0,7971,261,14,0,0,0,0,0,0,False,False,True,False
196870,0,0,7972,262,12,0,0,0,0,0,0,False,False,True,False
196871,0,0,7973,263,13,0,0,0,0,0,0,False,False,True,False
196872,0,0,7974,264,12,0,0,0,0,0,0,False,False,True,False
196873,0,0,7975,265,12,0,0,0,0,0,0,False,False,True,False
196874,0,0,7976,266,14,0,0,0,0,0,0,False,False,True,False
196875,0,0,7977,267,16,0,0,0,0,0,0,False,False,True,False
196876,0,0,7978,268,13,0,0,0,0,0,0,False,False,True,False
196877,0,0,7979,269,12,0,0,0,0,0,0,False,False,True,False
196878,0,721037,7980,270,12,0,29,0,0,0,0,False,False,True,False
196879,0,721037,7981,271,12,0,32,0,0,0,0,False,False,True,False
196880,0,0,7982,272,12,0,31,0,0,0,0,False,False,True,False
196881,0,0,7983,273,16,0,0,0,0,0,0,False,False,True,False
196882,0,0,7984,274,12,0,0,0,0,0,0,False,False,True,False
196883,0,0,7985,275,12,0,0,0,0,0,0,False,False,True,False
196884,0,0,7986,276,12,0,0,0,0,0,0,False,False,True,False
196885,0,0,7987,277,12,0,0,0,0,0,0,False,False,True,False
196886,0,0,7988,278,12,0,0,0,0,0,0,False,False,True,False
196887,0,0,8777,279,12,0,0,0,0,0,0,False,False,True,False
196888,0,0,8778,280,12,0,0,0,0,0,0,False,False,True,False
196889,0,0,8779,281,12,0,0,0,0,0,0,False,False,True,False
196890,0,0,8780,282,12,0,0,0,0,0,0,False,False,True,False
196891,0,0,8781,283,12,0,0,0,0,0,0,False,False,True,False
196892,0,0,8782,284,12,0,0,0,0,0,0,False,False,True,False
196893,0,721037,8783,285,12,0,0,0,0,0,0,False,False,True,False
196894,0,0,8793,286,13,0,0,0,0,0,0,False,False,True,False
196895,0,0,8794,287,13,0,0,0,0,0,0,False,False,True,False
196896,0,0,8795,288,13,0,0,0,0,0,0,False,False,True,False
196897,0,721037,8798,289,14,0,0,0,0,0,0,False,False,True,False
196898,0,0,8799,290,14,0,0,0,0,0,0,False,False,True,False
196899,0,0,8800,291,14,0,0,0,0,0,0,False,False,True,False
196900,0,0,8801,292,14,0,0,0,0,0,0,False,False,True,False
196901,6,721109,8802,293,14,7,0,0,9,4,11,True,False,True,False
196902,0,0,8807,294,15,0,0,0,0,0,0,False,False,True,False
196903,0,0,8808,295,15,0,0,0,0,0,0,False,False,True,False
196904,0,0,8809,296,15,0,0,0,0,0,0,False,False,True,False
196905,0,0,8810,297,15,0,0,0,0,0,0,False,False,True,False
196906,0,0,8811,298,15,0,0,0,0,0,0,False,False,True,False
196907,0,0,8813,299,16,0,0,0,0,0,0,False,False,True,False
196908,0,0,8814,300,16,0,0,0,0,0,0,False,False,True,False
196909,0,721037,8784,301,12,0,33,0,0,0,0,False,False,True,False
196910,0,721037,8785,302,12,0,34,0,0,0,0,False,False,True,False
196911,0,0,8786,303,12,0,0,0,0,0,0,False,False,True,False
196912,0,0,8787,304,12,0,0,0,0,0,0,False,False,True,False
196913,0,0,8788,305,12,0,0,0,0,0,0,False,False,True,False
196914,0,720978,8789,306,12,0,35,0,0,0,0,False,False,True,False
196915,0,0,8790,307,12,0,0,0,0,0,0,False,False,True,False
196916,0,0,8796,308,13,0,0,0,0,0,0,False,False,True,False
196917,0,0,8797,309,13,0,0,0,0,0,0,False,False,True,False
196918,0,0,8727,310,14,0,0,0,6,0,0,False,False,True,False
196919,0,0,8728,311,14,0,0,0,6,0,0,False,False,True,False
196920,0,0,8803,312,14,0,0,0,0,0,0,False,False,True,False
196921,7,721109,8804,313,14,7,0,0,9,4,11,True,False,True,False
196922,0,0,8791,314,12,0,0,0,5,0,0,False,False,True,False
196923,0,0,8731,315,15,0,0,0,6,0,0,False,False,True,False
196924,0,0,8730,316,15,0,0,0,6,0,0,False,False,True,False
196925,0,0,8812,317,15,0,0,0,0,0,0,False,False,True,False
196926,0,0,8815,318,16,0,0,0,0,0,0,False,False,True,False
196927,0,0,8805,319,15,0,0,0,0,0,0,False,False,True,False
196928,0,0,8806,320,12,0,0,0,0,0,0,False,False,True,False
196929,0,0,8729,321,14,0,0,0,5,0,0,False,False,True,False
196930,0,0,8792,322,12,0,0,0,0,0,0,False,False,True,False
196931,0,0,9717,323,14,0,0,0,0,0,0,False,False,True,False
196932,0,0,9718,324,12,0,0,0,0,0,0,False,False,True,False
196933,0,0,9719,325,12,0,0,0,0,0,0,False,False,True,False
196934,0,0,9720,326,12,0,0,0,0,0,0,False,False,True,False
196935,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196936,0,0,9722,328,13,0,0,0,0,0,0,False,False,True,False
196937,0,0,12084,329,12,0,0,0,0,0,0,False,False,True,False
196938,0,0,12085,330,13,0,0,0,0,0,0,False,False,True,False
196939,13,721109,12086,331,14,7,0,0,9,4,11,True,False,True,False
196940,0,0,14047,332,14,0,0,0,0,0,0,False,False,True,False
196941,0,0,14900,333,14,0,0,0,0,0,0,False,False,True,False
196942,0,0,14901,334,14,0,0,0,0,0,0,False,False,True,False
196943,0,0,14902,335,14,0,0,0,0,0,0,False,False,True,False
196944,0,0,14903,336,14,0,0,0,0,0,0,False,False,True,False
196945,0,0,16147,337,15,0,0,0,3,0,0,False,False,True,False
196946,0,0,17013,338,14,0,68,0,0,0,0,False,False,True,False
196947,0,0,17014,339,14,0,69,0,0,0,0,False,False,True,False
196948,0,0,17015,340,14,0,70,0,0,0,0,False,False,True,False
196949,0,0,9723,341,14,0,0,0,0,0,0,False,False,True,False
196950,0,0,9724,342,13,0,0,0,0,0,0,False,False,True,False
196951,0,0,9725,343,12,0,0,0,0,0,0,False,False,True,False
196952,8,721109,9726,344,14,7,0,0,9,4,11,True,False,True,False
196953,9,721109,9727,345,14,7,0,0,9,4,11,True,False,True,False
196954,10,721109,9728,346,14,7,0,0,9,4,11,True,False,True,False
196955,0,0,9729,347,14,0,0,0,0,0,0,False,False,True,False
196956,0,0,9730,348,15,0,0,0,0,0,0,False,False,True,False
196957,0,0,9731,349,15,0,0,0,0,0,0,False,False,True,False
196958,0,0,9732,350,12,0,0,0,0,0,0,False,False,True,False
196959,0,0,9733,351,12,0,0,0,0,0,0,False,False,True,False
196960,0,0,9734,352,12,0,0,0,0,0,0,False,False,True,False
196961,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196962,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196963,11,721109,9735,355,14,7,0,0,9,4,11,True,False,True,False
196964,0,0,9736,356,12,0,0,0,0,0,0,False,False,True,False
196965,0,0,9737,357,13,0,0,0,0,0,0,False,False,True,False
196966,12,721109,9738,358,14,7,0,0,9,4,11,True,False,True,False
196967,0,0,12087,359,14,0,0,0,0,0,0,False,False,True,False
196968,14,721109,12088,360,14,7,0,0,9,4,11,True,False,True,False
196969,15,721109,12089,361,14,7,0,0,9,4,11,True,False,True,False
196970,16,721109,12090,362,14,7,0,0,9,4,11,True,False,True,False
196971,17,721109,12091,363,14,7,0,0,9,4,11,True,False,True,False
196972,18,721109,12092,364,14,7,0,0,9,4,11,True,False,True,False
196973,1,721249,15775,365,14,13,63,1,0,6,13,False,False,True,False
196974,2,721249,15776,366,14,13,63,2,0,6,13,False,False,True,False
196975,3,721249,15777,367,14,13,63,3,0,6,13,False,False,True,False
196976,0,0,12093,368,15,0,0,0,0,0,0,False,False,True,False
196977,0,721096,12094,369,14,0,40,0,0,0,0,False,False,True,False
196978,0,721044,13061,370,12,0,54,0,0,0,0,False,False,True,False
196979,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False
196980,0,0,12096,372,13,0,0,0,0,0,0,False,False,True,False
196981,0,0,12095,373,13,0,0,0,0,0,0,False,False,True,False
196982,0,0,12097,374,13,0,0,0,0,0,0,False,False,True,False
196983,0,0,12098,375,13,0,0,0,0,0,0,False,False,True,False
196984,0,0,12099,376,12,0,0,0,0,0,0,False,False,True,False
196985,0,0,12100,377,13,0,0,0,0,0,0,False,False,True,False
196986,0,0,12101,378,13,0,0,0,0,0,0,False,False,True,False
196987,0,0,12102,379,13,0,0,0,0,0,0,False,False,True,False
196988,0,0,12103,380,16,0,0,0,0,0,0,False,False,True,False
196989,0,721037,12104,381,13,0,41,0,0,0,0,False,False,True,False
196990,0,721037,12105,382,13,0,42,0,0,0,0,False,False,True,False
196991,0,721037,12106,383,12,0,43,0,0,0,0,False,False,True,False
196992,0,721037,12107,384,12,0,44,0,0,0,0,False,False,True,False
196993,0,721037,12108,385,14,0,0,0,0,0,0,False,False,True,False
196994,0,721037,12109,386,14,0,0,0,0,0,0,False,False,True,False
196995,0,0,13062,387,14,0,0,0,0,0,0,False,False,True,False
196996,0,0,13063,388,13,0,0,0,0,0,0,False,False,True,False
196997,0,0,13064,389,15,0,0,0,0,0,0,False,False,True,False
196998,0,0,13066,390,12,0,0,0,0,0,0,False,False,True,False
196999,19,721109,13067,391,14,7,0,0,9,4,11,True,False,True,False
197000,0,721037,13068,392,14,0,0,0,0,0,0,False,False,True,False
197001,0,721028,13069,393,13,0,51,0,0,0,0,False,False,True,False
197002,20,721109,13070,394,14,7,0,0,9,4,11,True,False,True,False
197003,0,0,12110,395,14,9,0,0,0,0,0,False,False,True,False
197004,0,0,13071,396,13,0,0,0,0,0,0,False,False,True,False
197005,0,0,13072,397,13,0,0,0,0,0,0,False,False,True,False
197006,0,0,13073,398,12,0,0,0,0,0,0,False,False,True,False
197007,0,0,13074,399,12,0,0,0,0,0,0,False,False,True,False
197008,0,0,13065,400,15,0,0,0,0,0,0,False,False,True,False
197009,0,0,21811,401,16,0,0,0,0,0,0,False,False,True,False
197010,0,0,13075,402,13,0,0,0,0,0,0,False,False,True,False
