#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39
67,1,2,2,3,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
68,1,2,2,2,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
69,1,2,3,3,3,3,3,3,3,3,7,4,4,4,4,4,4,4,4,4,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
70,1,2,2,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
71,1,7,2,2,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
72,1,2,2,2,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
73,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,1,2,2,4,4,4,4,4,4,3,3,7,7,4,4,4,4,4,4,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0
75,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,2,7,3,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0
78,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
79,7,2,2,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
80,4,4,4,4,1,3,5,5,5,5,7,2,6,6,6,6,6,6,6,6,0,2,0,0,1,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0
81,2,7,3,3,3,3,4,4,4,4,1,5,5,5,5,5,5,5,5,5,1,1,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
82,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
83,2,2,7,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0
84,3,3,7,4,4,1,2,5,5,5,5,5,5,6,6,6,6,6,6,6,2,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0
85,1,1,1,2,2,2,3,3,3,3,7,7,7,3,3,3,3,3,3,3,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
86,1,1,1,1,3,3,3,3,3,3,7,7,2,2,2,2,3,3,3,3,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0
87,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
88,1,1,1,1,1,7,7,7,7,7,2,2,2,2,2,7,7,7,7,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
89,1,1,1,1,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
90,1,1,1,2,2,2,2,2,2,2,7,7,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0
91,1,2,2,2,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,3,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0
92,1,2,2,2,3,3,3,3,3,3,1,2,2,4,4,4,4,4,4,4,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0
