#,X,Y,Z,Rot,ENPC,Behavior
14.0,5.06,1,3.23,217.2,1043471,33401
14.1,-0.55,1,-4.18,10.8,1043471,33401
14.2,-6.83,1,1.26,77.4,1043467,33398
14.3,0.11,0.01,7.02,180,1043467,33396
15.0,-0.24,6.66,2.88,0,1043471,33401
15.1,-5.69,1,4.8,261,1043471,33395
15.2,-0.55,1,-7,153.6,1043467,33396
15.3,6.49,1,-7.04,177.6,1043467,33398
16.0,0.01,6.86,5.26,367.425,1043467,33403
16.1,8.22,1,6.66,41.2593,1043467,33403
16.2,-9.51,1,7.99,336.531,1043467,33403
16.3,-0.03,1,5.91,366.395,1043467,33403
17.0,-1.07,1,-0.37,180,1043467,33396
17.1,0.79,1,-2.4,360,1043467,33396
17.2,8.45,1,2.67,-6,1043467,33396
17.3,5.28,6.66,2.46,90,1043467,33398
17.4,-8.58,1,-5.58,180,1043467,33396
18.0,0.08,1,6.9,0,1043467,33398
18.1,-5.37,6.27,4.45,313.2,1043471,33401
18.2,-2.95,1,-6.27,180,1043471,33395
18.3,3.5,1,-1.38,26.4,1043471,33401
18.4,7.21,1,4.83,193.2,1043467,33396
19.0,9.38,1,7.72,24.6883,1043467,33403
19.1,-5.08,3.24,4.41,352.375,1043467,33403
19.2,-8.56,1,-1.75,271.48,1043467,33403
19.3,-0.11,11.8,2,-8.39622,1043467,33403
19.4,-0.03,1,6.74,368.155,1043467,33403
20.0,1.14,1,-0.22,212.4,1043467,33413
20.1,-0.08,1,-2.05,24,1043467,33413
20.2,-5.57,1,-3.47,180.6,1043467,33398
20.3,4.64,1,-3.62,141,1043467,33396
20.4,-0.55,6.26,1.95,-6,1043467,33396
21.0,9.73,6.45,-1.94,85.8,1043471,33401
21.1,-5.43,1,-1.89,270,1043471,33401
21.2,3.19,1,-6.7,180,1043467,33396
21.3,-9.29,6.45,0.63,180,1043467,33396
21.4,-0.75,1,3.92,183,1043467,33398
22.0,8.48,1,8.41,33.2317,1043467,33403
22.1,-7.27,1,8.21,350.919,1043467,33403
22.2,5.14,6.45,8.35,360.898,1043467,33403
22.3,-8.19,7.62,7.02,338.768,1043467,33403
22.4,-1.02,13.36,5.07,365.833,1043467,33403
23.0,4.01,1,6.14,76.2,1043467,33396
23.1,-7.28,1,-7.35,190.2,1043467,33396
23.2,2.08,1,-2.61,273.6,1043467,33396
23.3,-2.95,6.45,2.78,366.6,1043467,33396
23.4,3.59,6.45,7.64,355.8,1043467,33398
24.0,-3.46,1,4.22,161.276,1043467,33412
24.1,-4.11,1,2.2,59.1336,1043467,33412
24.2,-2.02,1,2.7,-79.2455,1043467,33412
25.0,-3.76,1,2.79,161.276,1043467,33412
25.1,-4.41,1,0.77,59.1336,1043467,33412
25.2,-2.32,1,1.27,-79.2455,1043467,33412
25.3,4.23,1,-8.67,0,1043467,33414
26.0,-5.23,1,3.5,90,1043467,33412
26.1,-3.65,1,3.5,-90,1043467,33412
26.2,6.76,1,-5.1,180,1043467,33412
26.3,6.76,1,-6.95,0,1043467,33412
26.4,3.36,1,-5.59,180,1043467,33414
27.0,3,0.2,1,70,1043467,33398
27.1,-2,0.2,0,210,1043468,33394
27.2,0,0.2,-3,280,1043468,33394
27.3,1,0.2,-6,140,1043467,33398
28.0,-2.69,1.82,1.12,-39,1043467,33398
28.1,6.65,1.82,-5.42,122.978,1043471,33395
28.2,2.07,1.82,0.42,64.4197,1043471,33401
28.3,-1.81,1.82,-4.43,-168.435,1043471,33401
29.0,-1.27,7.29,7,-90,1043467,33396
29.1,-4.34,13.95,-4.42,-117.9,1043471,33395
29.2,-7.54,1.82,-2.08,-96.9,1043471,33395
29.3,-0.08,13.95,14.26,0,1043467,33415
30.0,0.17,30.87,-1.95,188.048,1043467,33410
30.1,5.63,24.64,5.14,31.6458,1043467,33410
30.2,-0.94,13.95,12.55,-4.5219,1043467,33410
30.3,0,1.86,6.8,0,1043467,33410
31.0,3.08,1.82,-5.88,126.2,1043467,33396
31.1,8.1,13.95,0.64,93.6,1043467,33415
31.2,-5.01,20.77,-2.71,0,1043467,33412
31.3,-5.01,20.77,-1.44,180,1043467,33412
31.4,5.04,30.85,-2.87,-164.051,1043467,33528
32.0,6,0.2,3.5,70,1043467,33398
32.1,-2,0.2,4,210,1043468,33394
32.2,-3,0.2,-1,280,1043468,33394
32.3,1,0.2,-6,140,1043467,33398
33.0,0.61,0.6,1.21,-131.875,1043467,33396
33.1,9.1,0.64,4.63,59.0084,1043467,33396
33.2,-3.37,0.6,0.67,107.515,1043467,33396
33.3,7.85,0.63,-3.42,-84.0075,1043471,33401
34.0,5.25,0.6,7.29,-45.6797,1043471,33395
34.1,8.28,0.64,2.71,72.3185,1043467,33396
34.2,-3.23,0.6,0.99,124.217,1043467,33396
34.3,0.45,0.6,1.48,-129.749,1043467,33396
35.0,7.21,16.68,10.37,15.7396,1043467,33410
35.1,4.73,12.7,10.66,0.92784,1043467,33410
35.2,0.91,5.01,5.88,0.85848,1043467,33410
35.3,0,0,0,0,0,0
35.4,0,0,0,0,0,0
36.0,10.11,11.65,1.98,91.4194,1043467,33415
36.1,4.81,0.6,-5.44,-132.4,1043467,33414
36.2,-4.02,11.7,-1.47,-3.42594,1043467,33412
36.3,-4.18,11.7,0.71,186.452,1043467,33412
36.4,-6.41,0.6,-4.18,179.287,1043467,33527
37.0,3,0.2,2.19,192,1043467,33398
37.1,-2.19,0.2,-1.79,207.6,1043468,33394
37.2,5.98,0.19,-5.29,90.6,1043468,33394
37.3,-5.83,0.2,4.77,350.4,1043467,33398
38.0,-2.09,0.95,9.06,-93.7653,1043471,33401
38.1,-4.51,0.98,1.75,99.0029,1043467,33396
38.2,-2.19,0.95,4.47,0.85848,1043467,33396
38.3,5.41,0.54,-5.51,92.8459,1043471,33395
39.0,-6.48,7.86,3.11,-185.802,1043467,33396
39.1,2.07,0.21,-10.79,99.0029,1043471,33395
39.2,-1.62,0.95,1.26,90.031,1043467,33396
39.3,5.46,0.95,7.13,95.0574,1043471,33395
40.0,-0.05,0,15.44,185.919,1043467,33410
40.1,-0.03,2.6,-0.56,183.591,1043467,33410
40.2,-0.25,14.67,-3.22,51.4921,1043467,33410
40.3,2.92,10.53,0.77,54.4595,1043467,33410
40.4,3.13,10.73,-10.68,172.364,1043467,33410
41.0,2.93,10.53,0.93,-137.515,1043467,33396
41.1,-7.72,0.08,1.17,-98.746,1043467,33527
41.2,-5.35,10.74,-7.42,-99.4084,1043467,33528
41.3,-4.01,0.95,7.51,91.8454,1043467,33412
41.4,-3.06,0.95,7.49,-93.8858,1043467,33412
42.0,3,0.2,-2.19,192,1043467,33398
42.1,-2.53,0.2,6.9,207.6,1043468,33394
42.2,5.98,0.19,5.29,90.6,1043468,33394
42.3,-5.83,0.2,-4.77,350.4,1043467,33398
43.0,-6.18,1.1,4.51,125.605,1043471,33395
43.1,3.23,4.3,1.93,-57.6127,1043471,33401
43.2,-2.95,4.3,-3.27,-145.699,1043467,33398
43.3,3,1.1,7.51,-160.406,1043467,33396
44.0,-0.7,4.3,4.86,-95.3266,1043471,33395
44.1,4.35,4.3,-0.8,119.998,1043471,33395
44.2,-6.11,4.44,-6.38,-146.787,1043467,33396
44.3,-0.6,15.81,-9.17,-36.563,1043471,33395
45.0,0.09,15.57,7.79,-0.29076,1043467,33410
45.1,3.86,26.04,-3.61,37.0474,1043467,33410
45.2,-2.63,26.62,-6.6,-6.7062,1043467,33410
45.3,-6.17,29.92,-3.68,-34.5846,1043467,33410
45.4,3.61,46.45,-6.8,83.8469,1043467,33410
46.0,2.36,7.27,-1.51,58.9255,1043467,33396
46.1,-6.8,29.92,-4.93,-80.8547,1043467,33528
46.2,3.97,15.57,0.61,54.6099,1043467,33412
46.3,4.77,15.57,2.39,173.99,1043467,33412
46.4,5.75,15.57,0.89,-70.6769,1043467,33412
47.0,-3,0.2,2.19,192,1043467,33398
47.1,-3.73,0.2,6.88,207.6,1043468,33394
47.2,-5.98,0.19,-5.29,90.6,1043468,33394
47.3,5.83,0.2,4.77,350.4,1043467,33398
48.0,-5.88,0.05,6.55,156.706,1043467,33396
48.1,2.39,0.05,1.92,-105.68,1043467,33396
48.2,-1.11,0.05,-2.41,69.6211,1043467,33396
48.3,6.08,0.05,-4.75,-93.1135,1043467,33396
49.0,1.38,0.39,1.25,-142.122,1043471,33395
49.1,-5.49,0.64,4.74,97.1414,1043471,33401
49.2,9.02,0.05,-1.87,1.24998,1043467,33396
49.3,-8.4,0.05,-5.3,90.6321,1043467,33396
50.0,0,0,11.5,180,1043467,33410
50.1,8,0,-8,-45,1043467,33410
50.2,-8,0,-8,45,1043467,33410
50.3,8,0,8,-135,1043467,33410
50.4,-8,0,8,135,1043467,33410
51.0,-8.94,0.05,6.99,117.184,1043467,33527
51.1,7.7,0.05,-8.29,38.6664,1043467,33412
51.2,8.87,0.05,-6.68,-144.928,1043467,33412
52.0,-9.32,1.1,-2.07,36.6,1043469,33399
52.1,-8.96,1.13,-8.32,-154.2,1043468,33394
52.2,-9.69,0.67,13.67,101.4,1043468,33394
53.0,-19.78,-4.43,24.91,85.8,1043469,33399
53.1,-16.26,-3.22,28.14,79.8,1043468,33394
53.2,-16.9,0.28,-2.45,57,1043468,33394
54.0,25.52,0.83,-15.52,-67.2,1043468,33394
54.1,20.38,1.49,-1.25,116.4,1043468,33394
54.2,21.1,2,10.67,-185.4,1043469,33399
54.3,18.3,0.87,-13.87,-94.8,1043469,33399
55.0,15.66,0.52,16.35,87,1043468,33394
55.1,21.7,0.52,15.92,-122.4,1043468,33394
55.2,18.8,0.85,3.8,-150,1043469,33399
55.3,15.43,0.42,-6.86,-72,1043469,33399
56.0,1,0,-3.76,-28.2,1043454,33456
57.0,91,8,0,90,1043454,33446
57.1,70,4,-4,180,1043454,33452
57.2,42,2,0,270,1043454,33453
57.3,20,0,1,0,1043454,33454
57.4,-11,-1,-4,0,1043454,33455
58.0,1.9,8.29,9.67,0,1043467,33410
58.1,9.89,1,6.11,31.5329,1043467,33410
58.2,-9.64,1,7.51,336.726,1043467,33410
58.3,6.63,13.26,-0.36,7.14426,1043467,33410
58.4,-3.38,0,11.17,163.146,1043101,33410
59.0,0.4,13.29,17.48,0,1043467,33410
59.1,-7.51,1,-0.15,-100.228,1043467,33410
59.2,14.36,0,-13.06,-60.4464,1043467,33410
59.3,8.07,0,13.16,-141.687,1043080,33654
60.0,0.04,14.7,22.42,0,1043467,33410
60.1,-6.29,1,0.01,-92.46,1043467,33410
60.2,14.36,0,-13.06,-60.4464,1043467,33410
60.3,-8.47,0,12.37,2.14003,1044156,0
60.4,1.68,1.01,-4.1,0,1043464,0
60.5,3.35,1.03,-4.1,0,1043463,0
60.6,-8.26,-0.01,17.72,-26.7856,1043078,0
60.7,4.28,-0.01,22.39,-73.1999,1043081,0
60.8,-3.87,0,14.59,156.837,1043080,33654
60.9,-5.46,0,14.12,158.094,1043101,33410
61.0,0.03,16.64,11.85,-2.5689,1043467,33410
61.1,-6.53,1,-0.03,-94.5895,1043467,33410
61.2,14.36,0,-13.06,-60.4464,1043467,33410
61.3,-8.47,0,12.37,2.14003,1044156,0
61.4,1.68,1.01,-4.1,0,1043464,0
61.5,3.35,1.03,-4.1,0,1043463,0
61.6,-8.26,-0.01,17.72,-26.7856,1043078,0
61.7,4.28,-0.01,22.39,-73.1999,1043081,0
61.8,-3.87,0,14.59,156.837,1043080,33654
61.9,-5.46,0,14.12,158.094,1043101,33410
62.0,0.17,30.87,-1.95,188.048,1043467,33410
62.1,5.63,24.64,5.14,31.6458,1043467,33410
62.2,-0.94,13.95,12.55,-4.5219,1043467,33410
62.3,0,1.86,6.8,0,1043467,33410
62.4,-4.13,0,9.48,157.694,1043101,33410
63.0,7.21,16.68,10.37,15.7396,1043467,33410
63.1,4.73,12.7,10.66,0.92784,1043467,33410
63.2,0.91,5.01,5.88,0.85848,1043467,33410
63.3,-1.87,16,-5.36,-183.944,1043467,33410
63.4,-3.15,12.2,-4.15,-142.915,1043467,33410
63.5,-1.51,0,12.58,156.322,1043101,33410
64.0,-0.05,0,15.44,185.919,1043467,33410
64.1,-0.03,2.6,-0.56,183.591,1043467,33410
64.2,-0.25,14.67,-3.22,51.4921,1043467,33410
64.3,2.92,10.53,0.77,54.4595,1043467,33410
64.4,3.13,10.73,-10.68,172.364,1043467,33410
64.5,-3.51,0,13.99,150.29,1043101,33410
65.0,0.09,15.57,7.79,-0.29076,1043467,33410
65.1,3.86,26.04,-3.61,37.0474,1043467,33410
65.2,-2.63,26.62,-6.6,-6.7062,1043467,33410
65.3,-6.17,29.92,-3.68,-34.5846,1043467,33410
65.4,3.61,46.45,-6.8,83.8469,1043467,33410
65.5,-2.63,0,12.46,161.725,1043101,33410
66.0,0,0,11.5,180,1043467,33410
66.1,8,0,-8,-45,1043467,33410
66.2,-8,0,-8,45,1043467,33410
66.3,8,0,8,-135,1043467,33410
66.4,-8,0,8,135,1043467,33410
66.5,-2.95,0,14.57,175.426,1043101,33410
67.0,-6.46,8.42,5.95,353.324,1043467,33410
67.1,5.48,7.29,5.79,0.64986,1043467,33410
67.2,-4.95,1,6.86,345.267,1043467,33410
67.3,1,16.89,4.62,368.143,1043467,33410
67.4,4.56,2.84,3.84,260.789,1043467,33410
67.5,-3.38,0,11.17,163.146,1043101,33410
68.0,10.46,1,4.7,24.0181,1043467,33410
68.1,-6.04,8.22,4.99,364.034,1043467,33410
68.2,-7.86,12.71,7.37,327.695,1043467,33410
68.3,9.95,12.71,6.82,37.9365,1043467,33410
68.4,1.07,19.54,5.95,-7.6101,1043467,33410
68.5,-3.38,0,11.17,163.146,1043101,33410
69.0,0.01,6.86,5.26,367.425,1043467,33410
69.1,8.22,1,6.66,41.2593,1043467,33410
69.2,-9.51,1,7.99,336.531,1043467,33410
69.3,-0.03,1,5.91,366.395,1043467,33410
69.4,-3.38,0,11.17,163.146,1043101,33410
70.0,9.38,1,7.72,24.6883,1043467,33410
70.1,-5.08,3.24,4.41,352.375,1043467,33410
70.2,-8.56,1,-1.75,271.48,1043467,33410
70.3,-0.11,11.86,2.08,-8.39622,1043467,33410
70.4,-0.03,1,6.74,368.155,1043467,33410
70.5,-3.38,0,11.17,163.146,1043101,33410
71.0,8.48,1,8.41,33.2317,1043467,33410
71.1,-7.27,1,8.21,350.919,1043467,33410
71.2,5.14,6.45,8.35,360.898,1043467,33410
71.3,-8.19,7.62,7.02,338.768,1043467,33410
71.4,-1.02,13.36,5.07,365.833,1043467,33410
71.5,-3.38,0,11.17,163.146,1043101,33410
72.0,1.6,1,-2.34,295.8,1043467,33413
72.1,-0.19,1,-1.66,108,1043467,33413
73.0,5.69,1,0.18,255,1043467,33413
73.1,2.18,1,-0.99,66.6,1043467,33413
73.2,-5.2,7.28,-2.15,222,1043467,33398
74.0,7.28,1,1.48,202.2,1043467,33413
74.1,5.97,1,-1.08,20.4,1043467,33413
74.2,-5.54,7.24,-1.19,289.8,1043467,33398
75.0,11.22,1.54,7.27,-36.6,1043468,33394
75.1,19.61,1.19,-7.64,57,1043468,33394
75.2,11.68,0.77,-9.48,-126,1043468,33394
75.3,18.12,1.81,4.67,67.8,1043468,33394
76.0,12.59,0.19,-4.11,-36.6,1043468,33394
76.1,10.94,0.38,2.57,57,1043468,33394
76.2,18.1,0.84,1.35,-126,1043468,33394
76.3,15.88,0.6,12.48,67.8,1043468,33394
77.0,-3.85,2,-7,115.8,1043467,33394
77.1,-8.96,1.13,-8.32,-154.2,1043468,33394
77.2,-9.69,0.67,13.67,101.4,1043468,33394
78.0,-19.78,-4.43,24.91,85.8,1043469,33399
78.1,-16.26,-3.22,28.14,79.8,1043468,33394
78.2,-16.9,0.28,-2.45,57,1043468,33394
79.0,0.2,0,8.92,-31.8,1043454,33457
80.0,4.83,0,-1.85,-120,1043454,33458
80.1,-5.13,0,3.56,120,1043454,33459
81.0,12.38,0.96,-9.84,90,1043467,33410
81.1,-5.87,-1.48,-12.41,-130.523,1043467,33410
81.2,-0.03,-0.1,1.94,-40.3366,1043467,33410
82.0,14.84,-1,-4.61,178.42,1043467,33410
82.1,31.35,-1,9.31,-175.306,1043467,33410
82.2,-13.45,14,23.94,135.233,1043467,33410
83.0,-11.54,-0.01,4.86,-5.5647,1043467,33410
83.1,-23.01,-0.01,-31.13,-123.027,1043467,33410
83.2,8.39,-0.01,-17.18,-182.141,1043467,33410
84.0,7.98,-0.01,20.2,136.744,1043467,33410
84.1,-0.76,-0.01,20.54,-99.1262,1043467,33410
84.2,1.45,-0.01,11.65,-176.409,1043467,33410
85.0,13.11,-0.4,-1.48,97.0618,1043467,33410
85.1,-7.19,-1.08,5.5,-40.7862,1043467,33410
85.2,-5.99,-1.55,-8.29,-149.108,1043467,33410
86.0,19.16,-0.01,1.12,70.3831,1043467,33410
86.1,5.28,-1.28,8.54,25.9194,1043467,33410
86.2,-3.22,-1.32,-9.65,-159.892,1043467,33410
87.0,-5.43,-0.11,3.98,-95.8218,1043467,33410
87.1,2.27,-0.11,-4.26,-150.599,1043467,33410
87.2,6.19,-0.13,10.27,-75.7164,1043467,33410
88.0,-8.08,0.19,-0.1,91.1726,1043467,33410
88.1,6.37,0.34,-9.15,-72.4412,1043467,33410
88.2,6.17,0.35,8.82,-139.42,1043467,33410
89.0,-0.05,0.39,-4.36,-131.377,1043467,33410
89.1,0.18,0.39,1.05,-95.7779,1043467,33410
89.2,0.07,0.39,6.54,-72.0885,1043467,33410
90.0,-31.28,-2,-10.35,92.1894,1043467,33410
90.1,-52.22,-2.01,4.57,1.58586,1043467,33410
90.2,-46.97,-2,-25.74,-179.845,1043467,33410
91.0,-96.35,20,5.51,-7.90494,1043467,33410
91.1,-81.64,20,-12.94,119,1043467,33410
91.2,-110.35,20,-7.87,-99.6439,1043467,33410
92.0,-5.88,0.2,6.55,156.706,1043467,33398
92.1,2.39,0.2,1.92,-105.68,1043468,33394
92.2,-1.11,0.2,-2.41,69.6211,1043468,33394
92.3,6.08,0.2,-4.75,-93.1135,1043467,33398
93.0,7.98,0.1,3.98,-82.3199,1043471,33395
93.1,-6.06,0.1,5.58,-37.9388,1043471,33401
93.2,9.02,0.57,-0.75,107.296,1043467,33396
93.3,3.51,0.1,3.07,-174.617,1043467,33396
94.0,5.79,0.1,-4.78,177.883,1043471,33395
94.1,2.7,0.58,3.48,106.399,1043471,33401
94.2,-8.77,0.1,3.31,90.1898,1043467,33396
94.3,-0.06,0.58,1.79,78.5982,1043467,33396
95.0,-6.67,5.26,-6.62,-143.781,1043467,33410
95.1,10.2,4.34,1.14,81.1305,1043467,33410
95.2,2.3,3.42,-0.25,-22.9617,1043467,33410
95.3,-8.94,2.13,3.46,12.8908,1043467,33410
96.0,-9.02,0.34,9.61,77.3289,1043467,33527
96.1,-7.46,8.6,-7.45,-146.218,1043467,33528
96.2,8.52,0.1,5.96,112.603,1043467,33412
96.3,10.79,0.1,5.11,-72.2957,1043467,33412
97.0,-6.67,5.26,-6.62,-143.781,1043467,33410
97.1,10.2,4.34,1.14,81.1305,1043467,33410
97.2,2.3,3.42,-0.25,-22.9617,1043467,33410
97.3,-8.94,2.13,3.46,12.8908,1043467,33410
97.4,-3.12,0,13.33,158.317,1043101,33410
98.0,-3.93,0.07,8.07,-188.031,1043471,33395
98.1,-3.3,3.05,1.05,-104.426,1043471,33401
98.2,-8.68,11.66,6.62,20.2008,1043467,33396
98.3,1.71,0.07,1.05,23.7073,1043467,33396
99.0,3.76,8.58,-3.35,139.658,1043471,33401
99.1,-5.79,8.51,7.16,-67.6535,1043471,33395
99.2,-8.02,6.05,2.86,-118.685,1043471,33395
99.3,7.58,0.07,-2.49,168.543,1043468,33394
100.0,-12.65,21.94,11.39,-50.5759,1043467,33410
100.1,9.39,9.39,-2.35,89.1816,1043467,33410
100.2,-0.98,13.3,-8.76,-127.075,1043467,33410
100.3,8.03,13.65,-1.93,89.1044,1043467,33410
100.4,2.28,6.87,-1.95,-55.8798,1043467,33410
101.0,9.65,9.39,-1.69,81.3295,1043467,33528
101.1,-4.09,0.07,-7.62,-66.0037,1043467,33412
101.2,-6.4,0.45,-6.45,122.492,1043467,33412
101.3,0.4,0.07,0.56,137.903,1043467,33527
101.4,6.96,0.2,-4.99,-177.64,1043467,33396
102.0,-5.88,0.2,6.55,156.706,1043467,33398
102.1,2.39,0.2,1.92,-105.68,1043468,33394
102.2,-1.11,0.2,-2.41,69.6211,1043468,33394
102.3,6.08,0.2,-4.75,-93.1135,1043467,33398
103.0,0.9,0.5,5.41,90,1043467,33398
103.1,-0.81,0.5,5.46,-90,1043467,33398
103.2,7.85,0.5,-7.85,137.574,1043467,33398
103.3,2.54,1.53,-1.67,-143.785,1043467,33398
104.0,-0.33,15.58,2.84,-90,1043471,33401
104.1,-4.54,10.24,-0.45,180,1043471,33395
104.2,-2.8,15.58,2.8,-39.7745,1043471,33395
104.3,2.87,22.3,-1.9,180,1043471,33395
105.0,0.01,41.6,2.83,0,1043467,33410
105.1,-4.79,29.92,4.84,-46.5493,1043467,33410
105.2,-2.09,10.24,1.57,-162.79,1043467,33410
105.3,-9.89,0.5,0.12,89.1044,1043467,33410
105.4,4.59,18.52,-4.59,-13.6731,1043467,33410
106.0,2.27,10.24,-1.06,96.0094,1043467,33528
106.1,-2.93,22.3,0.13,87.6761,1043467,33415
106.2,6.44,0.5,-5.92,-137.986,1043467,33412
106.3,4.99,0.5,-7.53,42.0142,1043467,33412
106.4,-6,0.5,0.21,-90,1043467,33527
107.0,0.05,19.18,18.84,0,1043467,33410
107.1,-8.72,0.5,6.79,122.365,1043467,33410
107.2,14.36,0,-13.06,-60.4464,1043467,33410
107.3,-8.47,0,12.37,2.14003,1044156,0
107.4,1.68,1.01,-4.1,0,1043464,0
107.5,3.35,1.03,-4.1,0,1043463,0
107.6,-8.26,-0.01,17.72,-26.7856,1043078,0
107.7,4.28,-0.01,22.39,-73.1999,1043081,0
107.8,-3.87,0,14.59,156.837,1043080,33654
107.9,-5.46,0,14.12,158.094,1043101,33410
108.0,6.97,0.5,-6.28,33.4329,1043467,33606
108.1,8.6,0.5,-4.14,-146.58,1043467,33606
108.2,-3.17,6.5,6.77,52.5391,1043467,33412
108.3,-0.25,6.5,8.77,-127.5,1043467,33412
108.4,-7.46,0.5,-5.64,-119.744,1043456,33607
109.0,0.73,11.99,6.59,256.412,1043467,33402
109.1,9.55,6.49,-3.07,270,1043467,33396
109.2,-3.25,0.99,7.44,186.303,1043471,33395
109.3,-4.37,11.99,6.5,270,1043467,33398
109.4,-8.9,11.99,3.76,360,1043467,33398
110.0,-1.55,21.8,1.98,360,1043467,33403
110.1,-7.22,11.85,5.62,103.181,1043467,33403
110.2,3.79,0.99,6.64,213.122,1043467,33403
110.3,9.84,11.99,-9.4,128.905,1043467,33403
110.4,-3.02,6.49,3.99,128.699,1043467,33403
111.0,-34.33,-9.69,20,90,1043467,33410
111.1,-11.2,0,14.02,146.789,1043467,33410
111.2,7.48,-0.1,-31.5,-55.2854,1043467,33410
111.3,0.31,18,-60.61,-8.44542,1043467,33410
112.0,-3.97,0.99,-1.3,290.672,1043459,33609
112.1,5.25,6.49,-1.42,270,1043467,33396
112.2,3.61,11.84,5.32,245.255,1043455,33610
112.3,0.81,0.99,-0.55,270,1043467,33396
112.4,8.7,0.99,-1.02,90,1043467,33608
113.0,-0.55,0.99,2.76,216.047,1043456,33607
113.1,5.47,11.99,-6.37,180,1043467,33611
113.2,9.13,0.99,-1.02,270,1043467,33527
114.0,0.02,6.55,0.35,180,1043467,33402
114.1,-4.13,15.51,0.01,222.142,1043467,33398
114.2,5.82,15.5,-3.93,-5.6046,1043467,33398
114.3,-9.19,6.5,7.8,90,1043471,33401
114.4,11.3,0.68,-6.19,270,1043471,33401
115.0,0.02,23.6,-3.26,360,1043467,33403
115.1,-9.11,17.49,-2.31,308.955,1043467,33403
115.2,-0.01,0.24,8.28,180,1043467,33403
115.3,-7.47,6.5,7.69,335.274,1043467,33403
115.4,7.33,15.54,-4.07,90,1043467,33403
116.0,-8.47,0,12.37,2.14003,1044156,0
116.1,1.68,1.01,-4.1,0,1043464,0
116.2,3.35,1.03,-4.1,0,1043463,0
117.0,-8.24,1,-5.55,117.031,1043456,33607
117.1,1.52,13.17,3.2,303.138,1043459,33609
117.2,-2.8,1,-4.87,164.366,1043455,33610
117.3,1.16,6.5,-2.72,37.7431,1043467,33412
117.4,3.01,6.5,-0.42,217.743,1043467,33412
118.0,-1.55,21.8,1.98,360,1043467,33403
118.1,-7.22,11.85,5.62,103.181,1043467,33403
118.2,3.79,0.99,6.64,213.122,1043467,33403
118.3,9.84,11.99,-9.4,128.905,1043467,33403
118.4,-3.02,6.49,3.99,128.699,1043467,33403
118.5,-3.38,0,11.17,163.146,1043101,33410
