#,StartupText,RunningText,Unknown0
16,Work will soon commence in northeast Sinus Ardorum. Contributors wanted!,“Nadir Lift Preliminary Construction” has commenced in northeast Sinus Ardorum. Contributors wanted!,1990
17,Work will soon commence in northeast Sinus Ardorum. Contributors wanted!,“Nadir Lift Final Construction” has commenced in northeast Sinus Ardorum. Contributors wanted!,1991
18,Work in northeast Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.,,0
19,Work will soon commence at the Moongate Hub. Contributors wanted!,“Lunar Hopopolis Construction” has commenced at the Moongate Hub. Contributors wanted!,1992
20,"Work will soon commence at Glassblowers' Beacon.
Contributors wanted!",“Beacon Camp Alpha Expansion” has commenced at Glassblowers' Beacon. Contributors wanted!,2008
21,"Work will soon commence at the Glassblown Grotto.
Contributors wanted!",“Cosmoliner Alpha Construction Support” has commenced at the Glassblown Grotto. Contributors wanted!,2009
22,"Work will soon commence to the northeast of Glassblowers' Beacon.
Contributors wanted!",“Habitation Module Construction Support” has commenced to the northeast of Glassblowers' Beacon. Contributors wanted!,2010
23,"Work will soon commence to the southeast of Glassblowers' Beacon.
Contributors wanted!",“Energization Station Construction Support” has commenced to the southeast of Glassblowers' Beacon. Contributors wanted!,2011
24,"Work will soon commence to the southeast of Glassblowers' Beacon.
Contributors wanted!",“Hydrofication Station Construction Support” has commenced to the southeast of Glassblowers' Beacon. Contributors wanted!,2012
25,Work will soon commence in the northwestern sector of Glassblowers' Beacon. Contributors wanted!,“Mech Hangar Alpha Expansion” has commenced in the northwestern sector of Glassblowers' Beacon. Contributors wanted!,2013
26,Work on the Cosmoliner Floatshore Filigree is nearly finished. Access to the work site will be restricted upon completion.,,0
27,"Work will soon commence in southeast Millefiori.
Contributors wanted!",“Upper Crane Construction” has commenced in southeast Millefiori. Contributors wanted!,2014
28,"Work will soon commence in northeast Capsule Chasm.
Contributors wanted!",“Lower Crane Construction” has commenced in northeast Capsule Chasm. Contributors wanted!,2015
29,Work on the Chasmwind Filigree is nearly finished. Access to the work site will be restricted upon completion.,,0
30,"Work will soon commence at Glassblowers' Beacon.
Contributors wanted!",“Beacon Camp Beta Expansion” has commenced at Glassblowers' Beacon. Contributors wanted!,2016
31,"Work will soon commence at Glassblowers' Beacon's northwestern sector.
Contributors wanted!",“Mech Hangar Beta Expansion” has commenced at Glassblowers' Beacon's northwestern sector. Contributors wanted!,2017
32,"Work will soon commence at Glassblowers' Beacon's southwestern sector.
Contributors wanted!",“Cosmoport Maintenance Support” has commenced at Glassblowers' Beacon's southwestern sector. Contributors wanted!,2018
33,"Work will soon commence in northwest Opalescent Crossing.
Contributors wanted!",“Power Procurement” has commenced in northwest Opalescent Crossing. Contributors wanted!,2019
34,"Work will soon commence in northwest Millefiori.
Contributors wanted!",“Additional Power Procurement” has commenced in northwest Millefiori. Contributors wanted!,2020
35,"Work will soon commence in the Saltpeter Shore's southern sector.
Contributors wanted!",“Mobilization Station Construction” has commenced in the Saltpeter Shore's southern sector. Contributors wanted!,2021
36,"Work will soon commence at Fusingway Vent.
Contributors wanted!",“Operation Chilling-a-Way: Phase One” has commenced at Fusingway Vent. Contributors wanted!,2022
37,"Work will soon commence at Fusingway Vent.
Contributors wanted!",“Operation Chilling-a-Way: Phase Two” has commenced at Fusingway Vent. Contributors wanted!,2023
38,Work on the Fusingway Vent Cosmoliner is nearly finished. Access to the work site will be restricted upon completion.,,0
39,"Work will soon commence in Glassblowers' Beacon.
Contributors wanted!",“Beacon Camp Facility Expansion” has commenced in Glassblowers' Beacon. Contributors wanted!,2024
40,"Work will soon commence to the north of Terra Firma.
Contributors wanted!",Work is now underway to the north of Terra Firma! Contributors wanted!,2046
41,"Work on the central Cosmoliner is nearly finished.
Access to the work site will be restricted upon completion.",,0
42,"Work will soon commence on the first of two joint projects.
Contributors should gather to the west of Terra Firma!",Work is now underway to the west of Terra Firma! Contributors wanted!,2047
43,"Work will soon commence on the second of two joint projects.
Contributors should gather to the west of Terra Firma!",Work is now underway to the west of Terra Firma! Contributors wanted!,2048
44,"Work will soon commence at the Unmoored Anchor.
Contributors wanted!",Work is now underway at the Unmoored Anchor! Contributors wanted!,2049
45,Work on the Cosmoliner in Shadefleet is nearly finished. Access to the work site will be restricted upon completion.,,0
46,"Work will soon commence at Terra Firma.
Contributors wanted!",Work is now underway at Terra Firma! Contributors wanted!,2050
47,"Work will soon commence at Terra Firma.
Contributors should gather on the upper platforms!",Work is now underway at Terra Firma! Contributors wanted!,2051
48,"Work will soon commence to the north of Terra Firma.
Contributors wanted!","Work is now underway to the north of Terra Firma!
Contributors wanted!",2052
49,"Work will soon commence at Emerald Echoes.
Contributors wanted!",Work is now underway at Emerald Echoes! Contributors wanted!,2053
50,Work will soon commence at Emerald Echoes. Contributors wanted!,Work is now underway at Emerald Echoes! Contributors wanted!,2054
51,Work will soon commence at the ruins in Emerald Echoes. Contributors wanted!,Work is now underway at the ruins in Emerald Echoes! Contributors wanted!,2055
52,"Work will soon commence at the ruins in Emerald Echoes.
Contributors wanted!",Work is now underway at the ruins in Emerald Echoes! Contributors wanted!,2056
53,Work on the Cosmoliner in the ruins of Emerald Echoes is nearly finished. Access to the work site will be restricted upon completion.,,0
54,"Work will soon commence at Terra Firma.
Contributors wanted!",Work is now underway at Terra Firma! Contributors wanted!,2057
55,"Work will soon commence on the roof of Terra Firma.
Contributors should take the elevator to the project site!","Work is now underway on the roof of Terra Firma!
Contributors should take the elevator to the project site!",2058
