#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
11,Persistent Pot,"Afflicted with an insatiable appetite for elixirs, these diminutive creatures are technically soulkin, although their habits and life cycle are little understood. As such, alternative theories concerning their nature abound, chief among them the notion that they are in fact a species of voidsent related to the imp. Equally, debates rage regarding their thirst for elixir. Some naturalists posit that the need is nutritional, while others suggest the creatures simply enjoy burdening their interlocutors with unreasonable demands. Perhaps one day science will produce a compelling answer.",531,70625,0,4,3
12,Heathcliff,"Almost entirely devoid of trees and other large flora, these undulating hills are stalked by beasts who need not fear the lack of cover on account of their sheer size and ferocity. Standing stately and silent among the prowling creatures is a rotunda, built upon an ornately patterned aetherial node. This node may well be the centerpoint of whatever arcane nexus powers the island's ward and obscures the crescent's very existence from those who approach.",514,70608,11606915,2,1
13,The Fell Warren,"Deep within the caves running through the rugged mountains of the Occult Crescent lies a ruined ancient city. The prevalence of pointed arches calls to mind ancient Skalla, which once flourished in Gyr Abania before the Sixth Umbral Calamity inundated the land. Although much of Skalla now sleeps beneath Loch Seld, these remnants bear all the hallmarks of its unusual architectural process: the masterful sculpting of wind-weathered stone formations.",511,70605,11606909,2,1
14,Mythic Idol,"Found in the depths of the crystallized caverns, this creature's fragile ceramic form belies an enduring strength. The magical runes upon its torso allow it to summon minions and arcane artifacts in battle, making it a challenging, unpredictable foe. Details regarding the mythic idol's creation have always been shrouded in mystery. Records indicate that even the people of Skalla, who often utilized such constructs, were unaware of their provenance. Given that Gyr Abania has long been a hub for trade with the East, there is every likelihood that the underlying technology was developed in foreign lands and deliberately kept secret.",528,70622,0,4,3
15,The Shadowed City,"Towering above the forlorn streets and shuttered buildings of this once-magnificent city is a colossal pyramid visible from malms away. Its architecture distinctly resembles that of Mhach, a great power reduced to naught by the War of the Magi and subsequent Sixth Umbral Calamity. As the stigma associated with Mhach's forbidden arts remains strong today, the secrets of its destructive magicks and summoning rituals have been largely left to slumber in the desolate swamplands of Yafaem─and perhaps here, in this ruined metropolis.",512,70606,11606912,2,1
16,Black Chocobo,"Black-feathered chocobos capable of flight are the culmination of a lengthy selective breeding process, and are seldom encountered in the wild. The Occult Crescent, however, is home to a sizable population that seem to thrive despite the numerous fiends roaming the isle. Whether they are escaped stable chocobos from the mainland or were brought here intentionally remains unclear.",525,70619,0,4,3
17,Crescent Berserker,"The shadowed city often echoes with the footfalls of this hulking, vaguely manlike scourge. Despite its mortal appearance, it is no different to the soulless voidsent that swarm the nearby streets─an artificial construct brought to life by aetherial energies for use as a familiar, like as not. Given that the soul shard in its possession allows it to wield a berserker's techniques, it more than makes up for what it lacks in intelligence with unbridled fury.",526,70620,0,4,3
18,Eldergrowth,"The Occult Crescent is home to a wealth of architectural ruins seemingly handpicked from various fallen civilizations, and this sense of curation extends to the island's plant life as well. For example, one humid region is home to giant trees that could well be a millennium old, yet are entirely unsuited to the local environment. The logical conclusion is that the trees were transplanted from some far-flung place, yet why seek to transform the island's ecology in such a manner?",515,70609,11606922,2,1
19,The Abandoned Ascent,"Rising out of the wetlands, this crumbling edifice features a multitude of interlocking stairways and stone platforms. Its architecture does not resemble any known style, although it likely originated in the Fifth Astral Era. Indeed, the indigo blue accents found throughout the structure match descriptions of a color reportedly held sacred by one of the twelve city-states from the period. Sadly, the dearth of archaeological evidence makes comparative studies impossible.",513,70607,11606914,2,1
20,Cloister Demon,"Having been summoned forth from the void, this powerful fiend now resides near the abandoned ascent. Entering into pacts with such voidsent is an ancient practice that continues to this day, despite the inherent risks. Bound thus to their summoners, these creatures serve myriad roles: from instruments of brute force to bestowers of supernatural power and arcane weapons. One wonders what duties the cloister demon was assigned in exchange for corporeal form and aether-given vitality.",527,70621,0,4,3
21,The Silent Streets,"Surrounding the base of the shadowed city's great pyramid is a labyrinth of streets flanked by imposing apartment facades. The architectural motifs on display are unmistakably late-Mhachi in origin.

Having foreseen the coming floods, the mages of Mhach constructed a floating island, that the populace might escape the impending deluge. The impossibly tall buildings of its residential quarter made efficient use of the space available, and stand as a testament to the ingenuity of Mhachi engineering even today. The attention to detail is evident in the protective glyphs carved into every ilm of these ruins.",518,70612,11606925,2,1
22,The Ancient Stoneworks,"Amdapori golems, originally conceived of to combat Mhachi black magi, are said to have once been produced in workshops like this one. Initially, the constructs were simplistic and functional, but as the Amdapori perfected their craft, they began to represent people and animals alike. Towards the close of the Fifth Astral Era, the creations became ever more removed from reality, with craftsmen giving life to winged creatures and other flights of fancy.",519,70613,11606926,2,1
23,The Wanderer's Haven,"The ancient city-state of Nym is known for its worship of Oschon, the Wanderer. In his honor, a sanctuary was built among the peaks of Vylbrand, and a comparable monument founded upon the shore─aligned so as to receive the sacred mountain winds that flowed down from on high. Although the coastal structure was lost to the floodwater of the Sixth Umbral Calamity, its essence lives on in this Occult Crescent relic.",517,70611,11606924,2,1
24,The Brazier,"The histories indicate that one Fifth Astral Era city-state revered Nald'thal as god of the forge, its citizens frequently rendering up offerings and lighting sacred beacons to honor His command over the element of fire. For this purpose, circular fora were built atop many public buildings, allowing the people to construct mighty bonfires of worship. A similar feature is present at the summit of the abandoned ascent.",516,70610,11606923,2,1
25,The Island's Architect,"This individual is the unseen hand presiding over the Occult Crescent, and master of countless familiars, including the faerie, Iris. Seemingly, their ultimate goal is to protect and preserve Fifth Astral Era cultures, although in a manner which prevents the period's blighted legacy─and the knowledge that brought about the War of the Magi─from transmitting to future generations. The mystery of this contradictory aim is compounded further by the ethereal voice that has guided at least one soul to the isle...",524,70618,0,3,2
26,Demon Tablet,"Upon entering the Tower of Blood, intruders are met with this grim stone guardian, a variant of the demon walls that defended ancient Amdapor. As techniques for producing these soulkin developed, Amdapori artisans crafted ever more intricate automata, of which this specimen is a fine example. Covered in magical inscriptions, it appears optimized for preventing the ingress of threats into the tower.",532,70626,0,4,3
27,Dead Stars,"Nereid, Triton, and Phobos─a triumvirate of pranksters wielding the power of frost, fire, and poison, respectively. Using their command of the elements, the trio manipulate the weather on the Occult Crescent, having apparently been tasked with preserving the isle's transplanted flora. These familiars are endowed with sufficient intelligence to carry out their duties, but their language and demeanor are decidedly infantile. Whether this was intentional or simply an aberration resulting from eons of continued service is unclear.",533,70627,0,4,3
28,Marble Dragon,"This golem must surely be considered among the masterworks of Amdapori craftsmanship. Serving to protect the Tower of Blood from trespassers, its movements and ferocity match that of a living, breathing dragon─an impressive feat considering the fact this guardian is naught but aether-imbued marble. Given the startling attention to detail, the creator must have visited Dravania to observe their scaled muses firsthand.",534,70628,0,4,3
29,Magitaur,"This monstrous brute guards the uppermost floor of the Tower of Blood. Although voidsent of its ilk are seldom endowed with much intelligence, this specimen is capable of complex combat techniques, guided by skillful manipulation of magical stone tablets. However, it is Magitaur's arsenal of dread weapons, including the rune axe, the sage's staff, the assassin's dagger, and the holy lance─all of which date back to the War of the Magi─that make it an opponent as treacherous as any of its more elevated kin.",535,70629,0,4,3
30,The Secluded Stacks,"At the pinnacle of the Tower of Blood sits an ancient study filled with tomes, tablets, and manuscripts from the Fifth Astral Era. Unfortunately, the entire collection is written in a script bearing no obvious resemblance to any extant language, rendering the documents indecipherable. Perhaps the owner concocted the script as a means of concealing the knowledge contained therein─but what could necessitate such elaborate encoding?",520,70614,11606928,2,1
31,North Horn Base Camp,"The expedition has claimed a ruined fortress for its base of operations on the North Horn of the Occult Crescent. In addition to an existing occult aetheryte, this convenient stronghold also provides an elevated vantage point from which to survey the surroundings and detect the approach of potential threats. Despite the camp's ideal location, however, the north basin environs are even more inhospitable than the south, and the advance party has been advised to consider immediate withdrawal should they face any dangerously abnormal phenomena.",604,70631,12631726,2,1
32,The Crown of Karnak,"This fortress was built using bricks treated with a special arcane process. The distinctive multi-level architecture and blue-accented masonry is reminiscent of the abandoned ascent on the South Horn, suggesting that these structures are both products of the same civilization. According to the Archive, the building style is particular to the city-state of Karnak, a nation which developed methods for infusing inorganic matter with sorcerous energy. Techniques for enchanting weaponry and animating objects with magically imbued commands are but some of the myriad disciplines they created which are still practiced until this day.",605,70632,12631755,2,1
33,Arbatel,"This arcane tome was one of many scribed in the Fifth Astral Era. Broadly translated to ""On Ancient Magicks,"" its title suggests a treatise on sorcerous arts considered old even in that historic age. The island's architect, however, has since transformed the book into a guardian of knowledge, a zealous sentinel armed with forbidden spells to temporarily alter comprehension levels and repel intruders. Yet even unguarded, the plethora of written works found in its vicinity have nevertheless been rendered unreadable by means of magical encryption.",606,70646,0,4,3
34,Tiny Mage,"Manufactured towards the end of the War of the Magi, this mammet model was intended for deployment in platoon-sized companies, with a chosen leader in charge of multiple subordinates. Each mammet's core was infused with high-density aether in order to facilitate this tactical coordination, endowing each with a semblance of life in the same manner as a golem. The Archive explains that the design of these diminutive dolls was based on a visitor from another world─the proportionally overlarge heads a result of emulating that sage sorcerer and the powerful magicks he wielded.",607,70647,0,4,3
35,Algol,"A hulking, four-armed fiend of misshapen aspect, this construct's features are dominated by a maw of improbably massive size. It is a creation said to embody the concept of ""desire,"" which in this case has manifested primarily in the form of voracious appetite. During the War of the Magi, Skallic practitioners are said to have studied curses which channel mankind's basest urges. If horrors of this kind were indeed brought into being with deliberate intent, then the mind recoils from the methods employed to incite and capture such desperate hunger.",608,70648,0,4,3
36,Shadowdeep,"This placid lake is found in the center of the Occult Crescent's north basin. Wild animals are often spotted drinking of its bountiful waters, but none ever tarry at the shore for long. Skittish and uneasy, they appear wary not only of predators but of the place itself, as if the very air carried a scent of foreboding. Whether frightened by the ghostly flames of the lake's hamlet or sensing some other sinister presence, the cause of this fearful behavior remains uncertain.",609,70633,12631756,2,1
37,Labyrinth of the Damned,"This subterranean maze is carved into the mountains on the eastern side of the basin. Seemingly representative of no single culture, its disparate elements include materials reminiscent of the base camp ruins bathed in the cold light common to Mhachi illumination. Its design suggests a dungeon built to hold prisoners of the isle's master, yet with no population native to the island, those consigned to its depths were likely wayward sailors or rebellious familiars.",610,70634,12631757,2,1
38,Metamorph,"A master of illusory arts, this bipedal familiar is capable of assuming a variety of forms. Creatures with a talent for mimicry exist in every corner of the star, and research into replicating such abilities saw a great surge of interest during the War of the Magi. Coincidentally, ever since venturing to the North Horn, there have been several reports of expedition teams acquiring ""new"" members. Finding someone asleep in their tent when you've just seen them leave camp; hearing an extra response at roll call in the mornings... Best pray that the trusted comrade by your side is truly your trusted comrade.",611,70649,0,4,3
39,Panoptical Pillar,"Rising from the edge of the Skallic ruins, this stone spire affords an uninterrupted view of the Occult Crescent's north basin. Each set of ruins in the region is an example of an extreme environment, and it is conjectured that the basin itself exists as a showcase of cataclysmic conditions. The Archive has shared that similar watchtowers were built in wartime Skalla at key strategic locations, although many now rest at the bottom of Loch Seld.",612,70635,12631758,2,1
40,Sinking Sanctuary,"Built with rust-hued stone and featuring a preponderance of pointed arches, this grandiose structure is a recreation of a Skallic place of worship─albeit half-buried in the earth upon which it stands. Historical records contain observations from the end of the Fifth Astral Era, describing how the balance of ambient aether tilted dangerously towards water. Even in regions spared by the floods, foundations were nonetheless critically weakened by water seeping up from below, and the sanctuary here is likely a deliberate reproduction of the damage wrought by that catastrophic event.",613,70636,12631759,2,1
41,Pallmagia,"The gleaning of monstrous martial abilities has long been studied, and practitioners of this age-old art continue to thrive in various regions, the blue mages of Tural most notable among them. Fifth Astral Era records depict a variant of these magicks employed by a school of Skallic sorcerers, who slew wrathful beasts and harnessed their blood as catalysts for curses─it is from these magi that the Pallmagia's origins can be traced.",614,70650,0,4,3
42,Phantom Necromancer,"Ancient records dated from the War of the Magi tell the tale of a sorcerer who despoiled every settlement he passed with an army of reanimated corpses. Though he was eventually slain by a valiant hero, it is said that the murderous mage absorbed the souls of his undead legion before his defeat, warping himself into a hideous fiend.

While the phantom necromancer shares some similarities with the sorcerer in question, it is unknown as to why the island's architect would recreate him as a familiar. It is reasonable to assume, then, that the architect may have had some relation to the champion in this long-forgotten legend.",615,70651,0,4,3
43,The Marrowood,"This miniature labyrinth of twisting sentinels is dotted with rotting wooden cages, telling a tale all their own of one ancient city-state's history. Unlike the other nations of the Fifth Astral Era, the Archive recalls that this city-state was merely assumed large enough to be one, and its borders were defined by the forest and its highly protective community. Those foolish enough to trespass upon this territory were mercilessly thrown into the cages as a warning to outsiders.",616,70637,12631760,2,1
44,The Abductor,"Ordered to procure the vital aetheric resources required for the Occult Crescent to flourish, this winged horror─as its name implies─abducts any aether-rich materials it can get its talons on, including crystals, superfluous flora and fauna, and sailors from nearby seas. Those taken prisoner by this monstrosity likely perished soon after their capture, consumed for the creation of the isle's myriad familiars.",617,70652,0,4,3
45,Suspended Masonry,"As these ruins share countless architectural similarities with those found in La Noscea, logic dictates that these, too, are Nymian in origin. Scholars commonly posit that the floating isles of outer La Noscea emerged due to natural phenomena in the region, such as a tilt towards wind-aspected aether currents after the Calamity. Upon analysis of the Occult Crescent's structures, however, some now postulate that its airborne tendencies are, in fact, influenced by man-made magicks. A new theory suggests the Nymians conducted thorough research on floating continents, intending for their territory to one day take to the skies and avoid the great flood.",618,70638,12631761,2,1
46,The Windward Watch,"Built to accompany the Wanderer's Haven, these hallowed ruins celebrate Oschon's dominion over mountains. Unlike its flooded counterpart, however, this sanctuary still stands today in the peaks of northern Vylbrand, where devout pilgrims and adventurers will climb to beseech the Wanderer's protection. Although the model on the Occult Crescent was likely erected some time after La Noscea's, the lack of caretakers over time, as well as aetheric instability in the region, have enabled considerably more weathering on this iteration.",619,70639,12631762,2,1
47,Shrine of Spheres,"This enigmatic structure borrows its design from one of the lesser-known city-states of the Fifth Astral Era. According to the Archive, this small nation wielded powerful sealing spells based in time magicks, and skilled practitioners of the art would weave intricate spherical patterns into their arcane geometries. Despite surviving through the War of the Magi, the city-state's leaders chose to seal their society away from the prying eyes of rival nations, vanishing entirely from the annals of history... Still, it stands to reason that its ruins may yet sleep in lands unknown.",620,70640,12631763,2,1
48,Claret Dragon,"It is unclear whether this draconic abomination was venomous in its previous life, or whether it gained this ability after its reanimation as a golem. Regardless, the poison haze it wields is its deadliest weapon, capable of morphing its victims into living corpses. It dominates the battlefield as a harbinger of death, shielding its ghastly body with aetherial wards and laying waste to all in its path. The fact that such a calamitous creature could roam free across the North Horn is a testament to the highly unstable magicks at work there.",621,70653,0,4,3
49,Moldering Streets,"Scholars oft claim that the fungal bloom in the Twelveswood's Amdapori ruins was caused by weakened earth-aspected energies in the wake of the Calamity. Fascinatingly, however, a nearly identical species of fungus proliferates across these silent city streets on the Occult Crescent. These environs suggest that prolonged overconsumption of environmental aether─not unlike the phenomenon seen during the War of the Magi─can eventually force similarly severe anomalies to occur.",622,70641,12631764,2,1
50,The Alabaster Blade,"Amdapor was once famed for its stone guardians, crafted for both the offense and defense of the nation. Historians classify these arcane works of art by their martial capabilities, as well as the era of Amdapori history in which they were created─the strongest and rarest among these soldiers were imbued with the power to defend against entire armies. The Alabaster Blade was one such model, produced in the War of the Magi's final throes. A peerless warrior and master of spellcraft, this artificial champion wields an enchanted weapon forged with magicks from other city-states, effortlessly weaving sorcery and swordplay in its relentless assaults.",623,70654,0,4,3
51,The Moldering Lake,"On all sides, the water is surrounded by fungal blooms reminiscent of cotton bolls. Be not captivated, however, for here the air is thick with toxic spores, and those who value their lungs ought not stay overlong.

Submerged in the lake is a cathedral with a towering spire─likely built in honor of Nophica, the goddess formerly revered in Amdapor. What cruel irony, then, that those who worshipped the mother of life would instead pursue tools of death...and be thus punished for it.",624,70642,12631765,2,1
52,Unhallowed Hamlet,"Ghastly purple flames illuminate what would otherwise appear to be an ordinary fishing village, were it not for the telltale presence of militant voidsent. According to the Archive, it is in fact the birthplace of Mhach, recreated most faithfully.

It all began on the shores of Yafaem─the day an artifact was hauled out of the sea. From it emerged a ""demon"" which bestowed unto the villagers vast arcane knowledge. Brilliant minds pursued greater and greater advancements, particularly of the destructive variety, whereby the sorceress Shatotto established the founding principles of black magic. Thereafter, what was once a humble village grew rapidly into an emergent nation.",625,70643,12631766,2,1
53,Conjured Calofisteri,"At the height of the Fifth Astral Era, ancient Mhach was home to the archmagus Calofisteri. It is said that she gained inhuman power through an infusion of voidsent blood─a technique developed by her grandfather─and appointed herself guardian of the Nullstone, a powerful relic that kept the fiends from breaking their pacts. This conjured version, however, is naught but a mindless clone believed to have been weaponized during the War of the Magi. Its presence on the Occult Crescent can only be the architect's doing.",626,70655,0,4,3
54,Dark Territory,"Far beneath the unhallowed hamlet lies a space steeped in Darkness. Claimed as a domain by vicious voidsent, the area suffers from the corrupting influence of another realm, its structures and even the very ground eroded into an unknown substance.

It should be noted that, for voidsent, the term ""domain"" holds two meanings: either a tract of existing land treated as territory, or─in the case of more powerful entities─a dimension entirely of their own making. The latter is believed to share fundamental characteristics with magical barriers, yet despite years of extensive research, their inner workings remain a mystery.",627,70644,12631767,2,1
55,Two-headed Aevis,"Given its powers of flight, this gargantuan serpent may seem a close relative of winged scalekin like the sanuwa. That its two heads have separate elemental affinities, however, would suggest it is in fact an arcane fusion of different creatures. One need not look so far as the ancient Allagans, known creators of chimeras like the minotaur, to find those with the ambition to produce ever more powerful life-forms. Thus it stands that the two-headed aevis was likely wrought by mages of the Fifth Astral Era in their quest for weapons of war.",628,70656,0,4,3
56,Sword Dancer,"This ancient guardian dwells on the North Horn of the Occult Crescent, its blades magically manipulated with the practiced elegance of a performer. And indeed, there are no few commonalities between dance and the martial arts. Flawless bodily movement is both foundation and finale, and with each new generation of practitioners, even the most basic techniques have spawned countless branching schools of thought. Given that this sword dancer's style bears some resemblance to the Kriegstanz of the Near East, it may be that the two are descended from the same ancestor.",629,70657,0,4,3
57,Necrophobia,"The nature of immortality has been studied throughout history, dating as far back as the Allagan Empire, and the Fifth Astral Era was no exception. Surviving records detail myriad experimental approaches based not just in healing magicks, but even the forbidden art of necromancy. 

It would seem this entity was one of countless mages driven by the fear of death to seek eternal life. Yet in exchange for physical resilience, the soul was lost, producing little more than a mindless automaton bent on destroying all living beings.",630,70658,0,4,3
58,The Index,"This self-proclaimed ""knower of all things"" was once ruler of Shades' Triangle. Devoted to preserving the fallen civilizations of the Fifth Astral Era, and with an army of familiars at his command, the archmagus spent ages untold overseeing the Occult Crescent from within its central facility: the Tower of Magic. When intruders breached his chamber, he fought them valiantly, wielding peerless command over the elements and other legendary weapons long sealed, but ultimately met with defeat.",631,70659,0,4,3
59,The Archive,"Born late into the War of the Magi and blessed with incredible natural talent, it is said he mastered every skill under the sun and even possessed the ability to see into the past. In his youth, he traveled the realm in pursuit of an end to the war, absorbing a great deal of knowledge along the way. Yet for each moment of beauty that caught his eye, he saw a dozen atrocities. In the end, he grew disillusioned with mankind and chose instead to preserve their sole contribution of value: civilization. So goes the tale as told by his close companion Iris─for the man himself can no longer remember it.",632,70660,0,3,2
60,Concealed Collection,"Being the Archive's personal repository, one would expect to find it teeming with technological marvels. Yet the majority of its contents─simple arcane catalysts, rune-covered relics, spellbound specimens─are the rudimentary materials of a fledgling mage. Was his intention merely to document the genesis of magic in the Fifth Astral Era? Or was it to caution against the path which led mankind to a ruinous war?",633,70645,12631768,2,1
