#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
50,Crimson Dawn,196062,0,701,0,0,0,1036,1,0,0,0,9
51,Golden Dawn,196063,0,702,0,0,0,1037,1,0,0,0,9
52,Dark Solution,196064,0,699,0,0,0,1038,1,0,0,0,9
53,Bright Solution,196065,0,700,0,0,0,1039,2,0,0,0,9
54,Turali Travel Agency,196218,196468,767,0,0,0,2317,1,0,0,0,3
55,Heavens' Orthodoxy,196054,0,768,0,0,0,1020,1,0,0,0,9
56,Heavens' Heresy,196072,0,769,0,0,0,1021,1,0,0,0,9
57,Idyll Wisdom,196055,0,770,0,0,0,1022,2,0,0,0,9
58,Idyll Industry,196073,0,771,0,0,0,1023,1,0,0,0,9
59,Kugane Commerce,196056,0,772,0,0,0,1024,1,0,0,0,9
60,Kugane Leisure,196068,0,773,0,0,0,1025,2,0,0,0,9
61,Western Reach,196057,0,774,0,0,0,1026,1,0,0,0,9
62,Eastern Reach,196069,0,775,0,0,0,1027,1,0,0,0,9
63,Exarchic Dome,196058,0,776,0,0,0,1028,1,0,0,0,9
64,Exarchic Tower,196070,0,777,0,0,0,1029,1,0,0,0,9
65,Eulmoran Comfort,196059,0,778,0,0,0,1030,1,0,0,0,9
66,Eulmoran Glory,196071,0,779,0,0,0,1031,1,0,0,0,9
67,Sharlayan Stoa,196060,0,780,0,0,0,1032,1,0,0,0,9
68,Sharlayan Agora,196066,0,781,0,0,0,1033,2,0,0,0,9
69,Hannish Radiance,196061,0,782,0,0,0,1034,1,0,0,0,9
70,Hannish Wonders,196067,0,783,0,0,0,1035,1,0,0,0,9
71,Futures Rewritten,196118,0,872,0,0,0,2505,1,0,0,0,4
72,Gok Golma,196219,196469,873,0,0,0,2318,1,0,0,0,3
73,Occult Crescent,196119,0,879,0,0,0,2403,1,0,0,0,4
74,Cosmic Exploration,196120,0,878,0,0,0,2343,1,0,0,0,8
75,Monster Hunter Wilds 1,196121,0,943,0,0,0,3955,1,0,0,0,7
76,Monster Hunter Wilds 2,196122,0,944,0,0,0,3956,1,0,0,0,7
77,Hands of Zirgorteh,196220,196470,938,0,0,0,2319,1,0,0,0,3
78,Cosmic Constructs,196123,0,940,0,0,0,2344,1,0,0,0,8
79,Island Days,196124,196352,939,0,0,0,2342,1,0,0,0,8
80,Cosmic Fantasy,196125,0,1020,0,0,0,2345,1,0,0,0,8
81,Simple Pink,196017,0,1044,0,0,0,24,2,0,0,0,7
82,Simple Violet,196018,0,1045,0,0,0,25,2,0,0,0,7
83,Simple Pale Blue,196019,0,1046,0,0,0,26,2,0,0,0,7
84,Simple Peach,196020,0,1047,0,0,0,27,2,0,0,0,7
85,Simple Lime,196021,0,1048,0,0,0,28,2,0,0,0,7
86,Simple Pale Teal,196022,0,1049,0,0,0,29,2,0,0,0,7
87,Simple Pale Yellow,196023,0,1050,0,0,0,30,2,0,0,0,7
88,Simple Yellow,196024,0,1051,0,0,0,31,2,0,0,0,7
89,,0,0,0,0,0,0,0,0,0,0,0,0
90,,0,0,0,0,0,0,0,0,0,0,0,0
