#,CompanyCraftProcess[0],CompanyCraftProcess[1],CompanyCraftProcess[2],Unknown0,Unknown1,CompanyCraftType
510,0,0,0,0,0,0
600,650,651,652,0,1,6
601,653,654,655,0,4,6
602,656,657,658,0,2,6
603,659,660,661,0,5,6
604,662,663,664,0,3,6
605,665,666,667,0,6,6
606,668,669,670,0,7,6
607,0,0,0,0,0,0
608,0,0,0,0,0,0
609,0,0,0,0,0,0
610,0,0,0,0,0,0
700,1000,1001,1002,0,1,8
701,1003,1004,1005,0,1,8
702,1006,1007,1008,0,1,8
703,1009,1010,1011,0,1,8
704,1012,1013,1014,0,1,8
705,1015,1016,1017,0,1,8
706,1018,1019,1020,0,1,8
707,1021,1022,1023,0,1,8
708,1024,1025,1026,0,1,8
709,1027,1028,1029,0,1,8
710,1030,1031,1032,0,1,8
711,1033,1034,1035,0,1,8
712,1036,1037,1038,0,5,8
713,1039,1040,1041,0,5,8
714,1042,1043,1044,0,5,8
715,1400,1401,1402,0,6,8
716,1403,1404,1405,0,6,8
717,1406,1407,1408,0,6,8
718,1418,1419,1420,0,7,8
719,1421,1422,1423,0,7,8
720,1424,1425,1426,0,7,8
721,1436,1437,1438,0,8,8
722,1439,1440,1441,0,8,8
723,1442,1443,1444,0,8,8
724,1454,1455,1456,0,9,8
725,1457,1458,1459,0,9,8
726,1460,1461,1462,0,9,8
727,1472,1473,1474,0,10,8
728,1475,1476,1477,0,10,8
729,1478,1479,1480,0,10,8
730,1490,1491,1492,0,11,8
731,1493,1494,1495,0,11,8
732,1496,1497,1498,0,11,8
733,1512,1513,1514,0,12,8
734,1515,1516,1517,0,12,8
735,1518,1519,1520,0,12,8
736,1534,1535,1536,0,13,8
737,1537,1538,1539,0,13,8
738,1540,1541,1542,0,13,8
739,1556,1557,1558,0,14,8
740,1559,1560,1561,0,14,8
741,1562,1563,1564,0,14,8
742,1578,1579,1580,0,15,8
743,1581,1582,1583,0,15,8
744,1584,1585,1586,0,15,8
745,1600,1601,1602,0,16,8
746,1603,1604,1605,0,16,8
747,1606,1607,1608,0,16,8
748,1622,1623,1624,0,17,8
749,1625,1626,1627,0,17,8
750,1628,1629,1630,0,17,8
751,1644,1645,1646,0,18,8
752,1647,1648,1649,0,18,8
753,1650,1651,1652,0,18,8
754,1666,1667,1668,0,19,8
755,1669,1670,1671,0,19,8
756,1672,1673,1674,0,19,8
757,0,0,0,0,0,0
758,0,0,0,0,0,0
759,0,0,0,0,0,0
760,0,0,0,0,0,0
761,0,0,0,0,0,0
762,0,0,0,0,0,0
763,0,0,0,0,0,0
764,0,0,0,0,0,0
765,0,0,0,0,0,0
766,0,0,0,0,0,0
767,0,0,0,0,0,0
768,0,0,0,0,0,0
769,0,0,0,0,0,0
770,0,0,0,0,0,0
771,0,0,0,0,0,0
772,0,0,0,0,0,0
773,0,0,0,0,0,0
774,0,0,0,0,0,0
775,0,0,0,0,0,0
776,0,0,0,0,0,0
777,0,0,0,0,0,0
778,0,0,0,0,0,0
779,0,0,0,0,0,0
780,0,0,0,0,0,0
781,0,0,0,0,0,0
782,0,0,0,0,0,0
783,0,0,0,0,0,0
784,0,0,0,0,0,0
785,0,0,0,0,0,0
786,0,0,0,0,0,0
787,0,0,0,0,0,0
788,0,0,0,0,0,0
789,0,0,0,0,0,0
790,0,0,0,0,0,0
791,0,0,0,0,0,0
792,0,0,0,0,0,0
793,0,0,0,0,0,0
794,0,0,0,0,0,0
795,0,0,0,0,0,0
796,0,0,0,0,0,0
797,0,0,0,0,0,0
798,0,0,0,0,0,0
799,0,0,0,0,0,0
800,1050,1051,1052,0,1,9
801,1053,1054,1055,0,1,9
802,1056,1057,1058,0,1,9
803,1059,1060,1061,0,2,9
804,1062,1063,1064,0,2,9
805,1065,1066,1067,0,2,9
806,1068,1069,1070,0,3,9
807,1071,1072,1073,0,3,9
808,1074,1075,1076,0,3,9
809,1077,1078,1079,0,4,9
810,1080,1081,1082,0,4,9
811,1083,1084,1085,0,4,9
812,1086,1087,1088,0,5,9
813,1089,1090,1091,0,5,9
814,1092,1093,1094,0,5,9
815,1409,1410,1411,0,6,9
816,1412,1413,1414,0,6,9
817,1415,1416,1417,0,6,9
818,1427,1428,1429,0,7,9
819,1430,1431,1432,0,7,9
820,1433,1434,1435,0,7,9
821,1445,1446,1447,0,8,9
822,1448,1449,1450,0,8,9
823,1451,1452,1453,0,8,9
824,1463,1464,1465,0,9,9
825,1466,1467,1468,0,9,9
826,1469,1470,1471,0,9,9
827,1481,1482,1483,0,10,9
828,1484,1485,1486,0,10,9
829,1487,1488,1489,0,10,9
830,1499,1500,1501,0,11,9
831,1502,1503,1504,0,11,9
832,1505,1506,1507,0,11,9
833,1521,1522,1523,0,12,9
834,1524,1525,1526,0,12,9
835,1527,1528,1529,0,12,9
836,1543,1544,1545,0,13,9
837,1546,1547,1548,0,13,9
838,1549,1550,1551,0,13,9
839,1565,1566,1567,0,14,9
840,1568,1569,1570,0,14,9
841,1571,1572,1573,0,14,9
842,1587,1588,1589,0,15,9
843,1590,1591,1592,0,15,9
844,1593,1594,1595,0,15,9
845,1609,1610,1611,0,16,9
846,1612,1613,1614,0,16,9
847,1615,1616,1617,0,16,9
848,1631,1632,1633,0,17,9
849,1634,1635,1636,0,17,9
850,1637,1638,1639,0,17,9
851,1653,1654,1655,0,18,9
852,1656,1657,1658,0,18,9
853,1659,1660,1661,0,18,9
854,1675,1676,1677,0,19,9
855,1678,1679,1680,0,19,9
856,1681,1682,1683,0,19,9
857,0,0,0,0,0,0
858,0,0,0,0,0,0
859,0,0,0,0,0,0
860,0,0,0,0,0,0
861,0,0,0,0,0,0
862,0,0,0,0,0,0
863,0,0,0,0,0,0
864,0,0,0,0,0,0
865,0,0,0,0,0,0
866,0,0,0,0,0,0
867,0,0,0,0,0,0
868,0,0,0,0,0,0
869,0,0,0,0,0,0
870,0,0,0,0,0,0
871,0,0,0,0,0,0
872,0,0,0,0,0,0
873,0,0,0,0,0,0
874,0,0,0,0,0,0
875,0,0,0,0,0,0
876,0,0,0,0,0,0
877,0,0,0,0,0,0
878,0,0,0,0,0,0
879,0,0,0,0,0,0
880,0,0,0,0,0,0
881,0,0,0,0,0,0
882,0,0,0,0,0,0
883,0,0,0,0,0,0
884,0,0,0,0,0,0
885,0,0,0,0,0,0
886,0,0,0,0,0,0
887,0,0,0,0,0,0
888,0,0,0,0,0,0
889,0,0,0,0,0,0
890,0,0,0,0,0,0
891,0,0,0,0,0,0
892,0,0,0,0,0,0
893,0,0,0,0,0,0
894,0,0,0,0,0,0
895,0,0,0,0,0,0
896,0,0,0,0,0,0
897,0,0,0,0,0,0
898,0,0,0,0,0,0
899,0,0,0,0,0,0
900,1100,0,0,0,1,10
901,1101,0,0,0,2,10
902,1102,0,0,0,3,10
903,1103,0,0,0,4,10
904,1104,0,0,0,5,10
905,1105,0,0,0,6,10
906,1106,0,0,0,7,10
907,1107,0,0,0,8,10
908,1108,0,0,0,9,10
909,1109,0,0,0,10,10
910,1508,0,0,0,11,10
911,1530,0,0,0,12,10
912,1552,0,0,0,13,10
913,1574,0,0,0,14,10
914,1596,0,0,0,15,10
915,1618,0,0,0,16,10
916,1640,0,0,0,17,10
917,1662,0,0,0,18,10
918,1684,0,0,0,19,10
919,0,0,0,0,0,0
1000,1150,0,0,0,1,11
1001,1151,0,0,0,2,11
1002,1152,0,0,0,3,11
1003,1153,0,0,0,4,11
1004,1154,0,0,0,5,11
1005,1155,0,0,0,6,11
1006,1156,0,0,0,7,11
1007,1157,0,0,0,8,11
1008,1158,0,0,0,9,11
1009,1159,0,0,0,10,11
1010,1509,0,0,0,11,11
1011,1531,0,0,0,12,11
1012,1553,0,0,0,13,11
1013,1575,0,0,0,0,11
1014,1597,0,0,0,0,11
1015,1619,0,0,0,0,11
1016,1641,0,0,0,0,11
1017,1663,0,0,0,0,11
1018,1685,0,0,0,0,11
1019,0,0,0,0,0,0
1100,1203,0,0,0,1,12
1101,1202,0,0,0,2,12
1102,1201,0,0,0,3,12
1103,1200,0,0,0,4,12
1104,1204,0,0,0,5,12
1105,1205,0,0,0,6,12
1106,1206,0,0,0,7,12
1107,1207,0,0,0,8,12
1108,1208,0,0,0,9,12
1109,1209,0,0,0,10,12
1110,1510,0,0,0,11,12
1111,1532,0,0,0,12,12
1112,1554,0,0,0,13,12
1113,1576,0,0,0,14,12
1114,1598,0,0,0,15,12
1115,1620,0,0,0,16,12
1116,1642,0,0,0,17,12
1117,1664,0,0,0,18,12
1118,1686,0,0,0,19,12
1119,0,0,0,0,0,0
1200,1253,0,0,0,1,13
1201,1252,0,0,0,2,13
1202,1250,0,0,0,3,13
1203,1251,0,0,0,4,13
1204,1254,0,0,0,5,13
1205,1255,0,0,0,6,13
1206,1256,0,0,0,7,13
1207,1257,0,0,0,8,13
1208,1258,0,0,0,9,13
1209,1259,0,0,0,10,13
1210,1511,0,0,0,11,13
1211,1533,0,0,0,12,13
1212,1555,0,0,0,13,13
1213,1577,0,0,0,14,13
1214,1599,0,0,0,15,13
1215,1621,0,0,0,16,13
1216,1643,0,0,0,17,13
1217,1665,0,0,0,18,13
1218,1687,0,0,0,19,13
1219,0,0,0,0,0,0
1300,1303,0,0,0,1,14
1301,1302,0,0,0,2,14
1302,1300,0,0,0,3,14
1303,1301,0,0,0,4,14
1304,1304,0,0,0,5,14
1305,1305,0,0,0,6,14
1306,0,0,0,0,0,0
1307,0,0,0,0,0,0
1308,0,0,0,0,0,0
1309,0,0,0,0,0,0
1310,0,0,0,0,0,0
1400,1350,0,0,0,1,15
1401,1351,0,0,0,2,15
1402,1352,0,0,0,3,15
1403,1353,0,0,0,4,15
1404,1354,0,0,0,5,15
1405,1355,0,0,0,6,15
1406,0,0,0,0,0,0
1407,0,0,0,0,0,0
1408,0,0,0,0,0,0
1409,0,0,0,0,0,0
1410,0,0,0,0,0,0
1500,700,701,702,0,3,16
1501,703,704,705,0,2,16
1502,706,707,708,0,1,16
1503,709,710,711,0,4,16
1504,712,713,714,0,5,16
1505,715,716,717,0,8,16
1506,718,719,720,0,7,16
1507,721,722,723,0,6,16
1508,724,725,726,0,9,16
1509,727,728,729,0,10,16
1510,0,0,0,0,0,0
1600,750,751,752,0,3,17
1601,753,754,755,0,2,17
1602,756,757,758,0,1,17
1603,759,760,761,0,4,17
1604,762,763,764,0,5,17
1605,765,766,767,0,8,17
1606,768,769,770,0,7,17
1607,771,772,773,0,6,17
1608,774,775,776,0,9,17
1609,777,778,779,0,10,17
1610,0,0,0,0,0,0
1700,800,801,802,0,3,18
1701,803,804,805,0,2,18
1702,806,807,808,0,1,18
1703,809,810,811,0,4,18
1704,812,813,814,0,5,18
1705,815,816,817,0,8,18
1706,818,819,820,0,7,18
1707,821,822,823,0,6,18
1708,824,825,826,0,9,18
1709,827,828,829,0,10,18
1710,0,0,0,0,0,0
1800,850,851,852,0,3,19
1801,853,854,855,0,2,19
1802,856,857,858,0,1,19
1803,859,860,861,0,4,19
1804,862,863,864,0,5,19
1805,865,866,867,0,8,19
1806,868,869,870,0,7,19
1807,871,872,873,0,6,19
1808,874,875,876,0,9,19
1809,877,878,879,0,10,19
1810,0,0,0,0,0,0
