#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Component,Subtype,Unknown1,Category
53,Conjurer,194203,158,0,0,0,2002,2,0,0,2
54,Pugilist,194204,159,0,0,0,2003,2,0,0,2
55,Lancer,194205,160,0,0,0,2004,2,0,0,2
56,Rogue,194206,161,0,0,0,2005,2,0,0,2
57,Archer,194207,162,0,0,0,2006,2,0,0,2
58,Thaumaturge,194208,163,0,0,0,2007,2,0,0,2
59,Arcanist,194209,164,0,0,0,2008,2,0,0,2
60,Paladin,194210,300,0,0,0,2050,2,0,0,2
61,Warrior,194211,301,0,0,0,2051,2,0,0,2
62,Dark Knight,194212,302,0,0,0,2052,2,0,0,2
63,Gunbreaker,194213,303,0,0,0,2053,2,0,0,2
64,White Mage,194214,304,0,0,0,2054,2,0,0,2
65,Scholar,194215,305,0,0,0,2055,2,0,0,2
66,Astrologian,194216,306,0,0,0,2056,2,0,0,2
67,Sage,194217,307,0,0,0,2057,2,0,0,2
68,Monk,194218,308,0,0,0,2058,2,0,0,2
69,Dragoon,194219,309,0,0,0,2059,2,0,0,2
70,Ninja,194220,310,0,0,0,2060,2,0,0,2
71,Samurai,194221,311,0,0,0,2061,2,0,0,2
72,Reaper,194222,312,0,0,0,2062,2,0,0,2
73,Bard,194223,313,0,0,0,2064,2,0,0,2
74,Machinist,194224,314,0,0,0,2065,2,0,0,2
75,Dancer,194225,315,0,0,0,2066,2,0,0,2
76,Black Mage,194226,316,0,0,0,2067,2,0,0,2
77,Summoner,194227,317,0,0,0,2068,2,0,0,2
78,Red Mage,194228,318,0,0,0,2069,2,0,0,2
79,Blue Mage,194229,232,0,0,0,2071,2,0,0,2
80,Carpenter,194230,268,0,0,0,2100,2,0,0,2
81,Blacksmith,194231,269,0,0,0,2101,2,0,0,2
82,Armorer,194232,270,0,0,0,2102,2,0,0,2
83,Goldsmith,194233,271,0,0,0,2103,2,0,0,2
84,Leatherworker,194234,272,0,0,0,2104,2,0,0,2
85,Weaver,194235,273,0,0,0,2105,2,0,0,2
86,Alchemist,194236,274,0,0,0,2106,2,0,0,2
87,Culinarian,194237,275,0,0,0,2107,2,0,0,2
88,Miner,194238,285,0,0,0,2108,2,0,0,2
89,Botanist,194239,286,0,0,0,2109,2,0,0,2
90,Fisher,194240,287,0,0,0,2110,2,0,0,2
91,,0,0,0,0,0,0,0,0,0,0
92,,0,0,0,0,0,0,0,0,0,0
93,,0,0,0,0,0,0,0,0,0,0
94,,0,0,0,0,0,0,0,0,0,0
95,,0,0,0,0,0,0,0,0,0,0
96,,0,0,0,0,0,0,0,0,0,0
97,,0,0,0,0,0,0,0,0,0,0
98,,0,0,0,0,0,0,0,0,0,0
99,,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0
101,,0,0,0,0,0,0,0,0,0,0
102,,0,0,0,0,0,0,0,0,0,0
103,,0,0,0,0,0,0,0,0,0,0
104,,0,0,0,0,0,0,0,0,0,0
105,,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0,0
108,,0,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0,0
110,,0,0,0,0,0,0,0,0,0,0
111,,0,0,0,0,0,0,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0
113,,0,0,0,0,0,0,0,0,0,0
114,,0,0,0,0,0,0,0,0,0,0
115,,0,0,0,0,0,0,0,0,0,0
116,,0,0,0,0,0,0,0,0,0,0
117,,0,0,0,0,0,0,0,0,0,0
118,,0,0,0,0,0,0,0,0,0,0
119,,0,0,0,0,0,0,0,0,0,0
120,,0,0,0,0,0,0,0,0,0,0
121,,0,0,0,0,0,0,0,0,0,0
122,,0,0,0,0,0,0,0,0,0,0
123,,0,0,0,0,0,0,0,0,0,0
124,,0,0,0,0,0,0,0,0,0,0
125,,0,0,0,0,0,0,0,0,0,0
126,,0,0,0,0,0,0,0,0,0,0
127,,0,0,0,0,0,0,0,0,0,0
128,,0,0,0,0,0,0,0,0,0,0
129,,0,0,0,0,0,0,0,0,0,0
130,,0,0,0,0,0,0,0,0,0,0
131,,0,0,0,0,0,0,0,0,0,0
132,,0,0,0,0,0,0,0,0,0,0
133,,0,0,0,0,0,0,0,0,0,0
134,,0,0,0,0,0,0,0,0,0,0
135,,0,0,0,0,0,0,0,0,0,0
136,,0,0,0,0,0,0,0,0,0,0
137,,0,0,0,0,0,0,0,0,0,0
138,,0,0,0,0,0,0,0,0,0,0
139,,0,0,0,0,0,0,0,0,0,0
140,,0,0,0,0,0,0,0,0,0,0
141,,0,0,0,0,0,0,0,0,0,0
142,,0,0,0,0,0,0,0,0,0,0
143,,0,0,0,0,0,0,0,0,0,0
144,,0,0,0,0,0,0,0,0,0,0
145,,0,0,0,0,0,0,0,0,0,0
146,,0,0,0,0,0,0,0,0,0,0
147,,0,0,0,0,0,0,0,0,0,0
148,,0,0,0,0,0,0,0,0,0,0
149,,0,0,0,0,0,0,0,0,0,0
150,,0,0,0,0,0,0,0,0,0,0
151,,0,0,0,0,0,0,0,0,0,0
152,Companion 1,197901,154,1032,1034,1036,4000,3,0,0,7
153,Companion 2,197902,155,1033,1035,1037,4001,3,0,0,7
154,Companion 1,198901,154,1032,1034,1036,4000,4,0,0,7
155,Companion 2,198902,155,1033,1035,1037,4001,4,0,0,7
156,Companion 1,199901,154,1032,1034,1036,4000,5,0,0,7
157,Companion 2,199902,155,1033,1035,1037,4001,5,0,0,7
158,Companion Sticker 1,195901,154,1032,1034,1036,4000,1,0,0,7
159,Companion Sticker 2,195902,155,1033,1035,1037,4001,1,0,0,7
160,Unending Coil of Bahamut,195701,319,0,0,0,2500,1,0,0,4
161,Unending Coil of Bahamut,197701,319,0,0,0,2500,3,0,0,4
162,Unending Coil of Bahamut,198701,319,0,0,0,2500,4,0,0,4
163,Unending Coil of Bahamut,199701,319,0,0,0,2500,5,0,0,4
164,Weapon's Refrain,195702,320,0,0,0,2501,1,0,0,4
165,Weapon's Refrain,197702,320,0,0,0,2501,3,0,0,4
166,Weapon's Refrain,198702,320,0,0,0,2501,4,0,0,4
167,Weapon's Refrain,199702,320,0,0,0,2501,5,0,0,4
168,Epic of Alexander,195703,321,0,0,0,2502,1,0,0,4
169,Epic of Alexander,197703,321,0,0,0,2502,3,0,0,4
170,Epic of Alexander,198703,321,0,0,0,2502,4,0,0,4
171,Epic of Alexander,199703,321,0,0,0,2502,5,0,0,4
172,Dragonsong's Reprise,195704,322,0,0,0,2503,1,0,0,4
173,Dragonsong's Reprise,197704,322,0,0,0,2503,3,0,0,4
174,Dragonsong's Reprise,198704,322,0,0,0,2503,4,0,0,4
175,Dragonsong's Reprise,199704,322,0,0,0,2503,5,0,0,4
176,Sil'dihn Subterrane (Variant),194701,343,0,0,0,2402,2,0,0,4
177,Sil'dihn Subterrane (Variant),197705,343,0,0,0,2402,3,0,0,4
178,,0,0,0,0,0,0,0,0,0,0
179,Last Dregs,199966,344,0,0,0,2315,5,0,0,3
180,Café,194012,1,0,0,0,11,2,0,0,1
181,Quadrilled,194013,1,0,0,0,12,2,0,0,1
182,Sparkles,194014,1,0,0,0,13,2,0,0,1
183,Vertical Stripes,194015,1,0,0,0,14,2,0,0,1
184,Horizontal Stripes,194016,1,0,0,0,15,2,0,0,1
185,Hearts,194017,1,0,0,0,16,2,0,0,1
186,Chevron Stripes,194018,1,0,0,0,17,2,0,0,1
187,Symmetrical,194019,1,0,0,0,18,2,0,0,1
188,Gingham Check,194020,1,0,0,0,19,2,0,0,1
189,Crystal,194021,1,0,0,0,20,2,0,0,1
190,Far Eastern,195012,1,0,0,0,11,1,0,0,1
191,Zigzag,198012,1,0,0,0,11,4,0,0,1
192,Warm Tape,198013,1,0,0,0,12,4,0,0,1
193,Cool Tape,198014,1,0,0,0,13,4,0,0,1
194,Café,199012,1,0,0,0,11,5,0,0,1
195,Guitar Picks,199013,347,0,0,0,13,5,0,0,7
196,Violin,199014,347,0,0,0,12,5,0,0,7
197,Mammet #001,234401,348,0,0,0,5600,5,1,0,6
198,Wayward Hatchling,234402,349,0,0,0,5000,5,1,0,6
199,Cherry Bomb,234403,350,0,0,0,5050,5,1,0,6
200,Baby Behemoth,234405,351,608,0,793,5051,5,1,0,6
201,Morbol Seedling,234412,352,0,0,0,5052,5,1,0,6
202,Dust Bunny,234424,353,0,0,0,5063,5,1,0,6
203,Cactuar Cutting,234429,354,0,0,0,5064,5,1,0,6
204,Smallshell,234430,355,0,0,0,5065,5,1,0,6
205,Goobbue Sproutling,234436,356,0,0,0,5077,5,1,0,6
206,Demon Brick,234439,357,0,0,0,5079,5,1,0,6
207,Wind-up Cursor,234444,358,609,0,0,5656,5,1,0,6
208,Wind-up Qiqirn,234446,359,0,0,0,5350,5,1,0,6
209,Wolf Pup,234450,360,0,0,0,5066,5,1,0,6
210,Coeurl Kitten,234452,361,0,0,0,5057,5,1,0,6
211,Wind-up Tonberry,234453,362,0,0,0,5060,5,1,0,6
212,Magic Broom,234471,363,0,0,0,5659,5,1,0,6
213,Wind-up Moogle,234472,364,610,0,795,5002,5,1,0,6
214,Nutkin,234487,365,0,0,0,5201,5,1,0,6
215,Fat Cat,234507,366,0,0,0,5202,5,1,0,6
216,Water Imp,234511,367,0,0,0,5750,5,1,0,6
217,Accompaniment Node,234542,368,0,0,0,5650,5,1,0,6
218,Paissa Brat,234558,369,0,0,0,5092,5,1,0,6
219,Korpokkur Kid,234566,370,0,0,0,5094,5,1,0,6
220,Odder Otter,234641,371,0,0,0,5251,5,1,0,6
221,Wind-up Namazu,234653,372,0,0,0,5351,5,1,0,6
222,Wind-up Khloe,234660,373,0,0,0,5542,5,1,0,6
223,Mameshiba,234667,374,0,0,0,5210,5,1,0,6
224,Great Serpent of Ronka,234737,375,0,0,0,5217,5,1,0,6
225,Giant Beaver,234742,376,0,0,0,5353,5,1,0,6
226,Major-General,234775,377,0,0,0,5258,5,1,0,6
227,Cait Sith Doll,234404,378,611,0,796,5602,5,1,0,6
228,Bluebird,234416,379,0,0,0,5300,5,1,0,6
229,Fledgling Dodo,234432,380,0,0,0,5067,5,1,0,6
230,Fledgling Apkallu,234435,381,0,0,0,5076,5,1,0,6
231,Tender Lamb,234441,382,0,0,0,5080,5,1,0,6
232,Kidragora,234442,383,0,0,0,5068,5,1,0,6
233,Tight-beaked Parrot,234462,384,0,0,0,5083,5,1,0,6
234,Wind-up Succubus,234475,385,0,0,0,5085,5,1,0,6
235,Wind-up Gilgamesh,234476,386,612,624,0,5570,5,1,0,6
236,Onion Prince,234477,387,0,0,0,5069,5,1,0,6
237,Eggplant Knight,234478,388,0,0,0,5070,5,1,0,6
238,Garlic Jester,234479,389,0,0,0,5071,5,1,0,6
239,Tomato King,234480,390,0,0,0,5072,5,1,0,6
240,Mandragora Queen,234481,391,0,0,0,5073,5,1,0,6
241,Wind-up Ultros,234504,392,0,0,0,5572,5,1,0,6
242,Enkidu,234521,393,0,0,0,5571,5,1,0,6
243,Atrophied Atomos,234529,394,0,0,0,5089,5,1,0,6
244,Gaelikitten,234532,395,0,0,0,5090,5,1,0,6
245,Lesser Panda,234534,396,0,0,0,5204,5,1,0,6
246,Penguin Prince,234564,397,0,0,0,5304,5,1,0,6
247,Piggy,234600,398,0,0,0,5751,5,1,0,6
248,Shaggy Shoat,234616,399,0,0,0,5101,5,1,0,6
249,Road Sparrow,234647,400,0,0,0,5305,5,1,0,6
250,Wind-up Chimera,234655,401,0,0,0,5605,5,1,0,6
251,Yukinko Snowflake,234719,402,0,0,0,5104,5,1,0,6
252,Fox Kit,234642,403,0,0,0,5207,5,1,0,6
253,Shoebill,234749,404,0,0,0,5306,5,1,0,6
254,Bacon Bits,234753,405,0,0,0,5106,5,1,0,6
255,Sand Fox,234787,406,0,0,0,5221,5,1,0,6
256,Much-coveted Mora,234796,407,0,0,0,5260,5,1,0,6
257,Dreamspinners,199962,429,0,0,0,2311,5,0,0,3
258,Stewards,199963,430,0,0,0,2312,5,0,0,3
259,Watts's Anvil,199964,431,0,0,0,2313,5,0,0,3
260,Hippo Riders,199965,432,0,0,0,2314,5,0,0,3
261,Dreaming Ways,199967,433,0,0,0,2316,5,0,0,3
262,Omega Protocol,195705,434,0,0,0,2504,1,0,0,4
263,Omega Protocol,197706,434,0,0,0,2504,3,0,0,4
264,Omega Protocol,198705,434,0,0,0,2504,4,0,0,4
265,Omega Protocol,199705,434,0,0,0,2504,5,0,0,4
266,Heavy Hatchling,234506,435,0,0,0,5001,5,1,0,6
267,Slime Puddle,234451,436,0,0,0,5081,5,1,0,6
268,Baby Opo-opo,234470,437,0,0,0,5084,5,1,0,6
269,Littlefoot,234508,438,0,0,0,5087,5,1,0,6
270,Shalloweye,234563,439,0,0,0,5093,5,1,0,6
271,Morpho,234579,440,0,0,0,5095,5,1,0,6
272,Poro Roggo,234580,441,0,0,0,5096,5,1,0,6
273,Drippy,234805,442,0,0,0,5108,5,1,0,6
274,Bom Boko,234646,443,0,0,0,5209,5,1,0,6
275,Hedgehoglet,234730,444,0,0,0,5215,5,1,0,6
276,Pterosquirrel,234862,445,0,0,0,5229,5,1,0,6
277,Ghido,234658,446,0,0,0,5252,5,1,0,6
278,Salt & Pepper Seal,234672,447,0,0,0,5253,5,1,0,6
279,Axolotl Eft,234673,448,0,0,0,5254,5,1,0,6
280,Bitty Duckbill,234740,449,0,0,0,5256,5,1,0,6
281,Ugly Duckling,234531,450,0,0,0,5302,5,1,0,6
282,Byakko Cub,234684,451,0,0,0,5463,5,1,0,6
283,Scarlet Peacock,234703,452,0,0,0,5464,5,1,0,6
284,Seitei,234727,453,0,0,0,5466,5,1,0,6
285,Wind-up Y'shtola,234500,454,0,0,0,5500,5,1,0,6
286,Wind-up Minfilia,234488,455,0,0,0,5503,5,1,0,6
287,Wind-up Thancred,234489,456,0,0,0,5504,5,1,0,6
288,Wind-up Yda,234501,457,0,0,0,5506,5,1,0,6
289,Wind-up Papalymo,234502,458,0,0,0,5508,5,1,0,6
290,Wind-up Urianger,234503,459,0,0,0,5509,5,1,0,6
291,Wind-up Alphinaud,234519,460,0,0,0,5513,5,1,0,6
292,Wind-up Alisaie,234520,461,0,0,0,5514,5,1,0,6
293,Wind-up Tataru,234526,462,0,0,0,5516,5,1,0,6
294,Wind-up Cid,234527,463,0,0,0,5518,5,1,0,6
295,Felicitous Fuzzball,234856,464,0,0,0,5608,5,1,0,6
296,Eureka Orthos,197711,465,0,0,0,2358,3,0,0,4
297,Enaretos,197712,466,0,0,0,2359,3,0,0,4
298,Four Lords,198706,467,0,0,0,2251,4,0,0,3
299,Island Vacation,198707,468,0,0,0,2340,4,0,0,8
300,Island Memories,198708,469,0,0,0,2341,4,0,0,8
301,Island Vacation,199706,468,0,0,0,2340,5,0,0,8
302,Island Memories,199707,469,0,0,0,2341,5,0,0,8
303,Sponge Silkie,234863,472,0,0,0,5114,5,1,0,6
304,Chewy,234848,473,0,0,0,5230,5,1,0,6
305,Weatherproof Gaelicat,234784,474,0,0,0,5091,5,1,0,6
306,Nana Bear,234485,475,0,0,0,5200,5,1,0,6
307,Black Hayate,234733,476,0,0,0,5211,5,1,0,6
308,Koala Joey,234671,477,0,0,0,5212,5,1,0,6
309,Capybara Pup,234716,478,0,0,0,5214,5,1,0,6
310,Flag,234822,479,0,0,0,5223,5,1,0,6
311,Corgi,234867,480,0,0,0,5231,5,1,0,6
312,Silver Dasher,234771,481,0,0,0,5307,5,1,0,6
313,Greener Gleaner,234838,482,0,0,0,5113,5,1,0,6
314,Wind-up Arkasodara,234844,483,0,0,0,5401,5,1,0,6
315,Wind-up Grebuloff,234839,484,0,0,0,5354,5,1,0,6
316,Findingway,234872,485,0,0,0,5355,5,1,0,6
317,Optimus Omicron,234825,486,0,0,0,5652,5,1,0,6
318,Wind-up Omega-M,234744,487,0,0,0,5151,5,1,0,6
319,Wind-up Omega-F,234745,488,0,0,0,5152,5,1,0,6
320,OMG,234705,489,0,0,0,5150,5,1,0,6
321,Wind-up Alpha,234704,490,0,0,0,5577,5,1,0,6
322,Wind-up Krile,234605,491,0,0,0,5519,5,1,0,6
323,Wind-up Moenbryda,234624,492,0,0,0,5521,5,1,0,6
324,Wind-up Gentleman,234515,493,0,0,0,5522,5,1,0,6
325,Wind-up Nanamo,234499,494,613,625,0,5528,5,1,0,6
326,Wind-up Haurchefant,234568,495,0,0,0,5532,5,1,0,6
327,Wind-up Aymeric,234606,496,0,0,0,5534,5,1,0,6
328,Wind-up Estinien,234628,497,0,0,0,5536,5,1,0,6
329,Wind-up Nero tol Scaeva,234575,498,0,0,0,5533,5,1,0,6
330,Wind-up Raubahn,234555,499,614,621,0,5526,5,1,0,6
331,Wind-up Kan-E,234553,500,615,622,0,5525,5,1,0,6
332,Wind-up Merlwyb,234554,501,616,623,0,5524,5,1,0,6
333,Divine Circle,199960,524,0,0,0,2308,5,0,0,3
334,Velodyna Gatekeepers,199959,525,0,0,0,2309,5,0,0,3
335,Seven Hundred Seventy-Seven,199961,526,0,0,0,2310,5,0,0,3
336,Phoenix Feathers,197713,527,0,0,0,2250,3,0,0,3
337,End of an Era,198709,527,0,0,0,2250,4,0,0,3
338,Lilies,199708,527,0,0,0,2250,5,0,0,3
339,Ten Year Anniversary,198710,523,0,0,0,3950,4,0,0,7
340,Ten Year Anniversary Logo,199709,523,0,0,0,3950,5,0,0,7
341,Mount Rokkon (Variant),194702,528,0,0,0,2403,2,0,0,4
342,Mount Rokkon (Variant),197714,528,0,0,0,2403,3,0,0,4
343,Adventurous Angling,195706,529,0,0,0,2346,1,0,0,8
344,Adventurous Angling,197715,529,0,0,0,2345,3,0,0,8
345,Adventurous Angling,198711,529,0,0,0,2346,4,0,0,8
346,Adventurous Anchor,199710,529,0,0,0,2345,5,0,0,8
347,Big Fish,195707,530,0,0,0,2347,1,0,0,8
348,Big Fish,197716,530,0,0,0,2346,3,0,0,8
349,Big Fish,198712,530,0,0,0,2347,4,0,0,8
350,Big Fishing Lure,199711,530,0,0,0,2346,5,0,0,8
351,Mahjong Mastery,195708,531,0,0,0,2350,1,0,0,8
352,Mahjong Mastery,198713,531,0,0,0,2350,4,0,0,8
353,Namazu Tile,199712,531,0,0,0,2350,5,0,0,8
354,End of an Era,195709,527,0,0,0,2250,1,0,0,3
355,Private Pachypodium,234873,534,0,0,0,5074,5,1,0,6
356,Shiromaru,234886,535,0,0,0,5233,5,1,0,6
357,Kuromaru,234890,536,0,0,0,5234,5,1,0,6
358,Private Moai,234678,537,0,0,0,5662,5,1,0,6
359,Wind-up Azeyma,234851,538,0,0,0,5158,5,1,0,6
360,Wind-up Halone,234874,539,0,0,0,5159,5,1,0,6
361,Wind-up Oschon,234894,540,0,0,0,5160,5,1,0,6
362,Gravel Golem,234419,541,0,0,0,5059,5,1,0,6
363,Mummy's Little Mummy,234509,542,0,0,0,5088,5,1,0,6
364,Fenrir Pup,234582,543,0,0,0,5097,5,1,0,6
365,Little Leannan,234761,544,0,0,0,5107,5,1,0,6
366,Dwarf Rabbit,234609,545,0,0,0,5206,5,1,0,6
367,Meerkat,234756,546,0,0,0,5220,5,1,0,6
368,Assassin Fry,234510,547,0,0,0,5250,5,1,0,6
369,Owlet,234530,548,0,0,0,5301,5,1,0,6
370,Hunting Hawk,234562,549,0,0,0,5303,5,1,0,6
371,Blue-footed Booby,234853,550,0,0,0,5309,5,1,0,6
372,Dress-up Y'shtola,234596,551,0,0,0,5501,5,1,0,6
373,Dress-up Thancred,234617,552,0,0,0,5505,5,1,0,6
374,Wind-up Louisoix,234512,553,0,0,0,5511,5,1,0,6
375,Dress-up Alisaie,234618,554,0,0,0,5515,5,1,0,6
376,Wind-up Godbert,234876,555,0,0,0,5523,5,1,0,6
377,Wind-up Iceheart,234538,556,617,0,802,5529,5,1,0,6
378,Wind-up Yugiri,234543,557,618,0,803,5530,5,1,0,6
379,Wind-up Edda,234619,558,0,0,0,5535,5,1,0,6
380,Wind-up Zhloe,234698,559,0,0,0,5541,5,1,0,6
381,Wind-up G'raha Tia,234706,560,0,0,0,5548,5,1,0,6
382,Midgardsormr,234518,561,0,0,0,5573,5,1,0,6
383,Wind-up Hraesvelgr,234629,562,619,626,804,5574,5,1,0,6
384,Wind-up Nidhogg,234633,563,620,0,805,5575,5,1,0,6
385,Pink Bean,234899,564,0,0,0,5800,5,1,0,6
386,Pegwin,234900,565,0,0,0,5801,5,1,0,6
387,Torgal Pup,234898,566,0,0,0,5701,5,1,0,6
388,Gundu,199956,567,0,0,0,2305,5,0,0,3
389,Vath,199957,568,0,0,0,2306,5,0,0,3
390,Mogmenders,199958,569,0,0,0,2307,5,0,0,3
391,Twelvefold Blessings,197720,572,0,0,0,2252,3,0,0,3
392,Twelvefold Blessings,198717,572,0,0,0,2252,4,0,0,3
393,Twelvefold Symbols,199715,572,0,0,0,2252,5,0,0,3
394,Tataru's Bespoke,197719,573,0,0,0,2242,3,0,0,3
395,Tataru's Bespoke,198716,573,0,0,0,2242,4,0,0,3
396,Aloalo Island (Variant),194703,574,0,0,0,2404,2,0,0,4
397,Aloalo Island (Variant),197721,574,0,0,0,2404,3,0,0,4
398,Wondrous Whimsy,195710,570,0,0,0,2351,1,0,0,8
399,Wondrous Whimsy,197717,570,0,0,0,2351,3,0,0,8
400,Wondrous Whimsy,198714,570,0,0,0,2351,4,0,0,8
401,Khloe's Journal,199713,570,0,0,0,2351,5,0,0,8
402,Fantastic Faux,195711,571,0,0,0,2352,1,0,0,8
403,Fantastic Faux,197718,571,0,0,0,2352,3,0,0,8
404,Fantastic Faux,198715,571,0,0,0,2352,4,0,0,8
405,Faux Commander,199714,571,0,0,0,2352,5,0,0,8
406,Blunderful,195712,575,0,0,0,3951,1,0,0,7
407,Blunderous,195713,576,0,0,0,3952,1,0,0,7
408,Blunder-villed,195714,577,0,0,0,3953,1,0,0,7
409,Yo-kai Watch,195715,607,0,0,0,3954,1,0,0,7
410,Yo-kai Watch,198718,607,0,0,0,3954,4,0,0,7
411,Yo-kai Friends,199716,607,0,0,0,3954,5,0,0,7
412,Repulu,234906,643,0,0,0,5216,5,1,0,6
413,Uolosapa,234891,644,0,0,0,5311,5,1,0,6
414,Coblyn Larva,234433,645,0,0,0,5075,5,1,0,6
415,Kydonia Strolls,234895,646,0,0,0,5667,5,1,0,6
416,Wind-up PuPu,234854,647,0,0,0,5700,5,1,0,6
417,Puffin,234878,648,0,0,0,5310,5,1,0,6
418,Chimpanzee,234883,649,0,0,0,5232,5,1,0,6
419,Wind-up Lyse,234648,658,0,0,0,5507,5,1,0,6
420,Wind-up Hien,234664,659,0,0,0,5540,5,1,0,6
421,Dress-up Yugiri,234649,660,0,0,0,5531,5,1,0,6
422,Wind-up Gosetsu,234650,661,0,0,0,5538,5,1,0,6
423,Wind-up Yotsuyu,234651,662,708,714,806,5539,5,1,0,6
424,Mock-up Grynewaht,234652,663,0,0,0,5546,5,1,0,6
425,Dress-up Raubahn,234676,664,0,0,0,5527,5,1,0,6
426,Wind-up Magnai,234682,665,0,0,0,5544,5,1,0,6
427,Wind-up Cirina,234697,666,0,0,0,5543,5,1,0,6
428,Wind-up Sadu,234696,667,0,0,0,5545,5,1,0,6
429,Dress-up Tataru,234720,668,709,715,807,5517,5,1,0,6
430,Wind-up Suzaku,234743,669,710,716,808,5465,5,1,0,6
431,Brave New Y'shtola,234731,670,0,0,0,5502,5,1,0,6
432,Brave New Urianger,234829,671,0,0,0,5510,5,1,0,6
433,Dress-up Estinien,234760,672,0,0,0,5537,5,1,0,6
434,Wind-up Lyna,234816,673,711,717,809,5555,5,1,0,6
435,Wind-up Runar,234817,674,712,718,810,5556,5,1,0,6
436,Wind-up Dulia-Chai,234776,675,713,719,811,5550,5,1,0,6
437,Wind-up Ryne,234732,676,0,0,0,5549,5,1,0,6
438,Wind-up Gaia,234798,677,0,0,0,5553,5,1,0,6
439,Wind-up Mystel,234781,678,0,0,0,5551,5,1,0,6
440,Wind-up Ardbert,234782,679,0,0,0,5552,5,1,0,6
441,Clockwork Solus,234855,680,0,0,0,5559,5,1,0,6
442,Tiny Rat,234413,650,0,0,0,5053,5,1,0,6
443,Baby Bun,234414,651,0,0,0,5054,5,1,0,6
444,Chigoe Larva,234415,652,0,0,0,5055,5,1,0,6
445,Black Coeurl,234514,653,0,0,0,5058,5,1,0,6
446,Baby Raptor,234421,654,0,0,0,5062,5,1,0,6
447,Minute Mindflayer,234461,655,0,0,0,5082,5,1,0,6
448,Unicolt,234528,656,0,0,0,5203,5,1,0,6
