#,UpgradeAction,BaseAction,ComboTreeLayout,Unknown3,Unknown4,Unknown5,GroupedCell
15.23,19011,0,0,0,14,19,False
15.24,4638,0,0,0,1,20,False
15.25,19003,0,0,0,2,20,False
15.26,100482,0,0,0,3,20,False
15.27,100107,0,0,0,4,20,False
15.28,4581,0,0,0,5,20,False
15.29,100474,0,0,0,6,20,False
15.30,100378,0,0,0,7,20,False
15.31,100113,0,0,0,8,20,False
15.32,100402,0,0,0,0,21,False
15.33,100426,0,0,0,0,21,False
15.34,100466,0,0,0,0,21,False
15.35,100458,0,0,0,0,0,False
16.0,235,0,0,0,1,10,False
16.1,237,0,0,0,2,10,False
16.2,295,0,0,0,3,10,False
16.3,4072,0,0,0,4,10,False
16.4,21177,0,0,0,5,10,False
16.5,25589,0,0,0,6,10,False
16.6,21203,0,0,0,7,10,False
16.7,4073,4073,0,0,8,10,False
16.8,272,4073,0,0,8,10,False
16.9,239,0,0,0,9,10,False
16.10,241,0,0,0,10,10,False
16.11,280,0,0,0,11,10,False
16.12,4589,0,0,0,12,10,False
16.13,232,0,0,0,13,10,False
16.14,26521,0,0,0,14,10,False
16.15,4081,0,0,0,15,10,False
16.16,240,0,0,0,0,11,False
16.17,22182,0,0,0,0,11,False
16.18,22183,0,0,0,0,11,False
16.19,22184,0,0,0,0,11,False
16.20,22185,0,0,0,0,11,False
16.21,21205,0,0,0,0,11,False
16.22,34871,0,0,0,0,11,False
16.23,303,0,0,0,0,12,False
16.24,0,0,0,0,0,0,False
16.25,0,0,0,0,0,0,False
16.26,0,0,0,0,0,0,False
16.27,0,0,0,0,0,0,False
17.0,218,0,0,0,1,10,False
17.1,220,0,0,0,2,10,False
17.2,294,0,0,0,3,10,False
17.3,4086,0,0,0,4,10,False
17.4,21178,0,0,0,5,10,False
17.5,25590,0,0,0,6,10,False
17.6,21204,0,0,0,7,10,False
17.7,4087,4087,0,0,8,10,False
17.8,273,4087,0,0,8,10,False
17.9,222,0,0,0,9,10,False
17.10,224,0,0,0,10,10,False
17.11,282,0,0,0,11,10,False
17.12,4590,0,0,0,12,10,False
17.13,215,0,0,0,13,10,False
17.14,26522,0,0,0,14,10,False
17.15,4095,0,0,0,15,10,False
17.16,815,0,0,0,0,11,False
17.17,22186,0,0,0,0,11,False
17.18,22187,0,0,0,0,11,False
17.19,22188,0,0,0,0,11,False
17.20,22189,0,0,0,0,11,False
17.21,21206,0,0,0,0,11,False
17.22,34872,0,0,0,0,11,False
17.23,304,0,0,0,0,12,False
17.24,0,0,0,0,0,0,False
17.25,0,0,0,0,0,0,False
17.26,0,0,0,0,0,0,False
17.27,0,0,0,0,0,0,False
18.0,288,0,0,0,1,13,False
18.1,289,0,0,0,2,13,False
18.2,296,0,0,0,3,13,False
18.3,299,0,0,0,4,13,False
18.4,37047,0,0,0,5,13,False
18.5,2135,0,0,0,6,13,False
18.6,4102,0,0,0,1,14,False
18.7,4106,0,0,0,2,14,False
18.8,26806,0,0,0,3,14,False
18.9,37046,0,0,0,4,14,False
18.10,297,0,0,0,5,14,False
18.11,268,0,0,0,6,14,False
18.12,26805,0,0,0,7,14,False
18.13,37045,0,0,0,8,14,False
18.14,4104,0,0,0,9,14,False
18.15,4100,0,0,0,10,14,False
18.16,4105,0,0,0,11,14,False
18.17,4595,0,0,0,12,14,False
18.18,4596,0,0,0,13,14,False
18.19,300,0,0,0,14,14,False
18.20,19264,0,0,0,15,14,False
18.21,4103,0,0,0,1,15,False
18.22,4179,0,0,0,2,15,False
18.23,269,0,0,0,3,15,False
18.24,27523,0,0,0,4,15,False
18.25,37594,0,0,0,5,15,False
18.26,37595,0,0,0,6,15,False
18.27,7632,0,0,0,0,16,False
18.28,7906,0,0,0,0,16,False
18.29,26870,0,0,0,0,16,False
18.30,7910,0,0,0,0,16,False
18.31,7909,0,0,0,0,16,False
18.32,26871,0,0,0,0,16,False
18.33,26872,0,0,0,0,16,False
18.34,305,0,0,0,0,17,False
18.35,26804,0,0,0,0,17,False
18.36,4101,0,0,0,0,17,False
18.37,0,0,0,0,0,0,False
18.38,0,0,0,0,0,0,False
18.39,0,0,0,0,0,0,False
18.40,0,0,0,0,0,0,False
19.0,22,0,0,0,0,0,False
19.1,27,0,0,0,0,0,False
19.2,29,29,0,0,0,0,False
19.3,30,0,0,0,0,0,False
19.4,3539,21,111,0,0,0,False
19.5,3540,0,0,0,0,0,False
19.6,3541,0,0,0,0,0,False
19.7,3542,3542,0,0,0,0,False
19.8,7382,0,0,0,0,0,False
19.9,7383,7383,0,0,0,0,False
19.10,7384,0,0,0,0,0,False
19.11,7385,0,0,0,0,0,False
19.12,16457,0,210,0,0,0,False
19.13,16458,0,0,0,0,0,False
19.14,16459,0,0,0,0,0,False
19.15,16460,0,0,0,0,0,False
19.16,16461,0,0,0,0,0,False
19.17,25746,3542,0,0,0,0,False
19.18,25747,29,0,0,0,0,False
19.19,36920,17,0,0,0,0,False
19.20,36921,7383,0,0,0,0,False
19.21,3538,0,0,0,0,0,False
19.22,36918,0,0,0,0,0,False
19.23,36919,0,0,0,0,0,False
19.24,25748,0,0,0,0,0,False
19.25,25749,0,0,0,0,0,False
19.26,25750,0,0,0,0,0,False
19.27,36922,0,0,0,0,0,False
19.28,0,0,0,0,0,0,False
19.29,0,0,0,0,0,0,False
19.30,0,0,0,0,0,0,False
19.31,0,0,0,0,0,0,False
19.32,0,0,0,0,0,0,False
19.33,0,0,0,0,0,0,False
19.34,0,0,0,0,0,0,False
19.35,0,0,0,0,0,0,False
19.36,0,0,0,0,0,0,False
19.37,0,0,0,0,0,0,False
19.38,0,0,0,0,0,0,False
19.39,0,0,0,0,0,0,False
19.40,0,0,0,0,0,0,False
19.41,0,0,0,0,0,0,False
19.42,0,0,0,0,0,0,False
19.43,0,0,0,0,0,0,False
19.44,0,0,0,0,0,0,False
19.45,0,0,0,0,0,0,False
19.46,0,0,0,0,0,0,False
20.0,69,0,0,0,0,0,False
20.1,70,0,3,0,0,0,True
20.2,3547,25761,0,2,0,0,False
20.3,4262,0,0,0,0,0,False
20.4,7394,0,0,0,0,0,False
20.5,7395,0,0,0,0,0,False
20.6,7396,0,0,0,0,0,False
20.7,16473,0,2,0,0,0,True
20.8,16474,25763,0,2,0,0,False
20.9,16476,0,0,0,0,0,False
20.10,25762,0,0,0,0,0,False
20.11,25763,25763,0,2,0,0,False
20.12,25764,0,0,0,0,0,False
20.13,25766,0,0,0,0,0,False
20.14,25767,62,1,0,0,0,True
20.15,36941,36941,0,1,0,0,False
20.16,36942,36940,0,1,0,0,False
20.17,36943,36941,0,1,0,0,False
20.18,36944,0,0,0,0,0,False
20.19,36945,53,1,0,0,0,True
20.20,36946,54,2,0,0,0,True
20.21,36947,56,3,0,0,0,True
20.22,36949,0,0,0,0,0,False
20.23,36950,0,0,0,0,0,False
20.24,3545,3545,0,1,0,0,False
20.25,25882,25882,0,2,0,0,False
20.26,25765,0,0,4,0,0,False
20.27,3543,3543,0,3,0,0,False
20.28,36948,3545,0,0,0,0,False
20.29,25768,25882,0,0,0,0,False
20.30,25769,3543,0,0,0,0,False
20.31,41249,0,0,0,0,0,False
20.32,0,0,0,0,0,0,False
21.0,49,49,0,0,0,0,False
21.1,51,51,0,0,0,0,False
21.2,52,0,0,0,0,0,False
21.3,3549,49,0,0,0,0,False
21.4,3550,51,0,0,0,0,False
21.5,3551,3551,0,0,0,0,False
21.6,3552,0,0,0,0,0,False
21.7,7386,0,0,0,0,0,False
21.8,7387,0,0,0,0,0,False
21.9,7388,0,0,0,0,0,False
21.10,7389,38,0,0,0,0,False
21.11,16462,0,210,0,0,0,False
21.12,16464,0,0,0,0,0,False
21.13,25751,3551,0,0,0,0,False
21.14,25752,0,0,0,0,0,False
21.15,25753,0,0,0,0,0,False
21.16,36923,44,0,0,0,0,False
21.17,16463,0,0,0,0,0,False
21.18,16465,0,0,0,0,0,False
21.19,36924,0,0,0,0,0,False
21.20,36925,0,0,0,0,0,False
22.0,86,0,200,0,0,0,False
22.1,92,92,0,0,0,0,False
22.2,94,0,0,0,0,0,False
22.3,96,0,0,0,0,0,False
22.4,3554,0,0,0,0,0,False
22.5,3555,0,0,0,0,0,False
22.6,3556,0,0,0,0,0,False
22.7,3557,0,0,0,0,0,False
22.8,7397,0,210,0,0,0,False
22.9,7399,0,0,0,0,0,False
22.10,7400,0,0,0,0,0,False
22.11,16477,0,211,0,0,0,False
22.12,16478,92,0,0,0,0,False
22.13,16480,0,0,0,0,0,False
22.14,25771,84,111,0,0,0,False
22.15,25772,88,121,0,0,0,False
22.16,25773,0,0,0,0,0,False
22.17,36951,0,0,0,0,0,False
22.18,36954,78,110,0,0,0,False
22.19,36955,87,120,0,0,0,False
22.20,36952,0,0,0,0,0,False
22.21,0,0,0,0,0,0,False
22.22,16479,0,0,0,0,0,False
22.23,25770,0,0,0,0,0,False
22.24,36953,0,0,0,0,0,False
22.25,36956,0,0,0,0,0,False
22.26,0,0,0,0,0,0,False
22.27,0,0,0,0,0,0,False
22.28,0,0,0,0,0,0,False
22.29,0,0,0,0,0,0,False
22.30,0,0,0,0,0,0,False
22.31,0,0,0,0,0,0,False
22.32,0,0,0,0,0,0,False
22.33,0,0,0,0,0,0,False
22.34,0,0,0,0,0,0,False
22.35,0,0,0,0,0,0,False
22.36,0,0,0,0,0,0,False
22.37,0,0,0,0,0,0,False
22.38,0,0,0,0,0,0,False
22.39,0,0,0,0,0,0,False
22.40,0,0,0,0,0,0,False
22.41,0,0,0,0,0,0,False
22.42,0,0,0,0,0,0,False
22.43,0,0,0,0,0,0,False
22.44,0,0,0,0,0,0,False
23.0,114,0,0,0,0,0,False
23.1,116,0,0,0,0,0,False
23.2,117,0,0,0,0,0,False
23.3,118,0,0,0,0,0,False
23.4,3558,0,0,0,0,0,False
23.5,3559,0,0,0,0,0,False
23.6,3560,0,0,0,0,0,False
23.7,3561,0,0,0,0,0,False
23.8,3562,0,0,0,0,0,False
23.9,7404,0,0,0,0,0,False
23.10,7405,0,0,0,0,0,False
23.11,7406,100,0,0,0,0,False
23.12,7407,113,0,0,0,0,False
23.13,7408,0,0,0,0,0,False
23.14,7409,98,0,0,0,0,False
23.15,16494,36974,0,0,0,0,False
23.16,16495,97,0,0,0,0,False
23.17,16496,0,0,0,0,0,False
23.18,25783,106,0,0,0,0,False
23.19,25785,0,0,0,0,0,False
23.20,36975,110,0,0,0,0,False
23.21,0,0,0,0,0,0,False
23.22,25784,0,0,0,0,0,False
23.23,0,0,0,0,0,0,False
23.24,36976,0,0,0,0,0,False
23.25,36977,0,0,0,0,0,False
24.0,131,0,0,0,0,0,False
24.1,136,0,0,0,0,0,False
24.2,137,0,0,0,0,0,False
24.3,139,139,0,0,0,0,False
24.4,140,0,0,0,0,0,False
24.5,3568,119,0,0,0,0,False
24.6,3569,0,0,0,0,0,False
24.7,3570,0,0,0,0,0,False
24.8,3571,0,0,0,0,0,False
24.9,7430,0,0,0,0,0,False
24.10,7431,119,0,0,0,0,False
24.11,7432,0,0,0,0,0,False
24.12,7433,0,0,0,0,0,False
24.13,16531,0,0,0,0,0,False
24.14,16532,121,0,0,0,0,False
24.15,16533,119,0,0,0,0,False
24.16,16534,0,0,0,0,0,False
24.17,16535,0,0,0,0,0,False
24.18,16536,0,0,0,0,0,False
24.19,25859,119,0,0,0,0,False
24.20,25860,139,0,0,0,0,False
24.21,25861,0,0,0,0,0,False
24.22,25862,0,0,0,0,0,False
24.23,37008,0,0,0,0,0,False
24.24,37009,0,0,0,0,0,False
24.25,37010,133,0,0,0,0,False
24.26,0,0,0,0,0,0,False
24.27,37011,0,0,0,0,0,False
24.28,0,0,0,0,0,0,False
24.29,0,0,0,0,0,0,False
24.30,0,0,0,0,0,0,False
24.31,0,0,0,0,0,0,False
24.32,0,0,0,0,0,0,False
24.33,0,0,0,0,0,0,False
24.34,0,0,0,0,0,0,False
24.35,0,0,0,0,0,0,False
24.36,0,0,0,0,0,0,False
24.37,0,0,0,0,0,0,False
24.38,0,0,0,0,0,0,False
24.39,0,0,0,0,0,0,False
24.40,0,0,0,0,0,0,False
24.41,0,0,0,0,0,0,False
24.42,0,0,0,0,0,0,False
24.43,0,0,0,0,0,0,False
24.44,0,0,0,0,0,0,False
25.0,153,144,0,0,0,0,False
25.1,154,0,0,0,0,0,False
25.2,158,0,0,0,0,0,False
25.3,159,0,0,0,0,0,False
25.4,162,0,0,0,0,0,False
25.5,3573,0,0,0,0,0,False
25.6,3576,0,0,0,0,0,False
25.7,3577,0,0,0,0,0,False
25.8,7419,0,0,0,0,0,False
25.9,7420,7447,0,0,0,0,False
25.10,7421,0,0,0,0,0,False
25.11,7422,0,0,0,0,0,False
25.12,16505,0,0,0,0,0,False
25.13,16506,0,0,0,0,0,False
25.14,16507,0,0,0,0,0,False
25.15,25794,147,0,0,0,0,False
25.16,25795,25793,0,0,0,0,False
25.17,25796,0,0,0,0,0,False
25.18,36986,144,0,0,0,0,False
25.19,36987,7447,0,0,0,0,False
25.20,36989,0,0,0,0,0,False
25.21,25797,0,0,0,0,0,False
25.22,36988,0,0,0,0,0,False
26.0,163,163,0,0,0,0,False
26.1,172,163,0,0,0,0,False
26.2,173,0,0,0,0,0,False
26.3,181,181,0,0,0,0,False
26.4,16230,0,0,0,0,0,False
26.5,16508,0,0,0,0,0,False
26.6,16511,16511,0,0,0,0,False
26.7,25798,0,0,0,0,0,False
26.8,25799,0,0,0,0,0,False
26.9,25800,25800,0,0,0,0,False
26.10,25802,25802,0,0,0,0,False
26.11,25803,25803,0,0,0,0,False
26.12,25804,25804,0,0,0,0,False
26.13,25883,0,0,0,0,0,False
26.14,25884,0,0,0,0,0,False
27.0,3578,0,0,0,0,0,False
27.1,3579,163,0,0,0,0,False
27.2,3581,25800,0,0,0,0,False
27.3,7426,0,0,0,0,0,False
27.4,7427,25800,0,0,0,0,False
27.5,7429,0,0,0,0,0,False
27.6,16510,0,0,0,0,0,False
27.7,25801,0,0,0,0,0,False
27.8,25805,25802,0,0,0,0,False
27.9,25806,25803,0,0,0,0,False
27.10,25807,25804,0,0,0,0,False
27.11,25822,0,0,0,0,0,False
27.12,25826,16511,0,0,0,0,False
27.13,25838,25802,0,0,0,0,False
27.14,25839,25803,0,0,0,0,False
27.15,25840,25804,0,0,0,0,False
27.16,36990,181,0,0,0,0,False
27.17,36997,0,0,0,0,0,False
27.18,25820,0,0,0,0,0,False
27.19,25821,0,0,0,0,0,False
27.20,3582,0,0,0,0,0,False
27.21,7428,0,0,0,0,0,False
27.22,7449,0,0,0,0,0,False
27.23,25823,0,0,0,0,0,False
27.24,25824,0,0,0,0,0,False
27.25,25825,0,0,0,0,0,False
27.26,16514,0,0,2,0,0,False
27.27,16515,0,0,3,0,0,False
27.28,25831,0,0,1,0,0,False
