#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
47,Carry the dinosaur egg to the collection point,"With the mice slain, it is time to search for the real prize: the egg of a dinosaur.","Once you have secured the egg, carry it as swiftly as possible to the designated collection point.",,2007782,15,2992,5,0,0,-1
48,Slay cloudtraps and obtain cloudblossom pollen,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,House Haillenarte is on the lookout for unique-smelling substances─your first task will be to harvest pollen from the region's cloudtraps.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,0,5,-1
49,Slay flood worms and obtain worm livers,"Operation Command here.
We have received your preliminary report.",Next on the list of strangely scented materials is the liver of a flood worm. Lovely.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,0,3,-1
50,Deliver gathered goods to the pilot at the *Bounty*,"Operation Command here.
We have received your interim report.",Gather your last haul of goods and deliver what you have to the *Bounty*.,I promise you House Haillenarte will not be miserly with its gratitude!,0,0,0,2,0,0,-1
51,Accept the enfeebling elixir from the pilot at the *Bounty*,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to field test a new reagent developed to enfeeble the fierce beasts of the Diadem.,First things first! Make your way to the *Bounty* and collect the elixir we have prepared.,1,0,0,3,0,0,-1
52,Slay silvershells weakened by the enfeebling elixir,Your task now is to test the enfeebling elixir in combat against silvershells.,"The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,10,0,0
53,Slay cloud crawlers weakened by the enfeebling elixir,Your task now is to test the enfeebling elixir in combat against cloud crawlers.,"The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,8,0,0
54,Slay sabertooth tigers weakened by the enfeebling elixir,Your task now is to test the enfeebling elixir in combat against sabertooth tigers.,"The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,8,0,0
55,Slay ageless sankchinnis weakened by the enfeebling elixir,Your task now is to test the enfeebling elixir in combat against ageless sankchinnis.,"The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,10,0,0
56,Slay sun sordes weakened by the enfeebling elixir,Your task now is to test the enfeebling elixir in combat against sun sordes.,"The exact timing is left to your discretion, but do be sure to use the elixir before the creatures are dead, eh?","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,10,0,0
57,Slay Diadem endymions weakened by the enfeebling elixir,"Operation Command here.
We have received your interim report.",Your next target will be the Diadem endymions. The same rules apply: your efforts will be for naught should you fail to apply the elixir!,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,4,0,0
58,Slay speckled hakulaqs weakened by the enfeebling elixir,"Operation Command here.
We have received your interim report.",Your next target will be the speckled hakulaqs. The same rules apply: your efforts will be for naught should you fail to apply the elixir!,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,6,0,0
59,Slay crown pelicans weakened by the enfeebling elixir,"Operation Command here.
We have received your interim report.",Your next target will be the crown pelicans. The same rules apply: your efforts will be for naught should you fail to apply the elixir!,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,4,0,0
60,Slay diplocauluses weakened by the enfeebling elixir,"Operation Command here.
We have received your interim report.",Your next target will be the diplocauluses. The same rules apply: your efforts will be for naught should you fail to apply the elixir!,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,1,4,0,0
61,Use a scent trap to ambush hornflies,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
62,Use a scent trap to ambush gigantopithecus,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
63,Use a scent trap to ambush sabertooth tigers,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
64,Use a scent trap to ambush cloud lions,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
65,Use a scent trap to ambush bejeweled unicorns,"Operation Command here.
We have received your preliminary report.","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,5,0,-1
66,Use a scent trap to ambush Diadem marids,"Operation Command here.
We have received your preliminary report.","These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
67,Slay crown torama,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
68,Slay the kerkes,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
69,Slay bejeweled pegasi,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
70,Slay billowing bilokos,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
71,Use a scent trap to ambush Diadem endymions,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey.",0,0,0,8,3,0,-1
72,Use a scent trap to ambush proceratosaurs,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey.",0,0,0,8,3,0,-1
73,Use a scent trap to ambush westerly sanuwas,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey.",0,0,0,8,3,0,-1
74,Use a scent trap to ambush crown pelicans,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey.",0,0,0,8,3,0,-1
75,Use a scent trap to ambush crown tuco tucos,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
76,Use a scent trap to ambush neochus,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
77,Use a scent trap to ambush cutters,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
78,Use a scent trap to ambush sun sordes,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
79,Use a scent trap to ambush pack paissas,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
80,Use a scent trap to ambush jewel flies,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
81,Use a scent trap to ambush ageless sankchinnis,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,8,0,-1
82,Use a scent trap to ambush ant hawks,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
83,Use a scent trap to ambush killer ants,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,5,0,-1
84,Use a scent trap to ambush speckled hakulaqs,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,5,0,-1
85,Use a scent trap to ambush welkinixes,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,5,0,-1
86,Use a scent trap to ambush triceratops,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,5,0,-1
87,Use a scent trap to ambush baby brachiosaurs,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,2,0,-1
88,Use a scent trap to ambush lunantishees,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,5,0,-1
89,Use a scent trap to ambush zeuglodons,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,5,0,-1
90,Slay an easterly sanuwa,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
91,Slay the celphie,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
92,Use a scent trap to ambush diplocauluses,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"But be warned: you face a formidable foe. We suggest you put aside exploration, and focus on downing your prey.",0,0,0,8,3,0,-1
93,Slay an ageless melia,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
94,Slay a pteranodon,"Operation Command here.
The scent of blood has attracted a greater predator.",Allowing such creatures to roam unchallenged will endanger future explorations. Abandon your current target and dispose of this menace.,,0,0,0,7,1,0,-1
95,Use a scent trap to ambush Diadem marids,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"These isles crawl with deadly denizens, and it will be your task to thin their numbers. Head to the hunting ground we've indicated, then lure your targets into an ambush.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
96,Use a scent trap to ambush coelophysis,"Operation Command here.
We have received your preliminary report.",Pray continue with your efforts to lure in and cull the dangerous creatures of the Diadem.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
97,Use a scent trap to ambush coelophysis,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
98,Use a scent trap to ambush ageless diremites,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
99,Use a scent trap to ambush ant hawks,"Operation Command here.
We have received your interim report.",Slay the next target and your duty is done─move on to the next hunting ground and prepare your trap.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,6,0,-1
100,,,,,0,0,0,0,0,0,-1
