#,Name,Text,Image
34,Step Two: Complete the Intentional Combo,"Order your Cu Sith to perform its **Trick**. Then, **within seven seconds**, execute the beastmaster action **Mistral Axe**. This will complete a **Moonstalker** intentional combo!

You may complete intentional combos with any familiar, and may trigger a different action depending upon the skills used.",86921
35,Instinctual Affinities,"The four basic instinctual affinities are as follows: **Volant**, **Rampant**, **Durant**, and **Eldritch**. Both beastmaster and familiar skills possess these affinities, and understanding the impact they have on one another is crucial to advanced beastmastery. Instinctual affinities can be confirmed in a weaponskill's help text, or may be intuited from the icon.

When instinctual affinities are connected in a certain order, they complete the aforementioned **intentional combos**, which in turn have two additional instinctual affinities: **Moonstalker** and **Sunstrider**.",86924
36,Moonstalker,"Gaining the effect of **Moonstalker** requires chaining the following instinctual affinities:
　・**Rampant** → **Durant**
　・**Eldritch** → **Volant**
Your Cu Sith's **Trick** has a **Rampant** affinity, so when completed with **Mistral Axe**, it triggers a **Moonstalker** intentional combo.",86922
37,Sunstrider,"Gaining the effect of **Sunstrider** requires chaining the following instinctual affinities:
　・**Volant** → **Rampant**
　・**Durant** → **Eldritch**
So long as instinctual affinities are performed in the designated order, it does not matter whether a beastmaster or familiar strikes first. In this case, since your Cu Sith's **Trick** has a **Rampant** affinity, preceding it with the beastmaster action **Gale Axe** will complete a **Sunstrider** intentional combo.",86923
38,Step One: Accumulate Stacks of Mastered Instinct,"To perfect your synchronicity with your familiars, first try to complete an infinitive combo with your Cu Sith.

Spending three stacks of **Mastered Instinct** when executing **Rally** will instantly grant you 250 TP. You will need this later, so first accumulate three stacks of Mastered Instinct by completing instinctual or intentional combos with beastmaster skills. **Your Cu Sith must attack first to accumulate stacks of Mastered Instinct.**",86925
39,Step Two: Complete a **Moonstalker** Intentional Combo,"With three stacks of Mastered Instinct on hand, it's time for an intentional combo.

Order your Cu Sith to perform its **Trick**, then execute the beastmaster action **Mistral Axe** to complete a **Moonstalker** intentional combo.

**From this point, you will have seven seconds to complete the infinitive combo.** Move with haste!",86921
40,Step Three: Use Rally to Accumulate 250 TP,Execute **Rally** to spend all three stacks of Mastered Instinct and instantly gain 250 TP. Reaching 250 TP will change your four instinctual skills to those with affinities of **Sunstrider** or **Moonstalker**.,86926
41,Step Four: Complete the Infinitive Combo (Universality),"Since you gained the effect of **Moonstalker** in step two, you must execute either **Brutal Rage** or **Risen Fall**, as both weaponskills have a **Sunstrider** affinity. **An applicable action must be executed within seven seconds of completing the previous intentional combo.**

In other words, chaining the instinctual affinities **Moonstalker** and **Sunstrider** (or vice versa) will complete a **Universality** infinitive combo!",86927
42,To Summarize...,"1. Accumulate three stacks of **Mastered Instinct**.
2. Complete a **Moonstalker** intentional combo.
3. Use **Rally** to gain 250 TP, thereby changing your beastmaster instinctual skills.
4. Execute an instinctual skill with a **Sunstrider** affinity.

You may complete infinitive combos with any familiar and initiate with either **Moonstalker** or **Sunstrider** affinities. In other words, illuminating your entire Inner Compass will achieve **Universality**.",86927
43,Mastering Beastmastery,"Infinitive combos are considered the pinnacle of cooperation between beastmaster and familiar, as they unleash the potential of both **Sunstrider** and **Moonstalker** affinities.

The infinitive combo **Universality** is the most potent attack in a beastmaster's arsenal, so advanced practitioners are encouraged to bring this power to bear when facing challenging foes.",86927
