key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
16,15,5,1,1,True,15,0,15,0,2,1,0,True,False,False,False,False,False,False,False,10,0,0,0,4,0,0,0,1,0,0,0,0,1,0
17,5,4,1,1,False,2,0,6,6,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
18,7,5,1,1,False,2,0,7,6,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
19,10,5,1,1,False,2,0,8,6,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
20,5,4,1,1,False,2,0,6,5,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
21,8,5,1,1,False,2,0,7,5,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
22,10,5,1,1,False,2,0,8,5,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
23,10,6,1,1,False,2,0,7,4,2,2,0,True,True,False,False,False,False,False,False,9,10,0,0,5,4,0,0,0,2,0,0,0,1,0
24,12,7,1,1,False,2,0,8,4,2,2,0,True,True,False,False,False,False,False,False,9,10,0,0,5,4,0,0,0,2,0,0,0,1,0
25,15,10,1,1,False,2,0,9,4,2,2,0,True,True,False,False,False,False,False,False,9,10,0,0,5,4,0,0,0,2,0,0,0,1,0
26,6,4,1,2,False,2,0,7,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
27,8,5,1,2,False,2,0,8,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
28,10,7,1,2,False,2,0,9,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
29,8,6,1,1,False,2,0,7,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
30,12,8,1,1,False,2,0,8,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
31,12,8,1,1,False,2,0,15,3,2,2,0,True,True,False,False,False,False,False,False,9,12,0,0,5,4,0,0,0,2,0,0,0,1,0
32,16,10,1,1,False,2,0,20,3,2,2,0,True,True,False,False,False,False,False,False,9,12,0,0,5,4,0,0,0,2,0,0,0,1,0
33,30,15,1,1,True,30,0,30,1,2,2,0,True,True,False,False,False,False,False,False,13,16,0,0,2,4,0,0,10,1,0,0,0,1,0
34,11,7,1,1,False,2,0,11,11,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
35,13,7,1,1,False,2,0,12,11,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
36,15,9,1,1,False,2,0,13,11,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
37,10,9,1,2,False,2,0,11,8,1,1,0,True,True,False,False,False,False,False,False,9,10,0,0,5,2,0,0,0,4,0,0,0,1,0
38,12,9,1,2,False,2,0,12,8,1,1,0,True,True,False,False,False,False,False,False,9,10,0,0,5,2,0,0,0,4,0,0,0,1,0
39,14,10,1,2,False,2,0,13,8,1,1,0,True,True,False,False,False,False,False,False,9,10,0,0,5,2,0,0,0,4,0,0,0,1,0
40,11,7,1,2,False,2,0,11,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
41,13,9,1,2,False,2,0,12,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
42,15,10,1,2,False,2,0,13,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
43,15,9,1,1,False,2,0,11,7,2,2,0,True,True,False,False,False,False,False,False,9,16,0,0,5,4,0,0,0,1,0,0,0,1,0
44,20,11,1,1,False,2,0,12,7,2,2,0,True,True,False,False,False,False,False,False,9,16,0,0,5,4,0,0,0,1,0,0,0,1,0
45,25,13,1,1,False,2,0,13,7,2,2,0,True,True,False,False,False,False,False,False,9,16,0,0,5,4,0,0,0,1,0,0,0,1,0
46,14,7,1,1,False,2,0,12,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
47,17,9,1,1,False,2,0,13,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
48,20,11,1,1,False,2,0,20,6,2,2,0,True,True,False,False,False,False,False,False,9,17,0,0,5,3,0,0,0,1,0,0,0,1,0
49,25,13,1,1,False,2,0,25,6,2,2,0,True,True,False,False,False,False,False,False,9,17,0,0,5,3,0,0,0,1,0,0,0,1,0
50,50,40,1,1,True,30,0,40,0,3,3,0,True,True,False,False,False,False,False,False,18,10,0,0,2,4,0,0,15,1,0,0,0,1,0
51,0,1,1,1,False,10,0,0,12,1,1,0,True,False,False,False,False,False,False,False,11,0,0,0,5,0,0,0,0,0,0,0,1,0,1
52,0,1,1,1,False,0,1,0,13,1,1,0,True,False,False,False,False,False,False,False,11,0,0,0,5,0,0,0,0,0,0,0,1,0,1
53,255,0,1,0,False,1,0,1,10,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
