#,TemporaryAction,Unknown1,Unknown2,RequiredItem[0],RequiredItem[1],RequiredItem[2],RequiredItemQuantity[0],RequiredItemQuantity[1],RequiredItemQuantity[2],Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,WKSMissionText,Unknown14,Unknown15,Unknown16,Unknown17,MissionType
47,0,2000000,4800,0,0,0,0,0,0,0,0,0,43,28,117,0,4,0,0,7
48,0,2000000,0,0,0,0,0,0,0,4,0,0,44,30,116,0,2,2,0,9
49,0,2000000,11570,0,0,0,0,0,0,0,0,0,45,31,120,0,4,0,0,7
50,0,2000000,0,0,0,0,0,0,0,0,0,0,46,31,115,0,1,0,18,8
51,0,2000000,0,0,0,0,0,0,0,6,0,0,47,28,113,0,2,2,0,8
52,41278,2000000,6000,0,0,0,0,0,0,0,437,0,48,30,121,0,4,0,0,1
53,0,2000000,0,366,0,0,25,0,0,0,364,4,0,1,103,0,3,0,0,1
54,0,2000000,0,366,0,0,25,0,0,0,365,5,0,1,103,0,3,0,0,1
55,0,2000000,0,366,0,0,24,0,0,0,0,6,0,2,104,0,3,0,0,8
56,0,2000000,0,372,0,0,24,0,0,0,0,7,0,3,104,0,3,0,0,8
57,0,2000000,0,366,0,0,28,0,0,0,366,8,0,2,105,0,3,0,0,1
58,0,2000000,0,372,0,0,28,0,0,0,367,9,0,3,105,0,3,0,0,1
59,0,2000000,0,380,381,0,10,15,0,0,368,10,0,5,103,0,3,0,0,1
60,0,2000000,0,375,0,0,24,0,0,0,0,11,0,4,104,0,3,0,0,8
61,0,2000000,0,380,381,0,12,16,0,0,369,12,0,6,105,0,3,0,0,1
62,0,2000000,650,0,0,0,0,0,0,0,0,13,0,4,106,0,4,0,0,3
63,0,2000000,1800,0,0,0,0,0,0,0,0,14,0,4,107,0,4,0,0,4
64,0,2000000,2450,0,0,0,0,0,0,0,0,15,0,6,108,0,4,0,0,5
65,0,2000000,100,0,0,0,0,0,0,0,370,16,0,6,109,0,4,0,0,1
66,0,2000000,0,385,386,387,5,5,15,0,371,17,0,8,103,0,3,0,0,1
67,0,2000000,0,385,0,0,24,0,0,0,0,18,0,7,104,0,3,0,0,8
68,0,2000000,0,385,386,387,8,8,12,0,372,19,0,9,105,0,3,0,0,1
69,0,2000000,650,0,0,0,0,0,0,0,0,20,0,7,106,0,4,0,0,3
70,0,2000000,1800,0,0,0,0,0,0,0,0,21,0,9,107,0,4,0,0,4
71,0,2000000,2450,0,0,0,0,0,0,0,0,22,0,7,108,0,4,0,0,5
72,0,2000000,100,0,0,0,0,0,0,0,373,23,0,7,109,0,4,0,0,1
73,0,2000000,0,392,0,0,10,0,0,0,0,24,0,9,110,0,3,0,0,8
74,0,2000000,0,385,386,387,15,15,20,0,374,25,0,8,103,0,3,0,0,1
75,0,2000000,0,380,0,0,48,0,0,0,0,26,0,6,104,0,3,0,0,8
76,0,2000000,0,375,376,377,15,15,20,0,375,27,0,4,105,0,3,0,0,1
77,0,2000000,1750,0,0,0,0,0,0,0,0,28,0,3,106,0,4,0,0,3
78,0,2000000,2800,0,0,0,0,0,0,0,0,29,0,6,107,0,4,0,0,4
79,0,2000000,0,380,381,382,15,15,21,0,376,30,0,5,103,0,3,0,0,1
80,41307,2000000,0,370,0,0,25,0,0,0,377,31,0,2,112,2,3,0,0,1
81,41307,2000000,990,0,0,0,0,0,0,0,378,32,0,10,111,2,4,0,0,1
82,41307,2000000,800,0,0,0,0,0,0,0,379,33,0,11,109,2,4,0,0,1
83,41307,2000000,0,392,0,0,35,0,0,0,0,34,0,7,110,2,3,0,0,8
84,41307,2000000,990,0,0,0,0,0,0,0,380,35,0,4,111,2,4,0,0,1
85,0,2000000,0,366,367,368,15,15,20,0,398,68,0,1,103,0,3,0,0,1
86,0,2000000,1750,0,0,0,0,0,0,0,0,69,0,6,106,0,4,0,0,3
87,0,2000000,0,375,0,0,48,0,0,0,0,70,0,4,104,0,3,0,0,8
88,0,2000000,2800,0,0,0,0,0,0,0,0,71,0,7,107,0,4,0,0,4
89,41307,2000000,800,0,0,0,0,0,0,0,399,72,0,9,109,2,4,0,0,1
90,0,2000000,0,380,381,382,15,15,20,0,400,73,0,6,105,0,3,0,0,1
91,41307,2000000,0,404,0,0,25,0,0,0,401,74,0,11,112,2,3,0,0,1
92,0,2000000,0,372,373,374,15,15,20,0,402,75,0,3,105,0,3,0,0,1
93,0,2000000,5800,0,0,0,0,0,0,0,0,76,0,11,108,0,4,0,0,5
94,41307,2000000,800,0,0,0,0,0,0,0,403,77,0,10,109,2,4,0,0,1
95,41307,2000000,0,400,0,0,35,0,0,0,0,78,0,10,110,2,3,0,0,8
96,41307,2000000,1010,0,0,0,0,0,0,0,404,79,0,10,111,2,4,0,0,1
97,41307,2000000,0,400,0,0,25,0,0,0,405,80,0,10,112,2,3,0,0,1
98,0,2000000,0,405,0,0,25,0,0,0,381,36,0,12,103,0,3,0,0,1
99,0,2000000,0,405,0,0,25,0,0,0,382,37,0,12,103,0,3,0,0,1
100,0,2000000,0,406,0,0,24,0,0,0,0,38,0,13,104,0,3,0,0,8
101,0,2000000,0,411,0,0,24,0,0,0,0,39,0,14,104,0,3,0,0,8
102,0,2000000,0,406,0,0,28,0,0,0,383,40,0,13,105,0,3,0,0,1
103,0,2000000,0,411,0,0,28,0,0,0,384,41,0,14,105,0,3,0,0,1
104,0,2000000,0,417,418,0,10,15,0,0,385,42,0,16,103,0,3,0,0,1
105,0,2000000,0,412,0,0,24,0,0,0,0,43,0,15,104,0,3,0,0,8
106,0,2000000,0,420,421,0,12,16,0,0,386,44,0,17,105,0,3,0,0,1
107,0,2000000,650,0,0,0,0,0,0,0,0,45,0,15,106,0,4,0,0,3
108,0,2000000,1800,0,0,0,0,0,0,0,0,46,0,15,107,0,4,0,0,4
109,0,2000000,2450,0,0,0,0,0,0,0,0,47,0,17,108,0,4,0,0,5
110,0,2000000,100,0,0,0,0,0,0,0,387,48,0,17,109,0,4,0,0,1
111,0,2000000,0,433,434,435,5,5,15,0,388,49,0,19,103,0,3,0,0,1
112,0,2000000,0,424,0,0,24,0,0,0,0,50,0,18,104,0,3,0,0,8
113,0,2000000,0,436,437,438,8,8,12,0,389,51,0,20,105,0,3,0,0,1
114,0,2000000,650,0,0,0,0,0,0,0,0,52,0,18,106,0,4,0,0,3
115,0,2000000,1800,0,0,0,0,0,0,0,0,53,0,20,107,0,4,0,0,4
116,0,2000000,2450,0,0,0,0,0,0,0,0,54,0,18,108,0,4,0,0,5
117,0,2000000,100,0,0,0,0,0,0,0,390,55,0,18,109,0,4,0,0,1
118,0,2000000,0,440,0,0,10,0,0,0,0,56,0,20,110,0,3,0,0,8
119,0,2000000,0,433,434,435,15,15,20,0,391,57,0,19,103,0,3,0,0,1
120,0,2000000,0,420,0,0,48,0,0,0,0,58,0,17,104,0,3,0,0,8
121,0,2000000,0,412,413,414,15,15,20,0,392,59,0,15,105,0,3,0,0,1
122,0,2000000,1750,0,0,0,0,0,0,0,0,60,0,14,106,0,4,0,0,3
123,0,2000000,2800,0,0,0,0,0,0,0,0,61,0,17,107,0,4,0,0,4
124,0,2000000,0,417,418,419,15,15,21,0,393,62,0,16,103,0,3,0,0,1
125,41307,2000000,0,408,0,0,25,0,0,0,394,63,0,13,112,2,3,0,0,1
126,41307,2000000,990,0,0,0,0,0,0,0,395,64,0,21,111,2,4,0,0,1
127,41307,2000000,800,0,0,0,0,0,0,0,396,65,0,22,109,2,4,0,0,1
128,41307,2000000,0,431,0,0,35,0,0,0,0,66,0,18,110,2,3,0,0,8
129,41307,2000000,990,0,0,0,0,0,0,0,397,67,0,15,111,2,4,0,0,1
130,0,2000000,0,417,418,419,15,15,20,0,412,87,0,16,103,0,3,0,0,1
131,0,2000000,1750,0,0,0,0,0,0,0,0,88,0,15,106,0,4,0,0,3
132,0,2000000,0,410,0,0,48,0,0,0,0,89,0,13,104,0,3,0,0,8
133,0,2000000,2800,0,0,0,0,0,0,0,0,90,0,20,107,0,4,0,0,4
134,41307,2000000,800,0,0,0,0,0,0,0,413,91,0,18,109,2,4,0,0,1
135,0,2000000,0,412,413,414,15,15,20,0,414,92,0,15,105,0,3,0,0,1
136,41307,2000000,0,453,0,0,25,0,0,0,415,93,0,22,112,2,3,0,0,1
137,0,2000000,0,420,421,422,15,15,20,0,416,94,0,17,105,0,3,0,0,1
138,0,2000000,5800,0,0,0,0,0,0,0,0,95,0,22,108,0,4,0,0,5
139,41307,2000000,800,0,0,0,0,0,0,0,417,96,0,21,109,2,4,0,0,1
140,41307,2000000,0,447,0,0,35,0,0,0,0,97,0,21,110,2,3,0,0,8
141,41307,2000000,1010,0,0,0,0,0,0,0,418,98,0,21,111,2,4,0,0,1
142,41307,2000000,0,450,0,0,25,0,0,0,419,99,0,21,112,2,3,0,0,1
143,0,2000000,0,480,0,0,3,0,0,0,4,0,0,0,99,0,3,0,0,1
144,0,2000000,0,498,0,0,3,0,0,0,5,0,0,0,99,0,3,0,0,1
145,0,2000000,0,499,0,0,3,0,0,0,6,0,0,0,99,0,3,0,0,1
146,0,2000000,0,500,0,0,3,0,0,0,7,0,0,0,99,0,3,0,0,1
147,0,2000000,0,501,0,0,3,0,0,0,8,0,0,0,99,0,3,0,0,1
148,0,2000000,0,502,0,0,3,0,0,0,9,0,0,0,99,0,3,0,0,1
149,0,2000000,0,480,0,0,3,0,0,0,10,0,0,0,99,0,3,0,0,1
150,0,2000000,0,503,0,0,3,0,0,0,11,0,0,0,99,0,3,0,0,1
151,0,2000000,0,504,0,0,3,0,0,0,12,0,0,0,100,0,3,0,0,1
152,0,2000000,0,505,0,0,1,0,0,0,13,0,0,0,147,0,3,0,0,1
153,0,2000000,0,506,0,0,2,0,0,0,14,0,0,0,147,0,3,0,0,1
154,0,2000000,0,507,0,0,1,0,0,0,15,0,0,0,147,0,3,0,0,1
155,0,2000000,0,508,0,0,1,0,0,0,16,0,0,0,147,0,3,0,0,1
156,0,2000000,0,513,0,0,3,0,0,0,17,0,0,0,99,0,3,0,0,1
157,41269,2000000,0,480,0,0,3,0,0,0,18,0,0,0,99,3,3,0,0,1
158,0,2000000,0,514,0,0,2,0,0,0,19,0,0,0,100,0,3,0,0,1
159,0,2000000,0,515,0,0,3,0,0,0,20,0,0,0,100,0,3,0,0,1
160,41269,2000000,0,516,0,0,3,0,0,0,21,0,0,0,99,3,3,0,0,1
161,41269,2000000,0,517,0,0,3,0,0,0,22,0,0,0,100,3,3,0,0,1
162,0,2000000,0,518,0,0,1,0,0,0,23,0,0,0,99,0,3,0,0,1
163,41269,2000000,0,519,0,0,1,0,0,0,24,0,0,0,99,1,3,0,0,1
164,41269,2000000,0,480,0,0,3,0,0,0,25,0,0,0,145,3,3,0,0,1
165,0,2000000,0,520,0,0,3,0,0,0,26,0,0,0,146,0,3,0,0,1
166,0,2000000,0,521,0,0,1,0,0,0,27,0,0,0,100,0,3,0,0,1
167,41269,2000000,0,522,0,0,1,0,0,0,28,0,0,0,102,1,3,0,0,1
168,0,2000000,0,523,524,525,1,1,1,0,29,0,0,0,102,0,3,0,0,1
169,0,2000000,0,526,0,0,3,0,0,0,30,0,0,0,146,0,3,0,0,1
170,41269,2000000,0,527,0,0,1,0,0,0,31,0,0,0,102,1,3,0,0,1
171,41269,2000000,0,528,0,0,1,0,0,0,32,0,0,0,102,1,3,0,0,1
172,0,2000000,0,529,530,531,1,1,1,0,33,0,0,0,146,0,3,0,0,1
173,41269,2000000,0,532,0,0,1,0,0,0,34,0,0,0,101,1,3,0,0,1
174,0,2000000,0,533,0,0,1,0,0,0,35,0,0,0,101,0,3,0,0,1
175,0,2000000,0,534,0,0,3,0,0,0,36,0,0,0,146,0,3,0,0,1
176,0,2000000,0,535,0,0,3,0,0,0,37,0,0,0,146,0,3,0,0,1
177,41269,2000000,0,536,0,0,2,0,0,0,38,0,0,0,145,2,3,0,0,1
178,41269,2000000,0,537,0,0,2,0,0,0,39,0,0,0,145,2,3,0,0,1
179,41269,2000000,0,538,0,0,2,0,0,0,40,0,0,0,145,2,3,0,0,1
180,41269,2000000,0,539,0,0,1,0,0,0,41,0,0,0,102,3,3,0,0,1
181,41269,2000000,0,540,0,0,1,0,0,0,42,0,0,0,102,2,3,0,0,1
182,0,2000000,0,541,0,0,3,0,0,0,43,0,0,0,146,0,3,0,0,1
183,0,2000000,0,542,0,0,3,0,0,0,44,0,0,0,146,0,3,0,0,1
184,0,2000000,0,483,0,0,3,0,0,0,45,0,0,0,146,0,3,0,0,1
185,41269,2000000,0,545,0,0,1,0,0,0,46,0,0,0,102,1,3,0,0,1
186,41269,2000000,0,547,0,0,1,0,0,0,47,0,0,0,102,1,3,0,0,1
187,41269,2000000,0,543,0,0,1,0,0,0,48,0,0,0,149,1,3,0,0,1
188,0,2000000,0,460,0,0,3,0,0,0,49,0,0,0,99,0,3,0,0,1
189,0,2000000,0,461,0,0,3,0,0,0,50,0,0,0,99,0,3,0,0,1
190,0,2000000,0,462,0,0,3,0,0,0,51,0,0,0,99,0,3,0,0,1
191,0,2000000,0,548,0,0,3,0,0,0,52,0,0,0,99,0,3,0,0,1
192,0,2000000,0,549,0,0,3,0,0,0,53,0,0,0,99,0,3,0,0,1
193,0,2000000,0,463,0,0,3,0,0,0,54,0,0,0,99,0,3,0,0,1
194,0,2000000,0,460,0,0,3,0,0,0,55,0,0,0,99,0,3,0,0,1
195,0,2000000,0,464,0,0,3,0,0,0,56,0,0,0,99,0,3,0,0,1
196,0,2000000,0,550,0,0,3,0,0,0,57,0,0,0,100,0,3,0,0,1
197,0,2000000,0,551,0,0,1,0,0,0,58,0,0,0,147,0,3,0,0,1
198,0,2000000,0,552,0,0,2,0,0,0,59,0,0,0,147,0,3,0,0,1
199,0,2000000,0,553,0,0,1,0,0,0,60,0,0,0,147,0,3,0,0,1
200,0,2000000,0,554,0,0,1,0,0,0,61,0,0,0,147,0,3,0,0,1
201,0,2000000,0,556,0,0,3,0,0,0,62,0,0,0,99,0,3,0,0,1
202,41269,2000000,0,460,0,0,3,0,0,0,63,0,0,0,99,3,3,0,0,1
203,0,2000000,0,557,0,0,2,0,0,0,64,0,0,0,100,0,3,0,0,1
204,0,2000000,0,558,0,0,3,0,0,0,65,0,0,0,100,0,3,0,0,1
205,41269,2000000,0,559,0,0,3,0,0,0,66,0,0,0,99,3,3,0,0,1
206,41269,2000000,0,560,0,0,3,0,0,0,67,0,0,0,100,3,3,0,0,1
207,0,2000000,0,561,0,0,1,0,0,0,68,0,0,0,99,0,3,0,0,1
208,41269,2000000,0,562,0,0,1,0,0,0,69,0,0,0,99,1,3,0,0,1
209,41269,2000000,0,460,0,0,3,0,0,0,70,0,0,0,145,3,3,0,0,1
210,0,2000000,0,465,0,0,3,0,0,0,71,0,0,0,146,0,3,0,0,1
211,0,2000000,0,563,0,0,1,0,0,0,72,0,0,0,100,0,3,0,0,1
212,41269,2000000,0,564,0,0,1,0,0,0,73,0,0,0,102,1,3,0,0,1
213,0,2000000,0,466,467,468,1,1,1,0,74,0,0,0,102,0,3,0,0,1
214,0,2000000,0,565,0,0,3,0,0,0,75,0,0,0,146,0,3,0,0,1
215,41269,2000000,0,566,0,0,1,0,0,0,76,0,0,0,102,1,3,0,0,1
216,41269,2000000,0,567,0,0,1,0,0,0,77,0,0,0,102,1,3,0,0,1
217,0,2000000,0,568,569,570,1,1,1,0,78,0,0,0,146,0,3,0,0,1
218,41269,2000000,0,571,0,0,1,0,0,0,79,0,0,0,101,1,3,0,0,1
219,0,2000000,0,572,0,0,1,0,0,0,80,0,0,0,101,0,3,0,0,1
220,0,2000000,0,573,0,0,3,0,0,0,81,0,0,0,146,0,3,0,0,1
221,0,2000000,0,574,0,0,3,0,0,0,82,0,0,0,146,0,3,0,0,1
222,41269,2000000,0,575,0,0,2,0,0,0,83,0,0,0,145,2,3,0,0,1
223,41269,2000000,0,576,0,0,2,0,0,0,84,0,0,0,145,2,3,0,0,1
224,41269,2000000,0,577,0,0,2,0,0,0,85,0,0,0,145,2,3,0,0,1
225,41269,2000000,0,469,0,0,1,0,0,0,86,0,0,0,102,3,3,0,0,1
226,41269,2000000,0,470,0,0,1,0,0,0,87,0,0,0,102,2,3,0,0,1
227,0,2000000,0,578,0,0,3,0,0,0,88,0,0,0,146,0,3,0,0,1
228,0,2000000,0,579,0,0,3,0,0,0,89,0,0,0,146,0,3,0,0,1
229,0,2000000,0,471,0,0,3,0,0,0,90,0,0,0,146,0,3,0,0,1
230,41269,2000000,0,583,0,0,1,0,0,0,91,0,0,0,102,1,3,0,0,1
231,41269,2000000,0,585,0,0,1,0,0,0,92,0,0,0,102,1,3,0,0,1
232,41269,2000000,0,580,0,0,1,0,0,0,93,0,0,0,149,1,3,0,0,1
233,0,2000000,0,460,0,0,3,0,0,0,94,0,0,0,99,0,3,0,0,1
234,0,2000000,0,461,0,0,3,0,0,0,95,0,0,0,99,0,3,0,0,1
235,0,2000000,0,462,0,0,3,0,0,0,96,0,0,0,99,0,3,0,0,1
236,0,2000000,0,586,0,0,3,0,0,0,97,0,0,0,99,0,3,0,0,1
237,0,2000000,0,472,0,0,3,0,0,0,98,0,0,0,99,0,3,0,0,1
238,0,2000000,0,463,0,0,3,0,0,0,99,0,0,0,99,0,3,0,0,1
239,0,2000000,0,460,0,0,3,0,0,0,100,0,0,0,99,0,3,0,0,1
240,0,2000000,0,464,0,0,3,0,0,0,101,0,0,0,99,0,3,0,0,1
241,0,2000000,0,587,0,0,3,0,0,0,102,0,0,0,100,0,3,0,0,1
242,0,2000000,0,588,0,0,1,0,0,0,103,0,0,0,147,0,3,0,0,1
243,0,2000000,0,589,0,0,2,0,0,0,104,0,0,0,147,0,3,0,0,1
244,0,2000000,0,590,0,0,1,0,0,0,105,0,0,0,147,0,3,0,0,1
245,0,2000000,0,591,0,0,1,0,0,0,106,0,0,0,147,0,3,0,0,1
246,0,2000000,0,593,0,0,3,0,0,0,107,0,0,0,99,0,3,0,0,1
247,41269,2000000,0,460,0,0,3,0,0,0,108,0,0,0,99,3,3,0,0,1
248,0,2000000,0,594,0,0,2,0,0,0,109,0,0,0,100,0,3,0,0,1
249,0,2000000,0,595,0,0,3,0,0,0,110,0,0,0,100,0,3,0,0,1
250,41269,2000000,0,596,0,0,3,0,0,0,111,0,0,0,99,3,3,0,0,1
251,41269,2000000,0,597,0,0,3,0,0,0,112,0,0,0,100,3,3,0,0,1
252,0,2000000,0,598,0,0,1,0,0,0,113,0,0,0,99,0,3,0,0,1
253,41269,2000000,0,599,0,0,1,0,0,0,114,0,0,0,99,1,3,0,0,1
254,41269,2000000,0,460,0,0,3,0,0,0,115,0,0,0,145,3,3,0,0,1
255,0,2000000,0,465,0,0,3,0,0,0,116,0,0,0,146,0,3,0,0,1
256,0,2000000,0,600,0,0,1,0,0,0,117,0,0,0,100,0,3,0,0,1
257,41269,2000000,0,601,0,0,1,0,0,0,118,0,0,0,102,1,3,0,0,1
258,0,2000000,0,466,467,468,1,1,1,0,119,0,0,0,102,0,3,0,0,1
259,0,2000000,0,602,0,0,3,0,0,0,120,0,0,0,146,0,3,0,0,1
260,41269,2000000,0,603,0,0,1,0,0,0,121,0,0,0,102,1,3,0,0,1
261,41269,2000000,0,604,0,0,1,0,0,0,122,0,0,0,102,1,3,0,0,1
262,0,2000000,0,605,606,607,1,1,1,0,123,0,0,0,146,0,3,0,0,1
263,41269,2000000,0,608,0,0,1,0,0,0,124,0,0,0,101,1,3,0,0,1
264,0,2000000,0,609,0,0,1,0,0,0,125,0,0,0,101,0,3,0,0,1
265,0,2000000,0,610,0,0,3,0,0,0,126,0,0,0,146,0,3,0,0,1
266,0,2000000,0,611,0,0,3,0,0,0,127,0,0,0,146,0,3,0,0,1
267,41269,2000000,0,612,0,0,2,0,0,0,128,0,0,0,145,2,3,0,0,1
268,41269,2000000,0,613,0,0,2,0,0,0,129,0,0,0,145,2,3,0,0,1
269,41269,2000000,0,614,0,0,2,0,0,0,130,0,0,0,145,2,3,0,0,1
270,41269,2000000,0,469,0,0,1,0,0,0,131,0,0,0,102,3,3,0,0,1
271,41269,2000000,0,470,0,0,1,0,0,0,132,0,0,0,102,2,3,0,0,1
272,0,2000000,0,615,0,0,3,0,0,0,133,0,0,0,146,0,3,0,0,1
273,0,2000000,0,616,0,0,3,0,0,0,134,0,0,0,146,0,3,0,0,1
274,0,2000000,0,471,0,0,3,0,0,0,135,0,0,0,146,0,3,0,0,1
275,41269,2000000,0,619,0,0,1,0,0,0,136,0,0,0,102,1,3,0,0,1
276,41269,2000000,0,621,0,0,1,0,0,0,137,0,0,0,102,1,3,0,0,1
277,41269,2000000,0,617,0,0,1,0,0,0,138,0,0,0,149,1,3,0,0,1
278,0,2000000,0,460,0,0,3,0,0,0,139,0,0,0,99,0,3,0,0,1
279,0,2000000,0,461,0,0,3,0,0,0,140,0,0,0,99,0,3,0,0,1
280,0,2000000,0,462,0,0,3,0,0,0,141,0,0,0,99,0,3,0,0,1
281,0,2000000,0,622,0,0,3,0,0,0,142,0,0,0,99,0,3,0,0,1
282,0,2000000,0,472,0,0,3,0,0,0,143,0,0,0,99,0,3,0,0,1
283,0,2000000,0,623,0,0,3,0,0,0,144,0,0,0,99,0,3,0,0,1
284,0,2000000,0,460,0,0,3,0,0,0,145,0,0,0,99,0,3,0,0,1
285,0,2000000,0,464,0,0,3,0,0,0,146,0,0,0,99,0,3,0,0,1
286,0,2000000,0,624,0,0,3,0,0,0,147,0,0,0,100,0,3,0,0,1
287,0,2000000,0,625,0,0,1,0,0,0,148,0,0,0,147,0,3,0,0,1
288,0,2000000,0,626,0,0,2,0,0,0,149,0,0,0,147,0,3,0,0,1
289,0,2000000,0,627,0,0,1,0,0,0,150,0,0,0,147,0,3,0,0,1
290,0,2000000,0,628,0,0,1,0,0,0,151,0,0,0,147,0,3,0,0,1
291,0,2000000,0,629,0,0,3,0,0,0,152,0,0,0,99,0,3,0,0,1
292,41269,2000000,0,460,0,0,3,0,0,0,153,0,0,0,99,3,3,0,0,1
293,0,2000000,0,630,0,0,2,0,0,0,154,0,0,0,100,0,3,0,0,1
294,0,2000000,0,631,0,0,3,0,0,0,155,0,0,0,100,0,3,0,0,1
295,41269,2000000,0,632,0,0,3,0,0,0,156,0,0,0,99,3,3,0,0,1
296,41269,2000000,0,633,0,0,3,0,0,0,157,0,0,0,100,3,3,0,0,1
297,0,2000000,0,634,0,0,1,0,0,0,158,0,0,0,99,0,3,0,0,1
298,41269,2000000,0,635,0,0,1,0,0,0,159,0,0,0,99,1,3,0,0,1
299,41269,2000000,0,460,0,0,3,0,0,0,160,0,0,0,145,3,3,0,0,1
300,0,2000000,0,465,0,0,3,0,0,0,161,0,0,0,146,0,3,0,0,1
301,0,2000000,0,636,0,0,1,0,0,0,162,0,0,0,100,0,3,0,0,1
302,41269,2000000,0,637,0,0,1,0,0,0,163,0,0,0,102,1,3,0,0,1
303,0,2000000,0,466,467,468,1,1,1,0,164,0,0,0,102,0,3,0,0,1
304,0,2000000,0,638,0,0,3,0,0,0,165,0,0,0,146,0,3,0,0,1
305,41269,2000000,0,639,0,0,1,0,0,0,166,0,0,0,102,1,3,0,0,1
306,41269,2000000,0,640,0,0,1,0,0,0,167,0,0,0,102,1,3,0,0,1
307,0,2000000,0,641,642,643,1,1,1,0,168,0,0,0,146,0,3,0,0,1
