0,"dummy","Ja, frag nicht lange.","Was?! Warte!"
18,"Mit dem kleinen Schl\xc3\xbcssel die T\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
19,"Die Mistelt\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
20,"Die Nelkent\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
21,"Die Lilient\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
22,"Die Rosent\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
23,"Die Flamme l\xc3\xb6schen?","Ja","Nein"
24,"Den Sph\xc3\xa4rolithen zerst\xc3\xb6ren?","Ja","Nein"
25,"Die Lampe l\xc3\xb6schen?","Ja","Nein"
26,"Den Hebel umlegen und das Tor \xc3\xb6ffnen?","Ja","Nein"
27,"(\xe4\xbb\xae)\xe6\x80\xaa\xe6\xa8\xb9\xe3\x81\xae\xe6\xa0\xb9\xe3\x81\xab\xe8\xa7\xa6\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
28,"(\xe4\xbb\xae)\xe6\x80\xaa\xe6\xa8\xb9\xe3\x81\xae\xe5\xae\x9f\xe3\x81\xab\xe8\xa7\xa6\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
29,"Das Kleinod des Ketzers benutzen?","Ja","Nein"
30,"Den Magitek-Transporter benutzen?","Ja","Nein"
31,"Das blutige Pergament lesen?","Ja","Nein"
32,"Den Aufzugshebel bet\xc3\xa4tigen?","Ja","Nein"
33,"Den Aufzugshebel bet\xc3\xa4tigen?","Ja","Nein"
34,"Die Sprengvorrichtung aktivieren?","Ja","Nein"
35,"12 Unzen Sprengstoff in die Pulverkammer f\xc3\xbcllen?","Ja","Nein"
36,"Die Abk\xc3\xbcrzung nehmen?","Ja","Nein"
37,"Das Versteck-Haupttor \xc3\xb6ffnen?","Ja","Nein"
38,"\x02+\x18\xff\x16\x022\x12\xff\nEventItem\x02\xe8\x02\x02\x05\x02\x03\x03 benutzen?","Ja","Nein"
39,"Da ist ein Schalter. Dr\xc3\xbccken?","Ja","Nein"
40,"In den Magiewirbel springen?","Ja","Nein"
41,"In den Magiewirbel springen?","Ja","Nein"
42,"Die Falle ausl\xc3\xb6sen?","Ja","Nein"
43,"Den Hebel umlegen und das Tor \xc3\xb6ffnen?","Ja","Nein"
44,"Die T\xc3\xbcr der Kapit\xc3\xa4nsstube \xc3\xb6ffnen?","Ja","Nein"
45,"Das Wellenfahrer-Tor \xc3\xb6ffnen?","Ja","Nein"
46,"Die Kerkert\xc3\xbcr \xc3\xb6ffnen?","Ja","Nein"
47,"Die Waage des Urteils dr\xc3\xbccken?","Ja","Nein"
48,"In den Treibsand springen?","Ja","Nein"
49,"Den garleischen Kennschl\xc3\xbcssel benutzen, um die Sperre zu entriegeln?","Ja","Nein"
50,"In den Entsorgungsschacht zw\xc3\xa4ngen?","Ja","Nein"
51,"Den n\xc3\xa4chsten Bereich betreten?","Ja","Nein"
52,"Den garleischen Kennschl\xc3\xbcssel benutzen?","Ja","Nein"
53,"Den Sprengstoff Klasse XXXVII benutzen?","Ja","Nein"
54,"Den Echelon-Lift aktivieren?\x02\x10\x01\x03\xe2\x80\xbb Alle Gruppenmitglieder begleiten dich.","Ja","Nein"
55,"Die Porta Decumana \xc3\xb6ffnen?\x02\x10\x01\x03\xe2\x80\xbb Alle Gruppenmitglieder begleiten dich.","Ja","Nein"
56,"Den Lift rufen?","Ja","Nein"
57,"Den Lift aktivieren?","Ja","Nein"
58,"Die Magitek-Kampfmaschine besteigen?","Ja","Nein"
59,"Das Laternen\xc3\xb6l benutzen?","Ja","Nein"
60,"Teleportieren?","Ja","Nein"
61,"Den n\xc3\xa4chsten Bereich betreten?","Ja","Nein"
62,"Den Schleichpfad betreten?","Ja","Nein"
63,"Die Bretterbarrikade entriegeln?","Ja","Nein"
64,"Dich der Kristallkugel anvertrauen?","Ja","Nein"
65,"Dich der Kristallkugel anvertrauen?","Ja","Nein"
66,"Die Lilient\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
67,"Die Rosent\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
68,"Mit dem kleinen Schl\xc3\xbcssel die T\xc3\xbcr aufschlie\xc3\x9fen?","Ja","Nein"
69,"Zur zweiten Runde weitergehen?","Ja","Nein"
70,"Zur dritten Runde weitergehen?","Ja","Nein"
71,"Die Steintafel auf den Steinsockel legen?","Ja","Nein"
72,"Das Tor zur Hauptvorratskammer aufschlie\xc3\x9fen?","Ja","Nein"
73,"Den Pumpenhebel bet\xc3\xa4tigen?","Ja","Nein"
74,"Den Sonnenstein in die Vertiefung einsetzen?","Ja","Nein"
75,"Das Rad drehen?","Ja","Nein"
76,"Die Zelle \xc3\xb6ffnen?","Ja","Nein"
77,"Den Mondstein in die Vertiefung einsetzen?","Ja","Nein"
78,"Den Sonnenstein in die Vertiefung einsetzen?","Ja","Nein"
79,"Den Mondstein in die Vertiefung einsetzen?","Ja","Nein"
80,"Den Sternenstein in die Vertiefung einsetzen?","Ja","Nein"
81,"Die T\xc3\xbcr zum H\xc3\xa4retiker-Steig \xc3\xb6ffnen?","Ja","Nein"
82,"Die T\xc3\xbcr zur Eiss\xc3\xa4ulen-Arena \xc3\xb6ffnen?","Ja","Nein"
83,"Den n\xc3\xa4chsten Bereich betreten?","Ja","Nein"
84,"Die Elfenbein-Kapelle verlassen?","Ja","Nein"
85,,,
86,"Den Kennschl\xc3\xbcssel benutzen?","Ja","Nein"
87,"Den Spielinhalt \x02)\x03\xeb9\x03 verlassen?","Ja","Nein"
88,"(\xe4\xbb\xae)\xe6\x9c\xac\xe6\xa3\x9a\xe3\x81\xab\xe9\xad\x94\xe9\x81\x93\xe6\x9b\xb8\xe3\x82\x92\xe6\x8c\xbf\xe3\x81\x97\xe8\xbe\xbc\xe3\x81\xbf\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
89,"Ein Donnerei opfern?","Ja","Nein"
90,"Den Stahlhebel einsetzen und bet\xc3\xa4tigen?","Ja","Nein"
91,"Die T\xc3\xbcr zur Kaserne \xc3\xb6ffnen?","Ja","Nein"
92,"Die T\xc3\xbcr zum Kommandozimmer \xc3\xb6ffnen?","Ja","Nein"
93,"Den Aufzug aktivieren?","Ja","Nein"
