#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
47,十二神の加護効果アップII,0,5460,0,17,18,50,18,0,False
48,ストーンウィスパラー,0,5430,0,16,17,11,17,0,False
49,ストーンウィスパラーII,0,5431,0,16,17,16,17,0,False
50,ストーンウィスパラーIII,0,5432,0,16,17,21,17,0,False
51,ストーンウィスパラーIV,0,5433,0,16,17,26,17,0,False
52,十二神の加護効果アップ,0,5434,0,16,17,41,17,0,False
53,十二神の加護効果アップII,0,5435,0,16,17,50,17,0,False
54,砂海釣り,0,5483,0,18,19,35,19,0,False
55,雲海釣り,0,5484,0,18,19,45,19,0,False
56,ステルス効果アップ,0,0,30,0,0,0,0,0,False
57,ステルス効果アップII,0,0,40,0,0,0,0,0,False
58,ステルス効果アップIII,0,0,50,0,0,0,0,0,False
59,ガルアイ,0,5479,15,18,19,15,19,0,False
60,ガルアイII,0,0,35,0,0,0,0,0,False
61,ガルアイIII,0,0,50,0,0,0,0,0,False
62,泳がせ釣り効果アップ,0,5482,0,18,19,40,19,0,False
63,エーテルフロー効果アップ,0,0,0,0,0,0,0,0,False
64,ＩＮＴアップ,0,0,0,0,0,0,0,0,False
65,ＩＮＴアップII,0,0,0,0,0,0,0,0,False
66,アクションダメージ・回復量アップ,0,5185,10,26,68,20,68,0,False
67,エーテルフロー効果アップII,0,0,0,0,0,0,0,0,False
68,ＩＮＴアップIII,0,0,0,0,0,0,0,0,False
69,アクションダメージ・回復量アップII,0,5186,30,26,68,40,68,0,False
70,エーテルフロー効果アップIII,0,0,0,0,0,0,0,0,False
71,ＳＴＲアップ,0,9004,5,0,0,2,0,0,False
72,最大ＨＰアップ,0,9001,10,0,0,3,0,0,False
73,命中率アップ,0,9010,5,0,0,5,0,0,False
74,クリティカルアップ,0,9012,15,0,0,6,0,0,False
75,ＳＴＲアップ,0,9004,5,0,0,8,0,0,False
76,最大ＨＰアップ,0,9001,10,0,0,9,0,0,False
77,ＳＴＲアップ,0,9004,5,0,0,2,0,0,False
78,最大ＨＰアップ,0,9001,5,0,0,3,0,0,False
79,命中率アップ,0,9010,5,0,0,5,0,0,False
80,クリティカルアップ,0,9012,15,0,0,6,0,0,False
81,ＳＴＲアップ,0,9004,10,0,0,8,0,0,False
82,攻撃速度アップ,0,9013,-10,0,0,9,0,0,False
83,ＭＮＤアップ,0,9008,10,0,0,2,0,0,False
84,最大ＨＰアップ,0,9001,5,0,0,3,0,0,False
85,命中率アップ,0,9010,5,0,0,5,0,0,False
86,クリティカルアップ,0,9012,15,0,0,6,0,0,False
87,ＭＮＤアップ,0,9008,15,0,0,8,0,0,False
88,最大ＨＰアップ,0,9001,5,0,0,9,0,0,False
89,ＤＥＸアップ,0,0,0,0,0,0,0,0,False
90,落下ダメージ軽減,0,5401,10,29,93,14,93,0,False
91,ＤＥＸアップII,0,0,0,0,0,0,0,0,False
92,ＤＥＸアップIII,0,0,0,0,0,0,0,0,False
93,移動速度アップ,0,5403,10,29,93,20,93,0,False
94,ニメーヤの加護,0,5436,0,16,17,42,17,0,False
95,ストーンウィスパラーV,67617,5437,0,16,17,53,17,0,False
96,ステルス効果アップIV,0,0,54,0,0,0,0,0,False
97,ステルス効果アップV,0,0,57,0,0,0,0,0,False
98,ステルス効果アップVI,0,0,60,0,0,0,0,0,False
99,ニメーヤの加護,0,5461,0,17,18,42,18,0,False
100,ツリーウィスパラーV,67585,5462,0,17,18,53,18,0,False
101,ステルス効果アップIV,0,0,54,0,0,0,0,0,False
102,ステルス効果アップV,0,0,57,0,0,0,0,0,False
103,ステルス効果アップVI,0,0,60,0,0,0,0,0,False
104,ガルアイIV,0,0,55,0,0,0,0,0,False
105,ガルアイV,0,0,60,0,0,0,0,0,False
106,浮島釣り,67622,5488,0,18,19,53,19,0,False
107,ステルス効果アップIV,0,0,54,0,0,0,0,0,False
108,ステルス効果アップV,0,0,57,0,0,0,0,0,False
109,ステルス効果アップVI,0,0,60,0,0,0,0,0,False
110,溶岩釣り,67623,5489,0,18,19,55,19,0,False
111,魔泉釣り,67624,5490,0,18,19,58,19,0,False
112,ＶＩＴアップ,0,0,0,0,0,0,0,0,False
113,ＶＩＴアップII,0,0,0,0,0,0,0,0,False
114,ＶＩＴアップIII,0,0,0,0,0,0,0,0,False
115,ＤＥＸアップ,0,0,0,0,0,0,0,0,False
116,ＤＥＸアップII,0,0,0,0,0,0,0,0,False
117,アクションダメージアップ,0,6002,10,31,96,20,96,0,False
118,ＤＥＸアップIII,0,0,0,0,0,0,0,0,False
119,アクションダメージアップII,0,6003,20,31,96,40,96,0,False
120,ＭＮＤアップ,0,0,0,0,0,0,0,0,False
121,ＭＮＤアップII,0,0,0,0,0,0,0,0,False
122,アクションダメージ・回復量アップ,0,6102,10,33,99,20,99,0,False
123,ＭＮＤアップIII,0,0,0,0,0,0,0,0,False
124,ベネフィク効果アップ,0,6105,15,33,99,36,99,0,False
125,アクションダメージ・回復量アップII,0,6103,30,33,99,40,99,0,False
126,ステルス効果アップVII,0,0,64,0,0,0,0,0,False
127,ステルス効果アップVIII,0,0,67,0,0,0,0,0,False
128,ステルス効果アップIX,0,0,70,0,0,0,0,0,False
129,ステルス効果アップVII,0,0,64,0,0,0,0,0,False
130,ステルス効果アップVIII,0,0,67,0,0,0,0,0,False
131,ステルス効果アップIX,0,0,70,0,0,0,0,0,False
132,ステルス効果アップVII,0,0,64,0,0,0,0,0,False
133,ステルス効果アップVIII,0,0,67,0,0,0,0,0,False
134,ステルス効果アップIX,0,0,70,0,0,0,0,0,False
135,塩湖釣り,0,5499,0,18,19,68,19,0,False
136,ガルアイVI,0,0,65,0,0,0,0,0,False
137,ガルアイVII,0,0,70,0,0,0,0,0,False
138,品質精査,67978,6976,2,8,9,63,9,0,False
139,品質精査,68152,6976,2,9,10,63,10,0,False
140,品質精査,68131,6976,2,10,11,63,11,0,False
141,品質精査,68136,6976,2,11,12,63,12,0,False
142,品質精査,68146,6976,2,12,13,63,13,0,False
143,品質精査,67968,6976,2,13,14,63,14,0,False
144,品質精査,67973,6976,2,14,15,63,15,0,False
145,品質精査,68141,6976,2,15,16,63,16,0,False
146,魔匠の閃き,0,0,0,0,0,0,0,0,False
147,魔匠の閃き,0,0,0,0,0,0,0,0,False
148,魔匠の閃き,0,0,0,0,0,0,0,0,False
149,魔匠の閃き,0,0,0,0,0,0,0,0,False
150,魔匠の閃き,0,0,0,0,0,0,0,0,False
151,魔匠の閃き,0,0,0,0,0,0,0,0,False
152,魔匠の閃き,0,0,0,0,0,0,0,0,False
153,魔匠の閃き,0,0,0,0,0,0,0,0,False
154,オートファゾム,68458,5497,0,18,19,61,19,0,False
155,フィッシュウィスパラー,0,0,0,0,0,0,0,0,False
156,かばう効果アップ,0,5209,-20,0,0,0,0,0,False
157,ウォークライ効果アップ,0,5259,0,21,22,66,22,0,False
158,ブラックブラッド,0,6059,0,32,98,62,98,0,False
159,ブラックブラッドII,0,6060,0,32,98,66,98,0,False
160,闘気充填アップ,0,5234,80,20,21,38,21,0,False
161,羅刹衝マスタリー,0,5235,2,0,0,0,0,0,False
162,ランスマスタリー,0,5284,0,0,0,0,0,0,False
163,紅の竜血,68450,5289,0,22,23,70,23,0,False
164,毒刃,0,0,0,0,0,0,0,0,False
165,集気法,0,5411,6,30,92,62,92,0,False
166,縮地効果アップ,0,5412,0,30,92,64,92,0,False
167,ぶんどる効果アップ,0,0,0,0,0,0,0,0,False
168,バイトマスタリー,0,5309,0,23,24,64,24,0,False
169,エンピリアルアロー効果アップ,0,5310,0,23,24,68,24,0,False
170,ショットマスタリー,0,0,0,0,0,0,0,0,False
171,サンダーマスタリー,66612,5357,0,25,26,45,26,0,False
172,サンダーマスタリーII,0,5358,0,25,26,64,26,0,False
173,アンブラルハート効果アップ,0,5359,-34,0,0,0,0,0,False
174,エノキアン効果アップ,68128,5360,5,25,26,70,26,0,False
175,コラプションマスタリー,0,5376,0,0,0,0,0,0,False
176,ルインラ効果アップ,0,5377,0,0,0,0,0,0,False
177,コラプションマスタリーII,0,5378,0,0,0,0,0,0,False
178,トランス・バハムート効果アップ,68165,5380,0,27,28,70,28,0,False
179,ストーンマスタリー,0,5333,0,6,53,18,53,0,False
180,エアロマスタリー,0,5334,0,6,53,46,53,0,False
181,ストーンマスタリーII,67257,5336,0,24,25,54,25,0,False
182,ストーンマスタリーIII,0,5337,0,24,25,64,25,0,False
183,シークレットリリーII,0,5338,20,0,0,0,0,0,False
184,炎法マスタリーII,0,5392,0,28,29,64,29,0,False
185,エーテルフローリキャストタイム短縮,0,0,100,0,0,0,0,0,False
186,コンバスマスタリー,0,6109,0,33,99,46,99,0,False
187,マレフィクマスタリー,67558,6110,0,33,99,54,99,0,False
188,マレフィクマスタリーII,0,6111,0,33,99,64,99,0,False
189,ライトスピード効果アップ,0,6101,-300,33,99,68,99,0,False
190,オート山師の直感,0,0,60,0,0,0,0,0,False
191,オート開拓者の手,0,0,60,0,0,0,0,0,False
192,GP回復量アップ,68094,5444,1,16,17,70,17,0,False
193,GP回復量アップ,68160,5469,1,17,18,70,18,0,False
194,GP回復量アップ,68435,5498,1,18,19,70,19,0,False
195,ジョルト効果アップ,0,6201,0,35,112,62,112,0,False
196,シークレットリリー,67256,5335,0,24,25,52,25,0,False
197,ＩＮＴアップ,0,0,0,0,0,0,0,0,False
198,ＩＮＴアップII,0,0,0,0,0,0,0,0,False
199,ＩＮＴアップIII,0,0,0,0,0,0,0,0,False
200,アクションダメージ・回復量アップ,0,5185,10,35,112,20,112,0,False
201,アクションダメージ・回復量アップII,0,5186,30,35,112,40,112,0,False
202,ＳＴＲアップ,0,0,0,0,0,0,0,0,False
203,ＳＴＲアップII,0,0,0,0,0,0,0,0,False
204,ＳＴＲアップIII,0,0,0,0,0,0,0,0,False
205,毒刃II,0,0,0,0,0,0,0,0,False
206,ジョルラ効果アップ,0,0,0,0,0,0,0,0,False
207,神聖魔法マスタリー,0,5210,-50,19,20,64,20,0,False
208,剣気マスタリーII,0,6151,5,34,111,62,111,0,False
209,忠義マスタリー,66592,5211,0,19,20,35,20,0,False
210,ＭＮＤアップ,0,0,0,0,0,0,0,0,False
211,ＭＮＤアップII,0,0,0,0,0,0,0,0,False
212,ＭＮＤアップIII,0,0,0,0,0,0,0,0,False
213,エンキンドル効果アップ,0,5379,-600,0,0,0,0,0,False
214,炎法マスタリー,67209,5394,0,28,29,54,29,0,False
215,剣気マスタリー,0,6152,0,34,111,52,111,0,False
216,連続魔,0,6203,0,35,112,1,112,0,False
217,ルインマスタリー,65997,5395,0,26,69,30,69,0,False
218,バーサクマスタリー,68440,5260,0,21,22,70,22,0,False
219,ラーニング,0,6251,0,36,129,1,129,0,False
220,アクションダメージ・回復量アップ,0,5185,10,36,129,10,129,0,False
221,アクションダメージ・回復量アップII,0,5186,20,36,129,20,129,0,False
222,アクションダメージ・回復量アップIII,0,5187,30,36,129,30,129,0,False
223,アクションダメージ・回復量アップIV,0,5188,40,36,129,40,129,0,False
224,アクションダメージ・回復量アップV,0,5189,50,36,129,50,129,0,False
225,ステルス効果アップX,0,0,74,0,0,0,0,0,False
226,ステルス効果アップXI,0,0,77,0,0,0,0,0,False
227,ステルス効果アップXII,0,0,80,0,0,0,0,0,False
228,ステルス効果アップX,0,0,74,0,0,0,0,0,False
229,ステルス効果アップXI,0,0,77,0,0,0,0,0,False
230,ステルス効果アップXII,0,0,80,0,0,0,0,0,False
231,ステルス効果アップX,0,0,74,0,0,0,0,0,False
232,ステルス効果アップXI,0,0,77,0,0,0,0,0,False
233,ステルス効果アップXII,0,0,80,0,0,0,0,0,False
234,ガルアイVIII,0,0,75,0,0,0,0,0,False
235,ガルアイIX,0,0,80,0,0,0,0,0,False
236,GP回復量アップII,0,5449,2,16,17,80,17,0,False
237,GP回復量アップII,0,5474,2,17,18,80,18,0,False
238,GP回復量アップII,0,5496,2,18,19,80,19,0,False
239,GP回復量アップIII,0,5441,3,16,17,83,17,0,False
240,GP回復量アップIII,0,5466,3,17,18,83,18,0,False
241,GP回復量アップIII,0,5486,3,18,19,83,19,0,False
242,石工の理効果アップ,0,5442,50,16,17,90,17,0,False
243,老農の知効果アップ,0,5467,50,17,18,90,18,0,False
244,ビッグフィッシャー,0,5485,0,18,19,15,19,0,False
245,闘気充填アップII,0,5238,100,20,21,74,21,0,False
246,シバルリー,0,5212,0,19,20,58,20,0,False
247,ランスマスタリー,0,5284,0,22,23,76,23,0,False
248,,0,0,0,0,0,0,0,0,False
249,インナービースト,66586,5261,0,21,22,35,22,0,False
250,活殺自在効果アップ,0,5414,0,30,92,76,92,0,False
251,アクションダメージアップ,0,6351,10,38,150,50,150,0,False
252,幻扇,0,6352,0,38,150,30,150,0,False
253,アクションダメージアップII,0,6353,20,38,150,60,150,0,False
254,アン・アヴァン効果アップ,0,6354,2,38,150,68,150,0,False
255,エスプリ,0,6355,0,38,150,76,150,0,False
256,アン・アヴァン効果アップII,0,6356,3,38,150,78,150,0,False
257,ソイルチャージ,0,6301,0,37,149,30,149,0,False
258,ブルータルシェル効果アップ,0,6302,0,37,149,52,149,0,False
259,デンジャーゾーンマスタリー,0,6303,0,37,149,80,149,0,False
260,レイジ・オブ・ハルオーネマスタリー,67573,5213,0,19,20,60,20,0,False
261,プロミネンス効果アップ,0,5214,0,19,20,72,20,0,False
262,シェルトロン効果アップ,0,5215,0,19,20,74,20,0,False
263,レクイエスカット効果アップ,0,5216,0,19,20,80,20,0,False
264,忠義の剣,0,5217,0,19,20,76,20,0,False
265,原初の魂マスタリー,66124,5262,0,21,22,54,22,0,False
266,スチールサイクロンマスタリー,66137,5263,0,21,22,60,22,0,False
267,原初の混沌,0,5264,0,21,22,72,22,0,False
268,インナービーストマスタリー,0,5265,0,21,22,74,22,0,False
269,スリル・オブ・バトル効果アップ,0,5258,0,21,22,78,22,0,False
270,,0,0,0,0,0,0,0,0,False
271,暗黒マスタリー,0,6062,0,32,98,74,98,0,False
272,プランジカット効果アップ,0,6063,2,0,0,0,0,0,False
273,疾風の極意,0,0,0,0,0,0,0,0,False
274,紅蓮の構え効果アップ,0,5237,0,0,0,0,0,0,False
275,ジャンプマスタリー,0,5286,0,22,23,74,23,0,False
276,竜血マスタリー,0,5287,0,0,0,0,0,0,False
277,居合術効果アップ,0,6153,0,34,111,74,111,0,False
278,風月・風花効果アップ,0,6154,0,34,111,78,111,0,False
279,縮地効果アップII,0,5415,2,30,92,74,92,0,False
280,集気法II,0,5416,0,30,92,78,92,0,False
281,,0,0,0,0,0,0,0,0,False
282,ストレートショットマスタリー,68430,5311,0,23,24,70,24,0,False
283,クイックノック効果アップ,0,5304,0,5,50,25,50,0,False
284,バイトマスタリーII,0,5312,0,23,24,76,24,0,False
285,ヘヴィショットマスタリー,0,5306,0,23,24,76,24,0,False
286,軍神のパイオン効果アップ,0,5314,0,23,24,78,24,0,False
287,ソウルボイス,0,5315,0,23,24,80,24,0,False
288,スプリットショットマスタリー,67243,6010,0,31,96,54,96,0,False
289,スラッグショットマスタリー,67248,6011,0,31,96,60,96,0,False
290,クリーンショットマスタリー,0,6012,0,31,96,64,96,0,False
291,ホットショットマスタリー,0,6016,0,31,96,76,96,0,False
292,チャージアクション効果アップ,0,6013,3,31,96,74,96,0,False
293,ワイルドファイア効果アップ,0,6014,0,31,96,78,96,0,False
294,プロモーション,0,6015,0,31,96,80,96,0,False
295,アンブラルハート,0,5656,0,25,26,58,26,0,False
296,極性マスタリー,0,5362,0,7,55,1,55,0,False
297,ポリグロット効果アップ,0,5363,0,25,26,80,26,0,False
298,トランス・バハムート効果アップII,0,5676,0,0,0,0,0,0,False
299,エギアサルト効果アップ,0,5677,0,0,0,0,0,0,False
300,トライディザスター効果アップ,0,5678,0,0,0,0,0,0,False
301,ベイン効果アップ,0,5679,0,0,0,0,0,0,False
302,トランス・フェニックス効果アップ ,0,5680,0,0,0,0,0,0,False
303,スキャッターマスタリー,0,6207,0,35,112,66,112,0,False
304,デプラスマン効果アップ,0,6204,0,35,112,72,112,0,False
305,マナフィケーション効果アップ,0,6205,-100,0,0,0,0,0,False
306,赤魔法マスタリー,0,6206,-100,35,112,74,112,0,False
307,エアロマスタリーII,0,5339,0,24,25,72,25,0,False
308,ストーンマスタリーIV,0,5340,0,24,25,72,25,0,False
309,ハート・オブ・ソラス効果アップ,0,5341,0,24,25,74,25,0,False
310,アサイラム効果アップ,0,5342,0,24,25,78,25,0,False
311,コラプションマスタリーII,0,5701,0,28,29,72,29,0,False
312,炎法マスタリーIII,0,5702,0,28,29,72,29,0,False
313,野戦治療の陣効果アップ,0,5703,0,28,29,78,29,0,False
314,コンバスマスタリーII,0,6112,0,33,99,72,99,0,False
315,マレフィクマスタリーIII,0,6113,0,33,99,72,99,0,False
316,ディグニティ効果アップ,0,6114,2,33,99,78,99,0,False
317,タンクマスタリー,0,5190,-20,1,38,1,38,0,False
318,タンクマスタリー,0,5190,-20,3,44,1,44,0,False
319,タンクマスタリー,0,5190,-20,32,98,1,98,0,False
320,タンクマスタリー,0,5190,-20,37,149,1,149,0,False
321,激成魔効果アップ,0,5364,-300,0,0,0,0,0,False
322,エノキアン効果アップII,0,5365,10,25,26,78,26,0,False
323,,0,0,0,0,0,0,0,0,False
324,コラプションマスタリー,0,5376,0,28,29,26,29,0,False
325,オートトゥルー・オブ・ミネラル,0,5427,0,16,17,60,17,0,False
326,オートトゥルー・オブ・フォレスト,0,5452,0,17,18,60,18,0,False
327,オートトゥルー・オブ・オーシャン,68458,5476,0,18,19,70,19,0,False
328,オートスニーク,0,5428,0,16,17,27,17,0,False
329,オートスニーク,0,5453,0,17,18,27,18,0,False
330,オートスニーク,0,5477,0,18,19,27,19,0,False
331,十二神の加護効果アップIII,0,5440,0,16,17,71,17,0,False
332,十二神の加護効果アップIII,0,5465,0,17,18,71,18,0,False
333,バウンティフルイールドマスタリー,68093,5429,0,16,17,68,17,0,False
334,アナースマスタリー,0,0,0,0,0,0,0,0,False
335,直感選別マスタリー,0,0,0,0,0,0,0,0,False
336,バウンティフルハーベストマスタリー,68159,5454,0,17,18,68,18,0,False
337,リーフターンマスタリー,0,0,0,0,0,0,0,0,False
338,直感選別マスタリー,0,0,0,0,0,0,0,0,False
339,作業マスタリー,0,6979,0,8,9,31,9,0,False
340,作業マスタリー,0,6980,0,9,10,31,10,0,False
341,作業マスタリー,0,6981,0,10,11,31,11,0,False
342,作業マスタリー,0,6982,0,11,12,31,12,0,False
343,作業マスタリー,0,6983,0,12,13,31,13,0,False
344,作業マスタリー,0,6984,0,13,14,31,14,0,False
345,作業マスタリー,0,6985,0,14,15,31,15,0,False
346,作業マスタリー,0,6986,0,15,16,31,16,0,False
347,突貫作業マスタリー,0,6978,0,8,9,63,9,0,False
348,突貫作業マスタリー,0,6978,0,9,10,63,10,0,False
349,突貫作業マスタリー,0,6978,0,10,11,63,11,0,False
350,突貫作業マスタリー,0,6978,0,11,12,63,12,0,False
351,突貫作業マスタリー,0,6978,0,12,13,63,13,0,False
352,突貫作業マスタリー,0,6978,0,13,14,63,14,0,False
353,突貫作業マスタリー,0,6978,0,14,15,63,15,0,False
354,突貫作業マスタリー,0,6978,0,15,16,63,16,0,False
355,アウトバースト効果アップ,0,5681,0,0,0,0,0,0,False
356,製作練習,0,6987,0,8,9,15,9,1,False
357,製作練習,0,6987,0,9,10,15,10,1,False
358,製作練習,0,6987,0,10,11,15,11,1,False
359,製作練習,0,6987,0,11,12,15,12,1,False
360,製作練習,0,6987,0,12,13,15,13,1,False
361,製作練習,0,6987,0,13,14,15,14,1,False
362,製作練習,0,6987,0,14,15,15,15,1,False
363,製作練習,0,6987,0,15,16,15,16,1,False
364,疾風迅雷,0,5239,0,2,41,1,41,0,False
365,疾風迅雷効果アップ,0,5230,0,2,41,20,41,0,False
366,疾風迅雷効果アップII,0,5231,0,20,21,40,21,0,False
367,疾風迅雷効果アップIII,0,5240,0,20,21,76,21,0,False
368,アクションダメージ・回復量アップ,0,5185,10,40,181,20,181,0,False
369,アクションダメージ・回復量アップII,0,5186,30,40,181,40,181,0,False
370,アダーガル,0,6451,0,40,181,45,181,0,False
371,賢学の誓い,0,6452,0,40,181,54,181,0,False
372,賢学の誓いII,0,6453,0,40,181,64,181,0,False
373,アダースティング,0,6454,0,40,181,66,181,0,False
374,攻撃魔法マスタリー,0,6455,0,40,181,72,181,0,False
375,ケーラコレ効果アップ,0,6456,0,40,181,78,181,0,False
376,攻撃魔法マスタリーII,0,6457,0,40,181,82,181,0,False
377,回復アクション効果アップ,0,6826,0,40,181,85,181,0,False
378,ゾーエ効果アップ,0,6458,-300,40,181,88,181,0,False
379,ソウルゲージ,0,6401,0,39,180,50,180,0,False
380,アクション威力アップ,0,6801,0,39,180,60,180,0,False
381,アヴァターアビリティ効果アップ,0,6403,0,39,180,70,180,0,False
382,ヘルズゲート効果アップ,0,6404,0,39,180,74,180,0,False
383,ソウルスキル効果アップ,0,6405,2,39,180,78,180,0,False
384,シュラウドゲージ,69614,6406,0,39,180,80,180,0,False
385,アルケインクレスト効果アップ,0,6407,0,39,180,84,180,0,False
386,ヴォイドソウル,0,6408,0,39,180,86,180,0,False
387,アルケインサークル効果アップ,0,6409,0,39,180,88,180,0,False
388,インナークワイエット,0,6988,0,8,9,11,9,0,False
389,インナークワイエット,0,6988,0,9,10,11,10,0,False
390,インナークワイエット,0,6988,0,10,11,11,11,0,False
391,インナークワイエット,0,6988,0,11,12,11,12,0,False
392,インナークワイエット,0,6988,0,12,13,11,13,0,False
393,インナークワイエット,0,6988,0,13,14,11,14,0,False
394,インナークワイエット,0,6988,0,14,15,11,15,0,False
395,インナークワイエット,0,6988,0,15,16,11,16,0,False
396,模範作業マスタリー,0,6989,0,8,9,82,9,0,False
397,模範作業マスタリー,0,6989,0,9,10,82,10,0,False
398,模範作業マスタリー,0,6989,0,10,11,82,11,0,False
399,模範作業マスタリー,0,6989,0,11,12,82,12,0,False
400,模範作業マスタリー,0,6989,0,12,13,82,13,0,False
401,模範作業マスタリー,0,6989,0,13,14,82,14,0,False
402,模範作業マスタリー,0,6989,0,14,15,82,15,0,False
403,模範作業マスタリー,0,6989,0,15,16,82,16,0,False
404,下地作業マスタリー,0,6990,0,8,9,86,9,0,False
405,下地作業マスタリー,0,6991,0,9,10,86,10,0,False
406,下地作業マスタリー,0,6992,0,10,11,86,11,0,False
407,下地作業マスタリー,0,6993,0,11,12,86,12,0,False
408,下地作業マスタリー,0,6994,0,12,13,86,13,0,False
409,下地作業マスタリー,0,6995,0,13,14,86,14,0,False
410,下地作業マスタリー,0,6996,0,14,15,86,15,0,False
411,下地作業マスタリー,0,6997,0,15,16,86,16,0,False
412,シェルトロンマスタリー,0,5218,0,19,20,82,20,0,False
413,インターベンション効果アップ,0,5219,0,19,20,82,20,0,False
414,神聖魔法マスタリーII,0,5220,0,19,20,84,20,0,False
415,スピリッツウィズインマスタリー,0,5221,0,19,20,86,20,0,False
416,ディヴァインヴェール効果アップ,0,5222,0,19,20,88,20,0,False
417,シェイクオフ効果アップ,0,5266,0,21,22,76,22,0,False
418,原初の直感マスタリー,0,5267,0,21,22,82,22,0,False
419,原初の猛り効果アップ,0,5268,0,21,22,82,22,0,False
420,エクリブリウム効果アップ,0,5269,0,21,22,84,22,0,False
421,オンスロート効果アップ,0,5270,3,21,22,88,22,0,False
422,アンメンド効果アップ,0,6064,0,32,98,84,98,0,False
423,影身具現効果アップII,0,6066,0,32,98,90,98,0,False
424,ハート・オブ・ストーンマスタリー,0,6304,0,37,149,82,149,0,False
425,オーロラ効果アップ,0,6305,2,37,149,84,149,0,False
426,コンティニュエーション効果アップ,0,6306,0,37,149,86,149,0,False
427,ソイルチャージ効果アップ,0,6307,0,37,149,88,149,0,False
428,鉄山靠マスタリー,67564,5241,0,20,21,54,21,0,False
429,空鳴拳マスタリー,0,5242,0,20,21,74,21,0,False
430,壊神衝マスタリー,0,5243,0,20,21,82,21,0,False
431,抜重歩法効果アップ,0,5244,3,20,21,84,21,0,False
432,桃園結義効果アップ,0,5245,0,20,21,88,21,0,False
433,踏鳴効果アップ,67567,5246,0,20,21,60,21,0,False
434,ジャンプ効果アップ,67228,5294,0,22,23,54,23,0,False
435,クルザントーメント効果アップ,0,5290,0,22,23,82,23,0,False
436,スパインダイブ効果アップ,0,5291,2,0,0,0,0,0,False
437,ランスマスタリーII,0,5288,0,22,23,86,23,0,False
438,ライフサージ効果アップ,0,5277,2,22,23,88,23,0,False
439,集気法III,0,5417,0,30,92,84,92,0,False
440,命水効果アップ,0,5418,0,30,92,88,92,0,False
441,雷遁の術効果アップ,0,5419,0,30,92,90,92,0,False
