#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
34,友好部族クエスト：アナンタ族,75,0,0,0,0,334,2309,28,28
35,友好部族クエスト：ナマズオ族,76,0,0,0,0,335,2310,29,29
36,時代の終焉,77,354,0,336,337,338,2250,0,0
37,10周年記念,78,0,0,0,339,340,3950,30,0
38,ヴァリアントダンジョン：六根山,3,0,341,342,0,0,2403,0,0
39,世界を釣る者,79,343,0,344,345,346,2346,31,0
40,太公望への道,80,347,0,348,349,350,2347,32,0
41,月下の雀士,81,351,0,0,352,353,2350,33,33
42,友好部族クエスト：バヌバヌ族,82,0,0,0,0,388,2305,34,34
43,友好部族クエスト：グナース族,83,0,0,0,0,389,2306,35,35
44,友好部族クエスト：モーグリ族,84,0,0,0,0,390,2307,36,36
45,ミソロジー・オブ・エオルゼア：ハルオーネ,85,0,0,391,392,393,2252,37,0
46,ミソロジー・オブ・エオルゼア：メネフィナ,86,0,0,391,392,393,2253,37,0
47,ミソロジー・オブ・エオルゼア：サリャク,87,0,0,391,392,393,2254,37,0
48,ミソロジー・オブ・エオルゼア：ニメーヤ,88,0,0,391,392,393,2255,37,0
49,ミソロジー・オブ・エオルゼア：リムレーン,89,0,0,391,392,393,2256,37,0
50,ミソロジー・オブ・エオルゼア：オシュオン,90,0,0,391,392,393,2257,37,0
51,ミソロジー・オブ・エオルゼア：ビエルゴ,91,0,0,391,392,393,2258,37,0
52,ミソロジー・オブ・エオルゼア：ラールガー,92,0,0,391,392,393,2259,37,0
53,ミソロジー・オブ・エオルゼア：アーゼマ,93,0,0,391,392,393,2260,37,0
54,ミソロジー・オブ・エオルゼア：ナルザル,94,0,0,391,392,393,2261,37,0
55,ミソロジー・オブ・エオルゼア：ノフィカ,95,0,0,391,392,393,2262,37,0
56,ミソロジー・オブ・エオルゼア：アルジク,96,0,0,391,392,393,2263,37,0
57,タタルの大繁盛商店,97,0,0,394,395,0,2242,38,0
58,ヴァリアントダンジョン：アロアロ島,3,0,396,397,0,0,2404,0,0
59,クロの空想帳,98,398,0,399,400,401,2351,39,0
60,ソーチョーの幻想盤,99,402,0,403,404,405,2352,40,0
61,ブランダーヴィル1,100,406,0,0,0,0,3951,41,0
62,ブランダーヴィル2,101,407,0,0,0,0,3952,42,0
63,ブランダーヴィル3,102,408,0,0,0,0,3953,43,0
64,妖怪ウォッチ ぷにぷに,103,409,0,0,410,411,3954,44,0
65,友好部族クエスト：コボルド族,104,0,0,0,0,452,2302,45,45
66,友好部族クエスト：シルフ族,105,0,0,0,0,453,2301,46,46
67,友好部族クエスト：アマルジャ族,106,0,0,0,0,454,2300,47,47
68,友好部族クエスト：サハギン族,107,0,0,0,0,455,2303,48,48
69,友好部族クエスト：イクサル族,108,0,0,0,0,456,2304,49,49
70,トライヨラ1,109,457,0,458,459,0,1036,50,0
71,トライヨラ2,110,460,0,461,462,0,1037,51,0
72,ソリューション・ナイン1,111,463,0,464,465,0,1038,52,0
73,ソリューション・ナイン2,112,466,0,467,468,0,1039,53,0
74,イシュガルド1,114,497,0,498,499,0,1020,55,0
75,イシュガルド2,115,500,0,501,502,0,1021,56,0
76,イディルシャイア1,116,503,0,504,505,0,1022,57,0
77,イディルシャイア2,117,506,0,507,508,0,1023,58,0
78,クガネ1,118,509,0,510,511,0,1024,59,0
79,クガネ2,119,512,0,513,514,0,1025,60,0
80,ラールガーズリーチ1,120,515,0,516,517,0,1026,61,0
81,ラールガーズリーチ2,121,518,0,519,520,0,1027,62,0
82,クリスタリウム1,122,521,0,522,523,0,1028,63,0
83,クリスタリウム2,123,524,0,525,526,0,1029,64,0
84,ユールモア1,124,527,0,528,529,0,1030,65,0
85,ユールモア2,125,530,0,531,532,0,1031,66,0
86,オールド・シャーレアン1,126,533,0,534,535,0,1032,67,0
87,オールド・シャーレアン2,127,536,0,537,538,0,1033,68,0
88,ラザハン1,128,539,0,540,541,0,1034,69,0
89,ラザハン2,129,542,0,543,544,0,1035,70,0
90,友好部族クエスト：ペルペル族,113,0,0,0,0,496,2317,54,54
91,絶もうひとつの未来,130,575,0,576,577,578,2505,71,0
92,友好部族クエスト：マムージャ族,131,0,0,0,0,579,2318,72,72
93,ディープダンジョン：死者の宮殿1,132,0,0,580,0,0,2354,0,0
94,ディープダンジョン：死者の宮殿2,133,0,0,581,0,0,2355,0,0
95,ディープダンジョン：アメノミハシラ1,134,0,0,582,0,0,2356,0,0
96,ディープダンジョン：アメノミハシラ2,135,0,0,583,0,0,2357,0,0
97,蜃気楼の島 クレセントアイル ,136,584,0,585,586,0,2406,73,0
98,コスモエクスプローラー1,137,587,0,0,588,589,2343,74,0
99,Monster Hunter Wilds1,138,622,621,623,624,625,3955,75,0
100,Monster Hunter Wilds2,139,626,0,627,628,629,3956,76,0
101,友好部族クエスト：ヨカフイ族,140,0,0,0,0,630,2319,77,77
102,ディープダンジョン：ピルグリム・トラバース1,141,0,0,631,0,0,2400,0,0
103,ディープダンジョン：ピルグリム・トラバース2,142,0,0,632,0,0,2401,0,0
104,コスモエクスプローラー2,143,633,0,0,634,635,2344,78,0
105,無人島開拓3,144,0,0,636,637,638,2342,79,79
106,コンパニオン特典1,52,158,0,152,154,156,4000,0,0
107,コンパニオン特典2,53,159,0,153,155,157,4001,0,0
108,コスモエクスプローラー3,145,669,0,0,670,0,2345,80,0
109,,0,0,0,0,0,0,0,0,0
110,シンプルスタイル1,146,0,0,0,673,0,16,81,0
111,シンプルスタイル2,147,0,0,0,674,0,17,82,0
112,シンプルスタイル3,148,0,0,0,675,0,18,83,0
113,シンプルスタイル4,149,0,0,0,676,0,19,84,0
114,シンプルスタイル5,150,0,0,0,677,0,20,85,0
115,シンプルスタイル6,151,0,0,0,678,0,21,86,0
116,シンプルスタイル7,152,0,0,0,679,0,22,87,0
117,シンプルスタイル8,153,0,0,0,680,0,23,88,0
118,,0,0,0,0,0,0,0,0,0
119,,0,0,0,0,0,0,0,0,0
120,,0,0,0,0,0,0,0,0,0
