#,Text,Unknown0,Unknown1,Name,Unknown2,Unknown3
41,"巨大な筒が、壁の向こうに突き刺さってる……
壁のあっち側は、音からして水源か？","そして、筒の先端から飛び出した軸が、伝動部を介して、
回転する車輪状の動力装置と繋がっている……。","ってことは、水を汲み上げる「揚水装置」だな！
筒の中に螺旋状のスクリューが入ってるはずだぞ。",20,61,1
42,"おっ、これはグレーテスト・エンズヴィルにあるぞ。
ズバリ、「大きな樹」だな！？","……違う？　そっかぁ。
上部の容積が極端に大きくて、そこから下は細い……
何より、かなりの高さがある……。","そうか、上部に汲み上げた水を、
水圧を使って送り出す、「給水塔」かもしれないな！",20,61,1
43,"アンビストマ……！
活きのいいアンビストマがいる……！","あのあと、無事にイデアが登録され、
世界に息づく生物のひとつになったのだろう。
壮大な歴史を感じる……。",,0,57,7
44,"ほぐぁーーーっ！？
オレっちにムースボールを当てるとは……
おめータダモンじゃねーな……！？",,,21,61,1
45,間違った鳥に、麻酔針を当ててしまったようだ……。,,,0,57,7
46,"この像は、エオルゼア十二神の一柱にして、
シャーレアンの守護神でもある「サリャク」を象ったもの。
河川と知識を司るとされる男神ですな。","かつて我が国では、全住民が参加する「市民議会」で、
政策を決定するという直接民主主義を採用しておりましてな。
守護神もまた、住民投票によって決定されたのです。","しかし、サリャク神を選んだ理由は、
信仰心というより、むしろ思想信条に近いものでした。
「知識の集積者たれ」との使命感を抱く国民性ゆえでしょうな。",23,61,1
47,"神話によれば、サリャク神は、
知識の水が湧き出す「水瓶」を携えていたといいます。","この石像の水瓶は、その逸話を再現したもの。
水路から引いた水を、途切れることなく海に注ぎ続ける。
シャーレアンが知識湧く街であるよう願いを込めたわけですな。","この機構を実現するためには、大変な苦労があったのだとか。
魔法大学が誇るヌーメノン大書院には、
当時の石工たちが遺した奮闘記なども収蔵されておりますぞ。",23,61,1
48,"エオルゼアを大洪水が襲った第六霊災。
後に十二賢者と呼ばれる者たちが危機に抗い、
多くの人々を救ったと伝えられております。","我らがシャーレアンは、
その十二賢者のひとりである「ニュンクレフ」が、
自らが助け出した洪水被災者たちとともに造り上げた国。","その最初の住人たちが上陸したのが、
まさにご覧になっておられる石像の裾の浜辺……。
今から1600年近くも昔の出来事ですな。",23,61,1
49,,,,0,0,0
50,,,,0,0,0
51,"オミクロンが佇んでいる。
直立不動の様は、いかにも待機中だ。",,,0,57,7
52,"オミクロンが、装置の近くに控えている。
これといった行動をとることもなく、待機中のようだ。",,,0,57,7
53,"オミクロンが、アルフィノと話している。
楽しい会話になっているかどうかは不明だが、
異常はなさそうだ。",,,0,57,7
54,"オミクロンではない、アンビストマだ！
驚くほど宇宙が似合っている……！","ラヴィリンソスで飼育されていた個体が、
魔導船に潜り込んでいたのだろうか？
なんて活きがいいのだろう……。",,0,57,7
55,"オミクロンが、ひたすらに徘徊している。
でたらめな動きは、目的を持っているようには見えない……。",,,0,57,7
56,"一見、厳つく野性味があるが、やはり育ちがいいからか、
どこか品のある紳士的な顔立ちをしている。","それはともかく……
息はあるようだが、目覚める様子はないようだ……。",,0,57,7
57,"逞しい腕をしている。
しかし、決して誰かを傷つけることはない、紳士的な腕だ。","それはいいとして……
冷たく、固くなっているようだ……。",,0,57,7
58,"紳士的な靴を履いている。
マンダヴィル家の特注品だろう。
果たして、いくらくらいするのだろうか……？",,,0,57,7
59,"ナシュが居眠りしている。
いつもの事件屋の光景だ……。",,,0,57,7
60,"パルリッガが棚を調べている。
丸っこい手が可愛い……。",,,0,57,7
61,"UFOに見覚えのある者が運ばれている。
気にしないでおこう……。",,,0,57,7
62,"ナシュがアルゴスと戯れている。
とても平和な光景だ……。",,,0,57,7
63,"デリオンが真剣にUFOを探している。
専門家の意地を感じる……。",,,0,57,7
64,"これは眼……のようだけれど、
宝石がひとつしか嵌まっていないわね。
外れてしまったのかしら。",,,25,61,1
65,"担ぎ棒が折れちゃってるじゃない。
これじゃ担ぎ手が足りなくなっちゃうわ。
ただでさえ、こんなに大きいのに。",,,19,61,1
66,"尾羽の飾りがボロボロになっちまってるな。
前に見たときは、もっと華やかだった気がするぞ。",,,24,61,1
67,"炉が近くて暑いし、風通しもあんまり良くねぇ。
これじゃ仕事どころじゃねぇよなぁ……。",,,24,61,1
68,"かなりすり減っちまってるな。
そろそろ手入れが必要なんじゃねぇか？",,,24,61,1
69,"ぜんぜん食ってねぇじゃねぇか！
こいつは冷めちまったら美味くねぇのに……。",,,24,61,1
70,"襲撃中に兵士が扱っていた武器だ。
どうやら銃のようだが、一般的なそれとは形状が異なり、
高度な文明の産物であることを伺わせる。",,,0,57,7
71,"目や口にあたるものは見られないが、
光を帯びた文様が浮かび上がっている。",,,0,57,7
72,"遠目には甲冑のように感じたが、
近くで見ると複雑な部品で構成された機械だとわかる。","ただし、その材質はよく知る金属ではない。
青燐機関のようなものも見られず、動力源も不明だ。",,0,57,7
73,"ちょっと……
私じゃなくて、機械仕掛けの兵士を調べてよね？",,,19,61,1
74,問題なく動作しているが、数年後には劣化しそうだ……。,,,0,57,7
75,"定期的に気化した青燐水を排出している。
問題なく作動しているようだ。",,,0,57,7
76,"大きな木樽に青燐水を入れている。
気密性はともかく、大きすぎると重さに難がありそうだ。",,,0,57,7
77,"星戦士団の兵士が倒れているのを見つけた！
急いで、様子を見に行こう……！",,,0,57,7
78,"何者かの足跡だ……。
星戦士団の兵士かジャスティス・Ｒのものだろうか。",,,0,57,7
79,"魔物が倒れている。
ジャスティス・Ｒが語っていたという魔物だろうか……。",,,0,57,7
80,"すげぇ種類の素材だな……。
これなら仕事に打ち込めそうなもんだが、
ほかに不満があるのか？",,,24,61,1
81,"向かって左の頭はフビゴ族を象徴し、
厳しい表情によって、武力を司ることを表していてね。
「太陽輝く地を勝ち取る」との決意を示す赤で塗られているんだ。",,,26,61,1
82,"向かって右の頭はブネワ族を象徴し、
落ち着いた表情によって、知力を司ることを表していてね。
「青き森を守り抜く」との決意を示す青で塗られているんだ。",,,26,61,1
83,"それは双頭の誕生を祝す旗でね。
この旗が風化する前に、次の双頭が生まれるようにと、
願いを込めて織られ、掲げられるものなんだ。",,,26,61,1
84,"像じゃないが、柱も気になるか？
だいぶ抽象化されているが、
森の植物や動物をモデルにした彫刻だと言われているものだ。",,,26,61,1
85,"おや、そっちの大きな家が気になるのか？
それは新しい族長のために用意された邸宅さ。","ちなみに族長となるためには、
双頭の父親であることが必須とされているんだ……。
そうした風習は、これから変わっていくのだろうな。",,26,61,1
86,要救助者を見つけた！,,,0,57,7
87,"気持ちよさそうに浮かんでいる。
救助は必要なさそうだ。",,,0,57,7
88,"楽しそうに海を眺めている。
救助は必要なさそうだ。",,,0,57,7
