#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,Unknown0,Unknown1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown8
20,模造密告者「IVレギオン・シュミハザ」,"魔導僧兵大隊の異端僧兵が
命を賭して聖石片の力を解放した
IVレギオン・シュミハザを倒せ",8664687,8664764,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
21,焦土の魔蠍「ヘデテト」,"魔獣大隊のビーストマスターが
ザ・バーンで捕獲した魔蠍を解き放った
焦土の魔蠍、ヘデテトを倒せ",8664688,8664765,69620,0,0,0,0,0,0,1,4,48,20,0,0,True
22,鋼鉄の人馬「魔導騎兵大隊」,"第IV軍団が増援部隊として
無人型魔導兵器を投入した
魔導騎兵大隊を一掃せよ",8664689,8664766,69628,0,0,0,0,0,0,3,7,48,20,0,0,True
23,第IV軍団分遣隊長「メネニウス」,"ボズヤ駐留軍を指揮する分遣隊長
メネニウスから挑戦を受けた
一騎打ちに応じ、メネニウスを倒せ",8664690,8664767,69628,0,0,0,0,0,0,2,3,1,20,0,5,True
24,異界の廃王「ハンビ」,"術士大隊の妖術士が
血を求める大妖異を召喚した
異界の廃王、ハンビを倒せ",8664691,8664768,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
25,邪悪なる氷狼「フローズヴィトニル」,"術士大隊の妖術士が
魔力を練り上げ使い魔を召喚した
邪悪なる氷狼、フローズヴィトニルを倒せ",8664692,8664769,69628,0,0,0,0,0,0,1,2,48,20,0,0,True
26,模造魔人「IVレギオン・ベリアス」,"魔導僧兵大隊の異端僧兵が
命を賭して聖石片の力を解放した
IVレギオン・ベリアスを倒せ",8664693,8664770,69628,0,0,0,0,0,0,1,8,48,20,0,0,True
27,新兵器投入「機甲百人隊」,"機械化歩兵大隊の魔導技師長シシニアスが
新型を含む魔導兵器群を戦場に送り込んだ
機甲百人隊をせん滅せよ",8664694,8664771,69629,0,0,0,0,0,0,3,1,48,20,0,0,True
28,有角の凶鳥「アルコノスト」,"魔獣大隊の鳥使いが
戦線を押し上げるべく切り札を投入した
有角の凶鳥、アルコノストを倒せ",8664695,8664772,69629,0,0,0,0,0,0,1,4,48,20,0,0,True
29,模造統制者「IVレギオン・ハシュマリム」,"魔導僧兵大隊の異端僧兵が
命を賭して聖石片の力を解放した
IVレギオン・ハシュマリムを倒せ",8664696,8664773,69620,0,0,0,0,0,0,1,8,48,20,0,0,True
30,輝ける虹蛇「アイダ」,"術士大隊が戦線を支えるべく
新たな魔法生物を召喚した
輝ける虹蛇、アイダを倒せ",8664697,8664774,69629,0,0,0,0,0,0,1,2,48,20,0,0,True
31,戦慄の百獣使い「獣王ライアン」,"猛者を探し求める千人隊長
ライアンから挑戦を受けた
一騎打ちに応じ、獣王ライアンを倒せ",8664698,8664775,69629,0,0,0,0,0,0,2,3,1,20,0,6,True
32,旗艦ダル･リアータ攻略戦,"敵旗艦は行動不能に陥った
今こそ仲間たちと共に乗り込み
その最奥に潜む敵を討て",0,0,69624,9678,0,0,222,302,-661,4,6,48,20,5,0,True
33,脳髄愛好家「マインドフレイア」,"新鮮な脳を好む妖異が
獲物を求め襲い掛かってきた
脳髄愛好家、マインドフレイアを倒せ",10962704,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
34,黒の連隊,"三日月島の黒チョコボたちが
群れをなして襲いかかってきた
黒チョコボたちをせん滅せよ",10940977,0,0,0,0,0,0,0,0,3,4,72,20,0,0,True
35,怒れる人造人間「クレセント・バーサーカー」,"創造主に特定の感情を吹き込まれた
人型使い魔が暴れている
怒れる人造人間、クレセント・バーサーカーを倒せ",10962716,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
36,忍び寄る爪「デスクロー」,"禁術によって生成された死霊が
生者を求め彷徨っている
忍び寄る爪、デスクローを倒せ",10940989,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
37,封印大妖「クロイスターデーモン」,"島の主に封じられた大妖異が
戒めを解かんと異空間から現れた
封印大妖、クロイスターデーモンを倒せ",10941018,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
38,模造されしもの「水晶竜」,"島の主に造られた使い魔が
侵入者の力を測るべく姿を現した
模造されしもの、水晶竜を倒せ",10962728,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
39,神秘の偶像「ミシカルアイドル」,"禍々しさと神々しさが同居する
謎めいた土偶が現れた
神秘の偶像、ミシカルアイドルを倒せ",10937430,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
40,石造りの守護騎士たち,"建造物を守るため
騎士像が戦いを挑んできた
クレセントナイトたちを倒せ",11131960,0,0,0,0,0,0,0,0,3,4,72,20,0,0,True
41,伝説の鮫「ニーム・ペタロドゥス」,"海洋都市ニームの伝説に謳われる
凶暴な鮫人が現れた
伝説の鮫、ニーム・ペタロドゥスを倒せ",11102245,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
42,二足の獅子「ランパントライオン」,"白魔法を込められた石像が
石造りの城塞に現れた
二足の獅子、ランパントライオンを倒せ",10937461,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
43,セキュリティ・コマンドー,"治安維持用の石人形が
冒険者を危険因子と判断した
コマンドポットたちを倒せ",11102367,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
44,鳥嫌いの巨獣「ネオガルラ」,"やかましい鳥に縄張りを荒らされ
怒り狂う獣が現れた
鳥嫌いの巨獣、ネオガルラを倒せ",10941033,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
45,呪いの商亀「コイントートス」,"魔法で知恵を与えられた陸亀が
呪物を売りつけようと企んでいる
呪いの商亀、コイントートスを倒せ",10962741,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
46,復元された獅子像「リペアドライオン」,"魔大戦期に用いられた防衛機構が
侵入者の前に立ちふさがる
復元された獅子像、リペアドライオンを倒せ",10937473,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
47,昏き篝火「ヒンキーパンク」,"鳥を模した古い彫像に
妖異の魂が憑依して動き出した
昏き篝火、ヒンキーパンクを倒せ",10962753,0,0,0,0,0,0,0,0,1,4,72,20,0,0,True
48,フォークタワー：力の塔,"三日月島南部に
蜃気楼のような謎の塔が現れた
仲間と共に突入し、最上層を踏破せよ",0,0,70853,0,63978,63978,0,0,0,4,6,48,30,0,0,False
49,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
57,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
58,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
61,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
62,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
63,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
64,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
