#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2224,Lv56～,67631,0,2008,1,16,0
2225,Lv56～,67631,0,2008,1,16,0
2226,Lv56～,67631,0,2008,2,17,0
2227,Lv56～,67631,0,2008,2,17,0
2228,Lv61～,67631,0,2008,1,16,0
2229,Lv61～,67631,0,2008,1,16,0
2230,Lv61～,67631,0,2008,2,17,0
2231,Lv61～,67631,0,2008,2,17,0
2232,Lv66～,67631,0,2008,1,16,0
2233,Lv66～,67631,0,2008,1,16,0
2234,Lv66～,67631,0,2008,2,17,0
2235,Lv66～,67631,0,2008,2,17,0
2236,Lv71～,67631,0,2009,1,16,0
2237,Lv71～,67631,0,2009,1,16,0
2238,Lv71～,67631,0,2009,2,17,0
2239,Lv71～,67631,0,2009,2,17,0
2240,Lv76～,67631,0,2009,1,16,0
2241,Lv76～,67631,0,2009,1,16,0
2242,Lv76～,67631,0,2009,2,17,0
2243,Lv76～,67631,0,2009,2,17,0
2244,Lv81～,67631,0,2013,1,16,0
2245,Lv81～,67631,0,2013,1,16,0
2246,Lv81～,67631,0,2013,2,17,0
2247,Lv81～,67631,0,2013,2,17,0
2248,イシュガルド復興：鉱物資源,74,0,2006,1,16,5
2249,イシュガルド復興：鉱物資源,74,0,2006,1,16,5
2250,イシュガルド復興：草木資源,74,0,2006,2,17,5
2251,イシュガルド復興：草木資源,74,0,2006,2,17,5
2252,スカイスチールツール：鉱物資源（その3）,69518,0,2007,1,16,0
2253,,69518,0,0,1,16,0
2254,スカイスチールツール：草木資源（その3）,69518,0,2007,2,17,0
2255,,69518,0,0,2,17,0
2256,Lv86～,67631,0,2013,1,16,0
2257,Lv86～,67631,0,2013,1,16,0
2258,Lv86～,67631,0,2013,2,17,0
2259,Lv86～,67631,0,2013,2,17,0
2260,,70137,0,0,1,16,0
2261,,70137,0,0,1,16,0
2262,,70137,0,0,2,17,0
2263,,70137,0,0,2,17,0
2264,,70138,0,0,1,16,0
2265,,70138,0,0,1,16,0
2266,,70138,0,0,2,17,0
2267,,70138,0,0,2,17,0
2268,,70139,0,0,1,16,0
2269,,70139,0,0,1,16,0
2270,,70139,0,0,2,17,0
2271,,70139,0,0,2,17,0
2272,モーエンツール：鉱物資源（その1）,70266,0,2014,1,16,0
2273,,70266,0,2014,1,16,0
2274,モーエンツール：草木資源（その1）,70266,0,2014,2,17,0
2275,,70266,0,2014,2,17,0
2276,モーエンツール：鉱物資源（その2）,70303,0,2014,1,16,0
2277,,70303,0,2014,1,16,0
2278,モーエンツール：草木資源（その2）,70303,0,2014,2,17,0
2279,,70303,0,2014,2,17,0
2280,モーエンツール：鉱物資源（その3）,70338,0,2014,1,16,0
2281,,70338,0,2014,1,16,0
2282,モーエンツール：草木資源（その3）,70338,0,2014,2,17,0
2283,,70338,0,2014,2,17,0
2284,Lv91～,67631,0,2018,1,16,0
2285,Lv91～,67631,0,2018,1,16,0
2286,Lv91～,67631,0,2018,2,17,0
2287,Lv91～,67631,0,2018,2,17,0
2288,Lv96～,67631,0,2018,1,16,0
2289,Lv96～,67631,0,2018,1,16,0
2290,Lv96～,67631,0,2018,2,17,0
2291,Lv96～,67631,0,2018,2,17,0
2292,,70495,0,0,1,16,0
2293,,70495,0,0,1,16,0
2294,,70495,0,0,2,17,0
2295,,70495,0,0,2,17,0
2296,,70791,0,0,1,16,0
2297,,70791,0,0,1,16,0
2298,,70791,0,0,2,17,0
2299,,70791,0,0,2,17,0
2300,,0,0,0,0,0,0
2301,,0,0,0,0,0,0
2302,,0,0,0,0,0,0
2303,,0,0,0,0,0,0
2304,,0,0,0,0,0,0
2305,,0,0,0,0,0,0
2306,,0,0,0,0,0,0
2307,,0,0,0,0,0,0
2308,,0,0,0,0,0,0
2309,,0,0,0,0,0,0
2310,,0,0,0,0,0,0
2311,,0,0,0,0,0,0
2312,,0,0,0,0,0,0
2313,,0,0,0,0,0,0
2314,,0,0,0,0,0,0
2315,,0,0,0,0,0,0
2316,,0,0,0,0,0,0
2317,,0,0,0,0,0,0
2318,,0,0,0,0,0,0
2319,,0,0,0,0,0,0
2320,,0,0,0,0,0,0
2321,,0,0,0,0,0,0
2322,,0,0,0,0,0,0
2323,,0,0,0,0,0,0
2324,,0,0,0,0,0,0
2325,,0,0,0,0,0,0
2326,,0,0,0,0,0,0
2327,,0,0,0,0,0,0
2328,,0,0,0,0,0,0
2329,,0,0,0,0,0,0
2330,,0,0,0,0,0,0
2331,,0,0,0,0,0,0
2332,,0,0,0,0,0,0
2333,,0,0,0,0,0,0
2334,,0,0,0,0,0,0
2335,,0,0,0,0,0,0
2336,,0,0,0,0,0,0
2337,,0,0,0,0,0,0
2338,,0,0,0,0,0,0
2339,,0,0,0,0,0,0
2340,,0,0,0,0,0,0
2341,,0,0,0,0,0,0
2342,,0,0,0,0,0,0
2343,,0,0,0,0,0,0
2344,,0,0,0,0,0,0
2345,,0,0,0,0,0,0
2346,,0,0,0,0,0,0
2347,,0,0,0,0,0,0
2348,,0,0,0,0,0,0
2349,,0,0,0,0,0,0
2350,,0,0,0,0,0,0
2500,魚類伝承録:クルザス,0,12701,0,3,18,0
2501,魚類伝承録:ドラヴァニア,1,12702,0,3,18,0
2502,魚類伝承録:アバラシア,2,12703,0,3,18,0
2503,魚類伝承録:ギラバニア,3,17842,0,3,18,0
2504,魚類伝承録:ギラバニア,3,17842,0,3,18,0
2505,魚類伝承録:オサード,4,17843,0,3,18,0
2506,魚類伝承録:オサード,4,17843,0,3,18,0
2507,魚類伝承録:ノルヴラント,5,26810,0,3,18,0
2508,魚類伝承録:ノルヴラント,5,26810,0,3,18,0
2509,魚類伝承録:北洋地域・イルサバード,6,36606,2010,3,18,0
2510,魚類伝承録:北洋地域・イルサバード,6,36606,2010,3,18,0
2511,魚類伝承録:星外宙域,7,36608,2011,3,18,0
2512,魚類伝承録:星外宙域,7,36608,2011,3,18,0
2513,魚類伝承録:古代世界,8,36609,2012,3,18,0
2514,魚類伝承録:古代世界,8,36609,2012,3,18,0
2515,魚類伝承録:ヨカ・トラル,9,43884,2015,3,18,0
2516,魚類伝承録:ヨカ・トラル,9,43884,2015,3,18,0
2517,魚類伝承録:サカ・トラル,10,43885,2016,3,18,0
2518,魚類伝承録:サカ・トラル,10,43885,2016,3,18,0
2519,魚類伝承録:アレクサンドリア,11,43886,2017,3,18,0
2520,魚類伝承録:アレクサンドリア,11,43886,2017,3,18,0
