#,InlineName,Name,Color,Item[0],Item[1],Shade,SubOrder,IsMetallic,IsHousingApplicable
91,ターコイズブルー,ターコイズブルー,307149,52255,0,8,19,False,True
92,ガンメタル,ガンメタル,6316136,52255,0,10,21,True,False
93,パールホワイト,パールホワイト,15328218,52255,0,10,22,True,False
94,シャインブラス,シャインブラス,15192471,52255,0,10,23,True,False
95,カーマインレッド,カーマインレッド,14551830,52256,0,4,12,False,True
96,ネオンピンク,ネオンピンク,15536526,52256,0,4,13,False,True
97,ブライトオレンジ,ブライトオレンジ,16011281,52256,0,5,19,False,True
98,ネオンイエロー,ネオンイエロー,14674440,52256,0,6,12,False,True
99,ネオングリーン,ネオングリーン,11925264,52256,0,7,18,False,True
100,アズールブルー,アズールブルー,3820688,52256,0,8,20,False,True
101,ピュアホワイト,ピュアホワイト,16382196,13114,8732,10,1,False,True
102,ジェットブラック,ジェットブラック,1973790,13115,8733,10,2,False,True
103,パステルピンク,パステルピンク,16632006,13708,8734,10,3,False,True
104,ダークレッド,ダークレッド,3283225,13709,8735,10,4,False,True
105,ダークブラウン,ダークブラウン,2629916,13710,8736,10,5,False,True
106,パステルグリーン,パステルグリーン,12242858,13711,8737,10,6,False,True
107,ダークグリーン,ダークグリーン,1387564,13712,8738,10,7,False,True
108,パステルブルー,パステルブルー,9872601,13713,8739,10,8,False,True
109,ダークブルー,ダークブルー,1187629,13714,8740,10,9,False,True
110,パステルパープル,パステルパープル,12301786,13715,8741,10,10,False,True
111,ダークパープル,ダークパープル,2301990,13716,8742,10,11,False,True
112,シルバー,シャインシルバー,10987431,13116,8743,10,12,True,False
113,ゴールド,シャインゴールド,15590973,13117,8744,10,13,True,False
114,メタリックレッド,メタリックレッド,11935051,13717,8745,10,14,True,False
115,メタリックオレンジ,メタリックオレンジ,14978095,13718,8746,10,15,True,False
116,メタリックイエロー,メタリックイエロー,16046662,13719,8747,10,16,True,False
117,メタリックグリーン,メタリックグリーン,2271063,13720,8748,10,17,True,False
118,メタリックスカイブルー,メタリックスカイブルー,6214886,13721,8749,10,18,True,False
119,メタリックブルー,メタリックブルー,5264089,13722,8750,10,19,True,False
120,メタリックパープル,メタリックパープル,10708674,13723,8751,10,20,True,False
121,バイオレットパープル,バイオレットパープル,6443151,52256,0,9,10,False,True
122,メタリックピンク,メタリックピンク,10639723,52256,0,10,24,True,False
123,メタリックルビーレッド,メタリックルビーレッド,2031616,52256,0,10,25,True,False
124,メタリックコバルトグリーン,メタリックコバルトグリーン,1393215,52256,0,10,26,True,False
125,メタリックダークブルー,メタリックダークブルー,524831,52256,0,10,27,True,False
126,,,0,0,0,0,0,False,False
127,,,0,0,0,0,0,False,False
128,,,0,0,0,0,0,False,False
