#,HyurMidlanderMaleScale,HyurMidlanderFemaleScale,HyurHighlanderMaleScale,HyurHighlanderFemaleScale,ElezenMaleScale,ElezenFemaleScale,LalaMaleScale,LalaFemaleScale,MiqoMaleScale,MiqoFemaleScale,RoeMaleScale,RoeFemaleScale,AuRaMaleScale,AuRaFemaleScale,HrothgarMaleScale,HrothgarFemaleScale,VieraMaleScale,VieraFemaleScale,HyurMidlanderMaleCameraHeight,HyurMidlanderFemaleCameraHeight,HyurHighlanderMaleCameraHeight,HyurHighlanderFemaleCameraHeight,ElezenMaleCameraHeight,ElezenFemaleCameraHeight,LalaMaleCameraHeight,LalaFemaleCameraHeight,MiqoMaleCameraHeight,MiqoFemaleCameraHeight,RoeMaleCameraHeight,RoeFemaleCameraHeight,AuRaMaleCameraHeight,AuRaFemaleCameraHeight,HrothgarMaleCameraHeight,HrothgarFemaleCameraHeight,VieraMaleCameraHeight,VieraFemaleCameraHeight,Unknown0,Unknown1,Unknown_70_1,Unknown_70_2,Unknown2,Unknown3,Unknown4
18,100,90,100,90,210,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
19,70,63,70,68,74,70,38,38,63,60,75,75,75,57,69,70,70,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
20,103,92,113,98,118,104,55,55,98,86,146,114,125,83,132,104,103,102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
21,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
22,100,90,100,90,125,98,60,60,90,85,130,105,120,82,120,98,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
23,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
24,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
25,80,80,80,80,80,80,80,80,80,80,85,85,80,80,78,80,80,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
26,60,55,60,55,67,65,40,40,57,50,75,68,70,50,69,65,60,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
27,75,75,75,75,75,75,65,65,75,75,83,80,75,75,77,75,75,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
28,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
29,80,78,80,78,85,80,50,50,75,70,100,90,98,68,92,80,80,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
30,100,90,100,90,100,98,55,55,90,85,110,100,100,82,102,98,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
31,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
32,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
33,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
34,100,90,100,90,110,105,60,60,90,85,120,110,115,82,111,105,100,107,100,100,100,80,80,100,100,80,80,100,100,80,80,100,80,80,80,100,100,80,100,100,100,100,False
35,25,22,25,22,26,25,15,15,22,21,28,28,27,20,25,25,25,26,100,100,100,80,80,100,100,80,80,100,100,90,90,100,90,80,90,100,100,80,100,100,100,100,False
36,100,95,100,95,113,110,60,60,97,90,120,120,120,87,111,110,100,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
37,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
38,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
39,110,105,117,105,124,121,66,66,107,99,132,132,132,96,122,121,110,124,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
40,50,45,50,45,52,50,30,30,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
41,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
42,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
43,105,90,105,90,125,105,53,53,100,80,135,110,125,80,125,105,105,102,100,100,100,100,100,100,100,100,100,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100,False
44,100,90,100,90,104,100,60,60,90,84,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
45,70,63,70,63,74,70,42,42,63,60,77,77,76,57,71,70,70,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
46,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
47,35,32,35,32,37,35,21,21,32,30,39,39,38,29,36,35,35,37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
48,75,68,75,68,79,75,45,45,68,64,83,83,81,62,76,75,75,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
49,40,36,40,36,42,40,24,24,36,34,44,44,44,33,41,40,40,43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
50,100,90,100,90,115,110,60,60,90,85,130,110,117,90,120,110,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
51,250,225,250,225,263,250,190,190,225,212,350,300,270,205,326,250,250,268,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
52,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
53,80,72,80,72,84,80,50,50,72,68,88,88,86,66,81,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
54,160,144,160,144,168,160,96,96,144,136,176,176,173,131,162,160,160,171,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
55,110,99,110,99,123,110,73,73,99,94,134,121,127,90,124,110,110,112,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
56,80,72,80,72,84,80,48,48,72,68,88,88,86,66,81,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
57,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
58,100,90,100,90,105,100,60,60,90,85,125,110,108,82,115,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
59,105,85,105,85,119,100,60,60,95,80,140,105,115,77,129,100,105,101,100,100,100,100,100,100,100,100,100,125,125,100,100,100,100,100,100,100,100,100,100,100,100,100,True
60,80,80,80,80,80,80,80,80,80,80,85,80,80,80,80,80,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
61,120,108,120,108,126,120,72,72,108,102,150,132,130,98,138,120,120,129,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
62,50,45,50,45,52,50,36,36,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
63,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
64,95,86,95,86,105,95,62,62,85,80,116,104,110,77,107,95,95,102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
65,100,88,100,88,112,104,47,47,95,84,130,110,120,79,120,104,102,105,100,100,100,100,100,100,100,100,100,152,152,100,100,100,100,100,100,100,100,100,100,100,100,100,True
66,110,95,110,95,115,110,65,65,100,92,130,122,115,90,120,110,110,112,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
67,30,27,30,27,32,30,18,18,27,26,36,33,32,25,33,30,30,32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
68,100,90,100,90,113,100,60,60,90,85,120,110,116,82,111,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
69,80,68,80,68,88,80,52,52,72,66,96,94,92,63,86,80,80,88,100,100,100,100,100,100,100,100,100,125,125,100,100,100,100,100,100,100,100,100,100,100,100,100,True
70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
71,50,45,50,45,55,50,30,30,45,40,60,60,58,42,55,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
73,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
74,100,90,105,100,110,100,60,60,90,85,123,110,118,82,110,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
75,130,120,140,135,140,135,70,70,120,115,155,150,150,110,140,135,130,140,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
76,100,90,100,90,126,100,60,60,90,85,140,110,125,82,135,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
77,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
78,120,108,120,108,126,120,72,72,108,102,132,132,130,98,122,120,120,128,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
79,25,22,26,24,28,26,12,12,24,21,32,28,30,21,30,26,25,26,100,100,100,100,100,100,100,100,100,160,160,100,100,100,100,100,100,100,100,100,100,100,100,100,True
80,91,82,91,82,95,91,60,60,82,77,100,100,98,75,93,91,91,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
81,130,120,132,120,141,135,100,100,120,115,185,150,144,110,175,135,130,144,100,100,100,100,100,100,100,100,100,125,125,100,100,100,100,100,100,100,100,100,100,100,100,100,True
82,32,29,34,33,36,33,21,21,28,27,40,35,37,26,37,33,32,34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
83,65,58,65,58,68,65,39,39,58,55,71,71,70,53,66,65,65,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
84,90,80,95,85,95,90,62,62,80,76,100,95,97,74,92,90,90,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
85,143,129,143,129,150,143,85,85,129,121,187,165,154,117,145,143,143,153,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
87,100,90,100,95,105,100,60,60,90,85,115,115,108,82,105,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
88,120,108,120,108,126,120,72,72,108,102,132,132,130,98,122,120,120,129,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
89,90,81,90,81,95,90,54,54,81,77,99,99,97,74,92,90,90,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
91,45,40,48,43,50,43,27,27,42,38,60,50,51,34,50,43,45,46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
92,100,90,106,95,111,104,60,60,94,85,117,110,116,82,106,104,100,106,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
93,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
94,100,90,100,90,116,100,70,70,90,85,140,125,122,82,110,100,100,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
95,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
96,100,90,110,98,115,103,70,70,95,85,140,113,120,83,130,103,100,104,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
97,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
98,100,90,100,90,105,100,60,60,90,85,120,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
99,100,85,108,95,110,103,70,70,95,82,120,110,115,79,102,103,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
101,100,90,100,90,105,100,70,70,90,85,160,110,108,82,150,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
102,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
103,50,47,53,50,57,52,35,35,45,43,65,60,58,41,54,52,50,57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
104,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
105,124,112,124,112,129,124,74,74,112,105,136,136,132,102,127,124,124,131,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
106,100,95,105,99,115,110,80,80,95,90,130,120,120,87,120,110,105,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
107,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
108,80,72,80,72,84,80,48,48,72,68,88,88,86,66,82,80,80,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
109,50,45,50,45,53,50,30,30,45,43,60,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
110,120,110,120,110,120,120,75,75,115,107,148,148,137,100,144,120,120,140,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
111,60,54,60,54,63,60,36,36,54,51,66,66,65,49,61,60,60,64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
112,90,80,95,87,103,96,60,60,85,78,110,105,108,73,95,96,90,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
113,90,80,90,85,95,100,60,60,80,78,110,110,108,76,94,100,90,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
114,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
115,100,90,100,90,110,100,72,72,100,85,130,115,110,85,130,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
116,100,89,110,98,112,104,60,60,95,84,130,112,120,82,120,104,102,103,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
117,100,90,100,90,105,100,60,60,90,85,115,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
118,100,95,105,99,115,110,65,65,95,90,130,120,120,87,120,110,105,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
119,90,80,90,85,95,100,60,60,80,78,110,110,108,76,94,100,90,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
120,100,90,110,96,105,100,48,48,95,85,120,108,116,82,110,100,100,102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
121,85,75,85,75,87,85,60,60,80,75,95,95,93,72,87,85,85,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
122,50,47,52,47,55,50,40,40,47,45,60,60,57,43,52,50,50,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
123,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
124,100,83,110,100,101,100,60,60,90,75,130,130,122,74,120,100,115,108,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
125,80,72,80,72,84,80,48,48,72,68,88,88,86,66,82,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
126,150,135,160,140,160,155,100,100,140,130,200,170,165,125,185,155,150,155,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
127,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
128,40,36,40,36,42,40,24,24,36,34,50,50,43,32,45,40,40,43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
129,40,36,40,36,42,40,24,24,36,34,44,44,43,33,41,40,40,43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
130,70,63,70,63,74,70,42,42,63,60,77,77,76,57,71,70,70,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
131,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
132,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
133,125,112,125,112,145,130,75,75,115,105,180,180,148,102,130,130,125,133,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
134,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
135,50,46,52,48,53,51,40,40,45,44,57,55,55,43,51,51,50,53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
136,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
137,110,99,110,99,116,110,66,66,99,94,128,128,123,90,118,110,110,120,70,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
138,80,72,80,72,84,80,48,48,72,68,88,88,86,66,82,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
139,110,100,120,109,123,115,53,53,105,95,140,124,130,93,130,117,112,115,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
140,115,98,125,111,130,116,68,68,110,93,155,123,135,92,145,121,118,115,100,100,100,100,100,100,100,100,100,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,True
141,110,100,120,100,125,121,70,70,100,93,143,132,130,90,123,121,110,128,100,100,100,100,100,100,100,100,100,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,True
142,77,70,77,69,81,77,47,47,69,66,86,86,84,64,79,77,77,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
143,8,8,9,8,9,9,5,5,7,6,13,9,10,6,12,9,9,8,100,100,100,100,100,100,100,100,100,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,True
144,58,52,58,52,61,58,35,35,52,49,64,64,63,48,59,58,58,62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
145,60,55,60,55,67,65,40,40,57,50,75,68,70,50,69,65,60,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
146,75,68,75,68,79,75,45,45,68,64,83,83,81,62,76,75,75,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,True
