#,Name,SeparateType,DataType,JournalSection,MapCondition
119,神殿騎士団リーヴ：革細工師,3,2,8,0
120,神殿騎士団リーヴ：裁縫師,3,2,8,0
121,神殿騎士団リーヴ：錬金術師,3,2,8,0
122,神殿騎士団リーヴ：調理師,3,2,8,0
123,ギルドリーヴ：ファクション,2,2,8,0
124,グランドカンパニーリーヴ,2,2,8,0
125,コンテンツ：新生エオルゼア,2,3,9,0
126,コンテンツ：蒼天のイシュガルド,2,3,9,0
127,コンテンツ：紅蓮のリベレーター,2,3,9,0
128,コンテンツ：漆黒のヴィランズ,2,3,9,0
129,コンテンツ：暁月のフィナーレ,2,3,9,0
130,コンテンツ：黄金のレガシー,2,3,9,0
131,レガシークエスト,2,4,7,0
