#,SatisfactionSupplyRewardData[0].RewardCurrency,SatisfactionSupplyRewardData[0].QuantityLow,SatisfactionSupplyRewardData[0].QuantityMid,SatisfactionSupplyRewardData[0].QuantityHigh,SatisfactionSupplyRewardData[1].RewardCurrency,SatisfactionSupplyRewardData[1].QuantityLow,SatisfactionSupplyRewardData[1].QuantityMid,SatisfactionSupplyRewardData[1].QuantityHigh,SatisfactionLow,SatisfactionMid,SatisfactionHigh,GilLow,GilMid,GilHigh,BonusMultiplier,MinLevelForSecondReward
30,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
31,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
32,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
33,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
34,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
35,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
36,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
37,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
38,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
39,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
40,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
41,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
42,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
43,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
44,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
45,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
46,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
47,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
48,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
49,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
50,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
51,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
52,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
53,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
54,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
55,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
56,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
57,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
58,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
59,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
60,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
61,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
62,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
63,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
64,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
65,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
66,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
67,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
68,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
69,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
70,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
71,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
72,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
73,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
74,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
75,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
76,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
77,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
78,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
79,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
80,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
81,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
82,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
83,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
84,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
85,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
86,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
87,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
88,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
89,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
90,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
91,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
92,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
93,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
94,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
95,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
96,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
97,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
98,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
99,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
100,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
101,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
102,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
103,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
104,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
105,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
106,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
107,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
108,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
109,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
110,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
111,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
112,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
113,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
114,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
115,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
116,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
117,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
118,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
119,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
120,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
121,2,94,117,140,6,82,100,116,30,30,30,670,840,1000,100,0
122,4,94,117,140,7,82,100,116,30,30,30,670,840,1000,100,0
123,2,104,127,150,6,88,106,122,80,80,80,780,980,1170,100,0
124,4,104,127,150,7,88,106,122,80,80,80,780,980,1170,100,0
125,2,114,137,160,6,95,111,128,130,130,130,900,1120,1340,100,0
126,4,114,137,160,7,95,111,128,130,130,130,900,1120,1340,100,0
127,2,124,147,170,6,100,118,134,180,180,180,1010,1260,1510,100,0
128,4,124,147,170,7,100,118,134,180,180,180,1010,1260,1510,100,0
129,2,134,157,180,6,107,124,141,0,0,0,1120,1400,1670,100,0
130,4,134,157,180,7,107,124,141,0,0,0,1120,1400,1670,100,0
131,2,134,157,180,6,107,124,141,0,0,0,1120,1400,1670,150,0
132,4,134,157,180,7,107,124,141,0,0,0,1120,1400,1670,150,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
