#,Description,DescriptionEnhanced,Tooltip,SpecialActionName,SpecialActionDescription,Attack,Defense,Speed,MinionSkillType,HasAreaAttack,StrengthGate,StrengthEye,StrengthShield,StrengthArcana
10,"ミニオン「双蛇のチョコチョコボ」を呼び出す。
チョコチョコ歩くチョコボの子。双蛇党に忠誠を誓う",双蛇党に忠誠を誓うチョコボの子。ある日、双蛇党の厩務員が、掃除をするためチョコボ房に入ったところ、何故か当然のようにそこにいた。以来、隊のマスコットとなっていたが、本人の希望により冒険者部隊に転属した,クエッ、クエッ！,双蛇のチョコクライ,範囲内にいる敵、味方すべてにかかっている、効果を打ち消す。,55,35,3,6,False,False,False,True,False
11,"ミニオン「不滅のチョコチョコボ」を呼び出す。
チョコチョコ歩くチョコボの子。不滅隊に忠誠を誓う",不滅隊に忠誠を誓うチョコボの子。ある日、不滅隊の厩務員が、掃除をするためチョコボ房に入ったところ、何故か当然のようにそこにいた。以来、隊のマスコットとなっていたが、本人の希望により冒険者部隊に転属した,クエッ、クエッ！,不滅のチョコクライ,範囲内にいる敵の特殊技ポイントを、最大値の50%減少させる。,45,45,3,4,False,False,False,True,False
12,"ミニオン「モルボルバルブ」を呼び出す。
モルボルの幼生体。その息は使い古したブーツの香り",オーラムヴェイルで捕獲されたモルボルの幼生体。その息は使い古したブーツの香り。臭いを嗅ぐと食欲が減退すること請け合いであるため、肥満に悩むウルダハの富裕層の中には、あえてペットとして飼う人もいるらしい,モワ～ン…,くさい息,"範囲内にいる敵に、1秒ごとに10の継続ダメージを与える。
**効果時間：**20秒",40,75,1,1,True,True,True,True,False
13,"ミニオン「タイニースクウィレル」を呼び出す。
スクウィレルの幼獣。しっぽを立てろ！",ウルダハ系商人が「かわいいリスの子」と称して売っていた幼獣。だが、フサフサであるはずの尻尾は、どう見てもほっそりしている。これはネズミなのではないか……そうした疑惑がプンプンするが、真相は闇の中である,チュー、チュー,疫病,"範囲内にいる敵のDEFを、25%低下させる。
**効果時間：**6秒",25,45,3,4,False,False,False,False,False
14,"ミニオン「ベイビーファンガー」を呼び出す。
ファンガーの幼生体。プリプリとした食感で大人気",ファンガーの幼生体。プリプリとした食感で大人気。なお、「大エオルゼア博物誌」によれば、ファンガーの胞子を吸い込んだ場合、体内で発芽して脳を支配され、「動く植木鉢」状態にされてしまうことがあるという,プリプリ！,毒胞子,"範囲内にいる敵に、ATK80のダメージを与え、さらにDEFを13%低下させる。
**効果時間：**6秒",50,25,2,1,False,True,False,True,False
15,"ミニオン「チゴーラーヴァ」を呼び出す。
チゴーの幼生体。血の契約を結びたいらしい",チゴーの幼生体。血の契約を結びたいらしい。かつて黒衣森に存在した地下都市「ゲルモラ」では、病人の体内から悪い毒気を抜くためと称して、チゴーに血を吸わせる自然療法が実践されていたという,ブゥ～ン…,吸血,"特殊技ポイントを使用したミニオンのATKを60上昇させる。
**効果時間：**10秒",35,30,3,3,False,True,False,False,False
16,"ミニオン「ブルーバード」を呼び出す。
青い鳥のヒナ。幸運を運ぶと噂される",幸運を運ぶと噂される青い鳥のヒナ。通常は樹上に巣を作るが、ごく稀に人が残した木箱などに営巣することがある。そのため、打ち捨てられた宝箱から見つかることがあり、「思いがけない宝」、「幸運」の象徴となった,チチチチチ…,青い鳥,範囲内にいる敵に、ATK90のダメージを与える。,45,35,4,1,False,False,False,False,False
17,"ミニオン「アンテロープ・フォーン」を呼び出す。
アンテロープの幼獣。生まれてすぐ立ち上がった",アンテロープの幼獣。肉食獣から身を守るため、生まれてすぐに立ち上がる。細い脚を振るわせながら立ち上がった瞬間、地元猟師に捕まり、商人ロウェナに売り払われた。そのため、とても愛に飢えている,キュッ？,つぶらな瞳,"範囲内にいる味方を、タイプ「モンスター」からの攻撃に対して無敵にする。
**効果時間：**5秒",55,40,4,3,False,True,False,False,False
18,"ミニオン「ベイビーインプ」を呼び出す。
インプの幼生体。七獄の魔王になる日を夢見る",インプの幼生体。異界「ヴォイド」で生まれたが、ひょんなことから「切れ目」に落ちてしまい、エオルゼアへと転がり込んできた。エオルゼアで悪戯を極めて実力をつけ、「七獄の魔王」として異界に凱旋する日を夢見る,ウケケケ！,小鬼のイタズラ,範囲内にいる敵に、ATK90のダメージを与える。,75,45,3,1,False,False,True,False,False
19,"ミニオン「タイニークァール」を呼び出す。
クァールの幼獣。ヒゲはまだ生えていない",誇り高きクァールの幼獣。猟犬に追い詰められていたところを救ったことで、冒険者のことを親だと思い込んでいる。まだヒゲも生えていないほど幼いが、冒険者に敵対する者には、容赦なくクァールパンチで応戦する,グルルル…,タイニーブラスター,範囲内にいる敵に、ATK230のダメージを与える。,50,25,4,1,False,False,True,False,False
20,"ミニオン「ブラッククァール」を呼び出す。
クァールの幼獣。毛衣が黒い黒化個体",クァールの幼獣。通常のクァールは黒い斑点を持つが、稀に毛衣が真っ黒な黒化個体が生まれることがあるという。艶やかで美しい毛並みのほか、高い魔力を有するという特徴を持ち、幼くして王者の風格を漂わせている,グルルルゥ…,タイニークロー,最も近い敵軍のアルカナストーンに、5%のダメージを与える。,60,40,4,8,False,False,True,False,False
21,"ミニオン「マメット・ヒルディ」を呼び出す。
事件屋ヒルディブランドを模した魔法人形。もれなく助手付き！",大胆不敵で知的な紳士、事件屋ヒルディブランドを模した魔法人形。遙か天の彼方へと旅立った愛息子を偲び、エオルゼア最強の彫金師が情熱的に仕上げた。どういう原理かは不明だが、助手のナシュ人形も付随している,ヒルディィィブランド！,紳士の推理,"範囲内にいる味方のATKとDEFを40上昇させる。ただし効果終了後、特殊技ポイントを使用したミニオンは強制帰還する。
**効果時間：**20秒",90,75,4,3,False,True,True,False,False
22,"ミニオン「グラベルゴーレム」を呼び出す。
ゴーレムを模した魔法人形。意外と柔らかい",ゴーレムを模した魔法人形。第五星暦末期に作られた石人形を参考に作られているが、その原理はまったくの別物で、中身は通常のマメットとほぼ同じである。なお、外殻は硬そうだが、意外と柔らかい,ゴゴゴゴゴ…,グラベルスキン,"特殊技ポイントを使用したミニオンのDEFを40上昇させる。
**効果時間：**10秒",60,40,2,3,False,True,True,False,False
23,"ミニオン「マメット・トンベリ」を呼び出す。
トンベリを象った魔法人形。怨みが込められている？",トンベリを象った魔法人形。一見すると愛らしいが、実は強い怨みを込めて作られている。それゆえ、持ち主が深い眠りにつくと勝手に動き出し、その柔らかい脇腹に包丁を突き立てるらしいが、包丁も布製なので害はない,…………,みんなの怨み,"範囲内にいる味方のATKとDEFを40上昇させる。ただし効果終了後、特殊技ポイントを使用したミニオンは強制帰還する。
**効果時間：**20秒",45,35,4,3,True,True,False,False,False
24,"ミニオン「タイニーアダマンタス」を呼び出す。
アダマンタスの子亀。いつか賢者になるかもしれない",ソルトストランド産のアダマンタスの子亀。ご主人様についていきたいのは山々だが、歩くのが面倒らしく、いつの間にか身体をスピンさせて移動する技を編み出していた。いつか賢者になるかもしれない,カメェェェッー！,ベビーストンプ,"範囲内にいる敵のDEFを、25%低下させる。
**効果時間：**6秒",40,60,3,4,False,False,False,False,False
25,"ミニオン「ベイビーラプトル」を呼び出す。
人工孵化させたラプトルの幼獣。甘噛みが得意",人工孵化させたラプトルの幼獣。ゴブリン族がラプトルを家畜として扱っていることを知ったバウバリー村の商人が、試みに繁殖させたもの。このまま育てれば、頼れる相棒になるのかもしれない。得意技は甘噛み,ガブガブ…,太古の生命,"特殊技ポイントを使用したミニオンはタイプ「ドール」からの攻撃に対して無敵になる。
**効果時間：**10秒",45,25,4,3,False,True,False,False,False
26,"ミニオン「ベイビーバット」を呼び出す。
小さなコウモリ。連れ歩けば吸血鬼気分",メメルン交易商会の商人、ノノルンが売っていた小さなコウモリ。売り文句は「新鮮採れたて美味しいコウモリ」とのこと。とはいえ、とても美味しそうには見えない。連れ歩けば吸血鬼気分になれること請け合い,キィ、キィ,超音波,"範囲内にいる敵に、1秒ごとに10の継続ダメージを与える。
**効果時間：**20秒",25,40,4,1,False,True,False,False,False
27,"ミニオン「タイニーバルブ」を呼び出す。
小さなバルブ。断じてトレントではない",球根のような姿をしているため「バルブ」と呼ばれる草木綱の魔物。肥沃で日当たりの良い場所を求めて、根を脚のように動かして移動する。時折、溝や捨てられた木箱などに落ちてしまい、脱出不能になることがある,ガサガサ…,種まき,トラップを配置する。10秒後トラップ発動ボタンにより起爆可能。範囲内にいる敵にATK260のダメージを与える。,80,40,2,2,False,True,False,True,False
28,"ミニオン「ダストバニー」を呼び出す。
スプリガンの幼生体。大好物は柔らかい宝石",スプリガンの幼生体。歯が成長しておらず、まだ硬い鉱石は食べられないため、砂利や小石を掘り出して食べる。「ダストバニー」とは、埃まみれで廃石をあさる姿から付けられた愛称。大好物は柔らかい宝石らしい,イシシシシ…,ロンプ,範囲内にいる敵に、ATK90のダメージを与える。,50,30,4,1,False,True,True,False,False
29,"ミニオン「マメット・デュラハン」を呼び出す。
デュラハンを模した魔法人形。小さな大剣使い",妖異「デュラハン」を模した魔法人形。本来のデュラハンは姿なき存在で、板金鎧に憑依することにより物質界で活動する。しかし、マメットの中には、からくり仕掛けがぎっちり。中身が見えないよう兜で隠している,ガチャガチャ…,彷徨わぬ鎧,トラップを配置する。10秒後トラップ発動ボタンにより起爆可能。範囲内にいる敵にATK180のダメージを与える。,30,55,2,2,True,False,True,False,False
30,"ミニオン「ギガンジャクシ」を呼び出す。
ギガントードのおたまじゃくし。カエルはいいな……",ザナラーンの水辺で釣れたギガントードのおたまじゃくし。そのうち脚が生えて、立派なギガントードになるはずだ。大きくなったからといって捨てると、周辺住民が次々と失踪することになるだろう。責任をもって飼おう,ピチャピチャ,ヌルヌル粘膜,"範囲内にいる敵のATKを、50%低下させる。
**効果時間：**15秒",50,40,4,4,False,True,False,False,False
31,"ミニオン「パジープーク」を呼び出す。
プークの幼生体。そのお腹はプクプクとした感触",プークの幼生体。クルザス地方で暴れ回る単眼族「ステロペス」のおやつとして一生を終えるはずだったところを、冒険者によって救われた。その恩を忘れることはないだろう。成長して野生の本能に目覚めるまでは……,アタフタ…,野生の目覚め,"範囲内にいる敵に、タイプ「モンスター」を弱点に加える。
**効果時間：**15秒",50,30,2,4,False,True,True,False,False
32,"ミニオン「バッファロー・カフ」を呼び出す。
バッファローの仔牛。肉質が柔らかく美味しそう",バッファローの仔牛。砂の家の倉庫の片隅でひっそりと暮らしていたことが、引っ越し作業により判明。一体、誰が飼っていたのか主が分からなかったため、冒険者が引き取ることになった。肉質が柔らかく美味しそう,ンモォ～！,猛牛の怒り,"特殊技ポイントを使用したミニオンのATKを40上昇させる。
**効果時間：**15秒",35,25,3,3,False,False,False,True,False
33,"ミニオン「ミニテンダー」を呼び出す。
サボテンダーの幼生体。まだ針を飛ばせない",サボテンダーの幼生体。サボテン1号とサボテン2号の間に生まれた子供だと、ゾンビーの青年「ハブ」は思ってる。だが、実はサボテン3号とサボテン2号の「過去の過ち」の結果であることは知られていない,！？,爆走,"特殊技ポイントを使用したミニオンの移動速度を30%上昇させる。
**効果時間：**10秒",30,45,4,3,False,False,False,False,False
34,"ミニオン「スモールシェル」を呼び出す。
シェルの幼生体。あなたの為に今日も走る",シェルの幼生体。ブラッドショアの浜辺で石に擬態して休んでいたところ、冒険者の魔物退治に巻き込まれた末、踏みつけられて気絶していた。その後、戦利品として回収され飼われることに。あなたの為に今日も走る,カササササ…,小さなハサミ,範囲内にいる敵にかかっている、強化効果をすべて打ち消す。,30,35,2,6,False,True,False,True,False
35,"ミニオン「ウルフ・パップ」を呼び出す。
ウルフの子狼。「漆黒の王狼」と呼ばれたい",助け出したウルフの子狼。軍用狼として飼育、訓練されてきた血統を継いでおり、誇り高くも従順な頼れる相棒となる。戦いの場に赴けば、精一杯いっしょに戦ってくれることだろう。いつか「漆黒の王狼」と呼ばれたい,ウォォォ～ン！,フルムーンレイジ,"範囲内にいる味方のATKを20上昇させる。味方がタイプ「アニマル」の場合は、ATKが40上昇する。
**効果時間：**6秒",65,30,4,3,False,False,False,False,False
36,"ミニオン「タイニーアイ」を呼び出す。
アーリマンの幼生体。視線が気になって眠れない",妖異「アーリマン」の幼生体。ある妖異学者の研究によれば、アーリマンの涙から発生するらしいのだが、未だに現場を確認した者はいないようだ。じっと見つめてくるため、連れていると視線が気になって夜も眠れない,ジロリ…,アイズオンミー,範囲内にいる敵に、ATK230のダメージを与える。,30,30,3,1,False,True,True,False,False
37,"ミニオン「タイニードードー」を呼び出す。
ドードーのヒナ。毒腺を除去したので毒は吐かない",マズラヤ島原産のドードーのヒナ。毒腺を除去してあるので毒のブレスは吐かない。丸々と育ててソテーにするも良し、タマゴを産ませてオムレツを作るも良し。いまからその成長が楽しみで仕方がない,ドドドドド…,巣作り,シールドが破壊されていた場合、復活させる。,60,55,3,9,False,True,False,False,False
38,"ミニオン「コブランラーヴァ」を呼び出す。
コブランの幼生体。一時期乱獲されたらしい",コブランの幼生体。外殻を成長させるため岩肌に長時間へばりつき、消化液を分泌してゆっくりと鉱物を溶かし、その成分を摂取する。それゆえコブランの棲息域では、稀に採掘場から幼生体が掘れることがある,カサコソカサコソ,硬質化,"範囲内にいる味方のDEFを10上昇させる。味方のタイプが「モンスター」の場合は、DEFが30上昇する。
**効果時間：**6秒",50,30,2,3,True,False,False,True,False
39,"ミニオン「マメット・ゴート」を呼び出す。
アルドゴートを模した魔法人形。モフモフしている",アルドゴートを模した魔法人形。クルザスの民話では悪食の一族として描かれる大山羊だが、デューンフォーク族は富の象徴と考えている。そのため子供が生まれると、豊かに暮らせるように願い、大山羊人形を贈る風習がある,モフモフ…,モフモフ,範囲内にいる味方にかかっている、弱体効果を打ち消す。,30,50,2,6,False,True,True,True,False
40,"ミニオン「タイニーアプカル」を呼び出す。
アプカルのヒナ。大型魚をあげなくても付いてくる",アプカルのヒナ。探検の偉業を称えるため、友人でもあるミリスとジョナサスが冒険者のために用意した贈物。ミリスと冒険者が出会った場所でもある名所「アプカルの滝」にちなんだらしいが、当のヒナはそんな事など知らない,ペタペタペタ…,ペタペタ歩き,"特殊技ポイントを使用したミニオンのオートアタックを範囲攻撃にする。
**効果時間：**12秒",80,70,2,3,False,False,False,False,False
41,"ミニオン「グゥーブー・スプラウト」を呼び出す。
グゥーブーの幼獣。エサ代が馬鹿にならないとの噂",グゥーブーの幼獣。さほど成長していないため、頭頂部に生やした植物も未だに芽吹いたばかり。大食いで知られる魔物だけに、十分な大きさに成長するためには途方もない程の食料が必要。エサ代が馬鹿にならないとの噂,ふぁぁぁ…,くしゃみ,敵が配置したトラップがある場合、解除する。,55,40,3,6,True,False,False,False,False
42,"ミニオン「ミニプリン」を呼び出す。
小さなプリン。ご先祖様は黒かったという噂",小さなプリン。プリンは分裂することで増殖する。チェストにしまっておくと、いつの間にかギッチリ詰まっていることがあるのは、たぶんそういうことなのだろう。ご先祖様は紫ではなく、黒かったという噂がある,ぷりんぷりん,めにょーん,"特殊技ポイントを使用したミニオンはタイプ「ドール」からの攻撃に対して無敵になる。
**効果時間：**10秒",30,40,2,3,False,True,True,False,False
43,"ミニオン「魔導ヴァンガード追従型」を呼び出す。
1/9スケールモデル。帝国一般兵はついていません",彫金師ギルドが誇るギルドマスターグレードシリーズ第一弾。ガレマール帝国軍の無人型魔導アーマー「ヴァンガード」を、1/9スケールで忠実に再現している。このキットに帝国一般兵はついていません,ギィ…ガシャン…,オーバーチャージ,範囲内にいる味方の特殊技ポイントを10上昇させる。ただし特殊技が同効果なミニオンを除く。,35,50,3,3,False,False,True,False,False
44,"ミニオン「デモンズブロック」を呼び出す。
魔法のブロック。古代の見習い妖術師が作った習作",魔法仕掛けで動く奇妙なブロック。古代アムダプールの見習い妖術師たちが作った習作のようだ。こうした小さなブロックで修行を積むことで、やがて壁面を覆うほど巨大な「デモンズウォール」を作れるようになるらしい,カタコト、カタコト,プチリペル,範囲内にいる敵をノックバックさせる。,25,80,2,9,False,False,False,False,False
45,"ミニオン「ミニモール」を呼び出す。
モグラの幼獣。掘れないモグラは、ただのモグラだ",王立ナナモ菜園で捕獲したモールの幼獣。博物学者マルセットの学説を証明するための実験体となり、数々の恐ろしい目に遭わされた。今は冒険者を慕っているが、実の母親を屠ったのが誰なのか、まだ気付いていない……,ホリホリホリ…,もぐらの怒り,"特殊技ポイントを使用したミニオンのATKを40上昇させる。
**効果時間：**15秒",90,40,3,3,False,False,False,True,False
46,"ミニオン「タイニーラム」を呼び出す。
ひんがしの国からきた羊。まじないの力はもうない",慈愛の神を迎えた「降神祭」で出会った羊。命令に背いて死にかけていたところを救い、そのまま譲り受けた。まじないの力は失ったが、敬愛する冒険者という主を得て、日々、幸せをかみしめているようだ,メエエ～,慈愛の心,"特殊技ポイントを使用したミニオンのDEFを40上昇させる。
**効果時間：**10秒",30,25,2,3,False,False,False,True,False
47,"ミニオン「ミニスライム」を呼び出す。
有り体に言うと、細切れにされたスライム",有り体に言うと、細切れにされたスライム。採掘作業時に生じる汚水溜まりに自然発生的に生じる魔物で、鉱山社の採掘師たちからは忌み嫌われている。しかし、玄人はスライムに個性と愛嬌を見いだすものである,ヌメヌメ…,ネバネバ細胞,"範囲内にいる敵に、タイプ「モンスター」を弱点に加える。
**効果時間：**15秒",30,30,2,4,True,True,False,False,False
48,"ミニオン「ミニマンドラゴラ」を呼び出す。
マンドラゴラの幼生体。悲鳴を上げさせるのは危険",マンドラゴラの幼生体。自然豊かな場所で草刈りをしていると、稀に芽吹いたばかりの幼生体が見つかることがある。無理に土から引き抜こうとすると、聞く者の精神を蝕む危険な悲鳴を上げるので、刈り取るときは慎重に,…………,ヘッドバット,範囲内にいる敵に、ATK90のダメージを与える。,65,35,1,1,False,True,False,True,True
49,"ミニオン「マメット・ゴブリン」を呼び出す。
ゴブリンを模した魔法人形。その素顔を見た者はいない",ゴブリン界に現れた現代の英雄、ブレイフロクスを模した魔法人形。その数々の偉業を称えるため作られた……という触れ込みだが、何故か科学者集団「青の手」の刻印が刻まれている。出所については聞かぬが花だろう,シュコォ…シュコォ…,ゴブリジャマー,範囲内にいる敵の特殊技ポイントを、最大値の50%減少させる。,40,45,2,4,False,True,True,False,False
50,"ミニオン「マメット・シルフ」を呼び出す。
シルフを模した魔法人形なのでふっち",シルフ族を模した魔法人形。上質のシルフシルクで作ったぬいぐるみに、シルフ族特有のおまぢないをかけて仕上げたもの。非常に愛らしいその姿は、生まれて間もない「御子ちゃま」をモチーフにしているらしい,フワフワ…,おまぢない,"範囲内にいる敵のATKを、50%低下させる。
**効果時間：**15秒",40,30,4,4,False,True,False,False,False
51,"ミニオン「マメット・カーソル」を呼び出す。
すべての運命を支配する古代神を模した魔法人形",古代神を模した魔法人形。あるゴブリン族の神学者が泥酔した末に語ったところによれば、この世界は14番目の世界であり、原初の世界では「指さす白き手袋」の姿をした神が、すべての運命を支配していたという,ピッ、ピッ、ピッ！,悪魔の選択,"範囲内にいる敵のDEFを、50%低下させる。
**効果時間：**15秒",55,40,3,4,False,False,True,False,False
52,"ミニオン「マメット・インビンシブル」を呼び出す。
伝説の飛空艇インビンシブル号を模したからくり模型",飛空艇のからくり模型。モデルはハイウィンド飛空社の創業者、タタノラ氏が大型船を流用して建造した飛空艇「インビンシブル号」である。なお、実物は空を飛ぶことができず、大金を無駄にしたことで伝説となった,ブロロロロ…,航空支援,"範囲内にいる味方のATKを20上昇させる。味方がタイプ「ガジェット」の場合は、ATKが40上昇する。
**効果時間：**6秒",50,75,4,3,False,False,True,False,False
53,"ミニオン「マメット・キキルン」を呼び出す。
キキルンを模した魔法人形っちゃ",リムサ・ロミンサで活躍したキキルン族大道芸人、ザザルンを模した魔法人形。一世を風靡したザザルンだったが、金銭トラブルを抱えて借金まみれに。その後、自らの人形の販売権を裁縫師ギルドに売却したという,チャリチャリクレクレ,きらきらブレイク,"特殊技ポイントを使用したミニオンに、施設特効「アルカナストーン」を付与する。
**効果時間：**6秒",60,40,3,3,False,True,False,False,False
54,"ミニオン「黒チョコチョコボ」を呼び出す。
チョコチョコ歩くチョコボの子。マンボのリズムが好き",チョコチョコ歩くチョコボの子。タマゴから孵ったときは黄色かったが、ある日やって来た銀のアクセサリーで着飾った男によって黒く塗られてしまった。それ以来、「黒チョコボ」として生きている。マンボのリズムが大好き,ン～クエッ！,チョコトラップ,トラップを配置する。10秒後トラップ発動ボタンにより起爆可能。範囲内にいる敵にATK260のダメージを与える。,55,75,2,2,False,False,True,False,False
55,"ミニオン「マメット・ダラガブ」を呼び出す。
ダラガブを模したからくり仕掛けの魔法人形",ダラガブを模したからくり仕掛けの魔法人形。かつて落下するダラガブを支えようと挑んで灰となった、無謀なる音楽師に哀悼の意を表するため、彫金師ギルドによって製造された。中に何が入っているのかは不明,フィ～ン…,リミッターオフ,"特殊技ポイントを使用したミニオンの移動速度を30%上昇させる。
**効果時間：**10秒",30,40,3,3,True,False,False,False,False
56,"ミニオン「カインドフレア」を呼び出す。
親切にしたら懐いてしまった幼き妖異。名状しがたい恐怖を感じる",リテイナーが拾ってきた謎の存在。親切にしたら懐いてしまったらしい。妖異学者によると、亡者の骸を依代として物質界に降り立ち、人の精神を啜る妖異「マインドフレア」の幼体のようだ。名状しがたい恐怖を感じる,ズルルルル…,カインドブラスト,"範囲内にいる敵のATKを、40%低下させる。
**効果時間：**6秒",75,50,2,4,False,False,True,False,False
57,"ミニオン「アントーキング・コリブリ」を呼び出す。
海賊に飼育されていたコリブリ。イヤラシイ！",マディソン船長が飼っていたコリブリ。腹部に重傷を負いながらも、水神「リヴァイアサン」の祝福により化け物として復活を果たした主と共に、浸食洞へと舞い戻った。船長を称える必要がなくなったため、言葉数が減った,イヤラシイ！,急用,特殊技ポイントを使用したミニオンを自軍の中央ゲート内へワープさせる。,50,35,3,9,False,False,False,False,False
58,"ミニオン「マメット・アマルジャ」を呼び出す。
アマルジャを模した魔法人形。驚天動地！",アマルジャ族を模した魔法人形。灰の一党の鍛冶師ナルジ・ボーが、冒険者が連れ歩くマメットを参考にして作ったもの。戯れに作ったものとはいえ、至強を目指す灰の一党らしく、屈強なる戦士として仕上げられている,驚天動地！,驚天動地,"範囲内にいる味方のDEFを10上昇させる。味方のタイプが「ドール」の場合は、DEFが30上昇する。
**効果時間：**6秒",30,25,4,3,False,True,False,False,False
59,"ミニオン「マメット・イクサル」を呼び出す。
イクサルを模したッァ、魔法人形なんだよッォ！",エカトル空力団の団員たちが、ヒトの技術を学ぶために試作した魔法人形。タタラムが仕入れた彫金師ギルド製マメットを参考に、最高にワルでワイルドに仕上げたようだ。エオルゼアに「マメワル」が誕生した瞬間である,喧嘩上等ッォ！,喧嘩上等,"特殊技ポイントを使用したミニオンのDEFを40上昇させる。
**効果時間：**10秒",40,30,2,3,False,True,False,True,False
60,"ミニオン「マメット・コボルド」を呼び出す。
コボルドを模しーた　魔法にんぎょーう",コボルド族を模した魔法人形。実はアコライト789 バ・ゴが、愛らしさで敵の油断を誘うために開発した人形型爆弾である。第789洞穴団の商人が勝手に商材に加えたため、腹の中には危険な爆弾を抱えたままらしい,シュゥゥゥゥゥ…,媚びをうる,"範囲内にいる敵のATKを、40%低下させる。
**効果時間：**6秒",30,30,3,4,False,True,False,False,False
61,"ミニオン「マメット・サハギン」を呼び出す。
サハギンを模した魔法人形。水泳は苦手",サハギン族を模した魔法人形。幼い末弟たちのために、ノォヴ一味の長兄たちが作ったものらしい。魚を狩る際に用いる三つ叉の銛を手に持つなど、精巧にサハギン族戦士を表現してある。ただし、水泳は苦手,フスィーッ,フスィー,範囲内にいる敵にかかっている、強化効果をすべて打ち消す。,45,40,4,6,False,True,False,False,False
