#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
36,エネルギー充填率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
37,ハッキング進捗率,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
38,光の氾濫,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
39,エネルギー充填率,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
40,ダラガブエーテル密度,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
41,LIMIT BREAK,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
42,マザーポークシーの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
43,ガイアの記憶,,35,50,0,0,2,3,1,1,1,False
44,ザ・ダの魂変異率,,-1,-1,0,0,3,0,0,1,1,False
45,エーテル充填率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
46,混沌,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
47,絶望,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
48,六合結界の術式展開度,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
49,敵軍警戒度,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
50,ゾディアークの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
51,エーテル充填率,ContentGaugeMax_negative,100,-1,0,0,4,2,0,1,1,True
52,,,0,0,0,0,0,0,0,0,0,False
53,邪竜の影の支配率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
54,,,600,900,0,1,0,0,0,1,1,True
55,ファーヴニルの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
56,フェネクスの魔力,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
57,ヴェーネスのエーテル,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
58,ガイウスの剣気,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
59,ミドガルズオルムエーテル,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
60,スカルミリョーネの魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
61,アシエン・ラハブレアの魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
62,ニーズヘッグの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
63,満腹度,,30,50,0,0,2,3,1,1,1,False
64,魔法障壁外層の耐久度,,30,70,0,0,2,3,1,1,1,False
65,ルキアたちの耐久力,,30,70,0,0,2,3,1,1,1,False
66,カイナッツォの魔力,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
67,魔法障壁中層の耐久度,,30,70,0,0,2,3,1,1,1,False
68,魔法障壁内層の耐久度,,30,70,0,0,2,3,1,1,1,False
69,ルビカンテの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
70,アンドロマリウスの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
71,アシエン・プライムの魔力,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
72,ハルオーネの凍気,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
73,メネフィナの魔力,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
74,アテナの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
75,エネルギー充填率,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
76,エーテル凝縮率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
77,九尾の妖気,ContentGaugeMax_negative,60,90,0,0,1,3,2,1,1,True
78,,,60,180,0,1,0,0,0,1,1,True
79,グウィドリトの雷力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
80,オーティスの耐久度,,30,70,0,0,2,3,1,1,1,False
81,災厄の徴,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
82,イクソク・シュマジュンの魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
83,封印の魔力,,100,-1,0,0,3,1,0,1,1,True
84,ハウリングブレードの剣気,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
85,グルーヴ感,,-1,-1,0,0,1,0,0,1,1,True
86,ゼレニアのエーテル,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
87,死への恐怖,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
88,,,-1,-1,0,1,0,0,0,1,1,True
89,グラシャラボラスの魔力,ContentGaugeMax_negative,100,-1,0,0,3,2,0,1,1,True
90,クルルの魔力,ContentGaugeMax_positive,-1,-1,0,0,1,0,0,1,1,True
91,草刈り魂,,50,100,0,0,1,3,2,1,1,True
92,,,0,0,0,0,0,0,0,0,0,False
93,巨大グラビデ塊,,-1,-1,0,0,2,0,0,1,1,False
94,,,0,0,0,0,0,0,0,0,0,False
