#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
37,星極の腕輪,,星極の腕輪,"ファストリキャスト＋15％
魔法被ダメージ－8％",ファストリキャスト、被魔法ダメージ軽減,0,0,0,1,0,0,243037,86,1
38,火纏いの斧,,火纏いの斧,"特殊効果：オートアタックに追加火属性ダメージを付与する。
追加ダメージは他のビーストギアなどのアイテムやアビリティによる魔法与ダメージアップの影響を受ける。
追加ダメージの威力：240
オートアタック追加効果を持つ他のビーストギアと同時に所持すると、1つしか効果が発揮されない。",オートアタックに追加火属性ダメージ,0,0,0,1,0,0,243038,168,1
39,氷纏いの斧,,氷纏いの斧,"特殊効果：オートアタックに追加氷属性ダメージを付与する。
追加ダメージは他のビーストギアなどのアイテムやアビリティによる魔法与ダメージアップの影響を受ける。
追加ダメージの威力：240
オートアタック追加効果を持つ他のビーストギアと同時に所持すると、1つしか効果が発揮されない。",オートアタックに追加氷属性ダメージ,0,0,0,1,0,0,243039,168,1
40,雷纏いの斧,,雷纏いの斧,"特殊効果：オートアタックに追加雷属性ダメージを付与する。
追加ダメージは他のビーストギアなどのアイテムやアビリティによる魔法与ダメージアップの影響を受ける。
追加ダメージの威力：240
オートアタック追加効果を持つ他のビーストギアと同時に所持すると、1つしか効果が発揮されない。",オートアタックに追加雷属性ダメージ,0,0,0,1,0,0,243040,168,1
41,地纏いの斧,,地纏いの斧,"特殊効果：オートアタックに追加土属性ダメージを付与する。
追加ダメージは他のビーストギアなどのアイテムやアビリティによる魔法与ダメージアップの影響を受ける。
追加ダメージの威力：240
オートアタック追加効果を持つ他のビーストギアと同時に所持すると、1つしか効果が発揮されない。",オートアタックに追加土属性ダメージ,0,0,0,1,0,0,243041,168,1
42,水纏いの斧,,水纏いの斧,"特殊効果：オートアタックに追加水属性ダメージを付与する。
追加ダメージは他のビーストギアなどのアイテムやアビリティによる魔法与ダメージアップの影響を受ける。
追加ダメージの威力：240
オートアタック追加効果を持つ他のビーストギアと同時に所持すると、1つしか効果が発揮されない。",オートアタックに追加水属性ダメージ,0,0,0,1,0,0,243042,168,1
43,風纏いの斧,,風纏いの斧,"特殊効果：オートアタックに追加風属性ダメージを付与する。
追加ダメージは他のビーストギアなどのアイテムやアビリティによる魔法与ダメージアップの影響を受ける。
追加ダメージの威力：240
オートアタック追加効果を持つ他のビーストギアと同時に所持すると、1つしか効果が発揮されない。",オートアタックに追加風属性ダメージ,0,0,0,1,0,0,243043,168,1
44,忍の衣,,忍の衣,"最大ＨＰ＋17％
回避率＋8％
特殊効果：攻撃を回避したとき、自身に「ヘイスト」を1スタック付与する。
ヘイスト効果：オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムを2％短縮する。
ヘイスト効果時間：60秒
最大スタック5",最大ＨＰアップ、回避率アップ、回避時にヘイスト,0,0,0,1,0,0,243044,175,1
45,忍の手甲,,忍の手甲,"ヘイスト＋2％
物理与ダメージ＋3％",ヘイスト、物理ダメージ上昇,0,0,0,1,0,0,243045,63,1
46,忍の眼帯,,忍の眼帯,"ヘイスト＋5％
クリティカル発動率＋5％",ヘイスト、クリティカル発動率,0,0,0,1,0,0,243046,91,1
47,ウィンドシールド,,ウィンドシールド,"特殊効果：30％の確率で風属性ダメージを無効化し、吸収する。
特殊効果：盾ブロック発生時、50％の確率で自身に「ブリンク」を1スタック付与する。
ブリンク効果：一部を除くすべての物理攻撃を無効化する。無効化するとスタックを1消費する。
ブリンク効果時間：120秒",風属性吸収、盾ブロック時にブリンク,0,0,0,1,0,0,243047,224,1
48,ウィンドマスク,,ウィンドマスク,"魔法被ダメージ－10％
特殊効果：自身が使用するアクションおよびクルーシブルアイテムのＨＰ回復効果が15％上昇する。
特殊効果：攻撃を回避したとき、自身に「諸刃の剣」を付与する。
諸刃の剣効果：徐々にＨＰが失われる代わりに与ダメージが30％増加する。
諸刃の剣効果時間：21秒",被魔法ダメージ軽減、回復量アップ、回避時に諸刃の剣,0,0,0,1,0,0,243048,154,1
49,ウィンドアーマー,,ウィンドアーマー,"被ダメージ－15％
魔法与ダメージ＋20％
特殊効果：自身が使用するアクションおよびクルーシブルアイテムのＨＰ回復効果が30％上昇する。",被ダメージ軽減、魔法ダメージ上昇、回復量アップ,0,0,0,1,0,0,243049,264,1
50,ヘヴィアクス,,ヘヴィアクス,"与ダメージ＋25％
移動速度－20％",ダメージ上昇、移動速度ダウン,0,0,0,1,0,0,243050,268,1
51,ミスリルの鎧,,ミスリルの鎧,"被ダメージ－15％
最大ＨＰ＋15％",被ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243051,172,1
52,ミスリルの小手,,ミスリルの小手,"被ダメージ－5％
物理与ダメージ＋5％
最大ＨＰ＋5％",被ダメージ軽減、物理ダメージ上昇、最大ＨＰアップ,0,0,0,1,0,0,243052,113,1
53,ミスリルの脚甲,,ミスリルの脚甲,"被ダメージ－10％
最大ＨＰ＋5％",被ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243053,85,1
54,猛獣の仮面,,猛獣の仮面,"物理被ダメージ－10％
クリティカル発動率＋15％",被物理ダメージ軽減、クリティカル発動率,0,0,0,1,0,0,243054,126,1
55,猛獣の短刀,,猛獣の短刀,"クリティカル発動率＋8％
特殊効果：クリティカル発生時、25％の確率で自身に「ダメージ上昇」を1スタック付与する。
ダメージ上昇効果：与ダメージを3％上昇させる。
ダメージ上昇効果時間：30秒
最大スタック8",クリティカル発動率、クリティカル発生時にダメージ上昇,0,0,0,1,0,0,243055,87,1
56,猛獣の耳飾り,,猛獣の耳飾り,"クリティカル発動率＋15％
最大ＨＰ＋2％",クリティカル発動率、最大ＨＰアップ,0,0,0,1,0,0,243056,84,1
57,盗賊のナイフ,,盗賊のナイフ,"ヘイスト＋1％
特殊効果：トレジャーイベントでアイテムを2つ選択できる。",ヘイスト、トレジャーイベントでアイテムを2つ選択,0,0,0,1,0,0,243057,200,1
58,盗賊の胴衣,,盗賊の胴衣,"戦利品ドロップ率＋80％
被ダメージ－8％
最大ＨＰ＋18％",戦利品ドロップ率アップ、被ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243058,172,1
59,盗賊の手袋,,盗賊の手袋,"戦利品ドロップ率＋70％
ヘイスト＋2％",戦利品ドロップ率アップ、ヘイスト,0,0,0,1,0,0,243059,50,1
60,盗賊の靴,,盗賊の靴,"戦利品ドロップ率＋40％
回避率＋2％",戦利品ドロップ率アップ、回避率アップ,0,0,0,1,0,0,243060,30,1
61,サンダーアクス,,サンダーアクス,"与ダメージ＋30％
特殊効果：ダメージを受けたとき、5％の確率で自身に「スタン」を付与する。
スタン効果時間：3秒",ダメージ上昇、被ダメージ時にスタン,0,0,0,1,0,0,243061,315,1
62,サンダーアーマー,,サンダーアーマー,"特殊効果：30％の確率で雷属性ダメージを無効化し、吸収する。
特殊効果：クリティカル発生時、5％の確率で自身に「ハイテンション」を1スタック付与する。
ハイテンション効果：与ダメージ＋10％、被ダメージ－5％
ハイテンション効果時間：180秒
最大スタック：4",雷属性吸収、クリティカル発生時にハイテンション,0,0,0,1,0,0,243062,161,1
63,退魔の盾,,退魔の盾,"特殊効果：盾ブロック発生時、自身に「魔法被ダメージ軽減」を1スタック付与する。
魔法被ダメージ軽減効果：受ける魔法ダメージを5％軽減する。
魔法被ダメージ軽減効果時間：60秒
最大スタック8",盾ブロック時に被魔法ダメージ軽減,0,0,0,1,0,0,243063,84,1
64,金の髪飾り,,金の髪飾り,"ファストリキャスト＋10％
特殊効果：自身のウェポンスキル実行時に獣心技連携に成功すると、25％の確率で消費したＴＰの一部が回復する。",ファストリキャスト、獣心技連携成功時にＴＰ回復,0,0,0,1,0,0,243064,113,1
65,フレイムナイフ,,フレイムナイフ,"与ダメージ＋25％
ヘイスト＋5％
特殊効果：クリティカル発生時、10％の確率で自身に「焔の枷」を付与する。
焔の枷の効果：移動すると魔法ダメージを受ける。
焔の枷効果時間：9秒",ダメージ上昇、ヘイスト、クリティカル発生時に焔の枷,0,0,0,1,0,0,243065,262,1
66,フレイムシールド,,フレイムシールド,"ブロック性能＋50％
与ダメージ＋3％
特殊効果：30％の確率で火属性ダメージを無効化し、吸収する。",火属性吸収、ブロック性能、与ダメージアップ,0,0,0,1,0,0,243066,116,1
67,商人の帽子,,商人の帽子,"ビーストコイン獲得量＋25％
クリティカル発動率－10％
与ダメージ＋5％",ビーストコイン獲得量アップ、クリティカル発動率ダウン、与ダメージアップ,0,0,0,1,0,0,243067,24,1
68,商人の胴衣,,商人の胴衣,"ビーストコイン獲得量＋25％
物理被ダメージ－10％",ビーストコイン獲得量アップ、被物理ダメージ軽減,0,0,0,1,0,0,243068,52,1
69,商人の靴,,商人の靴,"ビーストコイン獲得量＋25％
回避率＋4％
最大ＨＰ＋12％",ビーストコイン獲得量アップ、回避率アップ、最大ＨＰアップ,0,0,0,1,0,0,243069,101,1
70,高揚の指輪,,高揚の指輪,"最大ＨＰ＋3％
特殊効果：ＴＰ蓄積量を25％上昇させる。",ＴＰ蓄積量アップ,0,0,0,1,0,0,243070,113,1
71,悪魔の兜,,悪魔の兜,"与ダメージ＋20％
特殊効果：ダメージを受けたとき、1％の確率で自身に「死の宣告」を付与する。
死の宣告効果時間：2秒
特殊効果：ＴＰ蓄積量を20％上昇させる。",ダメージ上昇、被ダメージ時に死の宣告、ＴＰ蓄積量アップ,0,0,0,1,0,0,243071,264,1
72,悪魔の鎧,,悪魔の鎧,"最大ＨＰ＋5％
特殊効果：ＴＰ蓄積量を5％上昇させる。
特殊効果：敵にとどめをさしたとき、自身に「ハイテンション」を1スタック付与する。
ハイテンション効果：与ダメージ＋10％、被ダメージ－5％
ハイテンション効果時間：180秒
最大スタック：4",最大ＨＰアップ、ＴＰ蓄積量アップ、敵討伐時にハイテンション,0,0,0,1,0,0,243072,170,1
73,姫帝羽虫の髪飾り ,,姫帝羽虫の髪飾り ,"回避率＋10％
最大ＨＰ－8％
特殊効果：クリティカル発生時、2％の確率で自身に「徐々にＨＰ回復」を1スタック付与する。
徐々にＨＰ回復効果：一定時間ごとにＨＰを最大ＨＰの3％分回復する。
徐々にＨＰ回復効果時間：12秒
最大スタック8",回避率アップ、最大ＨＰダウン、クリティカル発生時にＨＰ回復,0,0,0,1,0,0,243073,129,1
74,ヘイストベルト,,ヘイストベルト,ヘイスト＋6％,ヘイスト,0,0,0,1,0,0,243074,76,1
75,戦士の丸盾,,戦士の丸盾,"ブロック性能＋100％
物理被ダメージ－5％
最大ＨＰ＋2％",ブロック性能、被物理ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243075,64,1
76,ビーストポーションG1,,ビーストポーションG1,自身かペットを対象とし、ＨＰを10％回復する。,,0,0,0,1,0,0,243136,32,2
77,ビーストポーションG2,,ビーストポーションG2,自身かペットを対象とし、ＨＰを23％回復する。,,0,0,0,1,0,0,243137,72,2
78,ビーストポーションG3,,ビーストポーションG3,自身かペットを対象とし、ＨＰを36％回復する。,,0,0,0,1,0,0,243138,113,2
79,ビーストポーションG4,,ビーストポーションG4,自身かペットを対象とし、ＨＰを50％回復する。,,0,0,0,1,0,0,243139,158,2
80,ビーストパウダーG1,,ビーストパウダーG1,自身と周囲の味方のＨＰを10％回復する。,,0,0,0,1,0,0,243140,63,2
81,ビーストパウダーG2,,ビーストパウダーG2,自身と周囲の味方のＨＰを25％回復する。,,0,0,0,1,0,0,243141,158,2
82,ビーストパウダーG3,,ビーストパウダーG3,自身と周囲の味方のＨＰを40％回復する。,,0,0,0,1,0,0,243142,252,2
83,魔獣の毒消し,,魔獣の毒消し,"自身かペットを対象とし、一部を除くすべての毒を解除する。
治癒に成功すると、対象のＨＰを最大ＨＰの25％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243143,32,2
84,魔獣の金針,,魔獣の金針,"ペットを対象とし、一部を除くすべての石化を解除する。
治癒に成功すると、対象のＨＰを最大ＨＰの50％分回復し、さらに「ストンスキン」を付与する。
ストンスキン効果：最大ＨＰの50％分のダメージを軽減する。
ストンスキン効果時間：60秒
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243144,32,2
85,魔獣の目薬,,魔獣の目薬,"自身かペットを対象とし、一部を除くすべての暗闇を解除する。
治癒に成功すると、対象のＨＰを最大ＨＰの25％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243145,32,2
86,魔獣の抗毒薬G1,,魔獣の抗毒薬G1,"自身かペットを対象とし、毒耐性を100％向上させる。
効果時間：180秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243146,32,2
87,魔獣の抗毒薬G2,,魔獣の抗毒薬G2,"自身と周囲の味方の毒耐性を100％向上させる。
効果時間：300秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243147,50,2
88,魔獣の抗麻痺薬G1,,魔獣の抗麻痺薬G1,"自身かペットを対象とし、麻痺耐性を100％向上させる。
効果時間：180秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243148,32,2
89,魔獣の抗麻痺薬G2,,魔獣の抗麻痺薬G2,"自身と周囲の味方の麻痺耐性を100％向上させる。
効果時間：300秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243149,50,2
90,魔獣の抗暗闇薬G1,,魔獣の抗暗闇薬G1,"自身かペットを対象とし、暗闇耐性を100％向上させる。
効果時間：180秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243150,32,2
91,魔獣の抗暗闇薬G2,,魔獣の抗暗闇薬G2,"自身と周囲の味方の暗闇耐性を100％向上させる。
効果時間：300秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243151,50,2
92,魔獣の抗石化薬G1,,魔獣の抗石化薬G1,"自身かペットを対象とし、石化耐性を100％向上させる。
効果時間：180秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243152,32,2
93,魔獣の抗石化薬G2,,魔獣の抗石化薬G2,"自身と周囲の味方の石化耐性を100％向上させる。
効果時間：300秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243153,50,2
94,魔獣の抗睡眠薬G1,,魔獣の抗睡眠薬G1,"自身かペットを対象とし、睡眠耐性を100％向上させる。
効果時間：180秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243154,32,2
95,魔獣の抗睡眠薬G2,,魔獣の抗睡眠薬G2,"自身と周囲の味方の睡眠耐性を100％向上させる。
効果時間：300秒
追加効果：「クリムゾンリボン」を所持している場合、対象のＨＰを最大ＨＰの50％分回復する。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243155,50,2
96,呼び戻しの笛,,呼び戻しの笛,"戦闘不能になったペットを復活させる。
このアイテムはイベントマップのみで使用できる。",,0,0,0,1,0,0,243156,135,2
97,魔獣の煙玉,,魔獣の煙玉,"エネミーイベントを回避できる。
ただし、エリートエネミーとボスエネミーでは無効。
エネミーイベント開始直前に使用するかどうか選択する。",,0,0,0,1,0,0,243157,85,2
98,ビーストリレイザーG1,,ビーストリレイザーG1,"自身に「リレイズ」を付与する。
リレイズ効果：戦闘不能になったときに70％の確率で自動的に蘇生する。
効果時間：永続",,0,0,0,1,0,0,243158,221,2
99,ビーストリレイザーG2,,ビーストリレイザーG2,"自身に「リレイズ」を付与する。
リレイズ効果：戦闘不能になったときに95％の確率で自動的に蘇生する。
効果時間：永続",,0,0,0,1,0,0,243159,299,2
100,盗賊の目,,盗賊の目,"自身に「盗賊の目」を付与する。
盗賊の目効果：次のエネミーイベントクリア時の戦利品ドロップ率が3倍になる。
効果時間：30分
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243160,32,2
101,商人の目,,商人の目,"自身に「商人の目」を付与する。
商人の目効果：次のエネミーイベントクリア時のビーストコイン獲得量が2倍になる。
効果時間：30分
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243161,23,2
102,魔獣の硬皮薬,,魔獣の硬皮薬,"自身かペットを対象とし、「硬皮薬」を付与する。
硬皮薬効果：受けるダメージを20％軽減する。
効果時間：60秒
追加効果：「アイスシールド」を所持している場合、効果時間が90秒になる。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243162,47,2
103,魔獣の短縮薬,,魔獣の短縮薬,"自身かペットを対象とし、「短縮薬」を付与する。
短縮薬効果：オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムを15％短縮する。
効果時間：60秒
追加効果：「盗賊の手袋」を所持している場合、効果時間が90秒になる。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243163,43,2
104,魔獣の剛力薬,,魔獣の剛力薬,"自身かペットを対象とし、「剛力薬」を付与する。
剛力薬効果：対象が与える物理ダメージを30％上昇させる。
効果時間：15秒
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243164,36,2
105,魔獣の剛力劇薬,,魔獣の剛力劇薬,"自身かペットを対象とし、スタンを付与する代わりに、「剛力薬」を付与する。
剛力薬効果：対象が与える物理ダメージを45％上昇させる。
スタンの効果時間：15秒
剛力薬の効果時間：30秒
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243165,88,2
106,魔獣の魔力薬,,魔獣の魔力薬,"自身かペットを対象とし、「魔力薬」を付与する。
魔力薬効果：対象が与える魔法ダメージを30％上昇させる。
効果時間：15秒
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243166,23,2
107,魔獣の魔力劇薬,,魔獣の魔力劇薬,"自身かペットを対象とし、悪夢を付与する代わりに、「魔力薬」を付与する。
魔力薬効果：対象が与える魔法ダメージを50％上昇させる。
悪夢の効果時間：30秒
魔力薬の効果時間：30秒
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243167,50,2
108,魔獣の特攻薬,,魔獣の特攻薬,"自身かペットを対象とし、「特攻薬」を付与する。
特攻薬効果：対象のクリティカル発動率を30％上昇させる。
効果時間：30秒
追加効果：「銀縁眼鏡」を所持している場合、効果時間が60秒になる。
このアイテムはバトルマップのみで使用できる。",,0,0,0,1,0,0,243168,20,2
