#,Text,NpcName,Image
21,"「イシュガルド復興」は、
我が国の貴族院、庶民院で承認された、公的な事業計画です。
身分や出身を問わず、公募で人員を募っています。
外部からのお越しいただいた優秀な職人の方々には、技術指導や高度な製作物をお願いしています。

また、この「蒼天街」では、特別手形「」が導入されています。復興事業に関する報酬はこちらで払い出し、蒼天街で様々な物品と交換することが可能です。
扱っている品は、担当の「エニー」にご確認ください。

そして、日々この街を訪れる職人方が、復興の状況について確認できるよう、こちらの「」が設置されています。
現在の復興個所や「復興共同作業」に関する情報を、担当の者が更新していきますので、定期的にご確認することをお勧めします。

イシュガルド復興のため、お力添えをお願いいたします！

**なお、復興事業計画は完遂いたしました。
皆様のご協力に心から感謝いたします。**",,0
22,十字鍬通りの整備計画を開始します！,フランセル,0
23,聖ロエル広場の整備計画を開始します！,フランセル,0
24,ニューネスト居住区の整備計画を開始します！,フランセル,0
25,今期の復興事業計画は全て完了しました！,フランセル,0
26,"皆さん、日々の復興へのご協力ありがとうございます。
蒼天街復興事業の総監を務める、フランセル・ド・アインハルトです。

前回の整備計画では、予想を上回る皆さんのご協力に対処しきれず、ご迷惑をおかけしました。
精進していきますので、引き続きご協力いただければと思います。

今期の計画では、戦災で家をなくした市民を受け入れるため、ニューネスト居住区の完成を目指します。
そのためにも、まずは居住区に隣接する通路、すなわち十字鍬通りと聖ロエル広場の整備から進める予定です。
ご協力のほど、よろしくお願いいたします。

フランセル",,70308
27,"蒼天街復興事業、現場監督のオーグベルトだ。
今期最初の復興共同作業では、この広場のすぐ北に倒れこんでいる、塔の瓦礫を撤去しなきゃな。
以下の工程で進めてくれ。

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

以上だ、よろしく頼む。

オーグベルト",,70309
28,"検品窓口のフロパッサンっす！
次の復興共同作業では、引き続き十字鍬通りの瓦礫撤去を進めていくっすよ！
道が狭いんで、落っこちないように気をつけてくださいね！
工程も書いとくっす！

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

復興共同作業はギャザラーの皆さんでも参加できるっす！
ディアデム諸島での資源採集の合間にでも、ぜひお願いします！

フロパッサン",,70310
29,"はーい！　クポフォーチュン担当リズベスです！
十字鍬通りの復興が進んできましたね！
次の復興共同作業は二種類です！

【清掃作業】
1.通路に残る微細な瓦礫片を清掃する

【舗装作業】
1.物資集積場から物資を入手
2.一次作業場で土木資材に加工
3.破損個所で舗装

作業の合間に、ぜひクポフォーチュンにも挑戦してくださいね！

リズベス",,70311
30,"十字鍬通りの作業も大詰めだ！
中央の広場については、市民の憩いの場になるような意匠を期待しているぜ。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上だ、よろしく頼む。

オーグベルト",,70312
31,"職人の方々のおかげで、十字鍬通りが完成しました！
この通りは、復興作業における物資運搬の要となるでしょう。
ご協力、ありがとうございました！

次は聖ロエル広場の整備を予定しています。
段差などが多いので、作業はどうか安全第一で。
どうぞよろしくお願いします。

フランセル",,70313
32,"おかげさんで十字鍬通りが完成した！
さっそくだが、次の通路の足場を組み立てるぞ！
復興共同作業の内容は以下の通りだ。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

オーグベルト",,70314
33,"皆様、ご機嫌麗しゅう。ランキング窓口担当、ルドブランです。
聖ロエル広場の瓦礫除去の復興共同作業へのご参加、お待ちしております。
手順は下記の通りです。

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

皆様の日々の復興活動へのご尽力、しかと計上させていただいております！

ルドブラン",,70315
34,"次の復興共同作業では、聖ロエル広場の清掃と舗装を行う予定だ。
以下の工程で進めてくれ。

【清掃作業】
1.通路に残る微細な瓦礫片を清掃する

【舗装作業】
1.物資集積場から物資を入手
2.一次作業場で土木資材に加工
3.破損個所で舗装

以上だ、よろしく頼む。

オーグベルト",,70316
35,"次の復興共同作業では、お立ち台や水路の建設を行う！
手順は以下の通りだ！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上だ、よろしく頼む。

オーグベルト",,70317
36,"聖ロエル広場が完成しました！
広場や水路の美しい意匠、感謝します。
ぜひ皆さんも、往来を眺めたり、歓談したりと憩いの場にしてくださいね。

いよいよ、居住区の整備に取りかかります。
広大な敷地のため、作業量が多くなりますが、どうかご協力をお願いいたします。

フランセル",,70318
37,"ついに居住区の作業に着手するぜ！
下記の手順で、瓦礫撤去の復興共同作業に参加してくれ！

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

広くて大変だが、頑張りどころだ。

オーグベルト",,70319
38,"皆さん、いつもたくさんの物資の納品、ありがとうございます！
おかげさまで、復興共同作業計画も、順調に進んでいます。
前回に引き続き、ガレキの撤去にご協力をお願いいたしますっ！

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

以上、よろしくお願いしますっ！

ポットキン",,70320
39,"おかげさまで、ニューネスト居住区の瓦礫撤去作業ももうすぐ完了です！
もう少しだけ、下記の復興共同作業にご協力ください！

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する


クポフォーチュンにも、ぜひ遊びにきてくださいね！

リズベス",,70321
40,"おかげさんで、今期の瓦礫撤去作業は終了だ！
次の復興共同作業は、ニューネスト居住区全体の、清掃と舗装だな。
広いから手分けして作業してくれ。

【清掃作業】
1.通路に残る微細な瓦礫片を清掃する

【舗装作業】
1.物資集積場から物資を入手
2.一次作業場で土木資材に加工
3.破損個所で舗装

以上だ、よろしく頼む。

オーグベルト",,70322
41,"いよいよ、住居の建設段階まで到達したぞ！
これも絶えず物資を納品してくれる職人がたのおかげだ！
ついては、下記の手順で復興共同作業を頼む。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

住人たちが凍えないよう、暖かい家にしないとな。

オーグベルト",,70323
42,"新しい家がどんどんできていくのを見るのは、見ていて気持ちがいいですね。
この調子で、どんどん建てていっちゃいましょう！
作業内容は、前回と同じですよ～。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

蒼天街振興券が貯まったら、ぜひ交換にきてくださいね～。

エニー",,70324
43,"残すは、家三軒の建設だ！
これが今期最後の復興共同作業になるぞ！　

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上だ、よろしく頼む。

オーグベルト",,70325
44,"皆さんのおかげで、
ついにニューネスト居住区の全整備計画が完工しました！
これで、雲霧街で凍えていた市民へ、
暖かい家を提供することができます！
本当にありがとうございます！

次の復興事業計画が決定するまで、少々お待ちください。
物資の納品は、引き続きお待ちしています。
今後もご協力、どうぞよろしくお願いいたします！

フランセル",,70326
45,"「クポフォーチュン」は、物資納品と連動した復興くじです。

クポフォーチュン対象の依頼品を「ポットキン」へ納品すると、スタンプを入手できます。スタンプが5つ貯まると、1回くじを遊ぶことができます。

くじには、左側に1つ、右側に3つ、
マスが配置されており、そのうち1つを削ることができます。
左側のマスには2等から4等、
右側のマスには1等から5等が当たるチャンスがあります。

景品の内容は毎回変化しますので、
くじに記載された配当表をご確認ください。
ここでしか手に入らない、珍しい景品もあるかも……！？

興味のある方は、クポフォーチュン窓口「リズベス」まで！",,0
46,"この度、豊かな資源を有する「ディアデム諸島」が、
イシュガルド復興事業の公的な資源採集地に決定されました。

つきましては、
優秀な採集家の方々を「ディアデム諸島」へご案内しています。
特殊な機工ツール「エーテルオーガー」を用い、
ぜひ多くの資材を採集してください！

ディアデム諸島で採集された資材は品質管理の関係上、
検品を行わせていただいております。
一度「フロパッサン」のもとへお立ち寄りください。
検品時には謝礼として、「」をお渡ししています。

詳細については、
雲海探索窓口「オールヴァエル」にお尋ねください。",,0
47,フェザーフォール商業区の整備計画を開始します！,フランセル,0
48,アバカス通り整備計画の整備計画を開始します！,フランセル,0
49,ホアフロスト官舎の整備計画を開始します！,フランセル,0
50,今期の復興事業計画は全て完了しました！,フランセル,0
51,"蒼天街復興事業総監、フランセル・ド・アインハルトです。

おかげさまでニューネスト居住区の整備が無事に完了し、住人の移住計画は順調に進んでいます。皆さん、ご協力ありがとうございます。
今期の計画では、西の区画を蒼天街の経済を支える商業区として整備する予定です。完成した暁には賑やかな地域にできるよう、総監として尽力していくので、引き続きのご協力をお待ちしております。

フランセル",,70327
52,"蒼天街復興事業の現場監督、オーグベルトだ。
今期の計画では西の区画を商業区にするべく、復興を進めていく予定なんで協力を頼む。
まずは名も無き者たちの広場の西から、瓦礫を撤去していくぞ！

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

運搬は力作業だからな、力自慢たちの参加を待っているぞ。

オーグベルト",,70328
53,"装備品修理担当の、エイロンウィーです……！
フェザーフォール商業区の整備のため、引き続き瓦礫の撤去をお願いいたします……！

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

また、私のところでは、皆さんの作業に役立つ「修理材料」や、カララントなども取り扱っておりますので、ぜひご活用ください……！

エイロンウィー",,70329
54,"復興共同作業に従事する皆様、日々のご協力に感謝いたします。
間近で繰り広げられる職人たちの妙技に胸の高鳴りが抑えられない、ランキング窓口担当のルドブランでございます。
職人の皆様、ぜひ復興共同作業へのご参加もお願いいたします。

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

なお、累積技巧点の報酬のお受け取りもお忘れなく。

ルドブラン",,70330
55,"皆様、フェザーフォール商業区の整備にご協力をお願いいたします～！

【清掃作業】
1.通路に残る微細な瓦礫片を清掃する

【舗装作業】
1.物資集積場から物資を入手
2.一次作業場で土木資材に加工
3.破損個所で舗装

ご協力いただいている皆様への感謝の気持ちを込めて、返礼品は徐々に品目を増やしていますので、ぜひぜひ交換にいらしてくださいねぇ～。

エニー",,70331
56,"フェザーフォール商業区の舗装、ご苦労だった！
今回から、フェザーフォール商業区の住居と大規模施設の建造に移るぞ。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

よろしく頼む！

オーグベルト",,70332
57,"職人の皆さん、いつも依頼品の納品ありがとうございます！
復興共同作業へのご参加もお待ちしております！
作業計画は下記になります！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上、よろしくお願いいたします！

ポットキン",,70333
58,"フェザーフォール商業区の住居建設も大詰めっす！
職人の皆さん、建設作業のお手伝いもよろしくお願いするっす！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

ディアデム諸島で活躍する、ギャザラーの皆さんの協力も待ってるっすよ！

フロパッサン",,70334
59,"フェザーフォール商業区の整備計画は、無事に完了しました！
スカイスチール機工房分館が完成し、復興や生活に役立つ機器がより効率的に製造できるでしょう。
 続いては、商人たちの象徴である計算機の名前を冠した「アバカス通り」の整備へのご協力、どうかよろしくお願いします……！

フランセル",,70335
60,"次は、十字鍬通りに通じる道になる予定の「アバカス通り」の瓦礫撤去作業を開始するぞ！
復興共同作業への参加、よろしく頼む！

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

急な斜面が多いから、くれぐれも気をつけて作業してくれよな！

オーグベルト",,70336
61,"クポの実ないよ！　クポフォーチュンならあるよ！
リズベスが、次の復興共同作業の内容をお知らせします！

【清掃作業】
1.通路に残る微細な瓦礫片を清掃する

【舗装作業】
1.物資集積場から物資を入手
2.一次作業場で土木資材に加工
3.破損個所で舗装

スタンプがたまったら、ぜひクポフォーチュンに挑戦してくださいね！

リズベス",,70337
62,"職人の皆様にお願いです。
アバカス通りの景観向上のための復興共同作業へ、ご参加いただきたいのです。
作業内容は下記となります。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

美しい職人たちの美しい技術で、美しい装飾が施されるのを楽しみにしております。

ルドブラン",,70338
63,"皆さんのおかげで、見事な通りが完成しました！　ありがとうございました！
続いては、復興事業に携わる皇都の職人や住み込みで働く労働者の集合住宅となる、ホアフロスト官舎建造の計画を進めていきたいと思っています。
大規模な施設を建設する計画ですので、復興共同作業も多く発生します。皆さんのご協力、お待ちしております。

フランセル",,70339
64,"ホアフロスト官舎は、大人数が入居できる大規模施設になる予定だ！
建築の復興共同作業も連続で行うから、みんな無理のないように参加してくれ！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

今期最後の復興共同作業なんで、よろしく頼むぜ！

オーグベルト",,70340
65,"ホアフロスト官舎が完成し、今期の整備計画は全て完了しました！
皆さん、ご協力ありがとうございました！
フェザーフォール商業区では経済の活性化を促すべく、製造業・商業に関する税金の緩和政策や、行商人への保障などを行う予定です。
人や物が豊かに行き来するような、賑やかな街になるといいですね。
復興事業に携わる職人方に、最大限の感謝を。

フランセル",,70341
66,リズンソング文化区西の整備計画を開始します！,フランセル,0
67,詩伯門の整備計画を開始します！,フランセル,0
68,リズンソング文化区東の整備計画を開始します！,フランセル,0
69,名高き職人の記念碑の建造作業を開始します！,フランセル,0
70,蒼天街の復興事業計画は全て完了しました！,フランセル,0
71,"蒼天街復興事業総監、フランセル・ド・アインハルトです。

皆さんのご協力のおかげで、ついに第四次の復興事業計画が開始しました。
これが最後の復興事業計画となります。
蒼天街を完成させるため、ご協力をお願いいたします！

フランセル",,70342
72,"第四次復興事業計画の最初の復興共同作業に着手しよう。
作業工程を以下に書いておく。

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

以上だ、よろしく頼む。

オーグベルト",,70343
73,"次の復興共同作業は二段構えとなっております。

【清掃作業】
1.通路に残る微細な瓦礫片を清掃する

【舗装作業】
1.物資集積場から物資を入手
2.一次作業場で土木資材に加工
3.破損個所で舗装

皆様の雄姿、きちんと記録しておりますよ。

ルドブラン",,70344
74,"おかげさんで舗装が完了したから、住居建設の復興共同作業を進めていくぞ！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

みんなの腕前に期待している！

オーグベルト",,70345
75,"クポの実ないよ！　クポフォーチュンならあるよ！
引き続き文化区西の住居建設へご協力をお願いします！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

以上です！　クポフォーチュンもお忘れなく！

リズベス",,70346
76,"皆さん、いつも物資の納品ありがとうございます！
おかげで、復興共同作業の予定も順調に進んでいます！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

上記の作業工程、どうかよろしくお願いしますっ！

ポットキン",,70347
77,"皆さんのご協力のおかげで、リズンソング文化区西の整備計画は無事に完了しました。
続いては、「詩伯門」の整備計画へ移ります。
イシュガルドの上層へと繋がる門と、蒼天街を繋げることで、また多くの人が行き来できるようになるでしょう。
どうかご協力をお願いします……！

フランセル",,70353
78,"ディアデム諸島の素材検品窓口、フロパッサンっす！
復興共同作業のご案内をさせてもらうっす！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

この作業で詩伯門が完成する予定なんで、よろしく頼んます！


フロパッサン",,70354
79,"皆さんのご協力で、詩伯門が完成しました！
次の復興予定地は、リズンソング文化区東です。
復興共同作業の準備が整うまで、資材の納品をよろしくお願いいたします。

フランセル",,70348
80,"文化区東の瓦礫撤去の復興共同作業を行う！
作業工程を以下に書いておく。

1.大きな瓦礫を小さく破砕する
2.持ち運べる破砕片を選別する
3.破砕片を集積場まで運搬する

瓦礫を撤去する作業は、これが最後になる。協力頼む。

オーグベルト",,70349
81,"清掃と舗装の復興共同作業のご案内で～す！

【清掃作業】
1.通路に残る微細な瓦礫片を清掃する

【舗装作業】
1.物資集積場から物資を入手
2.一次作業場で土木資材に加工
3.破損個所で舗装

これで蒼天街の舗装が完全に完了しますよ～！

リズベス",,70350
82,"リズンソング文化区東の建設事業が開始されたので、ご案内です。
下記の手順で、復興共同作業にご参加ください。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

雑貨の購入や装備の修理はお任せください！

エイロンウィー",,70351
83,"たくさんの物資の納品のおかげで、住居の建設ももうすぐ完了です！
復興共同作業の手順は以下のようになりますっ！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

職人方が意匠を凝らした家々、楽しみです！

ポットキン",,70352
84,"リズンソング文化区東の整備計画が完了しました！
続いては、「スノーソーク浴場」の整備を行います。
温かい温泉を引き入れ、皆の憩いの場になればと思っていますので、どうかご協力よろしくお願いします……！

フランセル",,70355
85,"ぽかぽかな浴場を作るための人手を募集しています。
下記の手順で、皆様ふるってご参加くださいませ～。

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建築

完成したら老若男女問わず、みんなで温泉に入りましょうね～。

エニー",,70356
86,"最後の最後に、復興事業計画を支えてくれた職人のために碑を建てたい！
アバカス通りで、建造の復興共同作業に参加してくれ！

1.物資集積場から物資を入手
2.一次作業場で資材に加工
3.最終作業場で建造

本当に世話になった！　みんな、ありがとうな！

オーグベルト",,70357
87,"皆さんのおかげで、
蒼天街のすべての復興計画が完遂いたしました。

長く続いたこの復興事業計画を共にしてくれた職人をはじめとした、すべての方々に、感謝しています。
本当に、本当にありがとうございました！

【追伸】
なお、復興計画の完遂後も物資を提供してくださる職人の皆さんには、引き続き謝礼をご用意しております。

フランセル",,70358
88,蒼天街復興祝祭が開催されます！,フランセル,0
89,"出自を問わず、数多くの職人のおかげで、
蒼天街の復興事業計画は完遂いたしました。

ただいまこの街では、諸外国からお越しの皆様を歓待するため、
蒼天街復興祝祭と題して、定期的に「Fête」が開催されています。
ご参加の皆様には報酬をご用意していますので、奮ってご参加ください！

フランセル",,70359
90,"「Fête」とは、蒼天街復興祝祭の一環として、
定期的に催される多人数参加型イベントです。

開催期間中は、複数のイベントが連続して発生します。

参加者には報酬をご用意していますので、
諸外国からの皆様のご参加をお待ちしております。",,0
