#,LGBSharedGroup,RequirementRow[0],RequirementRow[1],RequirementRow[2],RequirementRow[3],RequirementRow[4],RequirementRow[5],Unknown0,RequirementQuestSequence[0],RequirementQuestSequence[1],RequirementQuestSequence[2],RequirementQuestSequence[3],RequirementQuestSequence[4],RequirementQuestSequence[5],Unknown1,RequirementType[0],RequirementType[1],RequirementType[2],RequirementType[3],RequirementType[4],RequirementType[5],Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
14.5,7173842,68610,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
14.6,7173841,68610,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
14.7,7354962,68611,68611,0,0,0,0,0,2,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
14.8,8464625,69551,69932,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,False,False,False,False,False,False,False
15.0,6719649,68027,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
15.1,6719762,68166,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
15.2,6777139,68018,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
15.3,7082629,68509,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
15.4,7082644,68510,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
15.5,7082645,68511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
15.6,7082646,68512,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
15.7,7082647,68513,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
15.8,7233145,68551,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
16.0,6539826,68053,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
16.1,6698045,68060,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
16.2,6645602,68060,68060,0,0,0,0,0,2,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
16.3,7242432,68562,68565,68607,68610,0,0,0,2,2,0,5,0,0,0,2,2,1,2,0,0,0,False,False,False,False,False,False,False
16.4,7421344,68610,68610,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
16.5,8468755,69551,69932,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,False,False,False,False,False,False,False
17.0,6783897,68053,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
17.1,7340781,68633,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
17.2,7350184,68634,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
17.3,7350185,68635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
17.4,7345094,68636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
17.5,7350186,68637,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
18.0,6948697,68089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
18.1,6949364,68089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
18.2,6943258,67991,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
18.3,6945474,68008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
18.4,7021320,67999,68062,0,0,0,0,0,255,0,0,0,0,0,0,2,1,0,0,0,0,0,False,False,False,False,False,False,False
18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False
19.0,6887992,68012,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
19.1,6586545,68006,68061,68062,0,0,0,0,1,255,255,0,0,0,0,2,2,2,0,0,0,0,False,False,False,False,False,False,False
19.2,6998348,68061,68062,0,0,0,0,0,255,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
19.3,7127964,68089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
20.0,6904932,68465,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
21.0,7297919,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,False,False,False,False
21.1,7297920,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,False,False,False,False
21.2,7170393,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,False,False,False,False
22.0,7331060,1,4,5,8,9,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,False,False,False,False,False,False,False
22.1,7387118,16,22,23,27,31,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,False,False,False,False,False,False,False
22.2,7385932,12,15,19,26,28,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,False,False,False,False,False,False,False
22.3,7380934,23,31,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,False,False,False,False,False,False,False
22.4,7509016,34,70,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,False,False,False,False,False,False,False
22.5,7630548,38,41,42,43,67,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,False,False,False,False,False,False,False
22.6,7635836,46,49,52,53,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,False,False,False,False,False,False,False
22.7,7626587,56,59,60,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,False,False,False,False,False,False,False
22.8,7262591,63,66,67,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,False,False,False,False,False,False,False
22.9,7630164,72,73,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,False,False,False,False,False,False,False
23.0,7645860,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,False,False,False,False
23.1,7672221,51,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
23.2,7632009,58,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
24.0,7581964,68690,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
25.0,7693610,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
25.1,7588684,72,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
25.2,7734696,76,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
25.3,7845079,72,76,80,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,False,False,False,False,False,False,False
25.4,7855266,81,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,True,False,False,False,False,False,False
25.5,7781307,85,86,86,90,0,0,0,0,0,1,0,0,0,0,4,4,4,4,0,0,0,False,False,False,False,False,False,False
25.6,7840051,70,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
25.7,7840054,74,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
25.8,7840058,78,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,False,False,False,False,False,False,False
26.0,7446962,68841,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
26.1,7446965,68860,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
26.2,7446961,69145,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
26.3,8034353,68838,68841,0,0,0,0,0,1,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
26.4,8382513,69432,69433,69434,69435,69436,0,0,0,255,0,0,6,0,0,1,2,1,1,2,0,0,False,False,False,False,False,False,False
27.0,7921422,69167,69179,0,0,0,0,0,255,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
27.1,7964411,68822,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
27.2,8384359,69488,69489,69489,69534,69581,69585,0,3,1,0,4,0,0,0,2,2,1,2,1,1,0,False,False,False,False,False,False,False
27.3,8388825,69489,69571,69571,0,0,0,0,1,2,255,0,0,0,0,2,2,2,0,0,0,0,False,False,False,False,False,False,False
28.0,7965311,68869,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
28.1,7624736,68868,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
28.2,7460201,68872,68873,0,0,0,0,0,255,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
28.3,8262841,69330,69331,69332,69333,69334,69335,0,0,0,0,0,255,4,0,1,1,1,1,2,2,0,False,False,False,False,False,False,False
28.4,8262789,69336,69337,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
28.5,8262790,69338,69339,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
28.6,8262791,69340,69341,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False
28.7,8262788,69334,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
28.8,8264083,69330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
29.0,7965327,69187,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
29.1,7811622,69187,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
29.2,7852579,69190,69190,0,0,0,0,0,7,8,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
30.0,7964397,68767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
30.1,7964396,68768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
30.2,8376775,69313,69314,0,0,0,0,0,3,1,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
30.3,9662171,70266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
31.0,8047917,69167,69179,0,0,0,0,0,255,2,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
31.1,7968773,69158,69167,0,0,0,0,0,0,255,0,0,0,0,0,1,2,0,0,0,0,0,False,False,False,False,False,False,False
31.2,8036278,68791,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
32.0,7980543,68792,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
33.0,7871397,68836,69179,69190,0,0,0,0,255,0,11,0,0,0,0,2,1,2,0,0,0,0,False,False,False,False,False,False,False
34.0,8146727,69219,69220,69221,69222,69223,0,0,9,11,9,9,8,0,0,2,2,2,2,2,0,0,False,False,False,False,False,False,False
34.1,8149890,69219,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
34.2,8149893,69220,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
34.3,8149894,69221,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
34.4,8149891,69222,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
34.5,8149892,69223,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
35.0,8398048,69493,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
35.1,8541476,69535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.0,8401669,69477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.1,8401671,69481,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.2,8401672,69484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.3,8407765,69481,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.4,8510356,69481,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.5,8510361,69484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.6,8510365,69484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.7,8510375,69481,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.8,8510383,69484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
36.9,8510386,69484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
37.0,8464516,69551,69932,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,False,False,False,False,False,False,False
38.0,8466246,69551,69932,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,False,False,False,False,False,False,False
39.0,8468751,69551,69932,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,False,False,False,False,False,False,False
40.0,8724610,69571,69571,0,0,0,0,0,2,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
40.1,8462348,69571,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
41.0,8754908,69567,70297,70297,0,0,0,0,7,1,255,0,0,0,0,2,2,2,0,0,0,0,False,False,False,False,False,False,False
42.0,8773502,69628,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.1,8773523,69629,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.2,8773532,69629,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.3,8773577,69628,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.4,8773578,69629,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.5,8773579,69629,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.6,8773618,69620,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
42.7,8773630,69628,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
42.8,8773643,69629,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False
42.9,8743494,69628,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.10,8746211,69629,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.11,8725648,69628,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.12,8725649,69629,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.13,8725653,69629,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.14,8612241,69624,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
42.15,8715333,69620,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
43.0,8992911,69983,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
43.1,8872828,69988,70000,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,False,False,False,False,False,False,False
43.2,9396828,70176,70295,0,0,0,0,0,255,255,0,0,0,0,0,2,2,0,0,0,0,0,False,False,False,False,False,False,False
44.0,8751915,69913,0,0,0,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
44.1,9000193,69948,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,False,False,False,False,False,False,False
