#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
38,「スペックルド・ハラック」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,5,0,-1
39,「クラウドクロウラー」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,6,0,-1
40,「サーベルタイガー」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,6,0,-1
41,「エイジレス・サンクチンニ」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,8,0,-1
42,「サンソルデス」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,8,0,-1
43,「アントホーク」を討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、博物学研究に必要な卵の確保を依頼したい。
まずは周辺を探索しつつ、卵狙いのネズミが現れるのを待ってくれ。",,0,0,0,1,6,0,-1
44,「エッグピッカー・マウス」を討伐,どうやら卵狙いのネズミが、姿を現したようだ。,"ネズミどもが、たかる場所へ急行し、
「エッグピッカー・マウス」を討伐せよ！",,0,0,0,7,8,0,-1
45,「エッグピッカー・マウス」を討伐,どうやら卵狙いのネズミが、姿を現したようだ。,"ネズミどもが、たかる場所へ急行し、
「エッグピッカー・マウス」を討伐せよ！",,0,0,0,7,8,0,-1
46,「エッグピッカー・マウス」を討伐,どうやら卵狙いのネズミが、姿を現したようだ。,"ネズミどもが、たかる場所へ急行し、
「エッグピッカー・マウス」を討伐せよ！",,0,0,0,7,8,0,-1
47,「古代種の卵」を回収地点に運ぶ,ネズミどもを始末したら、周辺に卵がないか確認してくれ。,"「古代種の卵」を発見したら、
これを回収地点まで運搬してもらいたい。",,2007782,15,2992,5,0,0,-1
48,「クラウドトラップ」を倒し、「雲海妖花の花粉」を収集,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、特殊な香の素材の確保を依頼したい。
クラウドトラップを倒し、「雲海妖花の花粉」を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,0,5,-1
49,「フラッドウォーム」を倒し、「ウォームの肝」を収集,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、香の素材となる物資を集めてくれ。
フラッドウォームを倒し、「ウォームの肝」を確保されたし。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,0,3,-1
50,バウンティ号の漂着地のアインハルト家の飛空士に収集物を納品,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","最後に収集した品を、「バウンティ号の漂着地」にいる、
「アインハルト家の飛空士」に届けてくれ。","諸君たちの協力に感謝する。
報酬は、漂着地で受渡をさせてもらうぞ！",0,0,0,2,0,0,-1
51,バウンティ号の漂着地のアインハルト家の飛空士から試薬を調達,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、強力な生物への対抗手段として、
開発中の試薬の実証試験を依頼したい。","まずは「バウンティ号の漂着地」を訪れ、
「アインハルト家の飛空士」から試薬を入手されたし。",1,0,0,3,0,0,-1
52,「シルバーシェル」に「弱化の試薬」を用いて討伐,"「シルバーシェル」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,10,0,0
53,「クラウドクロウラー」に「弱化の試薬」を用いて討伐,"「クラウドクロウラー」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,8,0,0
54,「サーベルタイガー」に「弱化の試薬」を用いて討伐,"「サーベルタイガー」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,8,0,0
55,「エイジレス・サンクチンニ」に「弱化の試薬」を用いて討伐,"「エイジレス・サンクチンニ」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,10,0,0
56,「サンソルデス」に「弱化の試薬」を用いて討伐,"「サンソルデス」に対して「弱化の試薬」を使用し、
その上で討伐を試みてもらいたい。","試薬を使うタイミングは、冒険者諸君に任せる。
だが、実証試験であるため、確実に使用した上で討伐するように。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,10,0,0
57,「ディアデム・エンディミオン」に「弱化の試薬」を用いて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「ディアデム・エンディミオン」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,4,0,0
58,「スペックルド・ハラック」に「弱化の試薬」を用いて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「スペックルド・ハラック」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,6,0,0
59,「クラウンペリカン」に「弱化の試薬」を用いて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「クラウンペリカン」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,4,0,0
60,「ディプロカウルス」に「弱化の試薬」を用いて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の目標は、「ディプロカウルス」だ。
「弱化の試薬」を使用した上での討伐を試みてくれ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,1,4,0,0
61,誘引香の罠で「ボーンフライ」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
62,誘引香の罠で「ギガントピテクス」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
63,誘引香の罠で「サーベルタイガー」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
64,誘引香の罠で「クラウド・ライオン」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
65,誘引香の罠で「ディアデム・ユニコーン」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,5,0,-1
66,誘引香の罠で「ディアデム・マーリド」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
67,「クラウン・トラマ」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
68,「ケルケス」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
69,「ディアデム・ペガサス」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
70,「ビッグビロコ」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
71,誘引香の罠で「ディアデム・エンディミオン」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。",0,0,0,8,3,0,-1
72,誘引香の罠で「プロケラトサウルス」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。",0,0,0,8,3,0,-1
73,誘引香の罠で「ウェスタリー・サヌワ」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。",0,0,0,8,3,0,-1
74,誘引香の罠で「クラウンペリカン」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。",0,0,0,8,3,0,-1
75,誘引香の罠で「クラウン・トコトコ」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
76,誘引香の罠で「ネオチュー」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
77,誘引香の罠で「カッター」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
78,誘引香の罠で「サンソルデス」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
79,誘引香の罠で「パック・パイッサ」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
80,誘引香の罠で「ジュエルフライ」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
81,誘引香の罠で「エイジレス・サンクチンニ」を誘き寄せて討伐,"こちらアインハルト管制、貴船の進入を確認した。
ようこそ、ディアデム諸島へ！","冒険者諸君には、危険生物の駆除を依頼したい。
目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,8,0,-1
82,誘引香の罠で「アントホーク」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,6,0,-1
83,誘引香の罠で「キラーアント」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,5,0,-1
84,誘引香の罠で「スペックルド・ハラック」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,5,0,-1
85,誘引香の罠で「ウェルキニクス」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,5,0,-1
86,誘引香の罠で「トリケラトプス」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,5,0,-1
87,誘引香の罠で「ブラキオレイドス・ベイビー」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,2,0,-1
88,誘引香の罠で「ルナンティシー」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,5,0,-1
89,誘引香の罠で「ゼウグロドン」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第一段階完了を確認した。","引き続き、探索の障害となる危険生物を駆除せよ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。",また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。,0,0,0,4,5,0,-1
90,「イースタリー・サヌワ」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
91,「セルフィ」を討伐,"こちらアインハルト管制……
血の匂いに引き寄せられ、さらなる強敵が現れたようだ。","これを放置すれば、探索の障害となることは明白……
目標を変更し、ただちに討伐されたし。",,0,0,0,7,1,0,-1
92,誘引香の罠で「ディプロカウルス」を誘き寄せて討伐,"こちらアインハルト管制……
探索任務の第二段階完了を確認した。","次の標的を討伐すれば、任務は完了だ。
次の目標地点で「誘引香の罠」を使い、標的を誘き寄せて倒せ。","ただし、今回の標的は手強い相手だ。
周辺地域の探索に拘らず、討伐に集中されたし。",0,0,0,8,3,0,-1
