#,Script[0].ScriptInstruction,Script[0].ScriptArg,Script[1].ScriptInstruction,Script[1].ScriptArg,Script[2].ScriptInstruction,Script[2].ScriptArg,Script[3].ScriptInstruction,Script[3].ScriptArg,Script[4].ScriptInstruction,Script[4].ScriptArg,Script[5].ScriptInstruction,Script[5].ScriptArg,Script[6].ScriptInstruction,Script[6].ScriptArg,Script[7].ScriptInstruction,Script[7].ScriptArg,Script[8].ScriptInstruction,Script[8].ScriptArg,Script[9].ScriptInstruction,Script[9].ScriptArg,Script[10].ScriptInstruction,Script[10].ScriptArg,Script[11].ScriptInstruction,Script[11].ScriptArg,Script[12].ScriptInstruction,Script[12].ScriptArg,Script[13].ScriptInstruction,Script[13].ScriptArg,Script[14].ScriptInstruction,Script[14].ScriptArg,Script[15].ScriptInstruction,Script[15].ScriptArg,Script[16].ScriptInstruction,Script[16].ScriptArg,Script[17].ScriptInstruction,Script[17].ScriptArg,Script[18].ScriptInstruction,Script[18].ScriptArg,Script[19].ScriptInstruction,Script[19].ScriptArg,Script[20].ScriptInstruction,Script[20].ScriptArg,Script[21].ScriptInstruction,Script[21].ScriptArg,Script[22].ScriptInstruction,Script[22].ScriptArg,Script[23].ScriptInstruction,Script[23].ScriptArg,Script[24].ScriptInstruction,Script[24].ScriptArg,Script[25].ScriptInstruction,Script[25].ScriptArg,Script[26].ScriptInstruction,Script[26].ScriptArg,Script[27].ScriptInstruction,Script[27].ScriptArg,Script[28].ScriptInstruction,Script[28].ScriptArg,Script[29].ScriptInstruction,Script[29].ScriptArg,MainOption,SubOption,Name,IconActor,IconMap,SpecialLinks,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
720906,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,リテイナーを呼び出す,,CmnDefRetainerCall_00010,0,60425,0,0,0,False,False,True,False,False,False,False,False,False,False,True
720907,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,リテイナーを解雇する,,CmnDefRetainerRemove_00011,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720908,POP_RANGE,2040811,HOWTO_ABOUT_RENTAL_CHOCOBO,81,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,レンタルチョコボ,,CmnDefRentalChocobo_00012,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720909,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnBhtEnterLv020St0003_00013,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720910,INSTANCE_CONTENT_ID,2,TERRITORY_TYPE,1037,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDunEnterTamtara_00014,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720911,QUEST0,65770,QUEST1,65771,QUEST2,67224,QUEST3,68484,QUEST4,68485,QUEST5,68488,QUEST6,68755,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,JobDefNin_00015,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720912,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstEternalCeremonyGuideRoom_00016,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720913,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstEternalCeremonyGuideHall_00017,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720914,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720915,QUEST_AMJ_OPEN,66754,QUEST_KOB_OPEN,66857,QUEST_SAH_OPEN,66911,QUEST_IXA_OPEN,67023,ENPC_AMJ_REPAIR,1008910,ENPC_KOB_REPAIR,1008908,ENPC_SAH_REPAIR,1008906,ENPC_IXA_REPAIR,1009206,MOT_EVENT_MENACE,946,ENPC_G3T1_REPAIR,1019444,ENPC_E3F3_REPAIR,1019384,ENPC_E3EC_REPAIR,1024869,ENPC_N4F2_REPAIR,1027298,ACTIONTIMELINE_HIHO_GREETING,5625,ENPC_N4F6_REPAIR,1027962,ENPC_N4F1_DWA_REPAIR,1033716,QUEST_M5F2_TERTIUM_REPAIR_TALK_OPEN,69924,ENPC_M5F2_TERTIUM_REPAIR,1037726,QUEST_M5F2_TERTIUM_REPAIR_FUNC_OPEN,69929,ENPC_M5F1_ARKASODRA_REPAIR,1042425,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,装備品の修理,,CmnDefNpcRepair_00019,0,60434,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720916,POS_S1TI_BED_FRONT,3972987,POS_W1TI_BED_FRONT,3972985,POS_F1TI_BED_FRONT,3972441,TERRITORY_TYPE_S1TI,177,TERRITORY_TYPE_W1TI,178,TERRITORY_TYPE_F1TI,179,SLEEP_ACTION,986,WAKEUP_DREAM_ACTION,988,WAKEUP_ACTION,989,POS_R2TI_BED_FRONT,5878294,TERRITORY_TYPE_R2TI,429,POS_E3TI_BED_FRONT,6654106,TERRITORY_TYPE_E3TI,629,POS_N4TI_BED_FRONT,7964566,TERRITORY_TYPE_N4TI,843,POS_K5TI_BED_FRONT,8918005,TERRITORY_TYPE_K5TI,990,FITTINGSHOP_BGM,4,INN_EVENT_BED_IN_LP,987,POS_Y6TI_BED_FRONT,10811712,TERRITORY_TYPE_Y6TI,1205,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefInnBed_00020,0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,True
720917,POP_RANGE,2232680,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefInnDoor_00021,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720918,REWARD0,2,POP_RANGE,1359058,,0,,0,,0,,0,,0,,0,,0,,0,CONDITION_DEFAULT_TALK,31,HOWTO_MARKET,47,HOWTO_MARKET_GETITEM,48,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstInnInfo_00022,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720919,CONTENT0,22,QUEST0,65977,QUEST1,66620,QUEST2,66726,QUEST3,65964,QUEST4,66616,QUEST5,67168,QUEST6,68715,QUEST7,68817,QUEST8,69318,QST_LUCKBC006,68751,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstCnjGuild_00023,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720920,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstCnjPreach_00024,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720921,REWARD_BEHEST,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnBhtRewardLv020St0003_00025,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720922,ACTOR0,1001263,ACTOR1,1000541,POPRANGE0,1381039,POPRANGE1,1381038,QUEST01,65621,QUEST02,65659,QUEST03,65660,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefWarpNpc_00026,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720923,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720924,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720925,QUEST0,66075,QUEST1,65964,QUEST2,67533,QUEST3,67537,QUEST4,67168,QUEST5,67977,QUEST6,67980,QUEST7,67981,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstWdkGuild_00029,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720926,QUEST0,65602,QUEST1,65964,QUEST2,67611,QUEST3,67615,QUEST4,67168,QUEST5,68145,QUEST6,68151,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstTanGuild_00030,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720927,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720928,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstAetheryteGuid_00032,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720929,QUEST0,65549,QUEST1,65964,QUEST2,67584,QUEST3,67588,QUEST4,67168,QUEST5,68156,QUEST6,68160,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstHrvGuild_00033,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720930,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720931,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,TstPlnCmpFCCounter_00035,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720932,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,TstPlnTest_00036,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720934,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720935,CONDITION_DEFAULT_TALK,31,EOBJ_TOWN50,2010285,QUEST_TOWN50,68817,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefMarketBoardGridania_00039,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True
720936,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720937,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
720938,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilBlackBrash_00042,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720939,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilArrzanethOssuary_00043,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720940,QUEST0,65950,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaMorabyDrydocks_00044,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720941,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegFstMagicItemTips_00045,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720942,REWARD_GRAND_COMPANY,10,GRAND_COMPANY_INVALID,0,ORDER_OF_TWIN_ADDER,2,HOW_TO_GRANDCOMPANY,87,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,グランドカンパニー所属,,ComDefGrandCompany_00046,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720943,POP_RANGE,3884000,QUEST,65983,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefF1e4Entrance_00047,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720944,POP_RANGE,3884182,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefF1e4Exit_00048,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720945,POP_RANGE,3878860,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,CmnDefF1e5Exit_00049,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720946,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaAdvGuild_00050,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720947,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaAetheGuid_00051,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720948,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaInn_00052,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720949,QUEST0,65855,QUEST1,66590,QUEST2,65964,QUEST3,66586,QUEST4,67168,QUEST5,68436,QUEST6,68438,QST_LUCKBC003,68748,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaExcGuild_00053,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720950,QUEST0,65806,QUEST1,65964,QUEST2,67579,QUEST3,67583,QUEST4,67168,QUEST5,68140,QUEST6,68144,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaCulGuild_00054,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720951,QUEST0,65838,QUEST1,65964,QUEST2,67543,QUEST3,67547,QUEST4,67168,QUEST5,68129,QUEST6,68155,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaBsnGuild_00055,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720952,QUEST0,65820,QUEST1,65964,QUEST2,67574,QUEST3,67578,QUEST4,67168,QUEST5,68130,QUEST6,68131,QUEST7,68134,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegSeaArmGuild_00056,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720953,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilHorizon_00057,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720954,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilDrybone_00058,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720955,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWikAdvGuild_00059,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720956,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilAetheGuid_00060,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720957,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilInn_00061,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720958,QUEST0,65889,QUEST1,66614,QUEST2,65963,QUEST3,66610,QUEST4,67167,QUEST5,68715,QUEST6,68817,QUEST_LUCKBC007,68752,QUEST_LUCKMI112,69318,QST_CLSTHM011,65880,QST_CLSTHM020,65881,QST_AKTKMB103,69918,QST_AKTKMB116,69931,QST_AKTKMG115,70000,QUEST_SEQ_1,1,QUEST_SEQ_5,5,QUEST_SEQ_7,7,QUEST_SEQ_FINISH,255,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilThmGuild_00062,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720959,QUEST0,65801,QUEST1,66596,QUEST2,65963,QUEST3,66592,QUEST4,67167,QUEST5,68107,QUEST6,68108,QUEST7,68109,QUEST8,68110,QUEST9,68111,QUEST_LUCKBC001,68746,QST_AKTKMG115,70000,QST_SUBGTN101,70920,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilGlaGuild_00063,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720960,QUEST0,66103,QUEST1,66602,QUEST2,65963,QUEST3,66598,QUEST4,67167,QST_JOBMNK700,67966,QST_LUCKBC002,68747,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilPglGuild_00064,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720961,QUEST0,66182,QUEST1,65963,QUEST2,67616,QUEST3,67620,QUEST4,67167,QUEST5,68090,QUEST6,68089,QUEST7,68094,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilMinGuild_00065,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
720962,QUEST0,66190,QUEST1,65963,QUEST2,67538,QUEST3,67542,QUEST4,67167,QUEST5,67967,QUEST6,67968,QUEST7,67971,QST_AKTKMG115,70000,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,RegWilWvrGuild_00066,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True
