#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
52,が「」にを植えました。,4,10,1,6,13
53,が「」の作物にをやりました。,4,10,1,6,13
54,が「」の作物の手入れをしました。,4,10,0,6,13
55,が「」の作物からをUNKNOWN個、収穫しました。,4,11,1,6,13
56,さらに、交雑に成功し、をUNKNOWN個、獲得しました。,0,11,1,6,13
57,が不在のため「」が移行されました。,4,5,0,2,3
58,が「」の作物を処分しました。,4,10,0,6,13
59,がUNKNOWN号室の個室を増築しました。,4,0,1,5,11
60,がUNKNOWN号室の個室を撤去しました。,4,0,1,5,11
61,が厩舎の手入れをしました。,4,0,0,7,11
62,がを訓練しました。,4,12,0,7,11
63,がホイールスロットUNKNOWNに「」を設置しました。,16,14,1,5,11
64,がホイールスロットUNKNOWNから「」を撤去しました。,16,14,1,5,11
65,がホイールスロットUNKNOWNから「」を獲得しました。,16,14,1,5,11
66,が「」を変換し「」をリザーブしました。,16,14,1,4,9
67,が地下工房を増築しました。,16,0,0,8,15
68,が地下工房を撤去しました。,16,0,0,8,15
69,がカンパニー製作設備に「」の製作をセットしました。,16,14,0,8,15
70,「」の進捗に必要な素材が全て納品されました。,0,14,0,8,15
71,「」の作業工程が進捗しました。,0,14,1,8,15
72,作業工程が進捗し、が完成しました。,0,14,1,8,15
73,がカンパニー製作設備から「」を回収しました。,16,14,0,8,15
74,がカンパニー製作設備の製作を中断しました。,16,0,0,8,15
75,が「」を製図しました。,16,0,1,8,15
76,がUNKNOWN機目の飛空艇「」を登録しました。,16,15,1,9,14
77,がUNKNOWN機目の飛空艇名を「」に変更しました。,16,15,1,9,14
78,がUNKNOWN機目の飛空艇「」を解体しました。,16,15,1,9,14
79,が飛空艇「」の探索を実行しました。,16,15,0,9,14
80,が飛空艇「」の探索を中止しました。,16,15,0,9,14
81,が飛空艇「」の探索完了を確認しました。,16,15,0,9,14
82,飛空艇「」のランクがUNKNOWNになりました。,16,15,1,9,14
83,飛空艇「」の探索によってUNKNOWN機目の飛空艇が登録できるようになりました。,16,15,1,9,14
84,が0カンパニークレジットで「」をUNKNOWN個、交換しました。,16,22,1,1,0
85,が「」の素材「」を必要量の60%以上(UNKNOWN回)納品しました。,16,22,1,8,15
86,が「雲海探索 ディアデム諸島 (Hard)」への航路を発見しました！,16,0,0,9,14
87,長期間の利用がなかったため、第UNKNOWN区UNKNOWN番地の土地が撤去され、資産の一部が居住区担当官に預けられました。,0,7,0,5,11
88,がハウスに入室したことにより、自動撤去準備が解除されました。,16,0,0,5,11
89,資産の回収期限が過ぎたため、第UNKNOWN区UNKNOWN番地の土地から回収された資産が消滅しました。,0,7,0,5,11
90,が植木鉢にをまきました。,16,14,0,6,13
91,が植木鉢の作物の手入れをしました。,16,0,0,6,13
92,が植木鉢の作物からをUNKNOWN個、収穫しました。,16,14,1,6,13
93,が植木鉢の作物を処分しました。,16,0,0,6,13
94,が第UNKNOWN区UNKNOWN番地へ引越しました。,4,7,0,5,11
95,がUNKNOWN機目の潜水艦「」を登録しました。,16,15,1,9,14
96,がUNKNOWN機目の潜水艦名を「」に変更しました。,16,15,1,9,14
97,がUNKNOWN機目の潜水艦「」を解体しました。,16,15,1,9,14
98,が潜水艦「」の探索を実行しました。,16,15,0,9,14
99,が潜水艦「」の探索を中止しました。,16,15,0,9,14
100,が潜水艦「」の探索完了を確認しました。,16,15,0,9,14
101,潜水艦「」のランクがUNKNOWNになりました。,16,15,1,9,14
102,潜水艦「」の探索によってUNKNOWN機目の潜水艦が登録できるようになりました。,16,15,1,9,14
103,がのメッセージを削除しました。,16,23,0,5,11
104,が交流帳設定を変更しました。,16,0,0,5,11
105,がタグを設定しました。,16,0,0,5,11
106,が「」の内装をリフォームしました。,16,15,0,5,11
107,,0,0,0,0,0
