#,Description,DescriptionEnhanced,Tooltip
0,,,
23,,,
24,,,
25,"でぶチョコボに騎乗する。
食い意地の張ったチョコボの親分。こんなとこで笛吹くなよ",食い意地の張ったチョコボの親分。笛を吹いて呼び寄せても、「こんなとこで笛吹くなよ」と言わんばかりの態度で接してくる。しかし、目の前に大好物のギサールの野菜をつり下げると様子が一変。一心不乱に走り出す,うーん、もう食えない
26,"キャバルリー・エルブストに騎乗する。
海獣使いのパァアが育て上げた騎乗用エルブスト",ノォヴ一味の海獣使い、パァアが育て上げた騎乗用エルブスト。陸上歩行に邪魔となる水かきに切れ目を入れてあるため、チョコボに劣らぬ素早さで、地上を走ることができる。ただし、代償として泳ぐ速度は低下している,キシャアァァ…
27,"ボムバルーンに騎乗する。
ガス生物ボムに牽引させたゴンドラ。騎乗時は火気厳禁",アコライト789 バ・ゴが作ったボムのうち、イマイチ爆発力に優れなかった失敗作たちを集め、ゴンドラの牽引役として転用したもの。それでも元爆弾であることには変わらないため、騎乗時は火気厳禁である,ギギ、ギギギギ！
28,"アイトーンに騎乗する。
焔神に祝福された妖馬。その息すらも熱気を放つ",焔神「イフリート」による祝福を受け、燃え盛る劫火をまとった妖馬。おそらくアマルジャ族が妖馬「ナイトメア」を蛮神に供物として捧げた結果、誕生したものと思われる。その息すらも、地獄の業火のような熱気を放つ,…………
29,"クサントスに騎乗する。
嵐神に祝福された妖馬。風に乗り舞うように駆ける",嵐神「ガルーダ」による祝福を受け、荒れ狂う烈風をまとった妖馬。おそらくイクサル族が妖馬「ナイトメア」を蛮神に供物として捧げた結果、誕生したものと思われる。一陣の風の如く、大地を疾走する,…………
30,"グルファクシに騎乗する。
岩神に祝福された妖馬。逞しき脚で大地を踏みしめる",岩神「タイタン」による祝福を受け、胎動する溶岩をまとった妖馬。おそらくコボルド族が妖馬「ナイトメア」を蛮神に供物として捧げた結果、誕生したものと思われる。たくましき脚が踏みしめるたび、大地が震え上がる,…………
31,"エンバールに騎乗する。
水神に祝福された妖馬。魔力の泡より産まれたという",水神「リヴァイアサン」による祝福を受け、渦巻く水流をまとった妖馬。おそらくサハギン族が妖馬「ナイトメア」を蛮神に供物として捧げた結果、誕生したものと思われる。魔力の泡より、生まれ出でたと伝えられる,…………
32,"ウォーライオンに騎乗する。
戦闘用に調教された軍獅子。百獣の王の風格を持つ",戦闘用に調教された軍獅子。ザナラーンに野生のライオンは存在しないが、かつては交易を通じて近東から輸入されていたこともあり、近衛兵団「銀冑団」が騎獣としていたこともあった。近年では、珍しい存在といえる,グオオオーッ！
33,"ウォーベアーに騎乗する。
戦闘用に調教された軍熊。数々の戦場を生き抜いてきた",戦闘用に調教された軍熊。北アバラシア山脈の奥地では、戦って打ち負かし力でねじ伏せた野生の熊を、騎獣とする風習があったという。それゆえ、戦場で勇名を馳せた古の戦士の武勇伝には、多くの軍熊が登場する,ガオォォォ！！
34,"グランチョコボに騎乗する。
体格に優れた大型チョコボ。2人乗りが可能",クルザス出身のチョコボハンターが、秘境「チョコボの森」で捕獲してきた野生種。牧場生まれのチョコボより体格に優れ、運搬能力も高いが、気性が荒く乗用には不向き。これを苦心の末に、2人乗り用に訓練したようだ,クエッ、クエーッ！
35,"ダイアウルフに騎乗する。
古代種の血を引く軍狼。戦場でも動じない心を持つ",イクサル族の獣牧士が調教した軍狼。絶滅したと思われていた古代種「ダイアウルフ」を、ゼルファトルの奥地で発見したイクサル族が、苦心の末に家畜化したもの。人を乗せられるほど大きく、かつ主に従順である,ウォォォーン！
36,"ロミンサン・スティードに騎乗する。
ひんがしの国原産の軍馬。たくましい脚で大地を駆ける",黒渦団が試験的に採用した軍馬。ひんがしの国から渡来した「馬奉行」の売り込みが功を奏し、冒険者の間で「馬」が評価され始めたため、導入に踏み切ったようだ。エオルゼアの気候に合った品種が選ばれている,ヒヒィーン！
37,"グリダニアン・スティードに騎乗する。
ひんがしの国原産の軍馬。たくましい脚で大地を駆ける",双蛇党が試験的に採用した軍馬。ひんがしの国から渡来した「馬奉行」の売り込みが功を奏し、冒険者の間で「馬」が評価され始めたため、導入に踏み切ったようだ。エオルゼアの気候に合った品種が選ばれている,ヒヒィーン！
38,"ウルダハン・スティードに騎乗する。
ひんがしの国原産の軍馬。たくましい脚で大地を駆ける",不滅隊が試験的に採用した軍馬。ひんがしの国から渡来した「馬奉行」の売り込みが功を奏し、冒険者の間で「馬」が評価され始めたため、導入に踏み切ったようだ。エオルゼアの気候に合った品種が選ばれている,ヒヒィーン！
39,,,
40,"マルカブに騎乗する。
雷神に祝福された妖馬。そのいななきは雷気を発する",雷神「ラムウ」による祝福を受け、天を切り裂く稲妻をまとった妖馬。おそらくシルフ族が妖馬「ナイトメア」を蛮神に供物として捧げた結果、誕生したものと思われる。そのいななきは、空気を震わせ雷気を発する,…………
41,"エターナルチョコボに騎乗する。
セレモニーの正装をした大型チョコボ。2人乗りが可能",イシュガルド産の儀式用チョコボ。美しさを追求した交配が重ねられた種で、生まれつき純白の羽根を持つ。特別な飼育と調教の結果、賢くて穏やかな性格と優れた体格に育っており、2人乗りにも対応できる,ク、ク、クエーッ！！
42,"スレイプニルに騎乗する。
闘神に祝福された妖馬。魔力を帯びた眼が真紅に輝く",闘神「オーディン」による祝福を受け、闘気をまとった妖馬。鮮血の如き紅色に染まったタテガミをたなびかせ、力強く大地を疾駆する。噂によると、主と認めた者の体格に合わせ、自在に馬体の大きさを変化させるらしい,…………
43,"ボレアスに騎乗する。
氷神に祝福された妖馬。空気さえ凍て付かせる",氷神「シヴァ」による祝福を受け、寒々しい冷気をまとった妖馬。おそらく、クルザスに生息するユニコーンに対し、蛮神が祝福を与えたことで変容した存在だと思われる。空気さえ凍て付かせながら、大地を駆ける,…………
44,"パレードチョコボに騎乗する。
凱旋パレード用に装飾されたでぶチョコボ。堂々と練り歩く",冒険者ギルドが用意した凱旋パレード用のチョコボ。商人に「堂々たる体躯のチョコボ」を注文したら、これが届いたらしい。あまりの食いっぷりに維持費が高くつくことから、偉業を成した優秀冒険者への賞品に変更された,なんかようかーい？
45,"黒チョコボに騎乗する。
フライヤー種のチョコボ。幼い頃から飛行訓練を重ねてきた",イシュガルド産の黒チョコボ。飛行を得意とするフライヤー種で、羽毛は生まれた時から黒い。フォルタン家の騎士、オルシュファン卿が愛してやまない友のために、手ずからに調教したチョコボで、なかなかに筋肉質である,ウッ！！
46,"アダマンタスに騎乗する。
近東原産の巨大陸亀。見た目に反して意外と素早い",近東のサベネア島原産の巨大陸亀。野生化したアダマンタスの有効利用策として、ウルダハで家畜化が進められた結果、駄獣としての訓練に成功。さらに呪術士ギルドによる古代魔法再現実験により、飛翔能力さえ身に付けた,ドスン、ドスン…
47,"麒麟に騎乗する。
東方由来の魔笛により、呼び出される伝説の幻獣",東方地域に伝わる幻獣。1000年の時を生きる存在であり、獣たちの王とも伝えられている。隠棲の仙人が精魂込めて作り上げた「魔笛」を、才気に溢れる英雄の器を持つ者が吹き鳴らすことで、呼び出すことができるらしい,…………
48,"騎乗システムに騎乗する。
古代アラグ帝国時代に設計された汎用球形防衛システム",聖コイナク財団が発掘した古代アラグ帝国の汎用球形防衛システム。調査後、ネロの手で無害な乗り物に再調整され、研究費確保のため、ロウェナ商会に売り払われた。ただし、調整不足だったのか、ときどきビリビリする,"更新プログラムを構築中
電源を切らないでください"
49,"フェンリルに騎乗する。
アバラシア山脈の奥地に生息する幻の古代獣",かつてエオルゼアに君臨した古代獣、ホアハウンド。既に絶滅したと信じられてきたが、近年、アバラシア山脈の奥深くで再発見されるに至った。その雄々しい姿から、伝説の幻獣、月狼「フェンリル」の名で呼ばれている,ウォォォォン！
50,ミドガルズオルムに騎乗する。,すべてのドラゴン族の始祖、幻龍「ミドガルズオルム」が創りだした幻体。試練に耐え抜き、すべての竜の爪を砕いた光の戦士を、己の背に乗るに相応しい存在と認めた。ゆえに幻体を騎乗に適した形状へと変えたのである,…………
51,,,
52,"赤グランチョコボに騎乗する。
体格に優れた大型チョコボ。2人乗りが可能",高地ドラヴァニアの秘境「チョコボの森」で捕獲されたグランチョコボ。しかも、野生種としては極めて珍しい赤毛である。イシュガルドにおいて赤は、純愛や博愛の象徴とされるだけに、親友と共に乗るに相応しい存在といえる,クエッ、クエーッ！！
53,"サヌワに騎乗する。
グンド族の商人ルナバヌが、心を込めて育てたサヌワ",グンド族の商人のルナバヌが、心を込めて育てたサヌワ。荒れ狂う嵐のように猛々しく、そして力強く雲海の空を舞う。ルナバヌとしては、乗り手に相応しい勇者が現れるまで、決して売るまいと心に決めていたらしい,ブオオオオオ！
54,"グリフィンに騎乗する。
アバラシア山脈原産の有翼の魔獣",アバラシア山脈原産の有翼の魔獣。非常に獰猛な存在だが、城塞都市「アラミゴ」では、幼獣の頃から厳しく躾けることで、騎獣として利用してきた歴史がある。特にグリフィン騎兵で構成された、アラミゴ魔獣軍団は有名,クワッ、クワッ！
55,"マナカッターに騎乗する。
ガーロンド・アイアンワークス社製の小型飛空艇",ガーロンド・アイアンワークス社製の小型飛空艇。同社に所属する気鋭の機工師、ビッグスとウェッジが共同設計を担当し、シドが監修することで完成させた。偏属性クリスタル式浮行装置を搭載した、史上初の機体である,ブロロロロ
56,"ウォーパンサーに騎乗する。
戦闘用に調教された軍豹。影のように静かに走る",戦闘用に調教された軍豹。クァールの近縁種「パンサー」は、本能的に魔力を利用し、身体能力を高める。その狩りの様子を観察することで、初代暗黒騎士は、魔力を応用する暗黒剣の戦技の着想を得たと伝えられている,…………
57,,,
58,"ゴブリウォーカーに騎乗する。
科学者集団「青の手」が開発した騎乗用ウォーカーマシン",ゴブリン族の科学者集団「青の手」が開発した騎乗用ウォーカーマシン。ラプトルに代わる荷駄として開発されていた歩行型機械に対し、武装を施すことで戦闘用にしたもの。鹵獲品であるため、武装までは再現されていない,ガチョンガチョン
59,"ツインタニアに騎乗する。
アラグ文明の秘術により操作されたエルダーワイバーン",アラグ文明の秘術により操作された、南方大陸メラシディア生まれのエルダーワイバーン。リング状拘束具「ニューロリンク」によって、精神を拘束されているため、認証鍵の保有者に対しては、決して逆らわない,…………
60,,,
61,,,
62,"ウィッチズブルームに騎乗する。
魔力が吹き込まれた魔法のホウキ。サッサカサー",パンプキンヘッドの魔人によって、膨大な魔力を吹き込まれたホウキ。またがることで、フワリと浮き上がり、空をも飛ぶことができる。おちこんだ時に乗って大空へと飛び立てば、元気になること請け合い,サッサカサー！
63,,,
64,,,
65,,,
66,,,
67,"ペガサスに騎乗する。
雲海の果てに棲まうという幻の天翔る馬",ディアデム諸島で友となった幻の天翔る馬。ペガサスは、これまで伝説上の存在と考えられてきたが、大飛空時代の到来によって実在が証明された。雲海で遭難した空賊を、背に乗せて助けたという逸話も残されている,…………
68,"リウィア専用魔導アーマーに騎乗する。
リウィア・サス・ユニウス用にカスタマイズされた魔導アーマー",ガレマール帝国軍第XIV軍団分遣隊長、リウィア・サス・ユニウス用にカスタマイズされた魔導アーマー。北州の領土拡大戦争にて多大な活躍をした「ダルマスカの魔女」の愛機として知られる。通称「ホワイトデビル」,ピキーン！
69,"ネロ専用魔導アーマーに騎乗する。
ネロ・トル・スカエウァ用にカスタマイズされた魔導アーマー",ガレマール帝国軍第XIV軍団幕僚長、ネロ・トル・スカエウァ用にカスタマイズされた魔導アーマー。優れた機工師でもあるネロ自身の手で、青燐機関の出力向上と足回りの強化が図られている。通称「レッドバロン」,シャー、シャー、シャー
70,"ワイバーンに騎乗する。
雲海を舞う忠義のワイバーン。魔物退治を己の使命とする",雲海を舞う忠義のワイバーン。千年の昔、友である騎士と誓いを立て、数々の悪しき魔物を討ち倒してきた。竜詩戦争の勃発により、人との交流が途絶えたことを悲しみつつ、新たな魔物狩りの相棒を捜し求めていたようだ,征くぞ、新たな友よ！
71,"SDSフェンリルに騎乗する。
幻獣フェンリルの名を持つ戦闘バイク",伝説の幻獣「フェンリル」の名を与えられた戦闘バイク。その名称にふさわしく大排気量を誇り、高速で地上を疾走することが可能だ。なお、SDSとは、ストライフ・デリバリーサービスの略称である,SDS！
72,"コンガマトーに騎乗する。
アキンドが育てたコンガマトー。素顔は謎に包まれている",ヴァスの塚のアキンドが、幼虫から育てあげたコンガマトー。水辺に産卵されたタマゴから孵化した幼虫は、しばらく水棲昆虫として過ごす。その後、成虫になると、見事に形状が変わり羽根が生えて飛行可能になるのだ,ブーン
73,"ズーに騎乗する。
近東から飛来する怪鳥ズー。大空を悠然と羽ばたく",近東原産の怪鳥ズーの成鳥。嘴がノコギリ状になっており、牙が生えているようにも見えるが、これは暴れる獣をガッチリと捕らえるためにある。獲物をくわえると、長い首をしならせて振り回し、絶命させてから丸呑みするのだ,ギャオォォォ！
74,"ベンヌに騎乗する。
魔力を帯びた角笛により、呼び出される伝説の幻獣",第七霊災時にカルテノーの空に現れた、不死鳥「フェニックス」のエーテルを浴び、転生を遂げた怪鳥。その姿が、幻の霊鳥を思わせたことから、「鮮やかに舞い、光輝くもの」を意味する「ベンヌ」と呼ばれるようになった,…………
75,"ホワイトラナーに騎乗する。
雲神に祝福された大隼。雲のように悠々と空を舞う",雲神「ビスマルク」による祝福を受け、沸き立つ雲をまとった大隼。どうやら衛士たるバヌバヌ族の戦士を、サヌワと共に雲神の側に送るための存在だったようだ。雲のように悠然と空を舞う姿は、吹き抜ける東風のように美しい,…………
76,"ラースラナーに騎乗する。
武神に祝福された大隼。月剣の如く、鋭く風を切る",武神「ラーヴァナ」による祝福を受け、震えるほどの闘気をまとった大隼。鋭く風を切り裂いて、猛然と天を舞う姿は、月剣「チャンドラハース」の鋭い刃を連想させる。乗りこなすには、武神と並ぶほどの覇気が必要だろう,…………
77,"ラナー・オブ・ラウンドに騎乗する。
騎神に祝福された大隼。聖騎士たちに従い、獲物を狩る",騎神「トールダン」による祝福を受け、聖騎士を思わせる風格をまとった大隼。イシュガルドでは、古来より騎士は鷹狩りをたしなむものとされるが、その伝統に則ったのだろうか。地表の獲物を探す眼光は鋭い,…………
78,"ウォーリングラナーに騎乗する。
魔神に祝福された大隼。世界樹の種を運ぶという",魔神「セフィロト」による祝福を受け、堂々たる威風をまとった大隼。南方大陸メラシディアの樹状種族の神話によれば、原初の樹たる「世界樹」の種を霊鳥が各地に運んだことで、この世に木々が茂ることになったのだという,…………
79,,,
80,"グローリア号に騎乗する。
単座の小型飛空艇。その名は、とある小説に由来する",新進気鋭の技師、タタラムによって設計された小型単座式飛空艇。彼の祖父、タタノラが夢見た回転翼型飛空艇を、最新の技術により小型化したもの。なお、名称はとある小説に登場する「自由の空を駆ける船」に由来する,ブロブロブロロ！
81,"筋斗雲に騎乗する。
東方の仙人が編み出した秘術。魔法の雲を創り出す",東州オサード大陸辺境の山深くに棲まうという、偉大なる仙人が編み出した秘術。魔力によって雲を束ね、これに飛び乗って空を舞うことができるという。生まれながらに優れた魔法の才がある者にしか、扱うことができない,オッス！
82,"初代でぶチョコボに騎乗する。
食い意地の張ったチョコボの大親分。初代は白かった",でぶチョコボ登場！　食い意地の張ったチョコボの大親分。最近は黄色い羽毛の個体が多いが、大先輩である初代でぶチョコボは白かった。与える物は拒まない性格で、限界まで武器だろうが何だろうが食べてくれる,なにをくれるんだーい？
83,"アストロペに騎乗する。
世にも珍しい大型のペガサス。2人乗りが可能",長き時を経ることで、2人乗りが可能なほどに成長を遂げた、大型のペガサス。本来であれば、非常に獰猛な獣であるため、近づくことさえ難しい。しかし、献身的な心優しき者に対しては、心を開くことがあるらしい,ヒヒィーン！！
84,"でぶモーグリに騎乗する。
食い意地の張ったモーグリの大親分、飛べるのは魔法のおかげ。2人乗りが可能",でぶモーグリ登場！　食い意地の張ったモーグリの大親分。森の恵みを喰らい尽くして、まれに見る巨体を手に入れた。それでも、空を舞うことができるのは、翼ではなく魔法の力で浮行しているためとのこと,グボォ…
85,,,
86,"クラウドマロウに騎乗する。
雲海に自生する浮行性植物。モーグリの魔法により操作できる",雲海に自生する浮行性植物「フワフワ浮草」。モグモグホームに住まうモーグリ族が、魔法をかけたことにより、乗り物として利用できるようになっている。なお、その綿毛には、モーグリ族を癒やす効果があるらしい,ポワワワワン
87,"ウィスパー号に騎乗する。
妖怪ウィスパーを模した小型飛空艇。うぃす！",妖怪執事ウィスパーを模した小型飛空艇。ゴールドソーサーのアトラクションをイメージして設計され、可動パーツも多く高性能との噂。座席は小さく見えるが、乗り心地はかなり快適,うぃす！
88,,,
89,,,
90,"ダークラナーに騎乗する。
邪竜の魔力を浴びた大隼。暗き翼を得て、大空を舞う",邪竜「ニーズヘッグ」の魔力を浴び、暗き翼を得た大隼。雷雲を切り裂いて大空を舞う姿は、ドラゴン族の王として君臨した七大天竜を思わせる。ある目撃者は、邪竜の再来だと勘違いし、大慌てで逃げ出す準備を始めたほど,…………
91,"浮行システムに騎乗する。
古代アラグ帝国時代に設計された汎用球形防衛システム",クルザス東部低地にて発掘された古代アラグ帝国の汎用球形防衛システム。兵器類は故障しているが、乗用としてはそれなりに使える。起動するたびに、制御システムのアップグレードを推奨してくるのが玉にキズ,"無償アップグレードは
期間限定です…"
92,"ヘッドマウントに騎乗する。
巨大な顔の彫像に、魔法を込めた浮行式ゴーレム",巨大な顔の彫像に、魔法を込めた浮行式ゴーレム。角尊のエ・ウナが、アムダプール文明の彫像型守護者を研究する過程で創った実験作らしい。そのモチーフが何であるのか知る者は皆、一様に口を閉ざすという,ADDEEVOLI…
93,"マーナガルムに騎乗する。
アバラシア山脈の奥地に生息する幻の古代獣",絶滅したと考えられていた古の幻獣。アバラシア山脈に伝わる民間伝承によれば、月を追い太陽光を喰らう存在とされている。事実、非常に優れた魔力を持ち、幻の炎を造り出して、天をも駆けるという,ウォォ～ン！
94,"ウィスパー号改に騎乗する。
妖怪ウィスパーを模した改良型の小型飛空艇。うぃす！",妖怪執事ウィスパーを模した改良型の小型飛空艇。多くの妖怪とともだちになり、ともに試練に耐え抜いた者の偉業を称えるために、ど派手な装飾が施されている。異邦の詩人と異邦の社長からの贈り物らしい,うぃす！　うぃす！
95,"轟天に騎乗する。
黄金に輝く装甲をまとった存在",黄金に輝く装甲をまとった存在。戦いによって強さを示した者が、命がけの試練を超えた時にのみ、呼び寄せることができると伝えられている,…………
96,"銀牙に騎乗する。
銀色に輝く装甲をまとった存在",銀色に輝く装甲をまとった存在。幾多の敵を斃してきた者のみが、命がけの試練を超えた時にのみ、呼び寄せることができると伝えられている,…………
97,"仙術熊猫に騎乗する。
千年の時を生き、仙術を体得したと噂される",東州オサード小大陸の山岳地帯「蛇ノ口」の奧地からやって来た、謎めいたパンダ。千年の時を生き、仙術を体得したとも噂され、不可思議な力で宙を舞うらしい。東州の危機を救う英雄を探し求めているようだ,メェェェェ
98,"ゴッデスラナーに騎乗する。
女神に祝福された大隼。天秤に調和の分銅を落とすという",女神「ソフィア」による祝福を受け、神々しい気をまとった大隼。伝説によると、世が乱れると女神は神鳥を使わし、天秤に分銅を落として均衡を保つという。そして、この分銅こそが人の世に生まれる「英雄」なのだと語られている,…………
99,"スターライト・ベアーに騎乗する。
星芒祭のため芸を学んだ熊",星芒祭実行委員のベーンフェールドが育てた熊。名前は、コカブ。子どもたちを楽しませるため、プレゼントクラッカーを投げる芸を修得している。その芸を用いて、星芒祭の飾りを盗んだトレントをとっちめた,グガ、グルル……
100,"ブラックペガサスに騎乗する。
世にも珍しい黒色のペガサス。「黒死馬」の別名でも知られる",世にも珍しい黒色のペガサス。かつて魔大陸の一部だったという伝承が残る場所で、発見されたらしい。力なき者がその背に乗ると全身の血が濁り、やがて死に至るという伝説から、「黒死馬」の別名でも知られている,ブラックペガサス！！
101,"アリダイオスに騎乗する。
アレキサンダー製の攻撃端末。武装解除を受け、乗用に利用されることになった",機工城「アレキサンダー」内のプラントで自動生成された攻撃端末。どうやら時間干渉攻撃のために、製造されたものらしい。激しい戦いの後、武装解除に応じたため、乗用浮行機として利用されることになった,安全運転開始…！
102,"雷剛に騎乗する。
幾多の戦場を駆け抜けてきた真の強者のみが従え得る魔導馬",幾多の戦場を駆け抜けてきた真の強者のみが、従えることができると伝えられる魔導馬。その馬体は、他の魔導馬を凌ぐほど大きく逞しい。その装甲が漆黒に輝くのは、業を背負っている故か……,…………
103,"ネロ専用魔導アーマーに騎乗する。
ネロ・トル・スカエウァ用にカスタマイズされた魔導アーマー",ガレマール帝国軍第XIV軍団幕僚長、ネロ・トル・スカエウァ用にカスタマイズされた魔導アーマー。優れた機工師でもあるネロ自身の手で、青燐機関の出力向上と足回りの強化が図られている。通称「レッドバロン」,シャー、シャー、シャー
104,"デモンラナーに騎乗する。
鬼神に祝福された大隼。先触れとして正義の執行を告げる",鬼神「ズルワーン」による祝福を受け、燃え盛る鬼気をまとった大隼。南方大陸の人馬種族に伝わる神話によると、悪しき者との戦いに赴く際に、鬼神は先触れとして霊鳥を使わし、正義の執行を宣言するのだという,…………
105,"鳳凰に騎乗する。
東方由来の魔笛により、呼び出される伝説の幻獣",東方地域に伝わる幻獣。自らの命を太陽のごとく黄金に燃え盛らせ、その炎によって自らを焼き尽くしては、蘇るという不滅の伝説が語り継がれてきた。英雄の器を持つ者でなければ、呼び寄せることは叶わないという,…………
106,"エッグシステムに騎乗する。
空飛ぶ不思議な飾りタマゴ",空飛ぶ不思議な飾りタマゴ。エッグハントの祝祭を成功に導くために、ノノッタたちがジリ・アリアポーが夢で見たというタマゴを再現するために造った。どうやら聖コイナク財団が発見した古代文明の遺物を改造したものらしい,エッグラホ♪
107,,,
108,"ローン・ヘルハウンドに騎乗する。
異界ヴォイドに棲まう凶暴な魔獣。孤高の存在！",異界ヴォイドに棲まう凶暴な魔獣。どんな妖異にも従うことなく、たった一匹で危険な世界を生き抜いてきただけあって、その眼光は鋭い。背に跨がることを許されるのは、熱い闘気を放つ歴戦の猛者のみであろう,グオーン！
109,"パック・ヘルハウンドに騎乗する。
異界ヴォイドに棲まう凶暴な魔獣。群れのリーダー！",異界ヴォイドに棲まう凶暴な魔獣。多くの魔獣を従えて、危険な世界で勝ち残ってきただけあって、他者を畏怖させる威圧感に満ちている。背に跨がることを許されるのは、冷たい殺気を放つ歴戦の猛者のみであろう,ガオーン！
110,"アルコンズ・チェアーに騎乗する。
プカプカと空中に浮かぶ不可思議な椅子",プカプカと空中に浮かぶ不可思議な椅子。低地ドラヴァニアの植民都市シャーレアンの遺構から発見されたもの。どうやらグブラ幻想図書館にて、書棚の高所にある本を出し入れするために造られた魔具のひとつらしい,ギシギシギシ…
111,"シルドラに騎乗する。
大洋に棲まうと伝えられる幻の海竜。やさしい子だね……",大洋に棲まうと伝えられる幻の海竜。その姿は、友である女海賊のため、海賊船を牽引したとされる伝説の海竜に瓜ふたつ。ドラゴン族のように言葉を発することはできないが、友と認めた者とは心で通じ合うという,サンダーストーム！
112,"ファルコン号に騎乗する。
単座の小型飛空艇。目指すは世界最速！",ガーロンド・アイアンワークス社製の小型試作飛空艇。同社に所属する気鋭の機工師、ウェッジが単座式飛空艇世界最速を目指して開発した。だが、限界に挑むテスト飛行にて墜落。現在はリミッターが付けられている,ファルコン号浮上！
113,"ローン・フェイハウンドに騎乗する。
異界ヴォイドに棲まう凶暴な魔獣。孤高の存在！",異界ヴォイドに棲まう獰猛な魔獣。銀色に輝く毛並みは獲物の血で染まり、妖しい色合いを帯びている。一匹狼として危険な世界を渡り歩いてきたが、熱い闘気を放つ歴戦の猛者には、背に跨がることを許すという,グオーン！
114,"パック・フェイハウンドに騎乗する。
異界ヴォイドに棲まう凶暴な魔獣。群れのリーダー！",異界ヴォイドに棲まう獰猛な魔獣。銀色に輝く毛並みは深い闇で染まり、不気味な色合いを帯びている。群れの長として危険な世界を渡り歩いてきたが、冷たい殺気を放つ歴戦の猛者には、背に跨がることを許すという,ガオーン！
115,"美のカムイに騎乗する。
美神に祝福された大狼。美しく天を駆ける",美神「ラクシュミ」による祝福を受け、高貴なる光をまとった大狼。おそらくアナンタ族が大狼を蛮神に供物として捧げた結果、誕生したものと思われる,ワォーン！
