#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
154,星霊,,,,,,60298
155,星霊,,,,,,60298
156,仮想,,,,,,60225
157,万魔殿,,,,,,60228
158,万魔殿,,,,,,60228
159,万魔殿,,,,,,60228
160,終極,,,,,,60299
161,絶望,,,,,,60229
162,神域,,,,,,60230
163,神域,,,,,,60230
164,神域,,,,,,60230
165,神域,,,,,,60230
166,神域,,,,,,60230
167,神域,,,,,,60230
168,神域,,,,,,60230
169,神域,,,,,,60230
170,邪天,,,,,,60266
171,虚無,,,,,,60231
172,虚無,,,,,,60231
173,虚無,,,,,,60231
174,次元,,,,,,60274
175,次元,,,,,,60274
176,次元,,,,,,60274
177,万魔殿,,,,,,60228
178,万魔殿,,,,,,60228
179,詩想,,,,,,60232
180,虚無,,,,,,60231
181,暗天,,,,,,60233
182,暗天,,,,,,60233
183,仮想,,,,,,60234
184,仮想,,,,,,60234
185,仮想,,,,,,60234
186,仮想,,,,,,60234
187,記憶,,,,,,60235
188,暗雲,,,,,,60236
189,仮想,,,,,,60234
190,幻怪,,,,,,60238
191,幻妖,,,,,,60239
192,蜃気楼,,,,,,60240
193,魔塵,,,,,,60237
194,流星,,,,,,60241
195,流星,,,,,,60241
196,磁気嵐,,,,,,60223
197,胞子霧,,,,,,60242
198,死気,,,,,,60243
199,死気,,,,,,60243
200,死気,,,,,,60243
201,寒冷気流,,,,,,60244
202,グラスレイン,,,,,,60245
203,雷,,,,,,60209
204,雷,,,,,,60209
205,乱重力,,,,,,60246
206,水泡嵐,,,,,,60247
