#,Image,Unknown0,Jingle,Type,Lang
304,120374,0,5,1,True
305,120375,0,5,1,True
306,120376,0,5,1,True
307,120377,0,5,1,True
308,120378,0,5,1,True
309,120379,0,5,1,True
310,120380,0,5,1,True
311,120381,0,5,1,True
312,120382,0,5,1,True
313,120383,0,5,1,True
314,120384,0,5,1,True
315,120385,0,5,1,True
316,120386,0,5,1,True
317,120387,0,5,1,True
318,120388,0,5,1,True
319,120389,0,5,1,True
320,120390,0,5,1,True
321,120391,0,5,1,True
322,120239,0,5,1,True
323,120240,0,5,1,True
324,120241,0,5,1,True
325,120242,0,5,1,True
326,120243,0,5,1,True
327,120244,0,5,1,True
328,120280,0,5,1,True
329,120281,0,5,1,True
330,120282,0,5,1,True
331,120283,0,5,1,True
332,120284,0,5,1,True
333,120285,0,5,1,True
334,120245,0,5,1,True
335,120268,0,5,1,True
336,120733,0,5,1,True
337,120734,0,5,1,True
338,120735,0,5,1,True
339,120411,0,5,1,True
340,120412,0,64,1,True
341,120098,0,63,1,True
342,120001,0,62,1,True
343,120002,0,63,1,True
344,120001,0,111,1,True
345,120002,0,112,1,True
346,120098,0,112,1,True
347,121076,0,126,1,True
348,121077,0,127,1,True
349,121078,0,17,1,True
350,120413,0,68,1,True
351,120414,0,69,1,True
352,120415,0,68,1,True
353,120416,0,69,1,True
354,120417,0,68,1,True
355,120418,0,69,1,True
356,120419,0,68,1,True
357,120420,0,69,1,True
358,120150,0,-1,1,True
359,120151,0,65,1,True
360,120152,0,66,1,True
361,120153,0,67,1,True
362,120154,0,67,1,True
363,120155,0,67,1,True
364,120156,0,66,1,True
365,120421,0,5,1,True
366,120496,0,8,1,True
367,120497,0,8,1,True
368,120498,0,92,1,True
369,120499,0,9,1,True
370,120422,0,5,1,True
371,120423,0,5,1,True
372,120424,0,5,1,True
373,120425,0,5,1,True
374,120426,0,5,1,True
375,120427,0,5,1,True
376,120428,0,5,1,True
377,120429,0,5,1,True
378,120430,0,5,1,True
379,120431,0,5,1,True
380,120432,0,5,1,True
381,120433,0,5,1,True
382,120434,0,5,1,True
383,120435,0,72,1,True
384,120436,0,73,1,True
385,120437,0,74,1,True
386,120022,0,11,1,True
387,120607,0,5,1,True
388,120617,0,0,1,True
389,120438,0,5,1,True
390,0,0,0,0,False
391,0,0,0,0,False
392,0,0,0,0,False
393,120121,0,8,1,True
394,120125,0,79,1,True
395,1,0,71,15,True
396,2,0,71,15,True
397,3,0,71,15,True
398,4,0,71,15,True
399,5,0,71,15,True
400,0,0,0,0,False
401,120441,0,5,1,True
402,120442,0,5,1,True
403,120443,0,5,1,True
404,120444,0,5,1,True
405,120445,0,5,1,True
406,120446,0,5,1,True
407,120447,0,5,1,True
408,120608,0,5,1,True
409,120618,0,0,1,True
410,121741,0,84,1,True
411,121751,0,84,1,True
412,121752,0,84,1,True
413,121753,0,84,1,True
414,121754,0,84,1,True
415,121761,0,84,1,True
416,121762,0,84,1,True
417,121771,0,84,1,True
418,121772,0,84,1,True
419,121773,0,84,1,True
420,121774,0,84,1,True
421,121781,0,5,1,True
422,121782,0,85,1,True
423,121783,0,85,1,True
424,121784,0,85,1,True
425,121785,0,86,1,True
426,121786,0,86,1,True
427,121787,0,87,1,True
428,121788,0,80,1,True
429,121789,0,81,1,True
430,121801,0,48,1,True
431,121802,0,48,1,True
432,120106,0,77,1,True
433,120107,0,78,1,True
434,121211,0,6,1,True
435,121212,0,7,1,True
436,121821,0,82,1,True
437,121822,0,82,1,True
438,121823,0,82,1,True
439,121824,0,82,1,True
440,121825,0,82,1,True
441,120449,0,5,1,True
442,120450,0,5,1,True
443,120451,0,5,1,True
444,120452,0,5,1,True
445,120453,0,5,1,True
446,120454,0,5,1,True
447,120455,0,5,1,True
448,120456,0,5,1,True
449,120457,0,5,1,True
450,120458,0,5,1,True
451,0,0,0,0,False
452,120460,0,5,1,True
453,120912,0,5,1,True
454,120462,0,5,1,True
455,120463,0,5,1,True
456,120248,0,5,1,True
457,0,0,0,0,False
458,120118,0,48,6,True
459,120072,0,5,1,True
460,120171,0,6,1,True
461,120172,0,91,1,True
462,120173,0,92,1,True
463,120174,0,-1,1,True
464,120161,0,89,17,True
465,120161,0,90,17,True
466,120162,0,89,17,True
467,120162,0,90,17,True
468,120913,0,22,1,True
469,0,0,0,0,False
470,120465,0,5,1,True
471,120466,0,5,1,True
472,120467,0,5,1,True
473,120468,0,5,1,True
474,120469,0,5,1,True
475,120470,0,5,1,True
476,120471,0,5,1,True
477,120175,0,0,1,True
478,120914,0,38,1,True
479,120915,0,5,1,True
480,120473,0,22,1,True
481,120474,0,22,1,True
482,121901,0,84,1,True
483,121902,0,-1,1,True
484,120126,0,80,1,True
485,120127,0,80,1,True
486,121790,0,-1,1,True
487,120177,0,106,1,True
488,0,0,0,0,False
489,120178,0,107,1,True
490,120179,0,108,1,True
491,120477,0,5,1,True
492,120478,0,5,1,True
493,120479,0,5,1,True
494,120480,0,5,1,True
495,120481,0,5,1,True
496,120482,0,5,1,True
497,120483,0,5,1,True
498,120484,0,5,1,True
499,120485,0,5,1,True
500,120486,0,5,1,True
501,120487,0,5,1,True
502,120488,0,5,1,True
503,120489,0,5,1,True
504,120490,0,5,1,True
505,120491,0,5,1,True
506,120492,0,5,1,True
507,120493,0,5,1,True
508,120494,0,5,1,True
509,120736,0,5,1,True
510,120737,0,5,1,True
511,120293,0,5,1,True
512,120294,0,5,1,True
513,120295,0,5,1,True
514,120296,0,5,1,True
515,120297,0,5,1,True
516,120298,0,5,1,True
517,120246,0,5,1,True
518,120247,0,5,1,True
519,120269,0,5,1,True
520,120249,0,5,1,True
521,120084,0,15,1,True
522,120085,0,16,1,True
523,120086,0,17,1,True
524,120084,0,18,1,True
525,120085,0,19,1,True
526,120086,0,20,1,True
527,120495,0,5,1,True
528,120270,0,5,1,True
529,120271,0,5,1,True
530,0,0,0,0,False
531,85801,0,-1,1,False
532,85802,0,-1,1,False
533,85803,0,-1,1,False
534,85804,0,-1,1,False
535,85805,0,-1,1,False
536,85806,0,-1,1,False
537,85807,0,-1,1,False
538,85808,0,-1,1,False
539,85809,0,-1,1,False
540,85810,0,-1,1,False
541,85811,0,-1,1,False
542,120620,0,-1,1,True
543,120621,0,-1,1,True
544,120622,0,5,1,True
545,120623,0,5,1,True
546,120624,0,5,1,True
547,120625,0,5,1,True
548,120626,0,5,1,True
549,121790,0,36,1,True
550,129960,0,5,1,True
551,129961,0,5,1,True
552,121803,0,5,1,True
553,129920,0,5,1,True
554,129980,0,173,1,True
555,129981,0,173,1,True
556,129940,0,0,1,True
557,120073,0,5,1,True
558,121791,0,2,1,True
559,121792,0,52,1,True
560,121793,0,17,1,True
561,85812,0,-1,1,False
562,85813,0,-1,1,False
563,85814,0,-1,1,False
564,85815,0,-1,1,False
565,120272,0,5,1,True
566,121794,0,53,1,True
567,85816,0,-1,1,False
568,85817,0,-1,1,False
569,85818,0,-1,1,False
570,85819,0,-1,1,False
571,121016,0,113,1,True
572,121017,0,114,1,True
573,121018,0,17,1,True
574,120920,0,91,1,True
575,120921,0,-1,1,True
576,120922,0,116,1,True
577,120923,0,92,1,True
578,120924,0,66,1,True
579,120925,0,52,1,True
580,120642,0,5,1,True
581,120143,0,5,1,True
582,129921,0,5,1,True
583,129941,0,0,1,True
584,120641,0,5,1,True
585,120639,0,5,1,True
586,120630,0,5,1,True
587,120631,0,5,1,True
588,120632,0,5,1,True
589,120633,0,5,1,True
590,120634,0,5,1,True
591,120635,0,5,1,True
592,120636,0,5,1,True
593,120637,0,5,1,True
594,120638,0,5,1,True
595,120627,0,5,1,True
596,120640,0,38,1,True
597,85820,0,-1,1,False
598,85821,0,-1,1,False
599,120646,0,5,1,True
600,120647,0,5,1,True
601,120648,0,5,1,True
602,120649,0,5,1,True
603,120650,0,5,1,True
604,120651,0,5,1,True
605,120652,0,5,1,True
606,120653,0,5,1,True
607,120655,0,5,1,True
608,120654,0,5,1,True
609,129922,0,5,1,True
610,129942,0,0,1,True
611,129962,0,5,1,True
612,129982,0,173,1,True
613,121763,0,84,1,True
614,121775,0,84,1,True
615,121221,0,125,19,True
616,121222,0,124,20,True
617,85822,0,-1,1,False
618,85823,0,-1,1,False
619,85824,0,-1,1,False
620,85825,0,-1,1,False
621,85826,0,-1,1,False
622,85827,0,-1,1,False
623,85828,0,-1,1,False
624,85829,0,-1,1,False
625,85830,0,-1,1,False
626,85831,0,-1,1,False
627,85832,0,-1,1,False
628,120656,0,5,1,True
629,120657,0,5,1,True
630,120658,0,5,1,True
631,120659,0,129,22,True
632,121006,0,113,1,True
633,121007,0,114,1,True
634,121008,0,17,1,True
635,120916,0,5,1,True
636,120660,0,5,1,True
637,120661,0,5,1,True
638,120662,0,5,1,True
639,120663,0,5,1,True
640,120664,0,5,1,True
641,120665,0,5,1,True
642,120666,0,5,1,True
643,120667,0,5,1,True
644,120668,0,5,1,True
645,120669,0,5,1,True
646,120670,0,5,1,True
647,120674,0,5,1,True
648,120675,0,5,1,True
649,120676,0,5,1,True
650,120677,0,5,1,True
651,120678,0,5,1,True
652,120679,0,5,1,True
653,120917,0,5,1,True
654,120918,0,5,1,True
655,120927,0,95,1,True
656,120928,0,95,1,True
657,120929,0,95,1,True
658,120930,0,95,1,True
659,120931,0,36,1,True
660,120932,0,92,1,True
661,120933,0,16,1,True
662,120934,0,66,1,True
663,120935,0,52,1,True
664,121104,0,5,1,True
665,120936,0,52,1,True
666,120937,0,38,1,True
667,85833,0,-1,1,False
668,85834,0,-1,1,False
669,85835,0,-1,1,False
670,85836,0,-1,1,False
671,85837,0,-1,1,False
672,85838,0,-1,1,False
673,85839,0,-1,1,False
674,85840,0,-1,1,False
675,85841,0,-1,1,False
676,85842,0,-1,1,False
677,85843,0,-1,1,False
678,120934,0,18,1,True
679,85844,0,-1,1,False
680,85845,0,-1,1,False
681,85846,0,-1,1,False
682,85847,0,-1,1,False
683,85848,0,-1,1,False
684,85849,0,-1,1,False
685,85850,0,-1,1,False
686,120919,0,5,1,True
687,120833,0,5,1,True
688,120834,0,5,1,True
689,120835,0,5,1,True
690,120836,0,5,1,True
691,120837,0,5,1,True
692,120838,0,5,1,True
693,129963,0,5,1,True
694,120738,0,5,1,True
695,120839,0,5,1,True
696,120840,0,5,1,True
697,120025,0,130,1,True
698,120026,0,131,1,True
699,127070,0,-1,5,True
700,120844,0,5,1,True
701,0,0,0,0,False
702,129983,0,173,1,True
703,121233,0,-1,24,True
704,121241,0,15,1,True
705,121242,0,16,1,True
706,121243,0,17,1,True
707,121231,0,6,1,True
708,121232,0,7,1,True
709,180201,0,-1,1,True
710,180202,0,-1,1,True
711,180203,0,-1,1,True
712,180204,0,-1,1,True
713,180205,0,-1,1,True
714,180206,0,-1,1,True
715,121484,0,134,1,True
716,85851,0,-1,1,False
717,85852,0,-1,1,False
718,120841,0,-1,1,True
719,120842,0,-1,1,True
720,120843,0,-1,1,True
721,121562,0,-1,1,True
722,121563,0,-1,1,True
723,120001,0,136,1,True
724,120002,0,137,1,True
725,120098,0,137,1,True
726,85853,0,-1,1,False
727,85854,0,-1,1,False
728,85855,0,-1,1,False
729,85856,0,-1,1,False
730,85857,0,-1,1,False
731,85858,0,-1,1,False
732,85859,0,-1,1,False
733,85860,0,-1,1,False
734,85861,0,-1,1,False
735,85862,0,-1,1,False
736,85863,0,-1,1,False
737,85864,0,-1,1,False
738,85865,0,-1,1,False
739,85866,0,-1,1,False
740,85867,0,-1,1,False
741,0,0,0,0,False
742,128003,0,5,1,True
743,128004,0,5,1,True
744,128005,0,5,1,True
745,128006,0,5,1,True
746,128007,0,5,1,True
747,128008,0,5,1,True
748,128009,0,5,1,True
749,128010,0,5,1,True
750,128011,0,5,1,True
751,128012,0,5,1,True
752,128013,0,5,1,True
753,128014,0,5,1,True
754,128015,0,5,1,True
755,128016,0,5,1,True
756,128017,0,5,1,True
757,128018,0,5,1,True
758,128019,0,5,1,True
759,128020,0,5,1,True
760,120739,0,5,1,True
761,120740,0,5,1,True
762,128021,0,5,1,True
763,128022,0,5,1,True
764,128023,0,5,1,True
765,128024,0,5,1,True
766,128025,0,5,1,True
767,128026,0,5,1,True
768,128027,0,5,1,True
769,128028,0,5,1,True
770,128029,0,5,1,True
771,128030,0,5,1,True
772,128031,0,5,1,True
773,128032,0,0,1,True
774,128033,0,0,1,True
775,128034,0,0,1,True
776,128035,0,0,1,True
777,128036,0,0,1,True
778,128037,0,64,1,True
779,128038,0,0,1,True
780,128039,0,22,1,True
781,128040,0,22,1,True
782,128041,0,22,1,True
783,128042,0,22,1,True
784,128043,0,22,1,True
785,120180,0,-1,1,True
786,120185,0,55,1,True
787,120186,0,17,1,True
788,120187,0,-1,1,True
789,85868,0,-1,1,False
790,85869,0,-1,1,False
791,85870,0,-1,1,False
792,85871,0,-1,1,False
793,85872,0,-1,1,False
794,0,0,0,0,False
795,85874,0,-1,1,False
796,85875,0,-1,1,False
797,85876,0,-1,1,False
798,85877,0,-1,1,False
799,85878,0,-1,1,False
800,85879,0,-1,1,False
801,85880,0,-1,1,False
802,85881,0,-1,1,False
803,85882,0,-1,1,False
804,85883,0,-1,1,False
805,85884,0,-1,1,False
806,85885,0,-1,1,False
807,85886,0,-1,1,False
808,85887,0,-1,1,False
809,85888,0,-1,1,False
810,85889,0,-1,1,False
811,85890,0,-1,1,False
812,85891,0,-1,1,False
813,85892,0,-1,1,False
814,85893,0,-1,1,False
815,85894,0,-1,1,False
816,85895,0,-1,1,False
817,85896,0,-1,1,False
818,85897,0,-1,1,False
819,85898,0,-1,1,False
820,85899,0,-1,1,False
821,85902,0,-1,1,False
822,85903,0,-1,1,False
823,85904,0,-1,1,False
824,85905,0,-1,1,False
825,121782,0,85,1,True
826,121783,0,85,1,True
827,121784,0,86,1,True
828,121787,0,87,1,True
829,128044,0,5,1,True
830,128045,0,5,1,True
831,85906,0,-1,1,False
832,85907,0,-1,1,False
833,85908,0,-1,1,False
834,128050,0,5,1,True
835,128051,0,5,1,True
836,128052,0,5,1,True
837,128053,0,5,1,True
838,129923,0,5,1,True
839,129943,0,0,1,True
840,129964,0,5,1,True
841,129984,0,173,1,True
842,128054,0,5,1,True
843,128055,0,5,1,True
844,128061,0,86,1,True
845,128059,0,5,1,True
846,121245,0,139,1,True
847,121247,0,141,1,True
848,129900,0,140,27,True
849,129900,0,140,28,True
850,129900,0,140,29,True
851,129901,0,140,1,True
852,85909,0,-1,1,False
853,85910,0,-1,1,False
854,128060,0,5,1,True
855,128058,0,5,1,True
856,129902,0,140,29,True
857,129904,0,140,29,True
858,129906,0,140,29,True
859,129924,0,5,1,True
860,129944,0,0,1,True
861,128066,0,5,1,True
862,128067,0,5,1,True
863,128068,0,5,1,True
864,128069,0,5,1,True
865,128070,0,5,1,True
866,128071,0,5,1,True
867,128072,0,5,1,True
868,128073,0,5,1,True
869,128074,0,5,1,True
870,128075,0,5,1,True
871,128076,0,5,1,True
872,128077,0,38,1,True
873,128078,0,38,1,True
874,129903,0,140,1,True
875,129905,0,140,1,True
876,129907,0,140,1,True
877,85911,0,-1,1,False
878,85912,0,-1,1,False
879,85913,0,-1,1,False
880,85914,0,-1,1,False
881,85915,0,-1,1,False
882,85916,0,-1,1,False
883,85917,0,-1,1,False
884,85918,0,-1,1,False
885,180207,0,-1,1,True
886,85919,0,-1,1,False
887,85920,0,-1,1,False
888,85921,0,-1,1,False
889,85922,0,-1,1,False
890,85923,0,-1,1,False
891,85924,0,-1,1,False
892,85925,0,-1,1,False
893,129908,0,140,29,True
894,129910,0,140,29,True
895,129912,0,140,29,True
896,129909,0,140,1,True
897,129911,0,140,1,True
898,129913,0,140,1,True
899,129965,0,5,1,True
900,129985,0,173,1,True
901,129925,0,5,1,True
902,129945,0,0,1,True
903,128082,0,5,1,True
904,128083,0,5,1,True
905,128084,0,5,1,True
906,128085,0,5,1,True
907,128086,0,5,1,True
908,128087,0,5,1,True
909,128088,0,5,1,True
910,128089,0,5,1,True
911,128093,0,5,1,True
912,120108,0,1,6,True
913,128090,0,5,1,True
914,128091,0,5,1,True
915,128092,0,5,1,True
916,121111,0,142,1,True
917,121112,0,143,1,True
918,121113,0,17,1,True
919,121115,0,142,1,True
920,121116,0,143,1,True
921,121117,0,17,1,True
922,121119,0,142,1,True
923,121120,0,143,1,True
924,121121,0,17,1,True
925,85926,0,-1,1,False
926,85927,0,-1,1,False
927,85928,0,-1,1,False
928,85929,0,-1,1,False
929,85930,0,-1,1,False
930,85931,0,-1,1,False
931,128095,0,5,1,True
932,129914,0,140,29,True
933,129915,0,140,1,True
934,129916,0,140,29,True
935,129917,0,140,1,True
936,129918,0,140,29,True
937,129919,0,140,1,True
938,128102,0,5,1,True
939,128103,0,5,1,True
940,128104,0,5,1,True
941,128105,0,5,1,True
942,128106,0,5,1,True
943,128107,0,5,1,True
944,128108,0,5,1,True
945,128109,0,5,1,True
946,128110,0,5,1,True
947,128111,0,5,1,True
948,128112,0,5,1,True
949,128114,0,5,1,True
950,85932,0,-1,1,False
951,85933,0,-1,1,False
952,85934,0,-1,1,False
953,85935,0,-1,1,False
954,85936,0,-1,1,False
955,85937,0,-1,1,False
956,85938,0,-1,1,False
957,85939,0,-1,1,False
958,85940,0,-1,1,False
959,85941,0,-1,1,False
960,85942,0,-1,1,False
961,85943,0,-1,1,False
962,85944,0,-1,1,False
963,85945,0,-1,1,False
964,85946,0,-1,1,False
965,85947,0,-1,1,False
966,85948,0,-1,1,False
967,85949,0,-1,1,False
968,85950,0,-1,1,False
969,85951,0,-1,1,False
970,85952,0,-1,1,False
971,85953,0,-1,1,False
972,85954,0,-1,1,False
973,85955,0,-1,1,False
974,128119,0,5,1,True
975,128120,0,5,1,True
976,128121,0,5,1,True
977,128122,0,5,1,True
978,128123,0,5,1,True
979,121246,0,15,1,True
980,121248,0,16,1,True
981,129966,0,5,1,True
982,129986,0,173,1,True
983,128124,0,5,1,True
984,128125,0,5,1,True
985,128126,0,5,1,True
986,85956,0,-1,1,False
987,85957,0,-1,1,False
988,85958,0,-1,1,False
989,85959,0,-1,1,False
990,85960,0,-1,1,False
991,85961,0,-1,1,False
992,85962,0,-1,1,False
993,120001,0,145,1,True
994,120002,0,146,1,True
995,85873,0,-1,1,False
996,128131,0,5,1,True
997,128132,0,5,1,True
998,128133,0,5,1,True
999,128134,0,5,1,True
1000,128135,0,5,1,True
1001,128136,0,5,1,True
1002,128137,0,5,1,True
1003,128138,0,5,1,True
1004,128139,0,5,1,True
1005,128140,0,5,1,True
1006,128141,0,5,1,True
1007,128142,0,5,1,True
1008,128143,0,5,1,True
1009,128144,0,5,1,True
1010,128145,0,5,1,True
1011,128146,0,5,1,True
1012,128147,0,5,1,True
1013,128148,0,5,1,True
1014,120741,0,5,1,True
1015,120742,0,5,1,True
1016,128149,0,5,1,True
1017,128150,0,5,1,True
1018,128151,0,5,1,True
1019,128152,0,5,1,True
1020,128153,0,5,1,True
1021,128154,0,5,1,True
1022,128155,0,5,1,True
1023,128156,0,5,1,True
1024,128157,0,5,1,True
1025,128158,0,5,1,True
1026,128159,0,5,1,True
1027,128172,0,5,1,True
1028,128160,0,0,1,True
1029,128161,0,0,1,True
1030,128162,0,0,1,True
1031,128163,0,0,1,True
1032,128164,0,0,1,True
1033,128165,0,64,1,True
1034,128166,0,0,1,True
1035,128167,0,22,1,True
1036,128168,0,22,1,True
1037,128169,0,22,1,True
1038,128170,0,22,1,True
1039,128171,0,22,1,True
1040,120022,0,-1,30,True
1041,85965,0,-1,1,False
1042,85966,0,-1,1,False
1043,85967,0,-1,1,False
1044,85968,0,-1,1,False
1045,85969,0,-1,1,False
1046,85970,0,-1,1,False
1047,85971,0,-1,1,False
1048,85972,0,-1,1,False
1049,85973,0,-1,1,False
1050,85974,0,-1,1,False
1051,85975,0,-1,1,False
1052,85976,0,-1,1,False
1053,85977,0,-1,1,False
