#,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Quantity[0],Quantity[1],Quantity[2],Quantity[3],Quantity[4],Quantity[5],Quantity[6],Quantity[7],RecipeLevel[0],RecipeLevel[1],RecipeLevel[2],RecipeLevel[3],RecipeLevel[4],RecipeLevel[5],RecipeLevel[6],RecipeLevel[7]
32,2611,5260,2612,5088,7009,8563,2448,2610,3,3,3,3,3,1,1,3,22,30,23,24,30,23,26,27
33,2620,2617,2623,2615,2619,2450,4126,2774,3,3,3,3,3,1,1,1,39,34,36,32,40,36,35,34
34,2834,4254,2857,2622,2618,5090,2451,2624,1,1,1,3,3,3,1,3,44,43,45,41,43,43,42,44
35,4272,2133,2625,2626,4170,2628,2627,4379,1,1,3,3,1,3,3,1,49,50,46,47,49,48,48,49
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3764,3769,3769,3535,3310,3310,3762,3762,1,1,1,1,1,1,1,1,8,9,9,6,5,5,5,5
41,3552,2669,3773,1685,4435,2660,2669,3773,1,1,1,1,1,1,1,1,18,14,12,14,20,11,14,12
42,3806,3367,3806,3572,3810,4108,3795,2710,1,1,1,1,1,1,1,1,24,29,24,23,27,27,21,23
43,3856,3829,3627,3613,3627,4130,4456,3853,1,1,1,1,1,1,1,1,40,31,39,34,39,36,32,38
44,4155,4155,3447,3694,3694,3191,3447,3191,1,1,1,1,1,1,1,1,45,45,44,45,45,44,44,44
45,3904,3206,4516,2298,3213,2298,3916,3471,1,1,1,1,1,1,1,1,47,47,48,48,49,48,49,46
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3318,2958,2655,2630,3312,3013,3308,3311,1,1,1,1,1,1,1,1,10,4,6,4,5,9,2,5
51,3334,7025,5325,3028,3327,3324,3019,3327,1,1,3,1,1,1,1,1,19,18,13,16,14,14,12,14
52,2733,3570,3060,3354,3062,3365,3065,3370,1,1,1,1,1,1,1,1,27,23,23,25,24,28,24,30
53,3145,3385,3410,2778,7026,3145,7026,5328,1,1,1,1,1,1,1,3,38,34,40,36,36,38,36,39
54,5329,3188,3160,3188,7027,2837,3881,3648,3,1,1,1,1,1,1,1,43,44,41,44,42,44,42,43
55,3467,3698,3211,3918,3678,2891,3914,2886,1,1,1,1,1,1,1,1,47,50,48,50,46,47,46,46
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4565,5475,5503,5504,5510,4564,5482,5470,6,1,3,3,3,6,3,3,6,4,2,10,7,5,10,3
61,4551,5471,4856,4555,7016,7015,5483,7013,6,3,6,6,1,1,3,3,12,15,14,15,20,11,19,18
62,5512,5472,4566,4552,5484,5505,5522,5485,3,3,6,6,3,3,3,3,28,30,22,25,26,30,25,29
63,4615,4619,4616,4618,4617,7014,4602,4614,6,6,6,6,6,1,6,6,34,34,34,34,34,39,32,34
64,7017,4604,2174,4608,5486,4553,4607,2185,1,6,1,6,3,6,6,1,41,45,42,44,41,43,45,45
65,2047,4622,4623,4625,4559,4624,4620,4621,1,6,6,6,6,6,6,6,50,50,50,50,50,50,50,50
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4826,4825,4848,4850,4853,2588,2589,7767,3,6,6,6,10,10,10,12,7,4,2,4,7,5,10,5
71,4859,4735,4861,4754,4736,4863,2593,6142,5,3,6,3,3,5,10,3,16,12,14,17,12,14,20,20
72,4652,4699,4668,4676,4684,4723,4722,4643,3,3,3,3,3,3,3,3,22,23,27,28,22,27,21,21
73,4685,4692,4687,4756,6143,4719,4654,4691,3,3,3,6,3,3,3,3,31,39,39,36,40,35,34,32
74,4703,4671,4646,4757,4727,4720,4679,4693,3,3,3,6,3,3,3,3,45,42,41,43,45,43,44,44
75,6144,4678,4750,4655,4694,4647,4713,4715,3,3,3,3,3,3,1,3,50,50,47,46,49,50,48,50
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
