#,Name,TopImage,BottomImage,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,Unknown5,FontColor,Unknown2,Unknown1,Unknown0,Category
78,コスモエクスプローラー2,196123,0,940,0,0,0,2344,1,0,0,0,8
79,無人島開拓3,196124,196352,939,0,0,0,2342,1,0,0,0,8
80,コスモエクスプローラー3,196125,0,1020,0,0,0,2345,1,0,0,0,8
81,シンプルスタイル1,196017,0,1044,0,0,0,24,2,0,0,0,7
82,シンプルスタイル2,196018,0,1045,0,0,0,25,2,0,0,0,7
83,シンプルスタイル3,196019,0,1046,0,0,0,26,2,0,0,0,7
84,シンプルスタイル4,196020,0,1047,0,0,0,27,2,0,0,0,7
85,シンプルスタイル5,196021,0,1048,0,0,0,28,2,0,0,0,7
86,シンプルスタイル6,196022,0,1049,0,0,0,29,2,0,0,0,7
87,シンプルスタイル7,196023,0,1050,0,0,0,30,2,0,0,0,7
88,シンプルスタイル8,196024,0,1051,0,0,0,31,2,0,0,0,7
89,,0,0,0,0,0,0,0,0,0,0,0,0
90,,0,0,0,0,0,0,0,0,0,0,0,0
