#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
21,攻略手帳：達成数1,攻略手帳の課題を、5種類達成する,0,61810,5,0,10000,0,0,0,12,1,0,3
22,攻略手帳：達成数2,攻略手帳の課題を、10種類達成する,0,61810,10,0,10000,0,0,0,12,2,0,3
23,攻略手帳：達成数3,攻略手帳の課題を、15種類達成する,0,61810,15,0,10000,0,20,0,12,3,0,3
24,攻略手帳：達成数4,攻略手帳の課題を、20種類達成する,0,61810,20,0,10000,0,30,0,12,4,0,3
25,MIP推薦,MIP推薦を計5回投票する,0,61817,5,10,1000,1083800,0,160,1,5,5,3
26,採集活動,"採掘師か園芸師で、採集レベルが近いアイテムを
100回採集する",0,61815,100,5,1000,0,0,0,5,4,5,3
27,採集活動：獲得数ボーナス,採掘師か園芸師で、採集レベルが近い採集にて獲得数ボーナスを30回発生させる,0,61815,30,5,2000,0,0,0,5,5,5,3
28,釣り,漁師で30回釣り上げる,0,61815,30,5,1000,0,0,0,5,6,5,3
29,釣り：ラージサイズ,漁師でラージサイズの水産物を10回釣り上げる,0,61815,10,5,2000,0,0,0,5,7,5,3
30,製作活動,30回製作をする,0,61816,30,10,1000,0,0,0,5,1,5,3
31,製作活動：HQ,20回HQアイテムを製作する,0,61816,20,10,2000,0,0,0,5,2,5,3
32,,,0,0,0,0,0,0,0,0,0,0,0,0
33,リテイナーベンチャー：完了回数,リテイナーベンチャーの依頼を、10回完了させる,0,61818,10,0,1000,0,0,168,9,1,0,3
34,リテイナーベンチャー：探索回数,リテイナーベンチャーの探索依頼を、15回完了させる,0,61818,15,0,4000,0,0,169,9,2,0,3
35,フロントライン：参戦回数,フロントラインに7回参戦する,0,61806,7,0,1000,0,0,176,2,3,0,9
36,フロントライン：勝利回数,フロントラインで3回勝利する,0,61806,3,0,1000,0,0,176,2,4,0,9
37,ミニゲーム：達成回数,ミニゲームを3回達成する,0,61820,3,0,1000,0,0,201,10,1,0,8
38,ミニゲーム：獲得MGP,ミニゲームで100MGP獲得する,0,61820,100,0,1500,0,0,201,10,2,0,8
39,G.A.T.E.：参加回数,G.A.T.E.に5回参加する,0,61820,5,0,5000,0,0,201,10,3,0,8
40,G.A.T.E.：達成回数,G.A.T.E.を3回達成する,0,61820,3,0,8000,0,0,201,10,4,0,8
41,チョコボレース：出走回数1,チョコボレースに3回出走する,0,61820,3,0,5000,0,0,196,10,5,0,8
42,チョコボレース：出走回数2,チョコボレースに20回出走する,0,61820,20,0,8000,0,0,196,10,6,0,8
43,チョコボレース：勝利回数1,チョコボレースで1回勝利する,0,61820,1,0,5000,0,0,196,10,7,0,8
44,チョコボレース：勝利回数2,チョコボレースで10回勝利する,0,61820,10,0,8000,0,0,196,10,8,0,8
45,トリプルトライアド：対戦回数,トリプルトライアドで10回対戦する,0,61820,10,0,5000,0,0,199,10,9,0,8
46,トリプルトライアド：勝利回数,トリプルトライアドの対戦で10回勝利する,0,61820,10,0,8000,0,0,199,10,10,0,8
47,ロード・オブ・ヴァーミニオン：対戦回数2,ロード・オブ・ヴァーミニオンで3回対戦する,0,61820,3,0,10000,0,0,224,10,15,0,8
48,攻略手帳：達成数5,攻略手帳の課題を、30種類達成する,0,61810,30,0,15000,0,30,0,12,5,0,3
49,カードバトルルーム：対戦回数,"カードバトルルームに入り、
トリプルトライアドで5回対戦する",0,61820,5,0,2500,0,0,200,10,11,0,8
50,カードバトルルーム：勝利回数,"カードバトルルームに入り、
トリプルトライアドの対戦で3回勝利する",0,61820,3,0,3000,0,0,200,10,12,0,8
51,お得意様取引：納品回数,お得意様に6回納品する,0,61827,6,0,1000,0,60,219,5,10,0,3
52,刺突漁,刺突漁でアイテムを50回採集する,0,61815,50,5,1000,0,0,241,5,8,5,3
53,刺突漁：ラージサイズ,刺突漁でラージサイズの水産物を20回採集する,0,61815,20,5,2000,0,0,241,5,9,5,3
54,ライバルウィングズ：参戦回数,ライバルウィングズに10回参戦する,0,61806,10,0,1000,0,0,240,2,5,0,9
55,ライバルウィングズ：勝利回数,ライバルウィングズで5回勝利する,0,61806,5,0,1000,0,0,240,2,6,0,9
56,エウレカ：雷氷属性討伐数1,自身より-2以上のエレメンタルレベルを持つ雷・氷属性のエネミーを30体倒す,0,61833,30,5,1000,0,0,251,13,9,10,3
57,エウレカ：雷氷属性討伐数2,自身より-2以上のエレメンタルレベルを持つ雷・氷属性のエネミーを60体倒す,0,61833,60,15,1000,0,0,251,13,10,10,3
58,エウレカ：火土属性討伐数1,自身より-2以上のエレメンタルレベルを持つ火・土属性のエネミーを30体倒す,0,61833,30,5,1000,0,0,251,13,11,10,3
59,エウレカ：火土属性討伐数2,自身より-2以上のエレメンタルレベルを持つ火・土属性のエネミーを60体倒す,0,61833,60,15,1000,0,0,251,13,12,10,3
60,エウレカ：水風属性討伐数1,自身より-2以上のエレメンタルレベルを持つ水・風属性のエネミーを30体倒す,0,61833,30,5,1000,0,0,251,13,13,10,3
61,エウレカ：水風属性討伐数2,自身より-2以上のエレメンタルレベルを持つ水・風属性のエネミーを60体倒す,0,61833,60,15,1000,0,0,251,13,14,10,3
62,エウレカ：アンデッド討伐数1,自身と同等以上のエレメンタルレベルを持つアンデッド系エネミーを20体倒す,0,61833,20,5,1000,0,0,251,13,15,10,3
63,エウレカ：アンデッド討伐数2,自身と同等以上のエレメンタルレベルを持つアンデッド系エネミーを40体倒す,0,61833,40,15,1000,0,0,251,13,16,10,3
64,エウレカ：スプライト討伐数1,自身と同等以上のエレメンタルレベルを持つスプライト系エネミーを10体倒す,0,61833,10,5,1000,0,0,251,13,17,10,3
65,エウレカ：スプライト討伐数2,自身と同等以上のエレメンタルレベルを持つスプライト系エネミーを20体倒す,0,61833,20,15,1000,0,0,251,13,18,10,3
66,ロード・オブ・ヴァーミニオン：対戦回数1,ロード・オブ・ヴァーミニオンで1回対戦する,0,61820,1,0,5000,0,0,224,10,14,0,8
67,ロード・オブ・ヴァーミニオン：対戦回数3,ロード・オブ・ヴァーミニオンで5回対戦する,0,61820,5,0,12000,0,0,224,10,16,0,8
68,攻略任務：達成回数,攻略任務を3回達成する,372,61812,3,0,5000,0,0,0,8,3,0,6
69,ドマ式麻雀：対戦回数,ドマ式麻雀にて、プレイヤー対戦に2回参加する,68737,61820,2,0,5000,0,0,0,10,17,0,8
70,F.A.T.E.：最高評価回数1,F.A.T.E.で最高評価を5回獲得する,0,61809,5,15,1000,1625700,0,0,3,1,5,3
71,F.A.T.E.：最高評価回数2,F.A.T.E.で最高評価を10回獲得する,0,61809,10,15,2000,1625700,0,0,3,2,5,3
72,アイテム分解,アイテム分解を5回実行する　※クラフタークラスの場合のみ、経験値報酬を獲得,95,61816,5,10,2000,0,0,0,5,3,5,3
73,トリプルトライアド：トーナメント参加,オフィシャルトーナメントに1回参加し、報酬を受け取る,69566,61820,1,0,3000,0,0,0,10,13,0,8
74,無人島開拓：素材獲得数,無人島開拓で素材を100個獲得する,70179,61847,100,0,1000,0,0,0,11,11,0,11
75,無人島開拓：島産品生産数,無人島開拓で島産品を20個生産・出荷する,70179,61847,20,0,1000,0,0,0,11,12,0,11
76,クレセントアイル：モンスター討伐数1,自身と同等以上のナレッジレベルを持つモンスターを30体倒す,70847,61851,30,30,140,0,0,0,13,1,12,13
77,クレセントアイル：モンスター討伐数2,自身と同等以上のナレッジレベルを持つモンスターを60体倒す,70847,61851,60,70,240,0,0,0,13,2,12,13
78,クレセントアイル：CE攻略回数1,蜃気楼の島 クレセントアイルにて、クリティカルエンカウントを8回攻略する,70847,61851,8,30,140,0,0,0,13,3,12,13
79,クレセントアイル：CE攻略回数2,蜃気楼の島 クレセントアイルにて、クリティカルエンカウントを15回攻略する,70847,61851,15,70,240,0,0,0,13,4,12,13
80,クレセントアイル：F.A.T.E.攻略回数1,蜃気楼の島 クレセントアイルにて、F.A.T.E.を10回攻略する,70847,61851,10,30,140,0,0,0,13,5,12,13
81,クレセントアイル：F.A.T.E.攻略回数2,蜃気楼の島 クレセントアイルにて、F.A.T.E.を20回攻略する,70847,61851,20,70,240,0,0,0,13,6,12,13
82,クレセントアイル：チェーン回数1,蜃気楼の島 クレセントアイルにて、20チェーンを達成する,70847,61851,1,30,140,0,0,0,13,7,12,13
83,クレセントアイル：チェーン回数2,蜃気楼の島 クレセントアイルにて、40チェーンを達成する,70847,61851,1,70,240,0,0,0,13,8,12,13
84,ピルグリム・トラバース：巡礼路踏破チャレンジ1,第20巡礼路を踏破する,70941,61824,1,7,0,0,0,0,14,1,14,0
85,ピルグリム・トラバース：巡礼路踏破チャレンジ2,第30巡礼路を踏破する,70941,61824,1,2,0,0,0,0,14,2,15,0
86,ピルグリム・トラバース：巡礼路踏破チャレンジ3,第50巡礼路を踏破する,70942,61824,1,8,0,0,0,0,14,3,14,0
87,ピルグリム・トラバース：巡礼路踏破チャレンジ4,第70巡礼路を踏破する,70942,61824,1,3,0,0,0,0,14,4,15,0
88,ピルグリム・トラバース：巡礼路踏破チャレンジ5,第100巡礼路を踏破する,70942,61824,1,10,0,0,0,0,14,5,14,0
89,,,0,0,0,0,0,0,0,0,0,0,0,0
90,,,0,0,0,0,0,0,0,0,0,0,0,0
91,,,0,0,0,0,0,0,0,0,0,0,0,0
92,,,0,0,0,0,0,0,0,0,0,0,0,0
93,,,0,0,0,0,0,0,0,0,0,0,0,0
94,,,0,0,0,0,0,0,0,0,0,0,0,0
95,,,0,0,0,0,0,0,0,0,0,0,0,0
96,,,0,0,0,0,0,0,0,0,0,0,0,0
97,,,0,0,0,0,0,0,0,0,0,0,0,0
98,,,0,0,0,0,0,0,0,0,0,0,0,0
99,,,0,0,0,0,0,0,0,0,0,0,0,0
100,,,0,0,0,0,0,0,0,0,0,0,0,0
101,,,0,0,0,0,0,0,0,0,0,0,0,0
102,,,0,0,0,0,0,0,0,0,0,0,0,0
103,,,0,0,0,0,0,0,0,0,0,0,0,0
