#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
33,コンテンツファインダー,ダンジョンやギルドオーダーなどのコンテンツの内容や参加条件の確認、参加申請できる一覧です。自動的に編成されたパーティ、または任意の編成で挑戦する事ができます。,46,5,2,23,1
34,キャラクターコンフィグ,操作設定やユーザーインターフェース設定、ホットバー設定、チャットログ設定など、キャラクターに関わるコンフィグ項目を自由に設定できます。,48,5,7,71,0
35,テレポ,訪れたことのあるエーテライトに、ギルを対価として瞬間的に移動します。パーティメンバーと共に移動することもできます。,0,0,4,44,1
36,デジョン,ホームポイントに設定したエーテライトに、対価なしで瞬間的に移動できます。ただし一度実行したあとは、15分間実行することができません。コンテンツ中に実行した場合はコンテンツの開始地点に戻ります。,0,0,4,45,2
37,ライセンス表示,「ファイナルファンタジーXIV」のライセンス項目を確認します。,0,0,7,76,6
38,手帳,（ヘルプ無し）,0,0,0,0,0
39,ソーシャル,（ヘルプ無し）,0,0,0,0,0
40,システム,（ヘルプ無し）,0,0,0,0,0
41,魚類図鑑,漁師クラスが釣った魚についての詳細を記した一覧です。魚を釣ることで記載内容が追加されていきます。,50,6,3,37,3
42,バディ,バディの状態や残り時間、利用できるアクションなどを確認できます。バディのスキルの修得もここから行えます。,49,10,1,10,4
43,コンテンツ,（ヘルプ無し）,0,0,0,0,0
44,ハウジング,ハウジングに関するメニューを開きます。,52,5,6,57,2
45,ディスプレイ設定,使用するディスプレイやスクリーンモードの設定、画面解像度などディスプレイに関する設定画面を表示します。,35,0,0,0,0
46,サウンド設定,音量調節やミュート機能など、サウンドに関する設定画面を表示します。,36,0,0,0,0
47,グラフィック設定,グラフィック品質の設定画面を表示します。プレイヤー環境にあわせて細かく設定することができます。,37,0,0,0,0
48,マウス設定,マウス操作に関する設定画面を表示します。,38,0,0,0,0
49,コントローラー設定,振動の設定など、コントローラーに関する設定画面を表示します。,39,0,0,0,0
50,その他の設定,スクリーンショットの保存形式や言語設定などの設定画面を表示します。,51,0,0,0,0
51,操作設定,カメラやターゲットなど、操作に関する設定画面を表示します。,41,0,0,0,0
52,ユーザーインターフェース設定,画面上に表示されるHUDなどのユーザーインターフェースに関する設定画面を表示します。,42,0,0,0,0
53,ネームプレート設定,プレイヤー頭上に表示されるネームプレートに関する設定画面を表示します。,43,0,0,0,0
54,ホットバー設定,ホットバーに関する設定画面を表示します。,44,0,0,0,0
55,チャットログ設定,フォントサイズやログフィルターなど、チャットログに関する設定画面を表示します。,45,0,0,0,0
56,PvPプロフィール,PvPコンテンツの戦績閲覧や、PvPアクションの確認やホットバーへの登録が行えます。,53,16,1,16,10
57,パーティ募集,目的やロールなどを指定したパーティメンバー募集が行えます。,54,2,5,47,1
58,フィールドマーカー,フィールド上にパーティやアライアンスで共有可能な目印を設置できます。,55,4,5,49,3
59,レディチェック,パーティやアライアンスのメンバー全員に準備確認が行えます。,56,7,5,51,6
60,攻略手帳,様々なコンテンツに設けられた攻略項目の一覧です。攻略項目の達成状況や、得られる報酬などをここで確認できます。項目の達成状況は、（地球時間）毎週火曜日の午後5時にリセットされます。,57,8,3,39,5
61,マウントリスト,修得しているマウントの一覧です。マウントの閲覧や呼び出しなどが行えます。,58,11,1,11,5
62,ミニオンリスト,修得しているミニオンの一覧です。ミニオンの閲覧や呼び出しなどが行えます。,59,12,1,12,6
63,アクセシビリティ設定,サウンド情報の代替表現などアクセシビリティに関する設定画面を表示します。,60,0,0,0,0
64,探検手帳,探検の記録が記された一覧です。目的地に関する情報も確認することができます。,61,2,3,33,-1
65,ゴールドソーサー,ゴールドソーサーに関する情報の確認ができます。競走羽のパラメータや血統情報の確認・装備変更、トリプルトライアドのデッキ編集、LoVMのミニオンホットバー編集、ドマ式麻雀の設定などが行えます。,62,17,1,17,11
66,通貨リスト,ギルや各種通貨の所持数の確認が行えます。,63,5,1,5,-1
67,風脈の泉交感情報,風脈の泉と交感した記録の一覧です。様々な地域で交感をすることで記載内容が追加されていきます。,64,1,4,40,-3
68,プレイガイド,ファイナルファンタジーXIV公式プレイヤーズサイト「Lodestone」内の「プレイガイド」にアクセスするためのメニューを開きます。,65,3,7,69,-2
69,オーケストリオン譜面帳,オーケストリオンで再生することができる楽曲の一覧です。楽譜を手に入れることで記載内容が追加されていきます。,67,7,3,38,4
70,初心者の館,ファイター・ソーサラークラスの各ロール（TANK、HEALER、DPS）の基本的な戦い方を訓練することができます。現在のロールや、訓練の進捗に応じて、適切な訓練内容が提示されます。,66,12,2,30,8
71,アイテム設定,アイテムに関する設定画面を表示します。,68,0,0,0,0
72,レイドファインダー,最新の高難易度コンテンツに挑戦できます。規定人数未満でも条件を詳細に設定することで、同じ目的を持ったプレイヤーたちと自動的にパーティが編成され、コンテンツに参加できます。,69,6,2,24,2
73,戦闘開始カウント,戦闘開始までのカウントを任意の秒数で設定し、自分やパーティメンバー、アライアンスメンバーに対して表示できます。,70,8,5,52,7
74,コンタクトリスト,直近でパーティを組んだことのあるキャラクターの一覧です。一覧に表示されているキャラクターにフレンド申請を行えます。,71,11,6,63,8
75,マウントスピード,マウント騎乗中に地上を移動する時の速度をエリアごとに確認できます。,72,2,4,41,-2
76,コンテンツリプレイ,記録したリプレイデータを再生できます。リプレイの記録設定もここから行います。,73,10,2,28,6
77,チョコボかばん,自分の所持品をバディチョコボに預けたり引き出したりできます。（コンテンツ内では利用できません）,74,9,1,9,3
78,PvPチーム,所属するPvPチームの様々な情報を確認できます。,75,6,6,58,3
79,リプレイレディチェック,リプレイの記録を開始するためのレディチェックと、戦闘開始カウントを行います。記録が可能なコンテンツでのみ利用できます。,76,6,5,50,5
80,クロスワールドリンクシェル,クロスワールドリンクシェルを作成したり、所属するクロスワールドリンクシェルの確認ができます。他ワールドメンバーに対してクロスワールドパーティ勧誘を行えます。,77,8,6,60,5
81,青魔道書,青魔法の修得状況を確認したり、アクションとして使える青魔法の選択を行います。,78,15,1,15,9
82,フェイス,幻体となったNPCを連れてインスタンスダンジョンを攻略できます。,79,9,2,27,5
83,カラーテーマ設定,ウィンドウのカラーテーマの変更が行えます。,80,0,0,0,0
84,F.A.T.E.達成度,特定の地域でF.A.T.E.を行った記録の一覧です。該当地域のF.A.T.E.で最高評価を獲得すると記載内容が追加されていきます。,81,3,4,42,-1
85,フェローシップ,フェローシップを作成したり、所属するフェローシップの情報を確認できます。,82,9,6,61,6
86,フェローシップ募集,募集登録されているフェローシップの一覧を見ることができます。一覧からフェローシップに参加することができます。,83,2,6,54,-1
87,だいじなもの,だいじなものを確認できます。,85,2,2,20,-2
88,つよくてニューゲーム,コンプリートしたクエストを再度プレイすることができます。,84,11,2,29,7
89,ファッションアクセサリー,修得しているファッションアクセサリーの一覧です。ファッションアクセサリーの閲覧や呼び出しなどが行えます。,86,14,1,14,8
90,公式Webサイト,ファイナルファンタジーXIV公式Webサイトの一覧です。,87,2,7,68,-3
91,コンテンツサポーター,サポートNPCを連れてインスタンスダンジョンを攻略できます。,89,8,2,26,4
92,ポートレートの編集,ポートレートの一覧です。ギアセットごとのポートレートの編集が行えます。,88,4,1,3,-2
93,アドベンチャラープレートの編集,キャラクターのプロフィールを表示する機能です。自分のプロフィールやプレートデザインの設定などが行えます。,90,3,1,4,-3
94,特殊ダンジョン探索,ヴァリアントダンジョンなどの特殊ダンジョン探索をするための設定や参加申請ができます。ヴァリアントダンジョンで発見した物語をまとめて読むこともできます。,91,7,2,25,3
95,フェイスアクセサリー,キャラクターが装備する眼鏡の形状や色の設定が行えます。,92,13,1,13,7
96,ミュートリスト管理,ミュートリストに登録したキャラクターの一覧です。登録されたキャラクターの発言は見えなくなります。,93,13,6,65,10
97,ワードフィルター管理,登録したワードフィルターの一覧です。ここから新規登録や編集・削除を行います。,94,14,6,66,11
98,ストラテジーボード,コンテンツ攻略に役立つ作戦盤「ストラテジーボード」の作成・閲覧ができます。,95,5,5,79,4
99,,,0,0,0,0,0
