#,GatheringPoint[0],GatheringPoint[1],GatheringPoint[2],GatheringPoint[3],GatheringPoint[4],GatheringPoint[5],GatheringPoint[6],GatheringPoint[7],GatheringPoint[8],GatheringPoint[9],GatheringPoint[10],GatheringPoint[11],PopRange[0],PopRange[1],PopRange[2],PopRange[3],PopRange[4],PopRange[5],PopRange[6],PopRange[7],PopRange[8],PopRange[9],PopRange[10],PopRange[11]
17,30162,30164,30165,30166,30168,30169,30170,30171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,30172,30173,30174,30175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,30176,30177,30178,30179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,30180,30181,30183,30184,30185,30186,30188,30189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,30181,30182,30183,30184,30185,30186,30187,30188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,30180,30181,30182,30183,30185,30187,30188,30189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,30180,30182,30183,30184,30186,30187,30188,30189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,30190,30191,30193,30194,30195,30196,30198,30199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,30191,30192,30193,30194,30195,30196,30197,30198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,30190,30191,30192,30193,30195,30197,30198,30199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,30190,30192,30193,30194,30196,30197,30198,30199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30200,30201,30202,30203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30204,30205,30207,30208,30209,30210,30212,30213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30205,30206,30207,30208,30209,30210,30211,30212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,30204,30205,30206,30207,30209,30211,30212,30213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,30204,30206,30207,30208,30210,30211,30212,30213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,30214,30215,30217,30218,30219,30220,30222,30223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,30215,30216,30217,30218,30219,30220,30221,30222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,30214,30215,30216,30217,30219,30221,30222,30223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,30214,30216,30217,30218,30220,30221,30222,30223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,30224,30225,30227,30228,30229,30230,30232,30233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,30225,30226,30227,30228,30229,30230,30231,30232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,30224,30225,30226,30227,30229,30231,30232,30233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,30224,30226,30227,30228,30230,30231,30232,30233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,30234,30235,30236,30237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,30238,30239,30241,30243,0,0,0,0,0,0,0,0,3891987,0,3891990,3891992,0,0,0,0,0,0,0,0
43,30239,30240,30241,30242,0,0,0,0,0,0,0,0,3891987,0,3891990,3891992,0,0,0,0,0,0,0,0
44,30238,30239,30242,30243,0,0,0,0,0,0,0,0,3891987,0,3891990,3891992,0,0,0,0,0,0,0,0
45,30238,30239,30240,30241,0,0,0,0,0,0,0,0,3891987,0,3891990,3891992,0,0,0,0,0,0,0,0
46,30120,30121,30123,30124,30125,30126,30128,30129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,30121,30122,30123,30124,30125,30126,30127,30128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,30120,30121,30122,30123,30125,30127,30128,30129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,30120,30122,30123,30124,30126,30127,30128,30129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,30130,30131,30132,30133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,30134,30135,30136,30137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,30138,30139,30140,30142,0,0,0,0,0,0,0,0,3892865,3892879,3892881,0,0,0,0,0,0,0,0,0
53,30138,30139,30141,30143,0,0,0,0,0,0,0,0,3892865,3892879,3892881,0,0,0,0,0,0,0,0,0
54,30138,30140,30141,30143,0,0,0,0,0,0,0,0,3892865,3892879,3892881,0,0,0,0,0,0,0,0,0
55,30139,30140,30141,30143,0,0,0,0,0,0,0,0,3892865,3892879,3892881,0,0,0,0,0,0,0,0,0
56,30246,30247,30249,30250,30251,30252,30254,30255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,30247,30248,30249,30250,30251,30252,30253,30254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,30246,30247,30248,30249,30251,30253,30254,30255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,30246,30248,30249,30250,30252,30253,30254,30255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,30256,30257,30258,30259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,30260,30261,30262,30263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,30264,30265,30267,30268,30269,30270,30272,30273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,30265,30266,30267,30268,30269,30270,30271,30272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,30264,30265,30266,30267,30269,30271,30272,30273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,30264,30266,30267,30268,30270,30271,30272,30273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,30274,30275,30277,30278,30279,30280,30282,30283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,30275,30276,30277,30278,30279,30280,30281,30282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,30274,30275,30276,30277,30279,30281,30282,30283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,30274,30276,30277,30278,30280,30281,30282,30283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,30284,30285,30286,30287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,30288,30289,30290,30291,30292,30293,30294,30295,30296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,30298,30299,30301,30302,30303,30304,30306,30307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,30299,30300,30301,30302,30303,30304,30305,30306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,30298,30299,30300,30301,30303,30305,30306,30307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,30298,30300,30301,30302,30304,30305,30306,30307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,30560,30561,30563,30564,30565,30566,30568,30569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,30561,30562,30563,30564,30565,30566,30567,30568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,30560,30561,30562,30563,30565,30567,30568,30569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,30560,30562,30563,30564,30566,30567,30568,30569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,30570,30571,30572,30573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,30574,30575,30577,30578,30579,30580,30582,30583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,30575,30576,30577,30578,30579,30580,30581,30582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,30574,30575,30576,30577,30579,30581,30582,30583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,30574,30576,30577,30578,30580,30581,30582,30583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,30584,30585,30587,30588,30589,30590,30592,30593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,30585,30586,30587,30588,30589,30590,30591,30592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,30584,30585,30586,30587,30589,30591,30592,30593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,30584,30586,30587,30588,30590,30591,30592,30593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,30594,30595,30597,30598,30599,30600,30602,30603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,30595,30596,30597,30598,30599,30600,30601,30602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,30594,30595,30596,30597,30599,30601,30602,30603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,30594,30596,30597,30598,30600,30601,30602,30603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,30604,30605,30606,30607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,30608,30609,30611,30612,30613,30614,30616,30617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,30609,30610,30611,30612,30613,30614,30615,30616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,30608,30609,30610,30611,30613,30615,30616,30617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,30608,30610,30611,30612,30614,30615,30616,30617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,30618,30619,30620,30622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,30618,30619,30621,30623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,30618,30620,30621,30623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,30619,30620,30621,30623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,30624,30625,30627,30628,30629,30630,30632,30633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,30625,30626,30627,30628,30629,30630,30631,30632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,30624,30625,30626,30627,30629,30631,30632,30633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,30624,30626,30627,30628,30630,30631,30632,30633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,30634,30635,30636,30637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,30638,30639,30641,30642,30643,30644,30646,30647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,30639,30640,30641,30642,30643,30644,30645,30646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,30638,30639,30640,30641,30643,30645,30646,30647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,30638,30640,30641,30642,30644,30645,30646,30647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,30648,30649,30650,30652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,30648,30649,30651,30653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,30648,30650,30651,30653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,30649,30650,30651,30653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,30654,30655,30657,30658,30659,30660,30662,30663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,30655,30656,30657,30658,30659,30660,30661,30662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,30654,30655,30656,30657,30659,30661,30662,30663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,30654,30656,30657,30658,30660,30661,30662,30663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,30664,30665,30666,30667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,30668,30669,30671,30672,30673,30674,30676,30677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,30669,30670,30671,30672,30673,30674,30675,30676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,30668,30669,30670,30671,30673,30675,30676,30677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,30668,30670,30671,30672,30674,30675,30676,30677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,30678,30679,30680,30682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,30678,30679,30681,30683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,30678,30680,30681,30683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,30679,30680,30681,30683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,30684,30685,30687,30688,30689,30690,30692,30693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,30685,30686,30687,30688,30689,30690,30691,30692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,30684,30685,30686,30687,30689,30691,30692,30693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,30684,30686,30687,30688,30690,30691,30692,30693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,30694,30695,30697,30698,30699,30700,30702,30703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,30695,30696,30697,30698,30699,30700,30701,30702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,30694,30695,30696,30697,30699,30701,30702,30703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,30694,30696,30697,30698,30700,30701,30702,30703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,30704,30705,30706,30707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,30708,30709,30710,30711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,30712,30713,30715,30716,30717,30718,30720,30721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,30713,30714,30715,30716,30717,30718,30719,30720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,30712,30713,30714,30715,30717,30719,30720,30721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,30712,30714,30715,30716,30718,30719,30720,30721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,30722,30723,30725,30726,30727,30728,30730,30731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,30723,30724,30725,30726,30727,30728,30729,30730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,30722,30723,30724,30725,30727,30729,30730,30731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,30722,30724,30725,30726,30728,30729,30730,30731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,30732,30733,30734,30735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,30736,30737,30739,30740,30741,30742,30744,30745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,30737,30738,30739,30740,30741,30742,30743,30744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,30736,30737,30738,30739,30741,30743,30744,30745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,30736,30738,30739,30740,30742,30743,30744,30745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,30746,30747,30749,30750,30751,30752,30754,30755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,30747,30748,30749,30750,30751,30752,30753,30754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,30746,30747,30748,30749,30751,30753,30754,30755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,30746,30748,30749,30750,30752,30753,30754,30755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,30756,30757,30759,30760,30761,30762,30764,30765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,30757,30758,30759,30760,30761,30762,30763,30764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,30756,30757,30758,30759,30761,30763,30764,30765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,30756,30758,30759,30760,30762,30763,30764,30765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,30766,30767,30768,30769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,30770,30771,30772,30774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,30770,30771,30773,30775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,30770,30772,30773,30775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,30771,30772,30773,30775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,30778,30779,30781,30782,30783,30784,30786,30787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,30779,30780,30781,30782,30783,30784,30785,30786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,30778,30779,30780,30781,30783,30785,30786,30787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,30778,30780,30781,30782,30784,30785,30786,30787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,30788,30789,30790,30791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,30792,30793,30794,30795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,30796,30797,30798,30800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,30796,30797,30799,30801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,30796,30798,30799,30801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,30797,30798,30799,30801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,30802,30803,30805,30806,30807,30808,30810,30811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,30803,30804,30805,30806,30807,30808,30809,30810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,30802,30803,30804,30805,30807,30809,30810,30811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,30802,30804,30805,30806,30808,30809,30810,30811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,30812,30813,30814,30815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,30816,30817,30818,30819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,30820,30821,30823,30824,30825,30826,30828,30829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,30821,30822,30823,30824,30825,30826,30827,30828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,30820,30821,30822,30823,30825,30827,30828,30829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,30820,30822,30823,30824,30826,30827,30828,30829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,30830,30831,30833,30834,30835,30836,30838,30839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,30831,30832,30833,30834,30835,30836,30837,30838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,30830,30831,30832,30833,30835,30837,30838,30839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,30830,30832,30833,30834,30836,30837,30838,30839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,30840,30841,30842,30843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,30844,30845,30847,30848,30849,30850,30852,30853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,30845,30846,30847,30848,30849,30850,30851,30852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,30844,30845,30846,30847,30849,30851,30852,30853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,30844,30846,30847,30848,30850,30851,30852,30853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,30854,30855,30857,30858,30859,30860,30862,30863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,30855,30856,30857,30858,30859,30860,30861,30862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,30854,30855,30856,30857,30859,30861,30862,30863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,30854,30856,30857,30858,30860,30861,30862,30863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,30864,30865,30867,30868,30869,30870,30872,30873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,30865,30866,30867,30868,30869,30870,30871,30872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,30864,30865,30866,30867,30869,30871,30872,30873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,30864,30866,30867,30868,30870,30871,30872,30873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,30874,30875,30876,30877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,30878,30879,30881,30882,30883,30884,30886,30887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,30879,30880,30881,30882,30883,30884,30885,30886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,30878,30879,30880,30881,30883,30885,30886,30887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,30878,30880,30881,30882,30884,30885,30886,30887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,30888,30889,30891,30892,30893,30894,30896,30897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,30889,30890,30891,30892,30893,30894,30895,30896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,30888,30889,30890,30891,30893,30895,30896,30897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,30888,30890,30891,30892,30894,30895,30896,30897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,30898,30899,30901,30902,30903,30904,30906,30907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,30899,30900,30901,30902,30903,30904,30905,30906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,30898,30899,30900,30901,30903,30905,30906,30907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,30898,30900,30901,30902,30904,30905,30906,30907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,30908,30909,30910,30911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,30912,30913,30915,30916,30917,30918,30920,30921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,30913,30914,30915,30916,30917,30918,30919,30920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,30912,30913,30914,30915,30917,30919,30920,30921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,30912,30914,30915,30916,30918,30919,30920,30921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,30922,30923,30924,30926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,30922,30923,30925,30927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,30922,30924,30925,30927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,30923,30924,30925,30927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,30928,30929,30931,30932,30933,30934,30936,30937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,30929,30930,30931,30932,30933,30934,30935,30936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,30928,30929,30930,30931,30933,30935,30936,30937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,30928,30930,30931,30932,30934,30935,30936,30937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,30938,30939,30940,30941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,30942,30943,30945,30946,30947,30948,30950,30951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,30943,30944,30945,30946,30947,30948,30949,30950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,30942,30943,30944,30945,30947,30949,30950,30951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,30942,30944,30945,30946,30948,30949,30950,30951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,30952,30953,30954,30956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,30952,30953,30955,30957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,30952,30954,30955,30957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,30953,30954,30955,30957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
