#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
8.8,44,88,107,124,147
8.9,47,93,109,127,154
8.10,49,98,112,131,162
8.11,51,103,115,134,170
8.12,54,108,117,137,178
8.13,56,112,120,140,187
8.14,59,117,123,143,194
8.15,61,122,126,147,198
8.16,63,127,128,150,203
8.17,66,131,131,153,210
8.18,68,136,134,156,219
8.19,71,141,137,159,230
8.20,73,146,139,163,237
8.21,75,151,142,166,246
8.22,78,155,145,169,257
8.23,80,160,148,172,271
8.24,83,165,150,175,288
9.0,25,50,99,85,100
9.1,27,55,102,87,105
9.2,30,60,105,90,110
9.3,32,64,108,93,115
9.4,35,69,111,96,121
9.5,37,74,115,98,127
9.6,39,79,118,101,133
9.7,42,84,121,104,140
9.8,44,88,124,107,147
9.9,47,93,127,109,154
9.10,49,98,131,112,162
9.11,51,103,134,115,170
9.12,54,108,137,117,178
9.13,56,112,140,120,187
9.14,59,117,143,123,194
9.15,61,122,147,126,198
9.16,63,127,150,128,203
9.17,66,131,153,131,210
9.18,68,136,156,134,219
9.19,71,141,159,137,230
9.20,73,146,163,139,237
9.21,75,151,166,142,246
9.22,78,155,169,145,257
9.23,80,160,172,148,271
9.24,83,165,175,150,288
10.0,40,80,78,91,100
10.1,43,85,81,94,105
10.2,45,90,83,97,110
10.3,48,95,86,100,115
10.4,50,100,88,103,121
10.5,53,105,91,106,127
10.6,55,110,93,109,133
10.7,58,115,96,112,140
10.8,60,120,98,115,147
10.9,63,125,101,118,154
10.10,65,130,103,121,162
10.11,68,135,106,124,170
10.12,70,140,108,127,178
10.13,73,145,111,129,187
10.14,75,150,113,132,194
10.15,78,155,116,135,198
10.16,80,160,119,138,203
10.17,83,165,121,141,210
10.18,85,170,124,144,219
10.19,88,175,126,147,230
10.20,90,180,129,150,237
10.21,93,185,131,153,246
10.22,95,190,134,156,257
10.23,98,195,136,159,271
10.24,100,200,139,162,288
11.0,36,76,74,87,95
11.1,38,81,76,90,100
11.2,41,86,79,93,105
11.3,43,90,81,95,109
11.4,45,95,83,98,115
11.5,47,100,86,101,121
11.6,50,105,88,104,126
11.7,52,109,91,107,133
11.8,54,114,93,109,140
11.9,56,119,95,112,146
11.10,59,124,98,115,154
11.11,61,128,100,118,162
11.12,63,133,102,121,169
11.13,65,138,105,123,178
11.14,68,143,107,126,184
11.15,70,147,110,129,188
11.16,72,152,112,132,193
11.17,74,157,114,134,200
11.18,77,162,117,137,208
11.19,79,166,119,140,219
11.20,81,171,121,143,225
11.21,83,176,124,146,234
11.22,86,181,126,148,244
11.23,88,185,129,151,257
11.24,90,190,131,154,274
12.0,40,80,91,78,100
12.1,43,85,94,81,105
12.2,45,90,97,83,110
12.3,48,95,100,86,115
12.4,50,100,103,88,121
12.5,53,105,106,91,127
12.6,55,110,109,93,133
12.7,58,115,112,96,140
12.8,60,120,115,98,147
12.9,63,125,118,101,154
12.10,65,130,121,103,162
12.11,68,135,124,106,170
12.12,70,140,127,108,178
12.13,73,145,129,111,187
12.14,75,150,132,113,194
12.15,78,155,135,116,198
12.16,80,160,138,119,203
12.17,83,165,141,121,210
12.18,85,170,144,124,219
12.19,88,175,147,126,230
12.20,90,180,150,129,237
12.21,93,185,153,131,246
12.22,95,190,156,134,257
12.23,98,195,159,136,271
12.24,100,200,162,139,288
13.0,80,80,91,78,100
13.1,85,85,94,81,105
13.2,90,90,97,83,110
13.3,95,95,100,86,115
13.4,100,100,103,88,121
13.5,105,105,106,91,127
13.6,110,110,109,93,133
13.7,115,115,112,96,140
13.8,120,120,115,98,147
13.9,125,125,118,101,154
13.10,130,130,121,103,162
13.11,135,135,124,106,170
13.12,140,140,127,108,178
13.13,145,145,129,111,187
13.14,150,150,132,113,194
13.15,155,155,135,116,198
13.16,160,160,138,119,203
13.17,165,165,141,121,210
13.18,170,170,144,124,219
13.19,175,175,147,126,230
13.20,180,180,150,129,237
13.21,185,185,153,131,246
13.22,190,190,156,134,257
13.23,195,195,159,136,271
13.24,200,200,162,139,288
14.0,29,95,80,80,100
14.1,30,100,82,82,105
14.2,32,106,85,85,110
14.3,33,111,87,87,115
14.4,35,117,90,90,121
14.5,37,122,93,93,127
14.6,38,128,95,95,133
14.7,40,133,98,98,140
14.8,42,138,100,100,147
14.9,43,144,103,103,154
14.10,45,149,106,106,162
14.11,46,155,108,108,170
14.12,48,160,111,111,178
14.13,50,165,113,113,187
14.14,51,171,116,116,194
14.15,53,176,119,119,198
14.16,55,182,121,121,203
14.17,56,187,124,124,210
14.18,58,193,126,126,219
14.19,59,198,129,129,230
14.20,61,203,132,132,237
14.21,63,209,134,134,246
14.22,64,214,137,137,257
14.23,66,220,139,139,271
14.24,68,225,142,142,288
15.0,109,67,80,80,100
15.1,115,71,82,82,105
15.2,122,75,85,85,110
15.3,128,79,87,87,115
15.4,134,83,90,90,121
15.5,140,87,93,93,127
15.6,147,91,95,95,133
15.7,153,94,98,98,140
15.8,159,98,100,100,147
15.9,165,102,103,103,154
15.10,172,106,106,106,162
15.11,178,110,108,108,170
15.12,184,114,111,111,178
15.13,190,117,113,113,187
15.14,196,121,116,116,194
15.15,203,125,119,119,198
15.16,209,129,121,121,203
15.17,215,133,124,124,210
15.18,221,137,126,126,219
15.19,228,141,129,129,230
15.20,234,144,132,132,237
15.21,240,148,134,134,246
15.22,246,152,137,137,257
15.23,253,156,139,139,271
15.24,259,160,142,142,288
16.0,33,110,66,66,113
16.1,35,116,69,69,119
16.2,37,122,71,71,125
16.3,38,128,74,74,130
16.4,40,134,76,76,137
16.5,42,140,79,79,144
16.6,44,146,82,82,151
16.7,46,152,84,84,159
16.8,48,158,87,87,167
16.9,49,164,89,89,175
16.10,51,170,92,92,184
16.11,53,176,94,94,193
16.12,55,183,97,97,202
16.13,57,189,100,100,212
16.14,58,195,102,102,220
16.15,60,201,105,105,224
16.16,62,207,107,107,230
16.17,64,213,110,110,238
16.18,66,219,113,113,248
16.19,67,225,115,115,261
16.20,69,231,118,118,269
16.21,71,237,120,120,279
16.22,73,243,123,123,291
16.23,75,249,125,125,307
16.24,77,255,128,128,326
17.0,28,105,63,63,107
17.1,29,110,65,65,113
17.2,31,116,68,68,119
17.3,32,122,70,70,124
17.4,34,127,73,73,130
17.5,35,133,75,75,137
17.6,37,139,77,77,143
17.7,38,145,80,80,151
17.8,40,150,82,82,159
17.9,41,156,85,85,166
17.10,43,162,87,87,175
17.11,44,168,90,90,183
17.12,46,173,92,92,192
17.13,47,179,95,95,201
17.14,49,185,97,97,209
17.15,50,191,100,100,213
17.16,52,196,102,102,219
17.17,53,202,104,104,226
17.18,55,208,107,107,236
17.19,56,214,109,109,248
17.20,58,219,112,112,256
17.21,59,225,114,114,265
17.22,61,231,117,117,276
17.23,62,237,119,119,292
17.24,64,242,122,122,310
18.0,127,78,66,66,113
18.1,133,82,69,69,119
18.2,140,87,71,71,125
18.3,147,91,74,74,130
18.4,154,95,76,76,137
18.5,161,100,79,79,144
18.6,168,104,82,82,151
18.7,175,108,84,84,159
18.8,182,112,87,87,167
18.9,189,117,89,89,175
18.10,196,121,92,92,184
18.11,203,125,94,94,193
18.12,210,130,97,97,202
18.13,217,134,100,100,212
18.14,224,138,102,102,220
18.15,231,142,105,105,224
18.16,238,147,107,107,230
18.17,245,151,110,110,238
18.18,252,155,113,113,248
18.19,259,160,115,115,261
18.20,265,164,118,118,269
18.21,272,168,120,120,279
18.22,279,172,123,123,291
18.23,286,177,125,125,307
18.24,293,181,128,128,326
19.0,50,50,78,91,113
19.1,55,55,81,94,119
19.2,60,60,83,97,125
19.3,64,64,86,100,130
19.4,69,69,88,103,137
19.5,74,74,91,106,144
19.6,79,79,93,109,151
19.7,84,84,96,112,159
19.8,88,88,98,115,167
19.9,93,93,101,118,175
19.10,98,98,103,121,184
19.11,103,103,106,124,193
19.12,108,108,108,127,202
19.13,112,112,111,129,212
19.14,117,117,113,132,220
19.15,122,122,116,135,224
19.16,127,127,119,138,230
19.17,131,131,121,141,238
19.18,136,136,124,144,248
19.19,141,141,126,147,261
19.20,146,146,129,150,269
19.21,151,151,131,153,279
19.22,155,155,134,156,291
19.23,160,160,136,159,307
19.24,165,165,139,162,326
20.0,25,50,78,91,113
20.1,27,55,81,94,119
20.2,30,60,83,97,125
20.3,32,64,86,100,130
20.4,35,69,88,103,137
20.5,37,74,91,106,144
20.6,39,79,93,109,151
20.7,42,84,96,112,159
20.8,44,88,98,115,167
20.9,47,93,101,118,175
20.10,49,98,103,121,184
20.11,51,103,106,124,193
20.12,54,108,108,127,202
20.13,56,112,111,129,212
20.14,59,117,113,132,220
20.15,61,122,116,135,224
20.16,63,127,119,138,230
20.17,66,131,121,141,238
20.18,68,136,124,144,248
20.19,71,141,126,147,261
20.20,73,146,129,150,269
20.21,75,151,131,153,279
20.22,78,155,134,156,291
20.23,80,160,136,159,307
20.24,83,165,139,162,326
21.0,50,50,91,78,113
21.1,55,55,94,81,119
21.2,60,60,97,83,125
21.3,64,64,100,86,130
21.4,69,69,103,88,137
21.5,74,74,106,91,144
21.6,79,79,109,93,151
21.7,84,84,112,96,159
21.8,88,88,115,98,167
21.9,93,93,118,101,175
21.10,98,98,121,103,184
21.11,103,103,124,106,193
21.12,108,108,127,108,202
21.13,112,112,129,111,212
21.14,117,117,132,113,220
21.15,122,122,135,116,224
21.16,127,127,138,119,230
21.17,131,131,141,121,238
21.18,136,136,144,124,248
21.19,141,141,147,126,261
21.20,146,146,150,129,269
21.21,151,151,153,131,279
21.22,155,155,156,134,291
21.23,160,160,159,136,307
21.24,165,165,162,139,326
22.0,80,80,72,84,113
22.1,85,85,74,86,119
22.2,90,90,77,89,125
22.3,95,95,78,91,130
22.4,100,100,81,95,137
22.5,105,105,84,98,144
22.6,110,110,86,100,151
22.7,115,115,88,103,159
22.8,120,120,90,105,167
22.9,125,125,93,108,175
22.10,130,130,95,111,184
22.11,135,135,97,113,193
22.12,140,140,100,117,202
22.13,145,145,102,119,212
22.14,150,150,104,122,220
22.15,155,155,107,125,224
22.16,160,160,109,127,230
22.17,165,165,112,130,238
22.18,170,170,113,132,248
22.19,175,175,116,135,261
22.20,180,180,119,139,269
22.21,185,185,121,141,279
22.22,190,190,123,144,291
22.23,195,195,125,146,307
22.24,200,200,128,149,326
23.0,40,80,72,84,113
23.1,43,85,74,86,119
23.2,45,90,77,89,125
23.3,48,95,78,91,130
23.4,50,100,81,95,137
23.5,53,105,84,98,144
23.6,55,110,86,100,151
23.7,58,115,88,103,159
23.8,60,120,90,105,167
23.9,63,125,93,108,175
23.10,65,130,95,111,184
23.11,68,135,97,113,193
23.12,70,140,100,117,202
23.13,73,145,102,119,212
23.14,75,150,104,122,220
23.15,78,155,107,125,224
23.16,80,160,109,127,230
23.17,83,165,112,130,238
23.18,85,170,113,132,248
23.19,88,175,116,135,261
23.20,90,180,119,139,269
23.21,93,185,121,141,279
23.22,95,190,123,144,291
23.23,98,195,125,146,307
23.24,100,200,128,149,326
24.0,80,80,84,72,113
24.1,85,85,86,74,119
24.2,90,90,89,77,125
24.3,95,95,91,78,130
24.4,100,100,95,81,137
24.5,105,105,98,84,144
24.6,110,110,100,86,151
24.7,115,115,103,88,159
24.8,120,120,105,90,167
24.9,125,125,108,93,175
24.10,130,130,111,95,184
24.11,135,135,113,97,193
24.12,140,140,117,100,202
24.13,145,145,119,102,212
24.14,150,150,122,104,220
24.15,155,155,125,107,224
24.16,160,160,127,109,230
24.17,165,165,130,112,238
24.18,170,170,132,113,248
24.19,175,175,135,116,261
24.20,180,180,139,119,269
24.21,185,185,141,121,279
24.22,190,190,144,123,291
24.23,195,195,146,125,307
24.24,200,200,149,128,326
25.0,40,80,84,72,113
25.1,43,85,86,74,119
25.2,45,90,89,77,125
25.3,48,95,91,78,130
25.4,50,100,95,81,137
25.5,53,105,98,84,144
25.6,55,110,100,86,151
25.7,58,115,103,88,159
25.8,60,120,105,90,167
25.9,63,125,108,93,175
25.10,65,130,111,95,184
25.11,68,135,113,97,193
25.12,70,140,117,100,202
25.13,73,145,119,102,212
25.14,75,150,122,104,220
25.15,78,155,125,107,224
25.16,80,160,127,109,230
25.17,83,165,130,112,238
25.18,85,170,132,113,248
25.19,88,175,135,116,261
25.20,90,180,139,119,269
25.21,93,185,141,121,279
25.22,95,190,144,123,291
25.23,98,195,146,125,307
25.24,100,200,149,128,326
26.0,29,95,73,73,113
26.1,30,100,76,76,119
26.2,32,106,78,78,125
26.3,33,111,81,81,130
26.4,35,117,83,83,137
26.5,37,122,86,86,144
26.6,38,128,89,89,151
26.7,40,133,91,91,159
26.8,42,138,94,94,167
26.9,43,144,96,96,175
26.10,45,149,99,99,184
26.11,46,155,101,101,193
26.12,48,160,104,104,202
26.13,50,165,107,107,212
26.14,51,171,109,109,220
26.15,53,176,112,112,224
26.16,55,182,114,114,230
26.17,56,187,117,117,238
26.18,58,193,120,120,248
26.19,59,198,122,122,261
26.20,61,203,125,125,269
26.21,63,209,127,127,279
26.22,64,214,130,130,291
26.23,66,220,132,132,307
26.24,68,225,135,135,326
27.0,109,67,73,73,113
27.1,115,71,76,76,119
27.2,122,75,78,78,125
27.3,128,79,81,81,130
27.4,134,83,83,83,137
27.5,140,87,86,86,144
27.6,147,91,89,89,151
27.7,153,94,91,91,159
27.8,159,98,94,94,167
27.9,165,102,96,96,175
27.10,172,106,99,99,184
27.11,178,110,101,101,193
27.12,184,114,104,104,202
27.13,190,117,107,107,212
27.14,196,121,109,109,220
27.15,203,125,112,112,224
27.16,209,129,114,114,230
27.17,215,133,117,117,238
27.18,221,137,120,120,248
27.19,228,141,122,122,261
27.20,234,144,125,125,269
27.21,240,148,127,127,279
27.22,246,152,130,130,291
27.23,253,156,132,132,307
27.24,259,160,135,135,326
28.0,20,65,73,73,128
28.1,21,70,76,76,134
28.2,22,75,78,78,141
28.3,24,79,81,81,147
28.4,25,84,83,83,155
28.5,27,89,86,86,162
28.6,28,94,89,89,170
28.7,30,99,91,91,179
28.8,31,103,94,94,188
28.9,32,108,96,96,197
28.10,34,113,99,99,207
28.11,35,118,101,101,217
28.12,37,123,104,104,227
28.13,38,127,107,107,239
28.14,40,132,109,109,248
28.15,41,137,112,112,253
28.16,43,142,114,114,259
28.17,44,146,117,117,268
28.18,45,151,120,120,280
28.19,47,156,122,122,294
28.20,48,161,125,125,303
28.21,50,166,127,127,314
28.22,51,170,130,130,328
28.23,53,175,132,132,346
28.24,54,180,135,135,368
29.0,16,62,69,69,122
29.1,17,66,72,72,127
29.2,19,71,74,74,134
29.3,20,75,77,77,140
29.4,21,80,79,79,147
29.5,22,85,82,82,154
29.6,23,89,84,84,162
29.7,25,94,87,87,170
29.8,26,98,89,89,179
29.9,27,103,91,91,187
29.10,28,107,94,94,197
29.11,29,112,96,96,206
29.12,31,116,99,99,216
29.13,32,121,101,101,227
29.14,33,125,104,104,236
29.15,34,130,106,106,240
29.16,35,135,109,109,246
29.17,37,139,111,111,255
29.18,38,144,114,114,266
29.19,39,148,116,116,279
29.20,40,153,118,118,288
29.21,41,157,121,121,298
29.22,43,162,123,123,312
29.23,44,166,126,126,329
29.24,45,171,128,128,350
30.0,75,46,73,73,128
30.1,80,50,76,76,134
30.2,86,53,78,78,141
30.3,91,56,81,81,147
30.4,97,60,83,83,155
30.5,102,63,86,86,162
30.6,108,67,89,89,170
30.7,113,70,91,91,179
30.8,119,73,94,94,188
30.9,124,77,96,96,197
30.10,130,80,99,99,207
30.11,135,84,101,101,217
30.12,141,87,104,104,227
30.13,146,90,107,107,239
30.14,152,94,109,109,248
30.15,157,97,112,112,253
30.16,163,101,114,114,259
30.17,168,104,117,117,268
30.18,174,107,120,120,280
30.19,179,111,122,122,294
30.20,185,114,125,125,303
30.21,190,118,127,127,314
30.22,196,121,130,130,328
30.23,201,124,132,132,346
30.24,207,128,135,135,368
31.0,29,95,87,87,92
31.1,30,100,90,90,97
31.2,32,106,93,93,101
31.3,33,111,95,95,106
31.4,35,117,98,98,112
31.5,37,122,101,101,117
31.6,38,128,104,104,123
31.7,40,133,107,107,129
31.8,42,138,109,109,136
31.9,43,144,112,112,142
31.10,45,149,115,115,149
31.11,46,155,118,118,157
31.12,48,160,121,121,164
31.13,50,165,123,123,172
31.14,51,171,126,126,179
31.15,53,176,129,129,183
31.16,55,182,132,132,187
31.17,56,187,134,134,194
31.18,58,193,137,137,202
31.19,59,198,140,140,212
31.20,61,203,143,143,219
31.21,63,209,146,146,227
31.22,64,214,148,148,237
31.23,66,220,151,151,250
31.24,68,225,154,154,266
32.0,109,67,87,87,92
32.1,115,71,90,90,97
32.2,122,75,93,93,101
32.3,128,79,95,95,106
32.4,134,83,98,98,112
32.5,140,87,101,101,117
32.6,147,91,104,104,123
32.7,153,94,107,107,129
32.8,159,98,109,109,136
32.9,165,102,112,112,142
32.10,172,106,115,115,149
32.11,178,110,118,118,157
32.12,184,114,121,121,164
32.13,190,117,123,123,172
32.14,196,121,126,126,179
32.15,203,125,129,129,183
32.16,209,129,132,132,187
32.17,215,133,134,134,194
32.18,221,137,137,137,202
32.19,228,141,140,140,212
32.20,234,144,143,143,219
32.21,240,148,146,146,227
32.22,246,152,148,148,237
32.23,253,156,151,151,250
32.24,259,160,154,154,266
33.0,95,95,78,91,92
33.1,100,100,81,94,97
33.2,106,106,83,97,101
33.3,111,111,86,100,106
33.4,117,117,88,103,112
33.5,122,122,91,106,117
33.6,128,128,93,109,123
33.7,133,133,96,112,129
33.8,138,138,98,115,136
33.9,144,144,101,118,142
33.10,149,149,103,121,149
33.11,155,155,106,124,157
33.12,160,160,108,127,164
33.13,165,165,111,129,172
33.14,171,171,113,132,179
33.15,176,176,116,135,183
33.16,182,182,119,138,187
33.17,187,187,121,141,194
33.18,193,193,124,144,202
33.19,198,198,126,147,212
33.20,203,203,129,150,219
33.21,209,209,131,153,227
33.22,214,214,134,156,237
33.23,220,220,136,159,250
33.24,225,225,139,162,266
34.0,95,95,91,78,92
34.1,100,100,94,81,97
34.2,106,106,97,83,101
34.3,111,111,100,86,106
34.4,117,117,103,88,112
34.5,122,122,106,91,117
34.6,128,128,109,93,123
34.7,133,133,112,96,129
34.8,138,138,115,98,136
34.9,144,144,118,101,142
34.10,149,149,121,103,149
34.11,155,155,124,106,157
34.12,160,160,127,108,164
34.13,165,165,129,111,172
34.14,171,171,132,113,179
34.15,176,176,135,116,183
34.16,182,182,138,119,187
34.17,187,187,141,121,194
34.18,193,193,144,124,202
34.19,198,198,147,126,212
34.20,203,203,150,129,219
34.21,209,209,153,131,227
34.22,214,214,156,134,237
34.23,220,220,159,136,250
34.24,225,225,162,139,266
35.0,33,110,87,87,84
35.1,35,116,90,90,89
35.2,37,122,93,93,93
35.3,38,128,95,95,97
35.4,40,134,98,98,102
35.5,42,140,101,101,107
35.6,44,146,104,104,112
35.7,46,152,107,107,118
35.8,48,158,109,109,124
35.9,49,164,112,112,130
35.10,51,170,115,115,137
35.11,53,176,118,118,144
35.12,55,183,121,121,150
35.13,57,189,123,123,158
35.14,58,195,126,126,164
35.15,60,201,129,129,167
35.16,62,207,132,132,171
35.17,64,213,134,134,177
35.18,66,219,137,137,185
35.19,67,225,140,140,194
35.20,69,231,143,143,200
35.21,71,237,146,146,208
35.22,73,243,148,148,217
35.23,75,249,151,151,229
35.24,77,255,154,154,243
36.0,127,78,87,87,84
36.1,133,82,90,90,89
36.2,140,87,93,93,93
36.3,147,91,95,95,97
36.4,154,95,98,98,102
36.5,161,100,101,101,107
36.6,168,104,104,104,112
36.7,175,108,107,107,118
36.8,182,112,109,109,124
36.9,189,117,112,112,130
36.10,196,121,115,115,137
36.11,203,125,118,118,144
36.12,210,130,121,121,150
36.13,217,134,123,123,158
36.14,224,138,126,126,164
36.15,231,142,129,129,167
36.16,238,147,132,132,171
36.17,245,151,134,134,177
36.18,252,155,137,137,185
36.19,259,160,140,140,194
36.20,265,164,143,143,200
36.21,272,168,146,146,208
36.22,279,172,148,148,217
36.23,286,177,151,151,229
36.24,293,181,154,154,243
37.0,110,33,87,87,84
37.1,116,35,90,90,89
37.2,122,37,93,93,93
37.3,128,38,95,95,97
37.4,134,40,98,98,102
37.5,140,42,101,101,107
37.6,146,44,104,104,112
37.7,152,46,107,107,118
37.8,158,48,109,109,124
37.9,164,49,112,112,130
37.10,170,51,115,115,137
37.11,176,53,118,118,144
37.12,183,55,121,121,150
37.13,189,57,123,123,158
37.14,195,58,126,126,164
37.15,201,60,129,129,167
37.16,207,62,132,132,171
37.17,213,64,134,134,177
37.18,219,66,137,137,185
37.19,225,67,140,140,194
37.20,231,69,143,143,200
37.21,237,71,146,146,208
37.22,243,73,148,148,217
37.23,249,75,151,151,229
37.24,255,77,154,154,243
38.0,110,110,78,91,84
38.1,116,116,81,94,89
38.2,122,122,83,97,93
38.3,128,128,86,100,97
38.4,134,134,88,103,102
38.5,140,140,91,106,107
38.6,146,146,93,109,112
38.7,152,152,96,112,118
38.8,158,158,98,115,124
38.9,164,164,101,118,130
38.10,170,170,103,121,137
38.11,176,176,106,124,144
38.12,183,183,108,127,150
38.13,189,189,111,129,158
38.14,195,195,113,132,164
38.15,201,201,116,135,167
38.16,207,207,119,138,171
38.17,213,213,121,141,177
38.18,219,219,124,144,185
38.19,225,225,126,147,194
38.20,231,231,129,150,200
38.21,237,237,131,153,208
38.22,243,243,134,156,217
38.23,249,249,136,159,229
38.24,255,255,139,162,243
39.0,110,110,91,78,84
39.1,116,116,94,81,89
39.2,122,122,97,83,93
39.3,128,128,100,86,97
39.4,134,134,103,88,102
39.5,140,140,106,91,107
39.6,146,146,109,93,112
39.7,152,152,112,96,118
39.8,158,158,115,98,124
39.9,164,164,118,101,130
39.10,170,170,121,103,137
39.11,176,176,124,106,144
39.12,183,183,127,108,150
39.13,189,189,129,111,158
39.14,195,195,132,113,164
39.15,201,201,135,116,167
39.16,207,207,138,119,171
39.17,213,213,141,121,177
39.18,219,219,144,124,185
39.19,225,225,147,126,194
39.20,231,231,150,129,200
39.21,237,237,153,131,208
