#,Name,ENPC,Unknown0,Unknown1
32,"「ニューネスト居住区」第一期整備計画の完了、ご苦労だった！
第二期の整備計画のために、窓口へ資材の納品を頼む！",1032493,3,10
33,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
34,"「ニューネスト居住区」第二期整備計画の完了、ご苦労だった！
第三期の整備計画のために、窓口へ資材の納品を頼む！",1032493,3,10
35,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
36,"「ニューネスト居住区」第三期整備計画の完了、ご苦労だった！
第四期の整備計画のために、窓口へ資材の納品を頼む！",1032493,3,10
37,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
38,"次で「ニューネスト居住区」第四期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
39,"「ニューネスト居住区」第四期整備計画の完了、ご苦労だった！
第五期の整備計画のために、窓口へ資材の納品を頼む！",1032493,3,10
40,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
41,"次で「ニューネスト居住区」第五期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
42,"「ニューネスト居住区」第五期整備計画の完了、ご苦労だった！
第六期の整備計画のために、窓口へ資材の納品を頼む！",1032493,3,10
43,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
44,"次で「ニューネスト居住区」第六期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
45,"「ニューネスト居住区」第六期整備計画の完了、ご苦労だった！
第七期の整備計画のために、窓口へ資材の納品を頼む！",1032493,3,10
46,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
47,"次で「ニューネスト居住区」第七期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
48,"「ニューネスト居住区」整備計画の全工程、これにて完了だ！
みんな、ご苦労だったなッ！！",1032493,8,10
49,,0,0,0
50,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
51,"「フェザーフォール商業区」第一期整備計画の完了、ご苦労だった！
第二期の整備計画のために納品を頼む！",1032493,3,10
52,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
53,"「フェザーフォール商業区」第二期整備計画の完了、ご苦労だった！
第三期の整備計画のために納品を頼む！",1032493,3,10
54,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
55,"「フェザーフォール商業区」第三期整備計画の完了、ご苦労だった！
第四期の整備計画のために納品を頼む！",1032493,3,10
56,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
57,"次で「フェザーフォール商業区」第四期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
58,"「フェザーフォール商業区」第四期整備計画の完了、ご苦労だった！
第五期の整備計画のために納品を頼む！",1032493,3,10
59,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
60,"次で「フェザーフォール商業区」第五期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
61,"「フェザーフォール商業区」第五期整備計画の完了、ご苦労だった！
第六期の整備計画のために納品を頼む！",1032493,3,10
62,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
63,"次で「フェザーフォール商業区」第六期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
64,"「フェザーフォール商業区」第六期整備計画の完了、ご苦労だった！
第七期の整備計画のために納品を頼む！",1032493,3,10
65,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
66,"次で「フェザーフォール商業区」第七期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
67,"「フェザーフォール商業区」整備計画の全工程、これにて完了だ！
次は「アバカス通り」の整備計画のために納品を頼む！",1032493,8,10
68,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
69,"「アバカス通り」第一期整備計画の完了、ご苦労だった！
第二期の整備計画のために納品を頼む！",1032493,3,10
70,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
71,"次で「アバカス通り」第二期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
72,"「アバカス通り」第二期整備計画の完了、ご苦労だった！
第三期の整備計画のために納品を頼む！",1032493,3,10
73,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
74,"「アバカス通り」整備計画の全工程、これにて完了だ！ご苦労だった！
次は「ホアフロスト官舎」の整備計画のために納品を頼む！",1032493,8,10
75,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
76,"「ホアフロスト官舎」整備計画第一段階の完了、ご苦労だった！
第二段階開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
77,"「ホアフロスト官舎」整備計画第二段階の完了、ご苦労だった！
第三段階開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
78,"次で「ホアフロスト官舎」整備計画を完了させる予定だ！
最終段階開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
79,"「ホアフロスト官舎」整備計画の全工程、これにて完了だ！
みんな、ご苦労だったなッ！！",1032493,8,10
80,,0,0,0
81,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
82,"「リズンソング文化区西」第一期整備計画の完了、ご苦労だった！
第二期の整備計画のために納品を頼む！",1032493,3,10
83,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
84,"次で「リズンソング文化区西」第二期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
85,"「リズンソング文化区西」第二期整備計画の完了、ご苦労だった！
第三期の整備計画のために納品を頼む！",1032493,3,10
86,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
87,"次で「リズンソング文化区西」第三期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
88,"「リズンソング文化区西」第三期整備計画の完了、ご苦労だった！
第四期の整備計画のために納品を頼む！",1032493,3,10
89,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
90,"次で「リズンソング文化区西」第四期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
91,"「リズンソング文化区西」第四期整備計画の完了、ご苦労だった！
第五期の整備計画のために納品を頼む！",1032493,3,10
92,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
93,"次で「リズンソング文化区西」第五期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
94,"「リズンソング文化区西」第五期整備計画の完了、ご苦労だった！
次は「詩伯門」の整備計画のために納品を頼む！",1032493,8,10
95,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
96,"次で「詩伯門」整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
97,"「詩伯門」整備計画の全工程、これにて完了だ！
次は「リズンソング文化区東」の第一期整備計画のために納品を頼む！",1032493,3,10
98,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
99,"「リズンソング文化区東」第一期整備計画の完了、ご苦労だった！
第二期の整備計画のために納品を頼む！",1032493,3,10
100,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
101,"次で「リズンソング文化区東」第二期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
102,"「リズンソング文化区東」第二期整備計画の完了、ご苦労だった！
第三期の整備計画のために納品を頼む！",1032493,3,10
103,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
104,"次で「リズンソング文化区東」第三期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
105,"「リズンソング文化区東」第三期整備計画の完了、ご苦労だった！
第四期の整備計画のために納品を頼む！",1032493,3,10
106,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
107,"次で「リズンソング文化区東」第四期整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
108,"「リズンソング文化区東」第四期整備計画の完了、ご苦労だった！
次は「スノーソーク浴場」の整備計画のために納品を頼む！",1032493,3,10
109,"充分な資材が集まったので、復興共同作業を行います。
復興事業掲示板で、作業開始時刻を確認してください。",0,0,10
110,"次で「スノーソーク浴場」整備計画を完了させる予定だ！
開始の時刻は、復興事業掲示板で確認してくれ！",1032493,3,10
111,"「スノーソーク浴場」整備計画、完了だ！
最後に名高き職人の記念碑を建造する。復興事業掲示板で確認してくれ！",1032493,8,10
112,"「蒼天街」復興計画の全工程、これにて完遂だ！
皆の職人魂、最高に熱かったぜッ！！",1032493,8,10
113,,0,0,0
114,,0,0,0
115,,0,0,0
116,,0,0,0
117,,0,0,0
118,,0,0,0
119,,0,0,0
120,,0,0,0
121,,0,0,0
122,,0,0,0
123,,0,0,0
124,,0,0,0
125,,0,0,0
