#,ConditionValue,Unknown0,Unknown1,BonusValue,Unknown2,Condition,BonusType,Unknown3
91,38724,0,0,0,0,20,3,True
92,42,0,0,10,0,14,4,False
93,42,0,0,10,0,14,4,False
94,54,0,0,10,0,14,4,False
95,69,0,0,10,0,14,4,False
96,69,0,0,10,0,14,4,False
97,69,0,0,10,0,14,4,False
98,69,0,0,10,0,14,4,False
99,69,0,0,10,0,14,4,False
100,112,0,0,10,0,14,4,False
101,112,0,0,10,0,14,4,False
102,112,0,0,10,0,14,4,False
103,112,0,0,10,0,14,4,False
104,138,0,0,10,0,14,4,False
105,138,0,0,10,0,14,4,False
106,138,0,0,10,0,14,4,False
107,38735,0,0,0,0,20,3,True
108,54,0,0,1,0,14,18,False
109,105,0,0,1,0,14,18,False
110,0,0,0,0,0,0,0,False
111,188,0,0,1,0,14,18,False
112,228,0,0,1,0,14,18,False
113,323,0,0,1,0,14,18,False
114,523,0,0,1,0,14,18,False
115,619,0,0,1,0,14,18,False
116,889,0,0,1,0,14,18,False
117,989,0,0,1,0,14,18,False
118,1546,0,0,1,0,14,18,False
119,0,0,0,0,0,0,0,False
120,0,0,0,0,0,0,0,False
121,486,0,0,1,0,19,18,False
122,0,0,0,0,0,0,0,False
123,542,0,0,1,0,19,18,False
124,571,0,0,1,0,19,18,False
125,589,0,0,1,0,19,18,False
126,597,0,0,1,0,19,18,False
127,652,0,0,1,0,19,18,False
128,668,0,0,1,0,19,18,False
129,694,0,0,1,0,19,18,False
130,25,0,0,1,0,15,14,False
131,88,0,0,1,0,15,14,False
132,150,0,0,1,0,15,14,False
133,182,0,0,1,0,15,14,False
134,226,0,0,1,0,15,14,False
135,321,0,548,1,2,15,17,False
136,499,0,960,1,2,15,17,False
137,611,0,961,1,3,15,17,False
138,874,0,1588,1,3,15,17,False
139,989,0,1688,1,3,15,17,False
140,1535,0,2024,1,3,15,17,False
141,3550,0,3800,30,50,15,23,False
142,910,0,0,1,0,19,18,False
143,4000,0,0,30,0,15,22,False
144,3900,0,4100,1,3,14,17,False
145,900,0,950,1,2,19,19,False
146,321,0,548,2,4,15,17,False
147,499,0,960,2,4,15,17,False
148,611,0,961,3,5,15,17,False
149,874,0,1588,3,5,15,17,False
150,989,0,1688,3,5,15,17,False
151,1535,0,2024,3,5,15,17,False
152,3650,0,3900,30,50,15,23,False
153,920,0,0,1,0,19,18,False
154,5254,0,0,40,0,15,22,False
155,5090,0,5548,1,3,14,17,False
156,930,0,960,1,2,19,19,False
157,321,0,548,4,6,15,17,False
158,499,0,960,4,6,15,17,False
159,611,0,961,5,7,15,17,False
160,874,0,1588,5,7,15,17,False
161,989,0,1688,5,9,15,17,False
162,1535,0,2024,5,9,15,17,False
163,836,0,0,5,0,19,18,False
164,2421,0,0,1,0,14,14,False
165,2421,0,0,2,0,14,14,False
166,2345,0,0,1,0,15,14,False
167,2345,0,0,2,0,15,14,False
168,54,0,0,1,0,14,14,False
169,25,0,0,1,0,15,14,False
170,400,0,0,1,0,19,14,False
171,54,0,0,1,0,14,14,False
172,2740,0,0,1,0,14,14,False
173,2740,0,0,2,0,14,14,False
174,25,0,0,1,0,15,14,False
175,2642,0,0,1,0,15,14,False
176,2642,0,0,2,0,15,14,False
177,400,0,0,1,0,19,14,False
178,858,0,0,5,0,19,18,False
179,30301,0,0,0,0,20,21,True
180,30302,0,0,0,0,20,21,True
181,740,0,770,1,2,19,19,False
182,2524,0,3028,1,3,14,17,False
183,0,0,0,0,0,0,0,False
184,54,0,0,1,0,14,14,False
185,2740,0,0,1,0,14,14,False
186,2740,0,0,2,0,14,14,False
187,25,0,0,1,0,15,14,False
188,2642,0,0,1,0,15,14,False
189,2642,0,0,2,0,15,14,False
190,400,0,0,1,0,19,14,False
191,858,0,0,5,0,19,18,False
192,1680,0,0,10,0,14,4,False
193,1960,0,0,10,0,14,4,False
194,2100,0,0,10,0,14,4,False
195,2198,0,0,10,0,14,4,False
196,2296,0,0,10,0,14,4,False
197,2142,0,0,1,0,14,14,False
198,2454,0,0,1,0,14,14,False
199,2499,0,0,1,0,14,14,False
200,2677,0,0,1,0,14,14,False
201,2740,0,0,1,0,14,14,False
202,2802,0,0,1,0,14,14,False
203,2865,0,0,1,0,14,14,False
204,3052,0,0,1,0,14,14,False
205,740,0,0,1,0,19,18,False
206,750,0,0,1,0,19,18,False
207,760,0,0,1,0,19,18,False
208,770,0,0,1,0,19,18,False
209,770,0,0,1,0,19,18,False
210,770,0,0,1,0,19,18,False
211,780,0,0,1,0,19,18,False
212,790,0,0,1,0,19,18,False
213,1680,0,2167,20,60,15,23,False
214,1925,0,2483,20,60,15,23,False
215,1960,0,2528,20,60,15,23,False
216,2100,0,2709,20,60,15,23,False
217,2149,0,2772,20,60,15,23,False
218,2198,0,2835,20,60,15,23,False
219,2247,0,2898,20,60,15,23,False
220,2394,0,3088,20,60,15,23,False
221,2040,0,2244,1,3,14,17,False
222,2338,0,2571,1,3,14,17,False
223,2380,0,2618,1,3,14,17,False
224,2550,0,2805,1,3,14,17,False
225,2610,0,2871,1,3,14,17,False
226,2669,0,2935,1,3,14,17,False
227,2729,0,3001,1,3,14,17,False
228,2907,0,3197,1,3,14,17,False
229,740,0,770,1,2,19,19,False
230,750,0,780,1,2,19,19,False
231,760,0,790,1,2,19,19,False
232,770,0,800,1,2,19,19,False
233,770,0,800,1,2,19,19,False
234,770,0,800,1,2,19,19,False
235,780,0,810,1,2,19,19,False
236,790,0,820,1,2,19,19,False
237,2140,0,0,100,0,15,22,False
238,2337,0,0,100,0,15,22,False
239,2380,0,0,100,0,15,22,False
240,2550,0,0,100,0,15,22,False
241,2609,0,0,100,0,15,22,False
242,2669,0,0,100,0,15,22,False
243,2728,0,0,100,0,15,22,False
244,2907,0,0,100,0,15,22,False
245,3401,0,0,40,0,15,22,False
246,3295,0,3591,1,3,14,17,False
247,830,0,880,1,2,19,19,False
248,750,0,780,1,2,19,19,False
249,760,0,790,1,2,19,19,False
250,780,0,810,1,2,19,19,False
251,780,0,810,1,2,19,19,False
252,830,0,860,1,2,19,19,False
253,3950,0,0,2,0,14,18,False
254,2719,0,0,10,0,14,4,False
255,3139,0,0,10,0,14,4,False
256,3223,0,0,10,0,14,4,False
257,3307,0,0,10,0,14,4,False
258,3391,0,0,10,0,14,4,False
259,165,0,0,10,0,14,4,False
260,165,0,0,10,0,14,4,False
261,165,0,0,10,0,14,4,False
262,187,0,0,10,0,14,4,False
263,187,0,0,10,0,14,4,False
264,187,0,0,10,0,14,4,False
265,204,0,0,10,0,14,4,False
266,204,0,0,10,0,14,4,False
267,204,0,0,10,0,14,4,False
268,221,0,0,10,0,14,4,False
269,221,0,0,10,0,14,4,False
270,221,0,0,10,0,14,4,False
271,42,0,0,10,0,14,4,False
272,42,0,0,10,0,14,4,False
273,54,0,0,10,0,14,4,False
274,69,0,0,10,0,14,4,False
275,69,0,0,10,0,14,4,False
276,69,0,0,10,0,14,4,False
277,69,0,0,10,0,14,4,False
278,69,0,0,10,0,14,4,False
279,90,0,0,10,0,14,4,False
280,90,0,0,10,0,14,4,False
281,90,0,0,10,0,14,4,False
282,90,0,0,10,0,14,4,False
283,112,0,0,10,0,14,4,False
284,112,0,0,10,0,14,4,False
285,112,0,0,10,0,14,4,False
286,112,0,0,10,0,14,4,False
287,138,0,0,10,0,14,4,False
288,138,0,0,10,0,14,4,False
289,138,0,0,10,0,14,4,False
290,165,0,0,10,0,14,4,False
291,165,0,0,10,0,14,4,False
292,165,0,0,10,0,14,4,False
293,187,0,0,10,0,14,4,False
294,187,0,0,10,0,14,4,False
295,187,0,0,10,0,14,4,False
296,204,0,0,10,0,14,4,False
297,204,0,0,10,0,14,4,False
298,204,0,0,10,0,14,4,False
299,221,0,0,10,0,14,4,False
300,221,0,0,10,0,14,4,False
301,221,0,0,10,0,14,4,False
302,2000,0,3000,1,10,14,26,False
303,2000,0,3000,1,10,14,27,False
304,2000,0,3000,1,10,14,28,False
305,2000,0,3000,1,10,14,29,False
306,4000,0,0,20,0,14,30,False
307,4000,0,0,20,0,14,31,False
308,4000,0,0,20,0,14,32,False
309,4000,0,0,20,0,14,33,False
310,3650,0,3900,30,50,15,23,False
311,920,0,0,1,0,19,18,False
312,3610,0,4035,50,150,14,26,False
313,3650,0,3900,30,50,15,23,False
314,920,0,0,1,0,19,18,False
315,3610,0,4035,50,150,14,26,False
316,3820,0,4035,50,100,15,29,False
317,4020,0,0,60,0,15,32,False
318,4020,0,4200,20,30,14,27,False
319,240,0,2400,30,40,15,23,False
320,235,0,2400,30,40,14,27,False
321,4300,0,0,70,0,14,30,False
322,5460,0,0,70,0,14,30,False
323,4300,0,4550,10,20,14,27,False
324,5460,0,5760,10,20,14,27,False
325,0,0,0,0,0,0,0,False
326,0,0,0,0,0,0,0,False
327,444,0,572,20,60,15,23,False
328,451,0,581,20,60,15,23,False
329,453,0,584,20,60,15,23,False
330,455,0,586,20,60,15,23,False
331,457,0,589,20,60,15,23,False
332,461,0,594,20,60,15,23,False
333,498,0,642,20,60,15,23,False
334,505,0,651,20,60,15,23,False
335,510,0,657,20,60,15,23,False
336,395,0,0,1,0,14,14,False
337,460,0,0,1,0,14,14,False
338,462,0,0,1,0,14,14,False
339,493,0,0,1,0,14,14,False
340,495,0,0,1,0,14,14,False
341,499,0,0,1,0,14,14,False
342,504,0,0,1,0,14,14,False
343,510,0,0,1,0,14,14,False
344,515,0,0,1,0,14,14,False
345,571,0,0,1,0,19,18,False
346,577,0,0,1,0,19,18,False
347,587,0,0,1,0,19,18,False
348,589,0,0,1,0,19,18,False
349,589,0,0,1,0,19,18,False
350,591,0,0,1,0,19,18,False
351,593,0,0,1,0,19,18,False
352,595,0,0,1,0,19,18,False
353,597,0,0,1,0,19,18,False
354,597,0,0,1,0,19,18,False
355,539,0,0,100,0,15,22,False
356,548,0,0,100,0,15,22,False
357,550,0,0,100,0,15,22,False
358,553,0,0,100,0,15,22,False
359,555,0,0,100,0,15,22,False
360,560,0,0,100,0,15,22,False
361,565,0,0,100,0,15,22,False
362,572,0,0,100,0,15,22,False
363,578,0,0,100,0,15,22,False
364,577,0,607,1,2,19,19,False
365,587,0,617,1,2,19,19,False
366,589,0,619,1,2,19,19,False
367,589,0,619,1,2,19,19,False
368,591,0,621,1,2,19,19,False
369,593,0,623,1,2,19,19,False
370,595,0,625,1,2,19,19,False
371,597,0,627,1,2,19,19,False
372,597,0,627,1,2,19,19,False
373,377,0,414,1,3,14,17,False
374,439,0,482,1,3,14,17,False
375,440,0,484,1,3,14,17,False
376,470,0,517,1,3,14,17,False
377,472,0,519,1,3,14,17,False
378,476,0,523,1,3,14,17,False
379,480,0,528,1,3,14,17,False
380,486,0,534,1,3,14,17,False
381,491,0,540,1,3,14,17,False
382,4550,0,0,70,0,14,30,False
383,4750,0,0,70,0,14,30,False
384,4550,0,0,70,0,14,30,False
385,4750,0,0,70,0,14,30,False
386,2500,0,0,140,0,14,30,False
387,2400,0,3700,30,40,14,27,False
388,4550,0,4750,10,20,14,27,False
389,4750,0,5445,10,20,14,27,False
390,395,0,454,1,3,14,17,False
391,400,0,460,1,3,14,17,False
392,495,0,569,1,3,14,17,False
393,499,0,573,1,3,14,17,False
394,515,0,592,1,3,14,17,False
395,240,0,2400,30,40,15,23,False
396,2400,0,3700,30,40,15,23,False
397,235,0,2400,30,40,14,27,False
398,577,0,607,1,2,19,19,False
399,583,0,613,1,2,19,19,False
400,591,0,621,1,2,19,19,False
401,593,0,623,1,2,19,19,False
402,597,0,627,1,2,19,19,False
403,5600,0,0,30,0,15,22,False
404,5400,0,5886,1,3,14,17,False
405,960,0,990,1,2,19,19,False
406,0,0,0,0,0,0,0,False
407,0,0,0,0,0,0,0,False
408,0,0,0,0,0,0,0,False
409,1840,0,2760,20,30,15,23,False
410,1840,0,2760,30,50,15,23,False
411,1856,0,2041,1,2,14,17,False
412,1856,0,2041,2,4,14,17,False
413,696,0,765,1,2,19,19,False
414,696,0,765,2,4,19,19,False
415,1898,0,2847,20,30,15,23,False
416,1898,0,2847,30,50,15,23,False
417,1929,0,2121,1,2,14,17,False
418,1929,0,2121,2,4,14,17,False
419,714,0,785,1,2,19,19,False
420,714,0,785,2,4,19,19,False
421,29642,0,0,0,0,20,3,True
422,29643,0,0,0,0,20,3,True
423,30290,0,0,0,0,20,3,True
424,30291,0,0,0,0,20,3,True
425,2139,0,3208,20,30,15,23,False
426,2139,0,3208,30,50,15,23,False
427,2162,0,2378,1,2,14,17,False
428,2162,0,2378,2,4,14,17,False
429,740,0,814,1,2,19,19,False
430,740,0,814,2,4,19,19,False
431,2156,0,3234,20,30,15,23,False
432,2156,0,3234,30,50,15,23,False
433,2192,0,2411,1,2,14,17,False
434,2192,0,2411,2,4,14,17,False
435,740,0,814,1,2,19,19,False
436,740,0,814,2,4,19,19,False
437,30301,0,0,0,0,20,3,True
438,30302,0,0,0,0,20,3,True
439,2336,0,3504,20,30,15,23,False
440,2336,0,3504,30,50,15,23,False
441,2348,0,2582,1,2,14,17,False
442,2348,0,2582,2,4,14,17,False
443,772,0,849,1,2,19,19,False
444,772,0,849,2,4,19,19,False
445,327,0,0,40,0,15,22,False
446,612,0,0,40,0,15,22,False
447,617,0,0,40,0,15,22,False
448,631,0,0,40,0,15,22,False
449,635,0,0,40,0,15,22,False
450,656,0,0,40,0,15,22,False
451,829,0,0,40,0,15,22,False
452,829,0,0,40,0,15,22,False
453,945,0,0,40,0,15,22,False
454,1003,0,0,40,0,15,22,False
455,1024,0,0,40,0,15,22,False
456,1067,0,0,40,0,15,22,False
457,1088,0,0,40,0,15,22,False
458,1109,0,0,40,0,15,22,False
459,1206,0,0,40,0,15,22,False
460,1399,0,0,40,0,15,22,False
461,1592,0,0,40,0,15,22,False
462,1688,0,0,40,0,15,22,False
463,1737,0,0,40,0,15,22,False
464,1828,0,0,40,0,15,22,False
465,1919,0,0,40,0,15,22,False
466,2010,0,0,40,0,15,22,False
467,2105,0,0,40,0,15,22,False
468,2316,0,0,40,0,15,22,False
469,2605,0,0,40,0,15,22,False
470,0,0,0,0,0,0,0,False
471,3145,0,3774,30,50,15,23,False
472,0,0,0,0,0,0,0,False
473,0,0,0,0,0,0,0,False
474,0,0,0,0,0,0,0,False
475,900,0,0,1,0,19,18,False
476,3949,0,0,1,0,14,14,False
477,4002,0,0,1,0,14,14,False
478,4056,0,0,1,0,14,14,False
479,4109,0,0,1,0,14,14,False
480,4163,0,0,1,0,14,14,False
481,4216,0,0,1,0,14,14,False
482,4270,0,0,1,0,14,14,False
483,4323,0,0,1,0,14,14,False
484,4431,0,0,1,0,14,14,False
485,810,0,0,1,0,19,18,False
486,820,0,0,1,0,19,18,False
487,820,0,0,1,0,19,18,False
488,820,0,0,1,0,19,18,False
489,820,0,0,1,0,19,18,False
490,830,0,0,1,0,19,18,False
491,830,0,0,1,0,19,18,False
492,830,0,0,1,0,19,18,False
493,840,0,0,1,0,19,18,False
494,221,0,0,10,0,14,4,False
495,448,0,0,10,0,14,4,False
496,453,0,0,10,0,14,4,False
497,457,0,0,10,0,14,4,False
498,498,0,0,10,0,14,4,False
499,3097,0,3995,20,60,15,23,False
500,3139,0,4049,20,60,15,23,False
501,3181,0,4103,20,60,15,23,False
502,3223,0,4157,20,60,15,23,False
503,3265,0,4211,20,60,15,23,False
504,3307,0,4266,20,60,15,23,False
505,3349,0,4320,20,60,15,23,False
506,3391,0,4374,20,60,15,23,False
507,3475,0,4482,20,60,15,23,False
508,3761,0,4137,1,3,14,17,False
509,3812,0,4193,1,3,14,17,False
510,3863,0,4249,1,3,14,17,False
511,3914,0,4305,1,3,14,17,False
512,3965,0,4361,1,3,14,17,False
513,4016,0,4417,1,3,14,17,False
514,4067,0,4473,1,3,14,17,False
515,4118,0,4529,1,3,14,17,False
516,4220,0,4642,1,3,14,17,False
517,810,0,840,1,2,19,19,False
518,820,0,850,1,2,19,19,False
519,820,0,850,1,2,19,19,False
520,820,0,850,1,2,19,19,False
521,820,0,850,1,2,19,19,False
522,830,0,860,1,2,19,19,False
523,830,0,860,1,2,19,19,False
524,830,0,860,1,2,19,19,False
525,840,0,870,1,2,19,19,False
526,3761,0,4513,100,0,15,22,False
527,3812,0,4574,100,0,15,22,False
528,3863,0,4635,100,0,15,22,False
529,3914,0,4696,100,0,15,22,False
530,3965,0,4758,100,0,15,22,False
531,4016,0,4819,100,0,15,22,False
532,4067,0,4880,100,0,15,22,False
533,4118,0,4941,100,0,15,22,False
534,602,0,0,10,0,14,4,False
535,714,0,0,10,0,14,4,False
536,733,0,0,10,0,14,4,False
537,743,0,0,10,0,14,4,False
538,774,0,0,10,0,14,4,False
539,821,0,0,1,0,14,14,False
540,892,0,0,1,0,14,14,False
541,928,0,0,1,0,14,14,False
542,941,0,0,1,0,14,14,False
543,948,0,0,1,0,14,14,False
544,987,0,0,1,0,14,14,False
545,1026,0,0,1,0,14,14,False
546,645,0,832,20,60,15,23,False
547,700,0,903,20,60,15,23,False
548,728,0,939,20,60,15,23,False
549,738,0,952,20,60,15,23,False
550,743,0,958,20,60,15,23,False
551,774,0,998,20,60,15,23,False
552,805,0,1038,20,60,15,23,False
553,600,0,0,1,0,19,18,False
554,605,0,0,1,0,19,18,False
555,610,0,0,1,0,19,18,False
556,620,0,0,1,0,19,18,False
557,625,0,0,1,0,19,18,False
558,635,0,0,1,0,19,18,False
559,645,0,0,1,0,19,18,False
560,4220,0,5064,100,0,15,22,False
561,870,0,900,1,2,19,19,False
562,900,0,930,1,2,19,19,False
563,930,0,960,1,2,19,19,False
564,4907,0,0,30,0,15,22,False
565,4754,0,5181,1,3,14,17,False
566,930,0,960,1,2,19,19,False
567,731,0,0,100,0,15,22,False
568,850,0,0,100,0,15,22,False
569,884,0,0,100,0,15,22,False
570,896,0,0,100,0,15,22,False
571,902,0,0,100,0,15,22,False
572,940,0,0,100,0,15,22,False
573,977,0,0,100,0,15,22,False
574,600,0,630,1,2,19,19,False
575,605,0,635,1,2,19,19,False
576,610,0,640,1,2,19,19,False
577,620,0,650,1,2,19,19,False
578,625,0,655,1,2,19,19,False
579,635,0,665,1,2,19,19,False
580,645,0,675,1,2,19,19,False
581,782,0,860,1,3,14,17,False
582,850,0,935,1,3,14,17,False
583,884,0,972,1,3,14,17,False
584,897,0,986,1,3,14,17,False
585,903,0,993,1,3,14,17,False
586,940,0,1034,1,3,14,17,False
587,978,0,1075,1,3,14,17,False
588,4300,0,0,15,0,15,22,False
589,4300,0,0,30,0,15,22,False
590,4550,0,0,15,0,15,22,False
591,4550,0,0,30,0,15,22,False
592,4750,0,0,15,0,15,22,False
593,4750,0,0,30,0,15,22,False
594,4300,0,0,1,0,14,18,False
595,4300,0,0,2,0,14,18,False
596,4550,0,0,1,0,14,18,False
597,4550,0,0,2,0,14,18,False
598,4750,0,0,1,0,14,18,False
599,4750,0,0,2,0,14,18,False
600,5090,0,0,70,0,14,30,False
601,5090,0,5548,10,20,14,27,False
602,5090,0,0,15,0,15,22,False
603,5090,0,0,30,0,15,22,False
604,0,0,0,0,0,0,0,False
605,0,0,0,0,0,0,0,False
606,0,0,0,0,0,0,0,False
607,0,0,0,0,0,0,0,False
608,0,0,0,0,0,0,0,False
609,821,0,944,1,3,14,17,False
610,928,0,1067,1,3,14,17,False
611,948,0,1090,1,3,14,17,False
612,987,0,1135,1,3,14,17,False
613,0,0,0,0,0,0,0,False
614,1026,0,1179,1,3,14,17,False
615,1116,0,1283,1,3,14,17,False
616,1006,0,1156,1,3,14,17,False
617,5460,0,0,70,0,14,30,False
618,5460,0,5760,10,20,14,27,False
619,5300,0,5550,60,80,15,23,False
620,5300,0,5550,60,80,15,23,False
621,5300,0,5550,15,30,15,23,False
622,5300,0,5550,40,60,15,23,False
623,5300,0,5550,60,80,15,23,False
624,5460,0,0,1,0,14,18,False
625,5460,0,0,2,0,14,18,False
626,5460,0,0,1,0,14,18,False
627,5460,0,0,2,0,14,18,False
628,5460,0,0,1,0,14,18,False
629,0,0,0,0,0,0,0,False
630,0,0,0,0,0,0,0,False
631,0,0,0,0,0,0,0,False
632,0,0,0,0,0,0,0,False
633,0,0,0,0,0,0,0,False
634,0,0,0,0,0,0,0,False
635,4550,0,5000,60,80,15,23,False
636,4550,0,5000,60,80,15,23,False
637,4550,0,5000,15,30,15,23,False
638,4550,0,5000,40,60,15,23,False
639,4550,0,5000,60,80,15,23,False
640,4550,0,0,1,0,14,18,False
641,4550,0,0,2,0,14,18,False
642,4550,0,0,1,0,14,18,False
643,4550,0,0,2,0,14,18,False
644,4550,0,0,1,0,14,18,False
645,4550,0,5000,1,2,14,19,False
646,4550,0,0,2,0,14,18,False
647,4550,0,0,1,0,14,18,False
648,0,0,0,0,0,0,0,False
649,0,0,0,0,0,0,0,False
650,600,0,630,1,2,19,19,False
651,610,0,640,1,2,19,19,False
652,625,0,655,1,2,19,19,False
653,635,0,665,1,2,19,19,False
654,640,0,670,1,2,19,19,False
655,645,0,675,1,2,19,19,False
656,680,0,710,1,2,19,19,False
657,0,0,0,0,0,0,0,False
658,0,0,0,0,0,0,0,False
659,0,0,0,0,0,0,0,False
660,0,0,0,0,0,0,0,False
661,0,0,0,0,0,0,0,False
662,0,0,0,0,0,0,0,False
663,0,0,0,0,0,0,0,False
664,0,0,0,0,0,0,0,False
665,0,0,0,0,0,0,0,True
666,0,0,0,0,0,0,0,False
667,0,0,0,0,0,0,0,True
668,0,0,0,0,0,0,0,False
669,1543,0,1851,1,3,14,17,False
670,680,0,710,1,2,19,19,False
671,1015,0,0,10,0,14,4,False
672,1225,0,0,10,0,14,4,False
673,1260,0,0,10,0,14,4,False
674,1326,0,0,10,0,14,4,False
675,1392,0,0,10,0,14,4,False
676,1294,0,0,1,0,14,14,False
677,1517,0,0,1,0,14,14,False
678,1562,0,0,1,0,14,14,False
679,1606,0,0,1,0,14,14,False
680,1649,0,0,1,0,14,14,False
681,1691,0,0,1,0,14,14,False
682,1733,0,0,1,0,14,14,False
683,1859,0,0,1,0,14,14,False
684,1015,0,1309,20,60,15,23,False
685,1190,0,1535,20,60,15,23,False
686,1225,0,1580,20,60,15,23,False
687,1260,0,1625,20,60,15,23,False
688,1293,0,1667,20,60,15,23,False
689,1326,0,1710,20,60,15,23,False
690,1359,0,1753,20,60,15,23,False
691,1458,0,1880,20,60,15,23,False
692,680,0,0,1,0,19,18,False
693,680,0,0,1,0,19,18,False
694,685,0,0,1,0,19,18,False
695,695,0,0,1,0,19,18,False
696,700,0,0,1,0,19,18,False
697,705,0,0,1,0,19,18,False
698,710,0,0,1,0,19,18,False
699,725,0,0,1,0,19,18,False
700,0,0,0,0,0,0,0,False
701,0,0,0,0,0,0,0,False
702,0,0,0,0,0,0,0,False
703,0,0,0,0,0,0,0,False
704,0,0,0,0,0,0,0,False
705,0,0,0,0,0,0,0,False
706,0,0,0,0,0,0,0,False
707,0,0,0,0,0,0,0,False
708,1350,0,0,100,0,15,22,False
709,1445,0,0,100,0,15,22,False
710,1487,0,0,100,0,15,22,False
711,1530,0,0,100,0,15,22,False
712,1570,0,0,100,0,15,22,False
713,1610,0,0,100,0,15,22,False
714,1650,0,0,100,0,15,22,False
715,1770,0,0,100,0,15,22,False
716,680,0,710,1,2,19,19,False
717,680,0,710,1,2,19,19,False
718,685,0,715,1,2,19,19,False
719,695,0,725,1,2,19,19,False
720,700,0,730,1,2,19,19,False
721,705,0,735,1,2,19,19,False
722,710,0,740,1,2,19,19,False
723,725,0,755,1,2,19,19,False
724,1233,0,1356,1,3,14,17,False
725,1445,0,1589,1,3,14,17,False
726,1488,0,1636,1,3,14,17,False
727,1530,0,1683,1,3,14,17,False
728,1571,0,1728,1,3,14,17,False
729,1611,0,1772,1,3,14,17,False
730,1651,0,1816,1,3,14,17,False
731,1771,0,1948,1,3,14,17,False
732,0,0,0,0,0,0,0,False
733,0,0,0,0,0,0,0,False
734,0,0,0,0,0,0,0,False
735,0,0,0,0,0,0,0,True
736,0,0,0,0,0,0,0,True
737,0,0,0,0,0,0,0,True
738,0,0,0,0,0,0,0,True
739,0,0,0,0,0,0,0,True
740,0,0,0,0,0,0,0,True
741,0,0,0,0,0,0,0,True
742,0,0,0,0,0,0,0,True
743,0,0,0,0,0,0,0,True
744,0,0,0,0,0,0,0,True
745,0,0,0,0,0,0,0,True
746,0,0,0,0,0,0,0,False
747,0,0,0,0,0,0,0,False
