#,Message,YesButton,NoButton
0,ダミーデータですよ？,わかってます,ええっ！？
47,「審理の天秤」を押しますか？,はい,いいえ
48,流砂に飛び込みますか？,はい,いいえ
49,「帝国軍認証鍵」を使用して、ロックを解除しますか？,はい,いいえ
50,ダストシュートに飛び込みますか？,はい,いいえ
51,次のエリアに移動しますか？,はい,いいえ
52,「帝国軍認証鍵」を使用しますか？,はい,いいえ
53,「XXXVII式爆薬」を使用しますか？,はい,いいえ
54,斜行リフトを起動させますか？※周囲のパーティメンバーと共に移動します。,はい,いいえ
55,ポルタ・デクマーナへの扉を開きますか？※周囲のパーティメンバーと共に移動します。,はい,いいえ
56,リフトを呼び寄せますか？,はい,いいえ
57,リフトを起動しますか？,はい,いいえ
58,魔導アーマーに乗り込みますか？,はい,いいえ
59,ランタンオイルを使用しますか？,はい,いいえ
60,転移しますか？,はい,いいえ
61,次のエリアに移動しますか？,はい,いいえ
62,ブレイフロクスの抜道に入りますか？,はい,いいえ
63,仮設の関門を解錠しますか？,はい,いいえ
64,妖しいオーブの光に身を任せますか？,はい,いいえ
65,妖しいオーブの光に身を任せますか？,はい,いいえ
66,白百合の扉を解錠しますか？,はい,いいえ
67,紅薔薇の扉を解錠しますか？,はい,いいえ
68,小さな鍵で、閉ざされた扉を解錠しますか？,はい,いいえ
69,第二修練区画開始位置まで移動しますか？,はい,いいえ
70,第三修練区画開始位置まで移動しますか？,はい,いいえ
71,謎めいた石板を、台座の窪みにはめ込みますか？,はい,いいえ
72,主格納庫ゲートを解錠しますか？,はい,いいえ
73,排水機構のレバーを動かしますか？,はい,いいえ
74,「太陽石」を扉の窪みにはめ込みますか？,はい,いいえ
75,排水バルブを回しますか？,はい,いいえ
76,扉を開きますか？,はい,いいえ
77,「月光石」を扉の窪みにはめ込みますか？,はい,いいえ
78,「太陽石」を台座の窪みにはめ込みますか？,はい,いいえ
79,「月光石」を台座の窪みにはめ込みますか？,はい,いいえ
80,「大星石」を台座の窪みにはめ込みますか？,はい,いいえ
81,隧道の扉を解錠しますか？,はい,いいえ
82,円庭の扉を解錠しますか？,はい,いいえ
83,次のエリアに移動しますか？,はい,いいえ
84,会場から退出しますか？,はい,いいえ
85,,,
86,「帝国軍認証鍵」を使用して、封鎖を解きますか？,はい,いいえ
87,"退出すると「UNKNOWN」は終了となります。
本当に退出しますか？",はい,いいえ
88,(仮)本棚に魔道書を挿し込みますか？,はい,いいえ
89,雲卵石を供えますか？,はい,いいえ
90,鋼鉄のレバーを差し込み、操作しますか？,はい,いいえ
91,騎兵詰所の扉を解錠しますか？,はい,いいえ
92,作戦会議室の扉を解錠しますか？,はい,いいえ
93,作動させますか？,はい,いいえ
94,大灯台の扉を開けますか？,はい,いいえ
95,門扉を開けますか？,はい,いいえ
96,魔道通路で移動しますか？,はい,いいえ
97,白光のクリスタルを調べますか？,はい,いいえ
98,黒闇のクリスタルを調べますか？,はい,いいえ
99,"不穏な気配を感じる……。
周囲を調べますか？",はい,いいえ
100,転移しますか？,はい,いいえ
101,コンテンツ開始地点へ戻りますか？,はい,いいえ
102,宝箱を開けますか？,はい,いいえ
103,"退出すると、自動的に踏破状況が保存されます。
コンテンツから退出しますか？",はい,いいえ
104,"オンラインではないパーティメンバーがいます。
パーティメンバーのいずれかが退出すると、
その時点の踏破状況が保持されます。
本当に退出しますか？",はい,いいえ
105,"退出すると、自動的に踏破状況が保存されます。
なお、所持品がいっぱいの場合、報酬アイテムを受け取ることができません。
コンテンツから退出しますか？",はい,いいえ
106,扉の鍵を使いますか？,はい,いいえ
107,昇降装置を操作しますか？,はい,いいえ
108,イクサル風の扉を開けますか？,はい,いいえ
109,追い風の神具を操作しますか？,はい,いいえ
110,"「カードバトルルーム」から退出しますか？
※参加登録は解除されます。",はい,いいえ
111,本当にびっくり箱を開けますか？,はい,いいえ
112,隔壁を開きますか？,はい,いいえ
113,リフトを起動しますか？,はい,いいえ
114,白光のクリスタルを調べますか？,はい,いいえ
115,黒闇のクリスタルを調べますか？,はい,いいえ
116,誘引香の罠を起動しますか？,はい,いいえ
117,"（仮）魔獣を呼び寄せかねない危険をおかしても、
魔力の奔流に身を任せますか？",はい,いいえ
118,"「漂流遺跡」から退出します。
戻れない場合もありますが、よろしいですか？

※戦闘不能状態になった場合、コンテンツの開始地点に戻ります。",はい,いいえ
119,"(仮)緊急任務を取りやめることになります。
本当によろしいですか？",はい,いいえ
120,ミラージュスネイルの幻影の力を利用しますか？,はい,いいえ
121,扉を開きますか？,はい,いいえ
122,ヨルに騎乗しますか？,はい,いいえ
123,「ポイントII」に移動しますか？,はい,いいえ
124,「HIGH」を選択しますか？,はい,いいえ
125,「LOW」を選択しますか？,はい,いいえ
126,「ポイントIII」に移動しますか？,はい,いいえ
127,ワープクリスタルで移動しますか？,はい,いいえ
128,レバーを引きますか？,はい,いいえ
129,このカードを選びますか？,はい,いいえ
130,貨車へ戻りますか？,はい,いいえ
131,龍脈結界を解きますか？,はい,いいえ
132,転移しますか？,はい,いいえ
133,起動しますか？,はい,いいえ
134,「挑戦！ ジャンピングアスレチック」を終了しますか？,はい,いいえ
135,本部塔エントランスに脱出しますか？,はい,いいえ
136,アクセスポイントで転送しますか？,はい,いいえ
137,この呪札をめくりますか？,はい,いいえ
138,「大猿の石像」に触れますか？,はい,いいえ
139,「狼犬の石像」に触れますか？,はい,いいえ
140,「フクロウの石像」に触れますか？,はい,いいえ
141,「大猫の石像」に触れますか？,はい,いいえ
142,「水蛇の石像」に触れますか？,はい,いいえ
143,「オウムの石像」に触れますか？,はい,いいえ
144,転移しますか？,はい,いいえ
145,「土いじりの虚」に移動しますか？,はい,いいえ
146,「水はこびの虚」に移動しますか？,はい,いいえ
147,「火あそびの虚」に移動しますか？,はい,いいえ
148,「魔まわしの虚」に移動しますか？,はい,いいえ
149,ワープクリスタルで移動しますか？,はい,いいえ
150,アクセスポイントで転送しますか？,はい,いいえ
151,簡易転移柱で移動しますか？,はい,いいえ
152,「モラビー造船廠」へ移動しますか？,はい,いいえ
153,彫像を元の位置に戻しますか？,はい,いいえ
154,「審理の天秤」を押しますか？,はい,いいえ
155,古びた転移装置を使用しますか？,はい,いいえ
156,,,
157,「朱雀の像」の向きを変えますか？,はい,いいえ
158,「青龍の像」の向きを変えますか？,はい,いいえ
159,謎めいた水晶玉に触れますか？,はい,いいえ
160,"桐の箱に禍々しい刀が納められている……
箱の蓋を閉じますか？",はい,いいえ
161,扉を開きますか？,はい,いいえ
162,麻縄を引いてみますか？,はい,いいえ
163,麻縄を引いてみますか？,はい,いいえ
164,転移しますか？,はい,いいえ
165,"樹の幹に小さな像が安置されている。
取り出してみますか？",はい,いいえ
166,"何かを置くための台座がある。
土偶を置いてみますか？",はい,いいえ
167,転移装置で移動しますか？,はい,いいえ
168,空間の歪みに触れますか？,はい,いいえ
169,ドリームスロットを起動しますか？,はい,いいえ
170,,,
