#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
23,[第7報],対岸エリアへのコスモライナー延伸,"河川ソーダライム・フロートを挟んだ対岸にあたる、西部から南部にかけてのエリアへ、コスモライナーが延伸しました！

この一帯は川の流れによる侵蝕によって形成された渓谷と思われ、非常に地形が複雑で物資や人員の移動が楽ではありませんでした。
そこでコスモライナーの敷設が急がれていたわけですが、惑星パエンナ特有のガラス質の大地は、場所によっては施設や重機の重さに耐えにくい箇所もあり、特に場所の選定には時間を必要としました。
技術者の方々が地盤調査を入念に行った結果、ようやく今回の延伸成功となったのです！"
24,[第8報],アプリカシオン・クレーンの竣工,"奈落の大穴カプセル・カズムは、ソーダライム・フロートが注ぐ瀑布の直下に続く大空洞で、大型のガラス球がいくつも重なりながら底部が形成されているようです。地上と隔絶された環境には、ワクワクするような未知がたくさん待っているはず！
その深部への探索を進めるために開発されたのが、「アプリカシオン・クレーン」！

アプリカシオンとは、ガラス工芸において別個に製作した部品を本体に熱して接着する技法のこと。
これに着想を得て大穴の外周部の頑強な地盤にクレーンを設置し、それを足がかりに底へと降りる足場を作っているんですよ。

コスモライナーの延伸過程で磨かれた地盤調査技術と、焦がれの入江でトンネルやリフトを建設してきた繊細な工法が、ここで共に活かされているというわけです！"
25,[第9報],カプセル・カズム底部へのコスモライナー延伸,"ついにカプセル・カズムの底部にも、コスモライナーを延ばすことに成功しました！

実は、不安定なガラスの球体が重なったこの場所への延伸は極めて難易度が高いのではと言われていたんです。
コスモライナーを敷設するには、2拠点間のパーツのペアリングに加え、正確な座標設定が必要ですから。
しかし、これまでの経験を存分に活かし、ガラス球と堆積物のバランスを慎重に見極めることで、このたび安定性のある場所に拠点を竣工することができたというわけです！

この難所での延伸作業の成功は、我々の自信となるでしょう！"
26,[第10報],グラスブロワーズ基地のさらなる充実,"皆様の協力もあってグラスブロワーズ基地は改築され、すっかり居心地の良い拠点になってきました。

洞窟の形状に合わせて綿密な計算を行い、慎重に施設を配置してきた結果と言えるでしょう。
単純に施設を並べるだけでなく、ローダーやドローンの移動経路から配線・配管に至るまで、検討すべき事柄は山のようにありますから！
この計画策定に携わった技術者の皆様からの誇らしげな愚痴の数々は、わたくしのお耳にもたくさん入ってきています！

この基地には、まだ我々が先へと探索を進めるための重大な建設計画があるのですが……その完成を見る日はまだ遠いはず。
引き続き、がんばりましょう！"
27,[第11報],ローダーハンガーのさらなる機能強化,"基地内の施設には、この惑星パエンナで産出されるガラス資源を用いた壁材を順次取り付けています。
このほど、ローダーハンガーへの換装も完了いたしました！

鋼の板に勝るほど頑強でありながら、装飾的にも美しく、そのうえ太陽光を雷力エネルギーへ変換することもできる万能ぶり！
この新機軸の建材は、アーテリスからガラス工芸の専門家を招聘し、技術者さんたちと最新技術を結集して開発したそうですよ！
施設運用に関わる雷力事情も大幅に改善しそうですね！"
28,[第12報],コスモポートの多機能化,"我らが宇宙港、コスモポートの機能が拡張されました！

これからは焦がれの入江との往復だけでなく、今後さらに宇宙の深淵へと旅立つことも可能となりました。
専用の発雷所を増設したことでエネルギーチャージ時間の大幅な短縮が実現し、時間単位の物資運搬量も増加したとのことです！

岩窟のなかのグラスブロワーズ基地への発着は一見するとリスクが高そうに見えますが、細かな離着陸のルート設定により安全な自動操縦が可能になったのだとか。
もちろん、初回到着時はクルージングウェイによる神業的なマニュアル操縦が披露されたんですけれどね！"
29,[第13報],メガパワーパネルの設置,"今回完成したメガパワーパネルは、グラスブロワーズ基地のエネルギーを支える肝心な施設です！

発雷施設エネルギゼーション・ステーションもありますが、そちらはエーテルによる属性変換で雷力を発生させる仕組み。
一方でメガパワーパネルは、惑星パエンナが位置する星系の太陽からの光線を変換して雷力エネルギーを発生させるんです。

基地内外では様々な機器を運用していますから、雷力はいくらあっても足りないくらい。
しかしふたつの施設を同時に運用することで、極端な節約を行わずとも済むようになったのです！"
30,[第14報],溶融ガラス冷却による探索区域拡大,"ドローン基地となる「モビリゼーション・ステーション」の建設を経て、フュージングウェイ・ヴェント火口の溶融ガラス冷却作戦が完遂されました！

惑星パエンナは地熱の変動が激しいらしく、平野部でも偶発的な火口の形成が見られるようです。
フュージングウェイ・ヴェントはそうした熱源地帯のひとつで、惑星環境への悪影響を避けながら、実験的な冷却作戦を実施することになりました。

皆様のご協力により、安全に探索区域を拡大することに成功！
赤く煮えたぎる溶融ガラスが冷え固まったことで、ソーダライム・フロートと同じような水色に澄んだガラスへの変容が確認されています。
一度冷え固まったことで、以降はドローンを駆使した上空からの冷却剤の投与のみでガラスの状態維持が可能となり、自由な探索が可能になりました。
この域内では星の地質形成について、重要な調査が行えるはずですよ！"
31,[第15報],溶融ガラス地帯へのコスモライナー延伸,"フュージングウェイ・ヴェントの内周部へ、コスモライナーの延伸が完了しました！
これにて探索計画内の全区域へと簡単に移動できるようになったわけです！

今回の拠点設営に際しては、前回溶融ガラス冷却作戦で用いられたドローンたちが再利用され、徹底した地盤固めが行われました。
ひとつずつは小さな設備に過ぎませんが、我々の技術が結実した交通網というわけですね！"
32,[第16報],パエンナ・ステラスコープ竣工,"なんということでしょう、我らがグラスブロワーズ基地に、天を臨む大天体望遠鏡が完成しました！

「パエンナ・ステラスコープ」は遠くの星々の姿を観測できるだけでなく、なんとその星が纏う天脈の濃さも推定することができるんです。
我々コスモエクスプローラー計画機構が目標とするところの、知的生命体、もしくは未知文明の痕跡の発見……それを叶えるべく、さっそく天文学を専門とする研究者の皆さんが宇宙の各方面を見渡して、分析を進めていますよ！

惑星パエンナでの計画は、現地資源を活用した最大目標物であるこの天体望遠鏡の完成をもって、完了です。
この星でもたくさんのご協力、誠にありがとうございました！"
33,[第17報],輝ける星を覗いて,"今回も計画されていた全施設が完成し、ギャラクティックウェイ号はパエンナ・ステラスコープに映される新たな星を待つばかりとなっています。

思えばこれからの探索計画に向けて巨大な観測機構が必要となるだろう上で、わたくしたちが最初に訪れたのがこのガラスの惑星パエンナであったのは誠に僥倖でした。
天体望遠鏡の瞳となる精密なレンズを精錬、研磨し、その単眼は今や遥か宇宙の彼方に向けて熱いまなざしを注いでいます。

アーテリス星系から一歩を踏み出し、この星での活動を経て我々は真に星外探索団となれたのではないでしょうか？
その道行きもまだまだこれからです！
見上げた先の星々へと、続きの軌跡を歩んでいきましょうね！"
34,[第1報],挑め、惑星オイジュス探索計画,"この「惑星オイジュス」でも、わたくしレポーティングウェイが筆を執り、探索と研究の日々を記録させていただきます。
読者の皆様へと、よきレポートをお伝えできますよう！

さて、惑星パエンナにて竣工した巨大天体望遠鏡「パエンナ・ステラスコープ」による観測と、計画機構の研究チーム、さらには魔法大学天文学部が一体となり、次なる探査目標を決定いたしました。
候補となる星は複数観測されていましたが、この惑星が選ばれたのは、重力異常による特異な環境と、何よりも文明の痕跡が発見されたゆえ！
どのような歩みを経てきた星なのか、我々誰もが期待にお耳をピクピクとさせていますとも。

重力異常による地表の崩壊を受けてなおそびえ立つ惑星最大の構造物を「テラ・ファーマ基地」として活用しつつ、今回も周辺に拠点環境を整備していく予定ですよ。
ぜひとも協力者の皆様のお力添えをよろしくお願いいたします！"
35,[第2報],居住モジュールの竣工,"テラ・ファーマ基地内外の整備に合わせ、惑星オイジュスにおける「居住モジュール」が竣工しました！
これまでの月面での演習や惑星パエンナでの拠点展開においては、自然環境からの整備が主でしたので、遺構の瓦礫を片付けながらの施工というのは新鮮でもありましたね。

浮遊した岩石などは探索中に危険にもなるため移動させねばなりませんでした。
しかし無論、整備作業と兼ねて岩々の位置や浮遊物の重量などを計測し、バッチリ研究資料として記録してありますよ！
居住モジュール内にはグラビデ系の魔法制御を入念に施し、就寝中も安全に過ごせるように処置済みです。
各惑星に適した住環境を提供できるよう、試行を重ねているようですよ。"
36,[第3報],コスモライナーの広域展開,"メガリスポリスを中心とした荒野一帯に、コスモライナーを一挙に敷設展開いたしました！
この迅速な作業の完了は、まさにこれまで計画のなかで培ってきたノウハウ蓄積の賜物と言えるでしょう。
施工に携わった技術者各位に、最大限の謝辞を述べたいと思います！
加えてコスモライナーの移動技術とは、ペアリングした2つのステーション間に強固なエーテルの道を作るようなもの。
すなわち人工の風脈発生装置とも言えるのですが、これまでは相互の正確な座標設定が必要でした。
しかし惑星オイジュスにおいては、重力異常の影響による揺らぎを抑えるためペアリング機能を強化……多少の変動には耐えられるよう改良してあるんです！

現在足を伸ばせる範囲の場所には展開できましたので、コスモライナーをたくさん活用して、これからの探索を進めていきましょう！"
37,[第4報],インフラ関連設備の竣工,"惑星オイジュスの環境に適応させた、発雷設備と給水施設が完成しました！

重力異常が生じているこの惑星内では、複雑な引力と斥力のせめぎ合いが生じています。
そうした特殊な環境は、当然のことながら我々が持ち込んだ機器類にも影響を及ぼしうるわけで、特に活動の要とも言えるインフラ関連設備の誤作動はなんとしても避けたいところ。
たとえば、飲料水をひとところに貯めておくというだけのことでも、細心の注意を払う必要があるのです。

そこで、施設の基盤や貯水容器や発雷バッテリーの内側に向けてもグラビデ系魔法を作用させ、機器類の安定性を高めているんですよ。"
38,[第5報],グラビティジェネレーターの設置,"巨大な浮遊岩盤「藍裂の幽陸」への探索を進めるべく、アンカーマウンテン側を礎にして、重力制御装置「グラビティジェネレーター」の設置が完了しました！

この装置ではグラビデ系魔法の術式を装置で反復させて一方向のみに放射し、対岸の岩盤に反射させることで、強い引力を持つビームを発生させているんです。
そして周囲に漂う浮遊した岩石を呼び集め、陸地の間を繋いで十分に橋として機能する足場を作り出しているというわけですね。

「藍裂の幽陸」は、元はメガリスポリスや周辺の荒野と同じ海抜にあった陸地が地表より剥がれたものと考えられています。
そのため元は地中深くにあった鉱物が表出していたり、他では見られない資源が多く確認できたりするはず……！
これからの探索が、大いに期待できることでしょう！"
39,[第6報],浮遊岩盤へのコスモライナー延伸,"アンカーマウンテンから先を繋ぎ、藍裂の幽陸へとコスモライナーが延伸しました！

グラビティジェネレーターによる橋だけでは重量のある試料や資材の運搬には不向きでしたし、何より高所恐怖症の研究者たちからは、探索のためには目をつむり這い進むしかないとの声が寄せられていました。
コスモライナーであれば、移動の確実性は格段に増しますからね！

また、より上空の重力球からの影響を受けやすいと思われるこのエリアでの運用は、これからのコスモライナー技術の研究においても、有用なデータを得られるはずです。
皆様、日々のご活用をよろしくお願いしますね！"
40,[第7報],テラ・ファーマ基地の拡充整備,"テラ・ファーマ基地内の中央機構の復旧作業に備え、施設内外を本格整備し、遺構を保存しながら基地機能の拡充を行いました！

エネルギゼーション・ステーションから大出力の雷気を施設内に引き込んだだけでなく、拠点周辺の各施設を機能的に繋げられるよう、配線まわりも今回の整備で完了です。
計画参加者の皆様をお迎えする各窓口やローダーハンガーなども今回合わせてアップデートできましたので、より探索活動が快適に進められるかと思いますよ！

周辺環境を整えたことで、お次はいよいよ中央機構「エウヘドロン」の復旧に挑みます！"
41,[第8報],中央機構エウヘドロンの復旧,"結晶体のエーテルを活性化させることに成功し、「エウヘドロン」が本来の輝きを取り戻しました！

研究チームによれば、この構造物は巨大な魔法的記録媒体であるとの推測をしているようですが、欠損している部分もあるとのことで全容の解明には時間がかかりそうです。
というのも、このエウヘドロンはかつて宙に浮遊していたと考えられ、落下による損傷を受けている可能性が高いのだとか。
輝きを取り戻した今も完全に浮かび上がるには及ばず……応急処置的ではありますが、鉄骨による支えを入れている状況なのです。
また設備の増加に伴い環境適応に不安が生じたため、居住モジュールに惑星オイジュスの資源を用いた対重力異常パネルを設置しました！
より長期的に、安定した生活を送ることができるでしょう！"
42,[第9報],コスモポートの機能拡充,"惑星オイジュスの玄関口、コスモポートの機能が拡充されました！

今回も専用の発雷所を設けてエネルギーチャージの高速化に対応したほか、居住モジュールに設置したのと同様の対重力異常パネルを備え付け、離着陸時の安定性を向上させています。
また、各施設からコスモポートへの導線をクリアにしたことで、資材の搬出入もより便利に！

実はこれまでは、上空の重力球の影響を考慮して、宇宙船に積む物資の量に厳しい制限を設けていたんです。
しかし、今回の設備拡充のおかげで制限も解除……惑星アーテリスへの物資輸送に加え、さらなる深宇宙への探査も大きな弾みがつきました！

重力球の影響といえば、セントラルクリスタルから距離のあるエリアではにわかに地盤の変動が観測されているようです。
何か新たな発見の前触れとなるのでしょうか……？"
43,[第10報],デザート・バロー遺跡の玄関部発掘,"重力球の影響により、翠核の谷の深くに埋もれていた構造物が露出しました。
皆様のご協力で土砂や岩塊を除去したところ……内部へと続く扉と思しきものが発見されましたよ！

ネミングウェイはこれをスナネズミの巣穴のようだとして「デザート・バロー遺跡」と命名したようです。
もしかしたら、この扉の先で先駆者たちの文明を解明できるような大発見があるかもしれません。

また探索を円滑に進められるよう、遺跡の手前までコスモライナーが延伸されました。
基地の研究チームと連携を取りながら、今後の探索をますます捗らせていきましょう！"
44,[第11報],デザート・バロー遺跡の玄関部解錠,"懸命な復旧作業によって、デザート・バロー遺跡の秘められし扉が口を開きました！
扉中央の紋様に光が灯り……先駆者たちの文明の一端が、まさに照らされたかのようです。
これまでの調査により、惑星オイジュスの遺構は結晶体に高濃度のエーテルを通わせることで動作することが判明しています。
どうやら彼らは、かなり進んだエーテル学的知識を有していたようですね。

なお、遺構内の探索はこれからというところですが、簡易的な照明を設置しましたので、安全に中へ入ることができるでしょう。
構内にも結晶体が複数確認されているため、それらを動作させられれば、あるいは次の区画へ進むこともできるようになるかもしれません……！"
45,[第12報],デザート・バロー遺跡のガイドストーン復旧,"ガイドストーンと名付けられた、デザート・バロー遺跡の内部機構を作動させることができました！

構内に備えられていた輝石がいくつも灯り、本来の姿を取り戻しつつあると言えるでしょう。
先駆者たちがこの遺跡を何のために築き、いかに活用していたのか……その謎にも迫っていけるかもしれません。

その鍵を握ると思われるのが、最深部に見つかった結晶体「メタヘドロン」です。
さながら、エウヘドロンの小型版というところですね。
まずはテラ・ファーマ基地の機構のように活性化させることで、今後の解明に期待できるのではないでしょうか！"
46,[第13報],メタヘドロンの復旧,"デザート・バロー遺跡最深部に位置する、メタヘドロンが復旧しました！
本部基地のエウヘドロンのように、樹木の葉のような鮮やかな緑色の光を放っていますね。

研究チームによれば、この構造物はガイドストーンなどの比較的小さな機構と同じ材質で作られているものの、純度が桁違いに高いのだとか。
言われてみれば、色味も少し濃く見えますね。
大規模な機構を作るためには、エーテルの流れを阻害する不純物が少ない素材を使う必要があった、ということでしょうか。

ともかく、再稼働させたばかりゆえ詳しい調査はこれからですが、エウヘドロンとエーテルの波長が呼応している可能性も指摘されはじめています。
今後、両拠点の機構に何らかの繋がりが見つかるかもしれませんね。"
47,[第14報],翠核の谷全域へのコスモライナー延伸,"デザート・バロー遺跡の手前まで敷設していたコスモライナーを、最深部まで延伸させることができました！

遺跡構内のガイドストーンやメタヘドロンには、稼働に応じて定期的にオイジュスジャスパーからのエーテル供給が必要となりそうでして、そのため物資の迅速な運搬に、コスモライナーが役立つというわけですね。
同時に、ステーション間の擬似的な風脈形成が、本部のエウヘドロンと地下遺跡のメタヘドロンとを繋ぐ助けにもなりそうだとか……今後の研究進展が待たれます。
さて、これにて惑星オイジュスにおける現在の予定探索区域内の、全域への敷設が完了しましたよ。
研究チームの行き来もますます活発になり、メタヘドロンについての調査も進んでいくことでしょう！"
48,[第15報],テラ・ファーマ基地の構造強化,"テラ・ファーマ基地の構造を、頑強に強化する工事が完了しましたよ！
整備中だった基地内部の内装も、今後の設備増設に備えてバッチリ仕上がりました。

遺構に取り付けている設備は、やがてわたくしたちが探索を完全に完了してこの星を離れることがあれば原状復帰ができるような、仮設工法で設置してあります。
可逆性を保ちながら十分な構造強化を行うことは至難の業でしたが……皆さんのご協力の賜物ですね！

さてこの構造強化の目的は、デザート・バロー遺跡のメタヘドロンと基地のエウヘドロンとを共鳴させ、エーテル情報の転送を行うための通信設備を、基地の屋上部に設置することです。
屋上部へと登れるように、外階段やエレベーターも備えましたので、今後ご活用くださいね！"
