#,StartupText,RunningText,Unknown0
30,"グラスブロワーズ基地にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第二次基地拡張計画」実施中！
ご協力いただける方は、ぜひお集まりください！",2016
31,"グラスブロワーズ基地北西部にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第二次ハンガー拡張計画」実施中！
ご協力いただける方は、ぜひお集まりください！",2017
32,"グラスブロワーズ基地南西部にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「コスモポート整備支援」実施中！
ご協力いただける方は、ぜひお集まりください！",2018
33,"オパルセントの四辻北西にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第一次エネルギー集積施設工事」実施中！
ご協力いただける方は、ぜひお集まりください！",2019
34,"ミルフィオリの丘北西にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第二次エネルギー集積施設工事」実施中！
ご協力いただける方は、ぜひお集まりください！",2020
35,"硝礫の川浜南部にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「冷却ドローン拠点建設工事」実施中！
ご協力いただける方は、ぜひお集まりください！",2021
36,"フュージングウェイ・ヴェントにて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第一次溶融ガラス冷却作戦」実施中！
ご協力いただける方は、ぜひお集まりください！",2022
37,"フュージングウェイ・ヴェントにて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第二次溶融ガラス冷却作戦」実施中！
ご協力いただける方は、ぜひお集まりください！",2023
38,"フュージングウェイ・ヴェントにて、コスモライナー施設の完成が近づいています。
完成予定時刻には、該当地域が立入禁止になりますのでご注意ください。",,0
39,"グラスブロワーズ基地にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「基地総合設備拡張工事」実施中！
ご協力いただける方は、ぜひお集まりください！",2024
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
