#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
20,ホイップクリーム・サボテンダーケーキ,1,9,10,15,13,21,0,0,4,2,2,2,2,4,0,0
21,チョコクリーム・ハートケーキ,2,9,10,13,17,22,0,0,4,2,2,2,2,4,0,0
22,チョコクリーム・ハートケーキ,2,11,9,14,15,22,0,0,4,2,2,2,2,4,0,0
23,チョコクリーム・モーグリケーキ,2,8,9,17,16,19,0,0,4,2,2,2,2,4,0,0
24,チョコクリーム・モーグリケーキ,2,7,11,15,17,19,0,0,4,2,2,2,2,4,0,0
25,チョコクリーム・エッグチョコケーキ,2,8,14,20,0,0,0,0,4,4,4,4,0,0,0,0
26,チョコクリーム・エッグチョコケーキ,2,10,11,13,15,20,0,0,4,2,2,2,2,4,0,0
27,チョコクリーム・チョコボケーキ,2,9,7,14,17,23,0,0,4,2,2,2,2,4,0,0
28,チョコクリーム・チョコボケーキ,2,11,10,17,15,23,0,0,4,2,2,2,2,4,0,0
29,チョコクリーム・サボテンダーケーキ,2,8,11,15,17,21,0,0,4,2,2,2,2,4,0,0
30,チョコクリーム・サボテンダーケーキ,2,7,8,16,13,21,0,0,4,2,2,2,2,4,0,0
31,レモンクリーム・ハートケーキ,5,11,10,13,17,22,0,0,4,2,2,2,2,4,0,0
32,レモンクリーム・ハートケーキ,5,8,11,14,17,22,0,0,4,2,2,2,2,4,0,0
33,レモンクリーム・モーグリケーキ,5,7,8,15,13,19,0,0,4,2,2,2,2,4,0,0
34,レモンクリーム・モーグリケーキ,5,8,11,14,17,19,0,0,4,2,2,2,2,4,0,0
35,レモンクリーム・エッグチョコケーキ,5,10,11,15,17,20,0,0,4,2,2,2,2,4,0,0
36,レモンクリーム・エッグチョコケーキ,5,9,7,13,14,20,0,0,4,2,2,2,2,4,0,0
37,レモンクリーム・チョコボケーキ,5,11,17,23,0,0,0,0,4,4,4,4,0,0,0,0
38,レモンクリーム・チョコボケーキ,5,11,9,14,15,23,0,0,4,2,2,2,2,4,0,0
39,レモンクリーム・サボテンダーケーキ,5,8,9,17,13,21,0,0,4,2,2,2,2,4,0,0
40,レモンクリーム・サボテンダーケーキ,5,7,11,15,13,21,0,0,4,2,2,2,2,4,0,0
41,ピスタチオクリーム・ハートケーキ,3,7,8,16,15,22,0,0,4,2,2,2,2,4,0,0
42,ピスタチオクリーム・ハートケーキ,3,8,10,14,13,22,0,0,4,2,2,2,2,4,0,0
43,ピスタチオクリーム・モーグリケーキ,3,10,11,15,13,19,0,0,4,2,2,2,2,4,0,0
44,ピスタチオクリーム・モーグリケーキ,3,9,7,17,16,19,0,0,4,2,2,2,2,4,0,0
45,ピスタチオクリーム・エッグチョコケーキ,3,11,9,15,14,20,0,0,4,2,2,2,2,4,0,0
46,ピスタチオクリーム・エッグチョコケーキ,3,8,9,13,16,20,0,0,4,2,2,2,2,4,0,0
47,ピスタチオクリーム・チョコボケーキ,3,7,11,16,15,23,0,0,4,2,2,2,2,4,0,0
48,ピスタチオクリーム・チョコボケーキ,3,11,10,14,13,23,0,0,4,2,2,2,2,4,0,0
49,ピスタチオクリーム・サボテンダーケーキ,3,9,15,21,0,0,0,0,4,4,4,4,0,0,0,0
50,ピスタチオクリーム・サボテンダーケーキ,3,8,11,16,14,21,0,0,4,2,2,2,2,4,0,0
51,アドベンチャラー・スペシャルケーキ,6,12,18,24,0,0,0,0,4,4,4,4,0,0,0,0
