#,Name,Description,Icon,Value,ChocoboRaceAbilityType
55,Champ de plumes,"Protège contre les effets des champs de force créés par les autres chocobos.
Durée d'effet : 10 secondes",70055,10,19
56,Champ de plumes II,"Protège contre les effets des champs de force créés par les autres chocobos.
Durée d'effet : 20 secondes",70056,20,19
57,Champ de plumes III,"Protège contre les effets des champs de force créés par les autres chocobos.
Durée d'effet : 30 secondes",70057,30,19
58,Super sprint,Annule les effets de la météo et du terrain et permet de sprinter jusqu'à ce que l'énergie tombe à 0.,70058,0,20
59,Choco-revie,Restaure une fois 60 points d'énergie après qu'ils sont tombés à 0.,70059,60,21
60,Choco-revie II,Restaure une fois 130 points d'énergie après qu'ils sont tombés à 0.,70060,130,21
61,Choco-revie III,Restaure une fois 200 points d'énergie après qu'ils sont tombés à 0.,70061,200,21
62,Résistance aux altérations,Réduit à 80% la durée d'effet des altérations d'état reçues.,70062,80,22
63,Résistance aux altérations II,Réduit à 65% la durée d'effet des altérations d'état reçues.,70063,65,22
64,Résistance aux altérations III,Réduit à 50% la durée d'effet des altérations d'état reçues.,70064,50,22
65,Repos décélérateur,"Restaure l'énergie du chocobo par tranche de 0,8% lorsqu'il ralentit.",70065,8,23
66,Repos décélérateur II,Restaure l'énergie du chocobo par tranche de 1% lorsqu'il ralentit.,70066,10,23
67,Repos décélérateur III,"Restaure l'énergie du chocobo par tranche de 1,2% lorsqu'il ralentit.",70067,12,23
68,,,0,0,0
69,,,0,0,0
70,,,0,0,0
