#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,Unknown0
23,Casse-montagnes,"Effectue une attaque magique de terre sur les ennemis alentour.
**Puissance :** 70
**Effet additionnel :** augmente l'inimitié envers le familier
En mode **Obéir**, requiert l'ordre du maître.",786,788,4,True,False,False
24,Barrière terrestre,"Réduit de 20% les dégâts subis par le familier.
**Durée :** 20s
En mode **Obéir**, requiert l'ordre du maître.",786,789,4,True,False,False
25,Glissement de terrain,"Effectue une attaque magique de terre sur la cible.
**Puissance :** 70
**Effet additionnel :** inflige Étourdissement.
**Durée :** 2s
En mode **Obéir**, requiert l'ordre du maître.",786,790,4,True,False,False
26,Fureur tellurique,"Effectue une attaque magique de terre sur les ennemis alentour.
**Puissance :** 200
**Effet additionnel :** crée une zone de dégâts.
**Puissance :** 20 **Durée :** 15s
Requiert l'utilisation de **Galvanisation** par le maître.",786,791,4,True,False,False
27,Cyclone écarlate,"Effectue une attaque magique de feu sur la cible.
**Puissance :** 110
**Effet additionnel :** inflige Étourdissement.
**Durée :** 2s
En mode **Obéir**, requiert l'ordre du maître.",786,797,3,True,False,False
28,Frappe ardente,"Effectue une attaque magique de feu sur la cible.
**Puissance :** 135",786,798,3,True,False,False
29,Bouclier radiant,"Crée une barrière sur vous et les équipiers alentour.
**Durée :** 20s
**Effet de la barrière :** 100% de chances que les dégâts physiques subis par l'assaillant soient augmentés de 2% pendant 4 secondes.
En mode **Obéir**, requiert l'ordre du maître.",786,799,3,True,False,False
30,Fracassement flamboyant,"Effectue une attaque magique de feu sur les ennemis alentour.
**Puissance :** 110
En mode **Obéir**, requiert l'ordre du maître.",786,800,3,True,False,False
31,Flammes de l'enfer,"Effectue une attaque magique de feu dans une zone en éventail vers la cible.
**Puissance :** 200
**Effet additionnel :** inflige des dégâts périodiques de feu.
**Puissance :** 20 **Durée :** 15s
Requiert l'utilisation de **Galvanisation** par le maître.",786,801,3,True,False,False
32,Embrassement,"Restaure les PV de la cible.
**Puissance :** 250",786,802,6,True,False,False
33,Murmure de l'aurore,"Restaure périodiquement les PV du familier et des équipiers alentour.
**Puissance :** 120 **Durée :** 21s
En mode **Obéir**, requiert l'ordre du maître.",786,803,6,True,False,False
34,Alliance féerique,"Augmente de 20% la défense magique du familier et des équipiers alentour.
**Durée :** 20s
En mode **Obéir**, requiert l'ordre du maître.",786,804,6,True,False,False
35,Illumination féerique,"Augmente de 10% les PV restaurés par les sorts curatifs du familier et des équipiers alentour.
**Durée :** 20s
En mode **Obéir**, requiert l'ordre du maître.",786,805,6,True,False,False
36,Embrassement,"Restaure les PV de la cible.
**Puissance :** 250",786,806,7,True,False,False
37,Silence de l'aurore,"Inflige Silence à la cible.
**Durée :** 1s
En mode **Obéir**, requiert l'ordre du maître.",786,807,7,True,False,False
38,Caresse féerique,"Soigne une altération d'état des équipiers alentour.
En mode **Obéir**, requiert l'ordre du maître.",786,810,7,True,False,False
39,Vent féerique,"Réduit de 3% le délai des attaques automatiques et les temps de lancement et de recharge des techniques d'arme et des sorts de magie du familier et des équipiers alentour.
**Durée :** 30s
En mode **Obéir**, requiert l'ordre du maître.",786,811,7,True,False,False
40,Mode attaque,Ordonne à l'auto-tourelle de se concentrer sur l'attaque.,405,0,8,True,False,False
41,Mode soutien,Ordonne à l'auto-tourelle de se concentrer sur le soutien.,405,0,8,True,False,False
42,,,405,7428,10,True,False,False
43,,,405,7449,10,True,False,False
44,,,405,7450,0,True,False,False
45,,,405,7416,8,True,False,False
46,,,405,7417,9,True,False,False
47,,,405,7438,0,True,False,False
48,,,405,7440,0,True,False,False
49,,,405,7441,0,True,False,False
50,,,405,8879,0,True,False,False
51,,,405,8881,0,True,False,False
52,,,405,9127,0,True,False,False
