#,Name,Icon,AltIcon,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown10,Category,Unknown12,Unknown13,Unknown14,Unknown15
108,Attaque puissante,240207,0,0,1,2,3,0,0,112,64,64,255,255,255,255,255,6,-1,True,False,False
109,Attaque à projection circulaire,240208,0,0,1,2,3,0,0,113,256,256,255,255,255,255,255,6,-1,True,False,False
110,Attaque à projection en ligne droite,240209,0,0,1,2,3,9,10,114,256,256,255,255,255,255,255,6,-1,True,False,True
111,Attaque à sacrifice,240210,0,0,1,2,3,0,0,115,64,64,255,255,255,255,255,6,-1,True,False,False
112,Attaque à marqueurs,240211,0,0,1,2,3,0,0,116,64,64,255,255,255,255,255,6,-1,True,False,False
113,Effet bénéfique,240104,0,0,1,2,3,0,0,6,32,32,255,255,255,255,255,3,-1,True,True,True
114,Effet néfaste,240105,0,0,1,2,3,0,0,7,32,32,255,255,255,255,255,3,-1,True,True,True
115,6e cible à attaquer,61306,0,0,1,2,3,0,0,15,32,32,255,255,255,255,255,3,-1,True,False,False
116,7e cible à attaquer,61307,0,0,1,2,3,0,0,16,32,32,255,255,255,255,255,3,-1,True,False,False
117,8e cible à attaquer,61308,0,0,1,2,3,0,0,17,32,32,255,255,255,255,255,3,-1,True,False,False
118,DPS de mêlée,230954,0,0,1,2,3,0,0,14,32,32,255,255,255,255,255,2,-1,True,False,False
119,DPS à distance,230957,0,0,1,2,3,0,0,15,32,32,255,255,255,255,255,2,-1,True,False,False
120,DPS physique à distance,230960,0,0,1,2,3,0,0,16,32,32,255,255,255,255,255,2,-1,True,False,False
121,DPS magique à distance,230961,0,0,1,2,3,0,0,17,32,32,255,255,255,255,255,2,-1,True,False,False
122,Soigneur pur,230962,0,0,1,2,3,0,0,7,32,32,255,255,255,255,255,2,-1,True,False,False
123,Soigneur axé barrières,230963,0,0,1,2,3,0,0,8,32,32,255,255,255,255,255,2,-1,True,False,False
124,Cercle gris,240007,0,0,1,2,3,0,0,3,256,256,255,255,255,255,255,1,-1,True,False,False
125,Carré gris,240008,0,0,1,2,3,0,0,4,256,256,255,255,255,255,255,1,-1,True,False,False
126,Attaque à zone d'effet circulaire mouvante,240213,0,0,1,2,3,0,0,117,128,128,255,255,255,255,255,6,-1,True,False,True
127,Zone à 1 joueur,240214,0,0,1,2,3,0,0,118,64,64,255,255,255,255,255,6,-1,True,False,False
128,Zone à 2 joueurs,240215,0,0,1,2,3,0,0,119,64,64,255,255,255,255,255,6,-1,True,False,False
129,Zone à 3 joueurs,240216,0,0,1,2,3,0,0,120,64,64,255,255,255,255,255,6,-1,True,False,False
130,Zone à 4 joueurs,240217,0,0,1,2,3,0,0,121,64,64,255,255,255,255,255,6,-1,True,False,False
131,Marque de verrouillage rouge,240032,0,0,1,2,3,0,0,35,48,48,255,255,255,255,255,3,-1,True,False,False
132,Marque de verrouillage bleue,240033,0,0,1,2,3,0,0,36,48,48,255,255,255,255,255,3,-1,True,False,False
133,Marque de verrouillage violette,240034,0,0,1,2,3,0,0,37,48,48,255,255,255,255,255,3,-1,True,False,False
134,Marque de verrouillage verte,240035,0,0,1,2,3,0,0,38,48,48,255,255,255,255,255,3,-1,True,False,False
135,Symbole de cercle,240036,0,0,1,2,3,0,0,17,48,48,255,255,255,255,255,4,-1,True,False,False
136,Symbole de croix,240037,0,0,1,2,3,0,0,18,48,48,255,255,255,255,255,4,-1,True,False,False
137,Symbole de carré,240038,0,0,1,2,3,0,0,19,48,48,255,255,255,255,255,4,-1,True,False,False
138,Symbole de triangle,240039,0,0,1,2,3,0,0,20,48,48,255,255,255,255,255,4,-1,True,False,False
139,Symbole de rotation horaire,240040,0,0,1,2,3,0,0,21,48,48,255,255,255,255,255,4,-1,True,False,False
140,Symbole de rotation anti-horaire,240041,0,0,1,2,3,0,0,22,48,48,255,255,255,255,255,4,-1,True,False,False
