#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,Unknown3,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
31,Résistance au contondant,Réduit les dégâts reçus lorsqu'une attaque contondante est subie.,0,0,0,0,0,0,0,0,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,45,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
32,Résistance aux projectiles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
33,Magie offensive,Influence le montant des dégâts infligés par les attaques magiques.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,100,100,100,100,100,100,100,100,100,100,100,100,19,False
34,Magie curative,Influence le montant de PV restaurés avec les sorts curatifs.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,100,100,100,100,100,100,100,100,100,100,100,100,20,False
35,Magie fortifiante,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
36,Bonus élémentaire,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,36,100,100,100,100,100,100,100,100,100,100,100,100,100,21,False
37,Résistance au feu,Réduit les dégâts reçus lorsqu'une attaque de feu est subie.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,37,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
38,Résistance à la glace,Réduit les dégâts reçus lorsqu'une attaque de glace est subie.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,38,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
39,Résistance au vent,Réduit les dégâts reçus lorsqu'une attaque de vent est subie.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,39,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
40,Résistance à la terre,Réduit les dégâts reçus lorsqu'une attaque de terre est subie.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,40,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
41,Résistance à la foudre,Réduit les dégâts reçus lorsqu'une attaque de foudre est subie.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,41,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
42,Résistance à l'eau,Réduit les dégâts reçus lorsqu'une attaque d'eau est subie.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,42,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
43,Résistance magique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
44,Détermination,Influence les dégâts infligés par les attaques physiques et magiques ainsi que le montant de PV restaurés par les sorts curatifs.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,20,100,100,100,100,100,100,100,100,100,100,100,100,100,22,False
45,Vivacité,"Influence le temps de lancement et de recharge des techniques d'arme, et la puissance des attaques automatiques et des dégâts périodiques physiques. Une valeur élevée permet de réduire les temps de lancement et de recharge, et d'augmenter les dégâts périodiques et ceux des attaques automatiques.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,21,100,100,100,100,100,100,100,100,100,100,100,100,100,23,False
46,Célérité,"Influence le temps de lancement et de recharge des sorts ainsi que les dégâts et effets curatifs périodiques de la magie. Une valeur élevée permet de réduire les temps de lancement et de recharge, et d'accroître les dégâts et effets curatifs périodiques.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,22,100,100,100,100,100,100,100,100,100,100,100,100,100,24,False
47,Hâte,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,100,100,100,100,100,100,100,100,100,100,100,100,25,True
48,Moral,Remplace la défense et la défense magique pour déterminer les dégâts subis lors d'attaques venant d'autres joueurs. Détermine également les dégâts infligés aux autres joueurs.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,73,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
49,Inimitié,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
50,Réduction d'inimitié,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
51,Augmentation de la compétence de recyclage,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
52,Points d'expérience gagnés,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
53,Récup,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
54,Bonus spécial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
55,Bonus de base,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,11,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
56,Bonus additionnels,,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,18,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
57,Résistance à Lenteur,Réduit la durée de l'effet Lenteur.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,61,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
58,Résistance à Pétrification,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,62,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
59,Résistance à Paralysie,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,63,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
60,Résistance à Silence,Réduit la durée de l'effet Silence.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,64,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
61,Résistance à Cécité,Réduit la durée de l'effet Cécité.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,65,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
62,Résistance à Poison,Réduit la durée de l'effet Poison.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,66,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
63,Résistance à Étourdissement,Réduit la durée de l'effet Étourdissement.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,67,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
64,Résistance à Sommeil,Réduit la durée de l'effet Sommeil.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,68,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
65,Résistance à Entrave,Réduit la durée de l'effet Entrave.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,69,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
66,Résistance à Pesanteur,Réduit la durée de l'effet Pesanteur.,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,70,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
67,Résistance à Glas,,140,0,172,172,172,0,172,172,0,0,0,0,140,140,344,688,0,344,860,516,516,344,344,71,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
68,Résistance à l'usure,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
69,Gain accru de symbiose,,100,20,80,80,80,80,80,80,80,80,80,80,120,60,160,320,0,160,400,240,240,160,160,56,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
70,Habileté,Influence la progression réalisée lors d'un tour d'une synthèse.,350,350,20,300,20,20,20,20,20,20,20,30,350,350,320,360,0,40,380,340,340,320,320,30,100,100,100,100,100,100,100,100,100,100,100,100,100,26,False
71,Contrôle,Influence la qualité réalisée lors d'un tour d'une synthèse.,200,200,120,120,120,100,120,120,30,30,30,40,200,200,200,400,0,200,500,300,300,240,240,31,100,100,100,100,100,100,100,100,100,100,100,100,100,27,False
72,Collecte,Influence le taux auquel les objets sont récoltés.,350,200,20,200,150,0,100,10,10,10,10,10,350,350,210,460,0,110,470,450,310,350,300,33,100,100,100,100,100,100,100,100,100,100,100,100,100,28,False
73,Savoir-faire,"Augmente la quantité d'objets récoltés pour les botanistes et les mineurs, et la taille des prises pour les pêcheurs.",200,350,200,100,10,0,50,110,10,10,10,10,200,200,300,220,0,110,420,120,210,110,150,34,100,100,100,100,100,100,100,100,100,100,100,100,100,29,False
