#,Location,Fare,Unknown0,TimeRequired,Unknown1
112,1179686,105,0,1,False
113,1179685,105,0,1,False
114,1179687,130,0,2,False
115,0,80,0,0,False
116,1179685,130,0,2,False
117,0,80,0,0,False
118,1179687,115,0,1,False
119,0,80,0,0,False
120,1179686,115,0,1,False
121,0,80,0,0,False
122,1179688,120,0,1,False
123,1179687,120,0,1,False
124,1179689,150,0,2,False
125,0,80,0,0,False
126,1179687,150,0,2,False
127,0,80,0,0,False
128,1179689,140,0,2,False
129,0,80,0,0,False
130,1179688,140,0,2,False
131,0,80,0,0,False
132,1179692,135,0,1,False
133,1179691,120,0,1,False
134,1179691,125,0,1,False
135,1179690,125,0,1,False
136,1179692,120,0,1,False
137,1179690,135,0,1,False
138,1179694,145,0,1,False
139,1179693,145,0,1,False
140,1179685,5,0,1,False
141,1179684,5,0,1,False
142,0,80,0,1,False
143,1179695,105,0,1,False
144,0,80,0,0,False
145,1179696,120,0,2,False
146,1179695,120,0,2,False
147,0,80,0,0,False
148,1179697,60,0,1,False
149,1179695,60,0,1,False
150,0,80,0,0,False
151,1179698,105,0,1,False
152,1179699,105,0,2,False
153,1179695,105,0,2,False
154,0,80,0,0,False
155,1179697,60,0,2,False
156,1179696,60,0,2,False
157,1179699,130,0,2,False
158,0,0,0,0,False
159,1179697,130,0,2,False
160,0,0,0,0,False
161,1179699,60,0,1,False
162,1179698,60,0,1,False
163,1179700,105,0,1,False
164,0,80,0,0,False
165,1179698,105,0,1,False
166,1179700,105,0,2,False
167,0,80,0,0,False
168,1179699,105,0,2,False
169,1179701,60,0,1,False
170,1179700,60,0,1,False
171,1179703,205,0,2,False
172,1179702,205,0,2,False
173,0,80,0,0,False
174,1179704,200,0,2,False
175,1179702,200,0,2,False
176,0,80,0,0,False
177,1179704,60,0,2,False
178,1179703,60,0,2,False
179,1179705,135,0,2,False
180,0,80,0,0,False
181,1179703,135,0,2,False
182,0,80,0,0,False
183,1179705,145,0,3,False
184,0,80,0,0,False
185,1179704,145,0,3,False
186,0,80,0,0,False
187,1179706,60,0,1,False
188,1179705,60,0,1,False
189,1179707,135,0,2,False
190,0,80,0,0,False
191,1179706,135,0,2,False
192,0,80,0,0,False
193,1179703,110,0,2,False
194,0,80,0,0,False
195,1179707,110,0,2,False
196,0,80,0,0,False
197,1179708,95,0,1,False
198,1179707,95,0,1,False
199,1179706,135,0,2,False
200,0,80,0,0,False
201,1179709,135,0,2,False
202,0,80,0,0,False
203,1179709,90,0,1,False
204,1179708,90,0,1,False
205,1179707,60,0,1,False
206,1179709,60,0,1,False
207,1179711,60,0,1,False
208,1179710,60,0,1,False
209,1179712,60,0,1,False
210,1179711,60,0,1,False
211,1179710,80,0,2,False
212,1179712,80,0,2,False
213,1179713,110,0,2,False
214,0,80,0,0,False
215,1179710,110,0,2,False
216,1179713,70,0,1,False
217,0,80,0,0,False
218,1179711,70,0,1,False
219,1179713,70,0,1,False
220,0,80,0,0,False
221,1179712,70,0,1,False
222,1179715,30,0,1,False
223,1179714,30,0,1,False
224,1179716,60,0,2,False
225,1179714,60,0,2,False
226,1179715,60,0,2,False
227,1179716,60,0,2,False
228,1179717,60,0,1,False
229,1179718,60,0,1,False
230,1179720,60,0,1,False
231,1179719,60,0,1,False
232,1179722,60,0,1,False
233,1179723,60,0,1,False
234,1179716,125,0,2,False
235,0,80,0,0,False
236,1179723,125,0,2,False
237,0,80,0,0,False
238,1179718,145,0,2,False
239,0,80,0,0,False
240,1179723,145,0,2,False
241,0,80,0,0,False
242,1179721,90,0,1,False
243,0,80,0,0,False
244,1179723,90,0,1,False
245,1179719,140,0,2,False
246,0,80,0,0,False
247,1179723,140,0,2,False
248,0,80,0,0,False
249,1179716,125,0,1,False
250,0,80,0,0,False
251,1179722,125,0,1,False
252,0,80,0,0,False
253,1179718,145,0,2,False
254,0,80,0,0,False
255,1179722,145,0,2,False
256,0,80,0,0,False
257,1179721,90,0,2,False
258,0,80,0,0,False
259,1179722,90,0,2,False
260,1179719,140,0,2,False
261,0,80,0,0,False
262,1179722,140,0,2,False
263,0,80,0,0,False
264,1179720,60,0,1,False
265,1179724,60,0,1,False
266,1179719,75,0,1,False
267,1179724,75,0,1,False
268,1179649,80,400,0,True
269,1179649,80,400,0,True
270,1179649,80,400,0,True
271,1179649,80,400,0,True
272,1179649,80,0,0,True
273,1179649,80,0,0,True
274,1179649,80,0,0,True
275,1179649,80,0,0,True
276,1179649,80,0,0,True
277,1179649,80,0,0,True
278,1179649,80,0,0,True
279,1179649,80,0,0,True
280,1179727,60,0,1,False
281,1179726,60,0,1,False
282,1179726,60,0,1,False
283,1179728,60,0,1,False
284,1179727,60,0,1,False
285,1179728,60,0,1,False
286,1179725,120,0,2,False
287,0,80,0,0,False
288,1179726,120,0,2,False
289,1179725,120,0,2,False
290,0,80,0,0,False
291,1179727,120,0,2,False
292,1179725,30,0,1,False
293,0,80,0,0,False
294,1179728,30,0,1,False
295,1179730,120,0,2,False
296,1179729,120,0,2,False
297,1179733,60,0,1,False
298,1179732,60,0,1,False
299,1179734,60,0,1,False
300,1179733,60,0,1,False
301,1179734,130,0,2,False
302,1179732,130,0,2,False
303,1179731,30,0,1,False
304,0,80,0,0,False
305,1179732,30,0,1,False
306,1179731,60,0,1,False
307,0,80,0,0,False
308,1179733,60,0,1,False
309,1179731,120,0,2,False
310,0,80,0,0,False
311,1179734,120,0,2,False
312,1179736,60,0,1,False
313,1179735,60,0,1,False
314,0,80,0,0,False
315,1179738,60,0,1,False
316,1179735,60,0,1,False
317,0,80,0,0,False
318,1179737,120,0,2,False
319,1179736,120,0,2,False
320,1179739,60,0,1,False
321,1179738,60,0,1,False
322,1179740,60,0,1,False
323,1179738,60,0,1,False
324,1179740,60,0,1,False
325,1179739,60,0,1,False
