#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
14,bouclier de glace,boucliers de glace,Bouclier de glace,"Dégâts subis -30%
Lenteur +10%
Effet spécial : 30% de chances d'annuler les dégâts de glace et de les absorber.","Élément glace absorbé, réduction des dégâts subis, Lenteur",0,0,0,1,0,0,243014,140,1
15,bouclier de terre,boucliers de terre,Bouclier de terre,"Effet spécial : 30% de chances d'annuler les dégâts de terre et de les absorber.
Effet spécial : 10% de chances de se voir octroyer Cuirasse en bloquant une action avec le bouclier.
Cuirasse : diminue les dégâts subis pour un total de 15% des PV maximums.
Durée : 60s","Élément terre absorbé, Cuirasse en bloquant avec le bouclier",0,0,0,1,0,0,243015,266,1
16,bouclier d'eau,boucliers d'eau,Bouclier d'eau,"Force de blocage +50%
Effet spécial : 30% de chances d'annuler les dégâts d'eau et de les absorber.
Effet spécial : 10% de chances de se voir octroyer Miroir en bloquant une action avec le bouclier.
Miroir : renvoie la plupart des attaques magiques.
Durée : 60s","Élément eau absorbé, force de blocage augmentée, Miroir en bloquant avec le bouclier",0,0,0,1,0,0,243016,214,1
17,bouclier de force,boucliers de force,Bouclier de force,"Force de blocage +75%
Dégâts magiques subis -10%","Force de blocage augmentée, vulnérabilité magique diminuée",0,0,0,1,0,0,243017,82,1
18,ruban écarlate,rubans écarlates,Ruban écarlate,"Résistance à Pétrification +100%
Résistance à Cécité +100%
Résistance à Paralysie +100%","Résistance à Pétrification, à Cécité et à Paralysie",0,0,0,1,0,0,243018,84,1
19,paire de gantelets Genji,paires de gantelets Genji,Gantelets Genji,"Dégâts infligés +12%
Résistance à Paralysie +100%
Effet spécial : 10% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Bonus de dégâts, résistance à Paralysie, récupération de PT si combo instinctif réussi",0,0,0,1,1,0,243019,238,1
20,bouclier Genji,boucliers Genji,Bouclier Genji,"Force de blocage +30%
Esquive +10%","Force de blocage augmentée, esquive augmentée",0,0,0,1,0,0,243020,94,1
21,armure Genji,armures Genji,Armure Genji,"Vitesse de déplacement -20%
Dégâts subis -20%
PV maximums +30%","Vitesse de déplacement réduite, réduction des dégâts subis, bonus de PV",0,0,1,1,1,0,243021,226,1
22,paire de lunettes argentées,paires de lunettes argentées,Lunettes argentées,"Chances de critiques +15%
Résistance à Cécité +100%","Chances de critiques améliorées, résistance à Cécité",0,0,0,1,1,0,243022,112,1
23,aube d'ange,aubes d'ange,Aube d'ange,"Dégâts subis -7%
Résistance à Poison +100%
Effet spécial : 5% de chances de se voir octroyer un degré de Recouvrement en subissant des dégâts. Cumulable jusqu'au 8e degré.
Recouvrement : restaure périodiquement 3% de vos PV maximums.
Durée : 12s","Réduction des dégâts subis, résistance à Poison, récupération de PV en subissant des dégâts",0,0,1,1,1,0,243023,189,1
24,bouclier de dresseur,boucliers de dresseur,Bouclier de dresseur,"Force de blocage +125%
Dégâts subis -25%
PV maximums +35%","Force de blocage augmentée, réduction des dégâts subis, bonus de PV",0,0,0,1,0,0,243024,390,1
25,voile mystique,voiles mystiques,Voile mystique,"Dégâts magiques infligés +18%
Dégâts magiques subis -15%
Effet spécial : augmente de 15% les effets curatifs des actions et des objets du Dédale que vous utilisez.","Bonus de dégâts magiques, vulnérabilité magique diminuée, effets curatifs améliorés",0,0,0,1,0,0,243025,220,1
26,zukin noir,zukin noirs,Zukin noir,"PV maximums +6%
Esquive +8%
Résistance à Sommeil +100%","Bonus de PV, esquive augmentée, résistance à Sommeil",0,0,0,1,0,0,243026,122,1
27,couronne héroïque,couronnes héroïques,Couronne héroïque,"PV maximums +30%
Dégâts infligés +18%
Effet spécial : vous octroie Excellence si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.
Excellence : annule la plupart des attaques et augmente de 10% les dégâts infligés.
Durée : 9s","Bonus de PV, bonus de dégâts, Excellence si combo instinctif réussi",0,0,0,1,1,0,243027,420,1
28,gilet mirage,gilets mirages,Gilet mirage,"Effet spécial : 20% de chances de se voir octroyer un degré de Leurre en subissant des dégâts.
Leurre : bloque la plupart des attaques physiques. Consomme un degré par attaque bloquée.
Durée : 120s",Leurre en subissant des dégâts,0,0,0,1,0,0,243028,150,1
29,armure de la Mort,armures de la Mort,Armure de la Mort,"PV maximums +10%
Dégâts subis -5%
Résistance à Glas +100%","Bonus de PV, réduction des dégâts subis, résistance à Glas",0,0,1,1,1,0,243029,99,1
30,armure de ronces,armures de ronces,Armure de ronces,"Effet spécial : inflige une riposte aux dégâts magiques neutres à l'attaquant lorsque vous subissez des attaques physiques. Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts infligés par la riposte.
Puissance : 360",Riposte en cas de dégâts physiques subis,0,0,1,1,1,0,243030,168,1
31,couteau de poltron,couteaux de poltron,Couteau de poltron,"Dégâts infligés +1%
Effet spécial : 35% de chances de pouvoir fuir une rencontre avec un ennemi. Aucune récompense n'est obtenue en cas de fuite, mais le combat est évité.
Fuite impossible face aux boss et aux cibles d'élite.
Effet additionnel : vous octroie un degré de Tape & trace en cas de fuite.
Tape & trace : dégâts infligés +18%, Esquive +4%
Durée : infinie","Bonus de dégâts, fuite en rencontrant un ennemi",0,0,0,1,0,0,243031,90,1
32,gilet ombral,gilets ombraux,Gilet ombral,"PV maximums +12%
Effet spécial : 25% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Bonus de PV, récupération de PT si combo instinctif réussi",0,0,0,1,0,0,243032,167,1
33,bague ombrale,bagues ombrales,Bague ombrale,"Dégâts physiques subis -9%
Effet spécial : 10% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Vulnérabilité physique diminuée, récupération de PT si combo instinctif réussi",0,0,0,1,1,0,243033,81,1
34,bracelet ombral,bracelets ombraux,Bracelet ombral,"Dégâts magiques subis -15%
PV maximums +5%
Résistance à Étourdissement +100%","Vulnérabilité magique diminuée, bonus de PV, résistance à Étourdissement",0,0,0,1,0,0,243034,112,1
35,gilet astral,gilets astraux,Gilet astral,"Recharge rapide +25%
Dégâts subis -7%
PV maximums +15%","Recharge rapide, réduction des dégâts subis, bonus de PV",0,0,0,1,0,0,243035,190,1
36,bague astrale,bagues astrales,Bague astrale,"Recharge rapide +15%
Dégâts physiques subis -8%","Recharge rapide, vulnérabilité physique diminuée",0,0,0,1,1,0,243036,74,1
37,bracelet astral,bracelets astraux,Bracelet astral,"Recharge rapide +15%
Dégâts magiques subis -8%","Recharge rapide, vulnérabilité magique diminuée",0,0,0,1,0,0,243037,86,1
38,hache imprégnée de flammes,haches imprégnées de flammes,Hache imprégnée de flammes,"Effet spécial : ajoute des dégâts sup­plé­men­tai­res de feu à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup­plé­men­tai­res infligés.
Puissance des dégâts sup­plé­men­tai­res : 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.",Dégâts supplémentaires de feu pour l'attaque automatique,0,0,0,1,1,0,243038,168,1
39,hache imprégnée de glace,haches imprégnées de glace,Hache imprégnée de glace,"Effet spécial : ajoute des dégâts sup­plé­men­tai­res de glace à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup­plé­men­tai­res infligés.
Puissance des dégâts sup­plé­men­tai­res : 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.",Dégâts supplémentaires de glace pour l'attaque automatique,0,0,0,1,1,0,243039,168,1
40,hache imprégnée de foudre,haches imprégnées de foudre,Hache imprégnée de foudre,"Effet spécial : ajoute des dégâts sup­plé­men­tai­res de foudre à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup­plé­men­tai­res infligés.
Puissance des dégâts sup­plé­men­tai­res : 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.",Dégâts supplémentaires de foudre pour l'attaque automatique,0,0,0,1,1,0,243040,168,1
41,hache imprégnée de terre,haches imprégnées de terre,Hache imprégnée de terre,"Effet spécial : ajoute des dégâts sup­plé­men­tai­res de terre à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup­plé­men­tai­res infligés.
Puissance des dégâts sup­plé­men­tai­res : 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.",Dégâts supplémentaires de terre pour l'attaque automatique,0,0,0,1,1,0,243041,168,1
42,hache imprégnée d'eau,haches imprégnées d'eau,Hache imprégnée d'eau,"Effet spécial : ajoute des dégâts sup­plé­men­tai­res d'eau à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup­plé­men­tai­res infligés.
Puissance des dégâts sup­plé­men­tai­res : 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.",Dégâts supplémentaires d'eau pour l'attaque automatique,0,0,0,1,1,0,243042,168,1
43,hache imprégnée de vent,haches imprégnées de vent,Hache imprégnée de vent,"Effet spécial : ajoute des dégâts sup­plé­men­tai­res de vent à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup­plé­men­tai­res infligés.
Puissance des dégâts sup­plé­men­tai­res : 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.",Dégâts supplémentaires de vent pour l'attaque automatique,0,0,0,1,1,0,243043,168,1
44,tenue de furtivité,tenues de furtivité,Tenue de furtivité,"PV maximums +17%
Esquive +8%
Effet spécial : vous octroie un degré de Hâte lorsque vous esquivez une attaque. Cumulable jusqu'au 5e degré.
Hâte : réduit de 2% le délai des attaques automatiques et les temps de lancement et de recharge des techniques d'arme et des sorts de magie.
Durée : 60s","Bonus de PV, esquive augmentée, Hâte en cas d'esquive",0,0,0,1,1,0,243044,175,1
45,paire de gantelets de furtivité,paires de gantelets de furtivité,Gantelets de furtivité,"Hâte +2%
Dégâts physiques infligés +3%","Hâte, bonus de dégâts physiques",0,0,0,1,1,0,243045,63,1
46,cache-œil de furtivité,cache-œils de furtivité,Cache-œil de furtivité,"Hâte +5%
Chances de critiques +5%","Hâte, chances de critiques améliorées",0,0,0,1,0,0,243046,91,1
47,bouclier de vent,boucliers de vent,Bouclier de vent,"Effet spécial : 30% de chances d'annuler les dégâts de vent et de les absorber.
Effet spécial : 50% de chances de se voir octroyer un degré de Leurre en bloquant une action avec le bouclier.
Leurre : bloque la plupart des attaques physiques. Consomme un degré par attaque bloquée.
Durée : 120s","Élément vent absorbé, Leurre en bloquant avec le bouclier",0,0,0,1,0,0,243047,224,1
48,masque de vent,masques de vent,Masque de vent,"Dégâts magiques subis -10%
Effet spécial : augmente de 15% les effets curatifs des actions et des objets du Dédale que vous utilisez.
Effet spécial : vous octroie Double tranchant lorsque vous esquivez une attaque.
Double tranchant : les dégâts infligés augment de 30%, mais vous subissez des dégâts périodiques.
Durée : 21s","Vulnérabilité magique diminuée, effets curatifs améliorés, Double tranchant en cas d'esquive",0,0,0,1,0,0,243048,154,1
49,armure de vent,armures de vent,Armure de vent,"Dégâts subis -15%
Dégâts magiques infligés +20%
Effet spécial : augmente de 30% les effets curatifs des actions et des objets du Dédale que vous utilisez.","Réduction des dégâts subis, bonus de dégâts magiques, effets curatifs améliorés",0,0,1,1,1,0,243049,264,1
50,hache lourde,haches lourdes,Hache lourde,"Dégâts infligés +25%
Vitesse de déplacement -20%","Bonus de dégâts, vitesse de déplacement réduite",0,0,0,1,1,0,243050,268,1
51,armure de mithril,armures de mithril,Armure de mithril,"Dégâts subis -15%
PV maximums +15%","Réduction des dégâts subis, bonus de PV",0,0,1,1,1,0,243051,172,1
52,paire de gantelets de mithril,paires de gantelets de mithril,Gantelets de mithril,"Dégâts subis -5%
Dégâts physiques infligés +5%
PV maximums +5%","Réduction des dégâts subis, bonus de dégâts physiques, bonus de PV",0,0,0,1,1,0,243052,113,1
53,paire de genouillères de mithril,paires de genouillères de mithril,Genouillères de mithril,"Dégâts subis -10%
PV maximums +5%","Réduction des dégâts subis, bonus de PV",0,0,0,1,1,0,243053,85,1
54,masque de fauve,masques de fauve,Masque de fauve,"Dégâts physiques subis -10%
Chances de critiques +15%","Vulnérabilité physique diminuée, chances de critiques améliorées",0,0,0,1,0,0,243054,126,1
55,dague de fauve,dagues de fauve,Dague de fauve,"Chances de critiques +8%
Effet spécial : 25% de chances de se voir octroyer un degré de Bonus de dégâts en cas d'attaque critique. Cumulable jusqu'au 8e degré.
Bonus de dégâts : augmente de 3% les dégâts infligés.
Durée : 30s","Chances de critiques améliorées, bonus de dégâts en cas de critique",0,0,0,1,1,0,243055,87,1
56,boucle d'oreille de fauve,boucles d'oreille de fauve,Boucle d'oreille de fauve,"Chances de critiques +15%
PV maximums +2%","Chances de critiques améliorées, bonus de PV",0,0,0,1,1,0,243056,84,1
57,dague de voleur,dagues de voleur,Dague de voleur,"Hâte +1%
Effet spécial : permet de sélectionner deux objets en trouvant un coffre au trésor.","Hâte, 2 objets par coffre",0,0,0,1,1,0,243057,200,1
58,gilet de voleur,gilets de voleur,Gilet de voleur,"Taux d'obtention de butin +80%
Dégâts subis -8%
PV maximums +18%","Bonus d'obtention de butin, réduction des dégâts subis, bonus de PV",0,0,0,1,0,0,243058,172,1
59,paire de gants de voleur,paires de gants de voleur,Gants de voleur,"Taux d'obtention de butin +70%
Hâte +2%","Bonus d'obtention de butin, Hâte",0,0,0,1,1,0,243059,50,1
60,paire de bottes de voleur,paires de bottes de voleur,Bottes de voleur,"Taux d'obtention de butin +40%
Esquive +2%","Bonus d'obtention de butin, esquive augmentée",0,0,0,1,1,0,243060,30,1
61,hache de foudre,haches de foudre,Hache de foudre,"Dégâts infligés +30%
Effet spécial : 5% de chances de subir Étourdissement lorsque vous subissez des dégâts.
Durée d'Étourdissement : 3s","Bonus de dégâts, Étourdissement en cas de dégâts subis",0,0,0,1,1,0,243061,315,1
62,armure de foudre,armures de foudre,Armure de foudre,"Effet spécial : 30% de chances d'annuler les dégâts de foudre et de les absorber.
Effet spécial : 5% de chances de se voir octroyer un degré d'Excitation en cas d'attaque critique. Cumulable jusqu'au 4e degré.
Excitation : dégâts infligés +10%, dégâts subis -5%
Durée : 180s","Élément foudre absorbé, Excitation en cas de critique",0,0,1,1,1,0,243062,161,1
63,bouclier repousse-démons,boucliers repousse-démons,Bouclier repousse-démons,"Effet spécial : octroie un degré de Vulnérabilité magique diminuée en bloquant une action avec le bouclier. Cumulable jusqu'au 8e degré.
Vulnérabilité magique diminuée : réduit de 5% les dégâts magiques subis.
Durée : 60s",Vulnérabilité magique diminuée en bloquant avec le bouclier,0,0,0,1,0,0,243063,84,1
64,épingle à cheveux dorée,épingles à cheveux dorée,Épingle à cheveux dorée,"Recharge rapide +10%
Effet spécial : 25% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Recharge rapide, récupération de PT si combo instinctif réussi",0,0,1,1,1,0,243064,113,1
65,couteau ignescent,couteaux ignescents,Couteau ignescent,"Dégâts infligés +25%
Hâte +5%
Effet spécial : 10% de chances de subir Chaînes de flammes en cas d'attaque critique.
Chaînes de flammes : inflige des dégâts magiques en cas de déplacement.
Durée : 9s","Bonus de dégâts, Hâte, Chaînes de flammes en cas de critique",0,0,0,1,0,0,243065,262,1
66,bouclier ignescent,boucliers ignescents,Bouclier ignescent,"Force de blocage +50%
Dégâts infligés +3%
Effet spécial : 30% de chances d'annuler les dégâts de feu et de les absorber.","Élément feu absorbé, force de blocage augmentée, bonus de dégâts",0,0,0,1,0,0,243066,116,1
67,bonnet de commerçant,bonnets de commerçant,Bonnet de commerçant,"Augmente de 25% les jetons bestiaux reçus.
Chances de critiques -10%
Dégâts physiques infligés +5%","Jetons bestiaux supplémentaires, chances de critique diminuées, bonus de dégâts",0,0,0,1,0,0,243067,24,1
68,gilet de commerçant,gilets de commerçant,Gilet de commerçant,"Augmente de 25% les jetons bestiaux reçus.
Dégâts physiques subis -10%","Jetons bestiaux supplémentaires, vulnérabilité physique diminuée",0,0,0,1,0,0,243068,52,1
69,paire de chaussures de commerçant,paires de chaussures de commerçant,Chaussures de commerçant,"Augmente de 25% les jetons bestiaux reçus.
Esquive +4%
PV maximums +12%","Jetons bestiaux supplémentaires, esquive augmentée, bonus de PV",0,0,0,1,1,0,243069,101,1
70,bague de soulagement,bagues de soulagement,Bague de soulagement,"PV maximums +3%
Effet spécial : augmente de 25% l'accumulation de PT.",Accumulation des PT augmentée,0,0,0,1,1,0,243070,113,1
71,casque diabolique,casques diaboliques,Casque diabolique,"Dégâts infligés +20%
Effet spécial : 1% de chances de subir Glas lorsque vous subissez des dégâts.
Durée de Glas : 2s
Effet spécial : augmente de 20% l'accumulation de PT.","Bonus de dégâts, Glas en cas de dégâts subis, accumulation des PT augmentée",0,0,0,1,0,0,243071,264,1
72,armure diabolique,armures diaboliques,Armure diabolique,"PV maximums +5%
Effet spécial : augmente de 5% l'accumulation de PT.
Effet spécial : vous octroie un degré d'Excitation lorsque vous éliminez un ennemi. Cumulable jusqu'au 4e degré.
Excitation : dégâts infligés +10%, dégâts subis -5%
Durée : 180s","Bonus de PV, accumulation des PT augmentée, Excitation en éliminant un ennemi",0,0,1,1,1,0,243072,170,1
73,épingle à cheveux de l'Impératrice ,épingles à cheveux de l'Impératrice ,Épingle à cheveux de l'Impératrice ,"Esquive +10%
PV maximums -8%
Effet spécial : 2% de chances de se voir octroyer un degré de Recouvrement en cas d'attaque critique. Cumulable jusqu'au 8e degré.
Recouvrement : restaure périodiquement 3% de vos PV maximums.
Durée : 12s","Esquive augmentée, malus de PV, récupération de PV en cas de critique",0,0,1,1,1,0,243073,129,1
74,ceinture de hâte,ceintures de hâte,Ceinture de hâte,Hâte +6%,Hâte,0,0,0,1,1,0,243074,76,1
75,hoplon de guerrier,hoplons de guerrier,Hoplon de guerrier,"Force de blocage +100%
Dégâts physiques subis -5%
PV maximums +2%","Force de blocage augmentée, vulnérabilité physique diminuée, bonus de PV",0,0,0,1,0,0,243075,64,1
76,potion de bête I,potions de bête I,Potion de bête I,Restaure 10% des PV du dresseur ou d'une bête.,,0,0,0,1,1,0,243136,32,2
77,potion de bête II,potions de bête II,Potion de bête II,Restaure 23% des PV du dresseur ou d'une bête.,,0,0,0,1,1,0,243137,72,2
78,potion de bête III,potions de bête III,Potion de bête III,Restaure 36% des PV du dresseur ou d'une bête.,,0,0,0,1,1,0,243138,113,2
79,potion de bête IV,potions de bête IV,Potion de bête IV,Restaure 50% des PV du dresseur ou d'une bête.,,0,0,0,1,1,0,243139,158,2
80,poignée de poudre pour bête I,poignées de poudre pour bête I,Poudre pour bête I,Restaure vos PV et ceux des alliés alentour de 10%.,,0,0,0,1,1,0,243140,63,2
81,poignée de poudre pour bête II,poignées de poudre pour bête II,Poudre pour bête II,Restaure vos PV et ceux des alliés alentour de 25%.,,0,0,0,1,1,0,243141,158,2
82,poignée de poudre pour bête III,poignées de poudre pour bête III,Poudre pour bête III,Restaure vos PV et ceux des alliés alentour de 40%.,,0,0,0,1,1,0,243142,252,2
83,antidote de bête,antidotes de bête,Antidote de bête,"Soigne instantanément la plupart des cas d'empoisonnement affectant le dresseur ou l'une de ses bêtes, et restaure 25% des PV maximums en cas de réussite.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,1,1,0,0,243143,32,2
84,aiguille de bête,aiguilles de bête,Aiguille de bête,"Soigne instantanément la plupart des cas de pétrification affectant une bête, restaure 50% de ses PV maximums en cas de réussite, et lui octroie Cuirasse.
Cuirasse : protége des dégâts pour un total de 50% de ses PV maximums.
Durée : 60s
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,1,1,1,0,243144,32,2
85,fiole de collyre de bête,fioles de collyre de bête,Fiole de collyre de bête,"Soigne instantanément la plupart des cas de cécité affectant le dresseur ou l'une de ses bêtes, et restaure 25% des PV maximums en cas de réussite.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243145,32,2
86,fiole de sérum anti-poison de bête I,fioles de sérum anti-poison de bête I,Sérum anti-poison de bête I,"Augmente la résistance à Poison de 100% pour le dresseur ou l'une de ses bêtes.
Durée d'effet : 180s
Effet additionnel : restaure 50% des PV maximums de la cible si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243146,32,2
87,fiole de sérum anti-poison de bête II,fioles de sérum anti-poison de bête II,Sérum anti-poison de bête II,"Augmente la résistance à Poison de 100% pour vous et les alliés alentour.
Durée d'effet : 300s
Effet additionnel : restaure 50% des PV maximums si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243147,50,2
88,fiole de sérum anti-paralysie de bête I,fioles de sérum anti-paralysie de bête I,Sérum anti-paralysie de bête I,"Augmente la résistance à Paralysie de 100% pour le dresseur ou l'une de ses bêtes.
Durée d'effet : 180s
Effet additionnel : restaure 50% des PV maximums de la cible si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243148,32,2
89,fiole de sérum anti-paralysie de bête II,fioles de sérum anti-paralysie de bête II,Sérum anti-paralysie de bête II,"Augmente la résistance à Paralysie de 100% pour vous et les alliés alentour.
Durée d'effet : 300s
Effet additionnel : restaure 50% des PV maximums si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243149,50,2
90,fiole de sérum anti-cécité de bête I,fiole de sérum anti-cécité de bête I,Sérum anti-cécité de bête I,"Augmente la résistance à Cécité de 100% pour le dresseur ou l'une de ses bêtes.
Durée d'effet : 180s
Effet additionnel : restaure 50% des PV maximums de la cible si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243150,32,2
91,fiole de sérum anti-cécité de bête II,fiole de sérum anti-cécité de bête II,Sérum anti-cécité de bête II,"Augmente la résistance à Cécité de 100% pour vous et les alliés alentour.
Durée d'effet : 300s
Effet additionnel : restaure 50% des PV maximums si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243151,50,2
92,fiole de sérum anti-pétrification de bête I,fioles de sérum anti-pétrification de bête I,Sérum anti-pétrification de bête I,"Augmente la résistance à Pétrification de 100% pour le dresseur ou l'une de se bêtes.
Durée d'effet : 180s
Effet additionnel : restaure 50% des PV maximums de la cible si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243152,32,2
93,fiole de sérum anti-pétrification de bête II,fioles de sérum anti-pétrification de bête II,Sérum anti-pétrification de bête II,"Augmente la résistance à Pétrification de 100% pour vous et les alliés alentour.
Durée d'effet : 300s
Effet additionnel : restaure 50% des PV maximums si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243153,50,2
94,fiole de sérum anti-sommeil de bête I,fioles de sérum anti-sommeil de bête I,Sérum anti-sommeil de bête I,"Augmente la résistance à Sommeil de 100% pour le dresseur ou l'une de ses bêtes.
Durée d'effet : 180s
Effet additionnel : restaure 50% des PV maximums de la cible si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243154,32,2
95,fiole de sérum anti-sommeil de bête II,fioles de sérum anti-sommeil de bête II,Sérum anti-sommeil de bête II,"Augmente la résistance à Sommeil de 100% pour vous et les alliés alentour.
Durée d'effet : 300s
Effet additionnel : restaure 50% des PV maximums si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",,0,0,0,1,1,0,243155,50,2
96,sifflet de résurrection,sifflets de résurrection,Sifflet de résurrection,"Ranime une bête hors de combat.
Cet objet ne peut être utilisé que sur le plateau de jeu.",,0,0,0,1,0,0,243156,135,2
97,bombe fumigène de bête,bombes fumigènes de bête,Bombe fumigène de bête,"Permet d'éviter un af­fron­te­ment, mais ne fonctionne pas contre les cibles d'élite ou les gardiens du plateau.
Vous pouvez choisir de l'utiliser juste avant le début d'un af­fron­te­ment.",,0,0,0,1,1,0,243157,85,2
