#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
43,barde orientale,bardes orientales,Barde orientale,0,0,0,1,1,0,65577,65577,65577,58630,58632,58631,0,60
44,barde de course,bardes de course,Barde de course,0,0,0,1,1,0,65579,65579,65579,58633,58635,58634,0,61
45,barde de Nidhogg,bardes de Nidhogg,Barde de Nidhogg,0,0,0,1,1,0,65578,65578,65578,58636,58638,58637,0,132
46,barde de majordome,bardes de majordome,Barde de majordome,0,0,0,1,1,0,65580,65580,65580,58639,58641,58640,0,62
47,barde de Sophia,bardes de Sophia,Barde de Sophia,0,0,0,1,1,0,65576,65576,65576,58642,58644,58643,0,133
48,barde de servante,bardes de servante,Barde de servante,0,0,0,1,1,0,65581,65581,65581,58645,58647,58646,0,63
49,barde de servante des Manderville,bardes de servante des Manderville,Barde de servante des Manderville,0,0,0,1,1,0,131117,131117,131117,58648,58650,58649,0,64
50,barde angélique,bardes angéliques,Barde angélique,0,0,0,1,1,0,65583,65583,65583,58651,58653,58652,0,65
51,barde démoniaque,bardes démoniaques,Barde démoniaque,0,0,0,1,1,0,65584,65584,65584,58654,58656,58655,0,66
52,barde de Zurvan,bardes de Zurvan,Barde de Zurvan,0,0,0,1,1,0,65582,65582,65582,58657,58659,58658,0,134
53,barde de Susano,bardes de Susano,Barde de Susano,0,0,0,1,1,0,65585,65585,65585,58660,58662,58661,0,135
54,barde mhigoise,bardes mhigoise,Barde mhigoise,0,0,0,1,1,0,65586,65586,65586,58663,58665,58664,0,67
55,barde de Lakshmi,bardes de Lakshmi,Barde de Lakshmi,0,0,0,1,1,0,65587,65587,65587,58666,58668,58667,0,136
56,barde chocobo hingashienne,bardes chocobo hingashiennes,Barde chocobo hingashienne,0,0,0,1,1,0,65588,65588,65588,58669,58671,58670,0,68
57,barde mog hingashienne,bardes mog hingashiennes,Barde mog hingashienne,0,0,0,1,1,0,131124,131124,131124,58672,58674,58673,0,69
58,barde de Nezha,bardes de Nezha,Barde de Nezha,0,0,0,1,1,0,65589,65589,65589,58675,58677,58676,0,70
59,barde de Shinryu,bardes de Shinryu,Barde de Shinryu,0,0,0,1,1,0,65590,65590,65590,58678,58680,58679,0,137
60,barde d'Ixion,bardes d'Ixion,Barde d'Ixion,0,0,0,1,1,0,65591,65591,65591,58681,58683,58682,0,173
61,barde de mage rouge,bardes de mage rouge,Barde de mage rouge,0,0,0,1,1,0,65592,65592,65592,58684,58686,58685,0,22
62,barde de Byakko,bardes de Byakko,Barde de Byakko,0,0,0,1,1,0,65593,65593,65593,58687,58689,58688,0,138
63,barde imperméable,bardes imperméables,Barde imperméable,0,0,0,1,1,0,65594,65594,65594,58690,58692,58691,0,71
64,barde de Tsukuyomi,bardes de Tsukuyomi,Barde de Tsukuyomi,0,0,0,1,1,0,65595,65595,65595,58693,58695,58694,0,139
65,barde de Suzaku,bardes de Suzaku,Barde de Suzaku,0,0,0,1,1,0,65596,65596,65596,58696,58698,58697,0,140
66,barde de samouraï,bardes de samouraï,Barde de samouraï,0,0,0,1,1,0,65597,65597,65597,58699,58701,58700,0,23
67,barde de Seiryû,bardes de Seiryû,Barde de Seiryû,0,0,0,1,1,0,65598,65598,65598,58702,58704,58703,0,141
68,barde de Yojimbo,bardes de Yojimbo,Barde de Yojimbo,0,0,0,1,1,0,65599,65599,65599,58705,58707,58706,0,174
69,barde de Titania,bardes de Titania,Barde de Titania,0,0,0,1,1,0,65600,65600,65600,58708,58710,58709,0,142
70,barde d'Innocence,bardes d'Innocence,Barde d'Innocence,0,0,0,1,1,0,65601,65601,65601,58711,58713,58712,0,143
71,barde de danseur,bardes de danseur,Barde de danseur,0,0,0,1,1,0,65602,65602,65602,58714,58716,58715,0,24
72,barde de la Pleine-ombre,bardes de la Pleine-ombre,Barde de la Pleine-ombre,0,0,0,1,1,0,65603,65603,65603,58717,58719,58718,0,72
73,barde d'Hadès,bardes d'Hadès,Barde d'Hadès,0,0,0,1,1,0,65604,65604,65604,58720,58722,58721,0,144
74,barde sainte,bardes saintes,Barde sainte,0,0,0,1,1,0,65605,65605,65605,58723,58725,58724,0,106
75,barde Rubinus,bardes Rubinus,Barde Rubinus,0,0,0,1,1,0,65606,65606,65606,58726,58728,58727,0,145
76,barde de machiniste,bardes de machiniste,Barde de machiniste,0,0,0,1,1,0,65607,65607,65607,58729,58731,58730,0,25
77,barde de la Lumière véritable,bardes de la Lumière véritable,Barde de la Lumière véritable,0,0,0,1,1,0,65608,65608,65608,58732,58734,58733,0,146
78,barde Smaragdus,bardes Smaragdus,Barde Smaragdus,0,0,0,1,1,0,65609,65609,65609,58735,58737,58736,0,147
79,barde-la-Reine,bardes-la-Reine,Barde-la-Reine,0,0,0,1,1,0,65610,65610,65610,58738,58740,58739,0,148
80,barde bozjienne,bardes bozjiennes,Barde bozjienne,0,0,0,1,1,0,65611,65611,65611,58741,58743,58742,0,150
81,barde Adamas,bardes Adamas,Barde Adamas,0,0,0,1,1,0,65612,65612,65612,58744,58746,58745,0,149
82,barde des Ténèbres éternelles,bardes des Ténèbres éternelles,Barde des Ténèbres éternelles,0,0,0,1,1,0,65613,65613,65613,58747,58749,58748,0,151
83,barde de la Lumière divine,bardes de la Lumière divine,Barde de la Lumière divine,0,0,0,1,1,0,65614,65614,65614,58750,58752,58751,0,152
84,barde de postier,bardes de postier,Barde de postier,0,0,0,1,1,0,65615,65615,65615,58753,58755,58754,0,107
85,barde thavnairoise,bardes thavnairoises,Barde thavnairoise,0,0,0,1,1,0,65616,65616,65616,58756,58758,58757,0,73
86,barde à plumes bleues,bardes à plumes bleues,Barde à plumes bleues,0,0,0,1,1,0,65617,65617,65617,58759,58761,58760,0,153
87,barde de loup,bardes de loup,Barde de loup,0,0,0,1,1,0,65618,65618,65618,58762,58764,58763,0,74
88,barde de Barbariccia,bardes de Barbariccia,Barde de Barbariccia,0,0,0,1,1,0,65619,65619,65619,58768,58770,58769,0,154
89,barde de pionnier insulaire,bardes de pionnier insulaire,Barde de pionnier insulaire,0,0,0,1,1,0,65620,65620,65620,58765,58767,58766,0,75
90,barde de Rubicante,bardes de Rubicante,Barde de Rubicante,0,0,0,1,1,0,65621,65621,65621,58771,58773,58772,0,155
91,barde allagoise,bardes allagoises,Barde allagoise,0,0,0,1,1,0,65622,65622,65622,58774,58776,58775,0,76
92,barde de Golbez,bardes de Golbez,Barde de Golbez,0,0,0,1,1,0,65623,65623,65623,58777,58779,58778,0,156
93,barde de Chamoiselle,bardes de Chamoiselle,Barde de Chamoiselle,0,0,0,1,1,0,65624,65624,65624,58780,58782,58781,0,78
94,barde de Zeromus,bardes de Zeromus,Barde de Zeromus,0,0,0,1,1,0,65625,65625,65625,58783,58785,58784,0,157
95,barde d'arpenteur,bardes d'arpenteur,Barde d'arpenteur,0,0,0,1,1,0,65626,65626,65626,58786,58788,58787,0,79
96,barde turalienne,bardes turaliennes,Barde turalienne,0,0,0,1,1,0,65627,65627,65627,58789,58791,58790,0,80
97,barde de Valigarmanda,bardes de Valigarmanda,Barde de Valigarmanda,0,0,0,1,1,0,65628,65628,65628,58792,58794,58793,0,161
98,barde en électrope,bardes en électrope,Barde en électrope,0,0,0,1,1,0,65629,65629,65629,58795,58797,58796,0,162
99,barde des contrées sauvages,bardes des contrées sauvages,Barde des contrées sauvages,0,0,0,1,1,0,65630,65630,65630,58798,58800,58799,0,83
100,barde éternelle,bardes éternelles,Barde éternelle,0,0,0,1,1,0,65631,65631,65631,58801,58803,58802,0,163
101,barde à tonnelet,bardes à tonnelet,Barde à tonnelet,0,0,0,1,1,0,65632,65632,65632,58804,58806,58805,0,108
102,barde chevaleresque,bardes chevaleresques,Barde chevaleresque,0,0,0,1,1,0,65633,65633,65633,58807,58809,58808,0,164
103,barde nécronique,bardes nécroniques,Barde nécronique,0,0,0,1,1,0,65634,65634,65634,58810,58812,58811,0,165
104,barde de pèlerin,bardes de pèlerin,Barde de pèlerin,0,0,0,1,1,0,65635,65635,65635,58813,58815,58814,0,84
105,barde de Glasya-Labolas,bardes de Glasya-Labolas,Barde de Glasya-Labolas,0,0,0,1,1,0,65636,65636,65636,58816,58818,58817,0,166
106,barde de l'exploration cosmique,bardes de l'exploration cosmique,Barde de l'exploration cosmique,0,0,0,1,1,0,65637,65637,65637,58819,58821,58820,0,85
107,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
