#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
13,Manœuvre générale de l'Alliance,Une manœuvre générale doit avoir lieu contre une unité des Immortels. Ordre d'y participer en faisant honneur à la réputation du Maelstrom.,14945,455,190,315,1,20,20,20,20,14945,310,480,170,1,20,20,20,20,14945,170,480,310,1,20,20,20,20,14945,310,185,465,1,20,20,20,20,14945,185,310,465,1,20,20,20,20,14945,455,315,190,1,20,20,20,20,27000,1000,12,0,35,20,0,2
14,Subtilisation de cristaux (important),Une opération visant à subtiliser des cristaux dans l'excavation kobolde a été décidée afin d'empêcher l'invocation de Titan. Ordre de coopérer avec les autres unités pour la faire réussir.,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,13,15,40,0,0,2
15,Subtilisation de cristaux (important),Une opération visant à subtiliser des cristaux dans l'excavation kobolde a été décidée afin d'empêcher l'invocation de Titan. Ordre de coopérer avec les autres unités pour la faire réussir.,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,16,17,40,0,0,2
16,Offensive sur base homme-bête,Ordre de rejoindre des unités alliées en vue d'une offensive qui doit être lancée sur les mines d'U'Ghamaro.,14946,530,385,275,5,20,20,20,20,14946,530,275,385,5,20,20,20,20,14946,385,560,245,5,20,20,20,20,14946,245,560,385,5,20,20,20,20,14946,385,265,540,5,20,20,20,20,14946,265,385,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
17,Saisie d'armes illégales,Nos agents de ren­sei­gne­ment nous ont signalé un trafic illégal d'armes. Ordre de localiser les contrebandiers et de confisquer leurs biens afin de démanteler leur réseau.,14947,385,560,245,5,20,20,20,20,14947,245,560,385,5,20,20,20,20,14947,385,265,540,5,20,20,20,20,14947,265,385,540,5,20,20,20,20,14947,530,385,275,5,20,20,20,20,14947,530,275,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
18,Reconnaissance de base impériale,Ordre d'approcher Castrum Occidens et d'obtenir des in­for­ma­tions sur les activités ennemies. Le recours à la force est autorisé.,14948,385,265,540,5,20,20,20,20,14948,265,385,540,5,20,20,20,20,14948,530,385,275,5,20,20,20,20,14948,530,275,385,5,20,20,20,20,14948,385,560,245,5,20,20,20,20,14948,245,560,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
19,Traque de fugitifs impériaux,Des personnes dont le signalement correspond à celui de fugitifs impériaux ont été aperçues dans la Noscea orientale. Ordre de les retrouver et de les mettre aux arrêts.,14949,530,275,385,5,20,20,20,20,14949,385,560,245,5,20,20,20,20,14949,245,560,385,5,20,20,20,20,14949,385,265,540,5,20,20,20,20,14949,265,385,540,5,20,20,20,20,14949,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
20,Attaque de diversion d'unité impériale,L'Alliance éorzéenne a décidé d'effectuer une attaque de diversion contre une unité garlemaldaise dans le Mor Dhona. Ordre de participer au nom du Maelstrom et d'assurer la réussite de l'opération.,14950,245,560,385,5,20,20,20,20,14950,385,265,540,5,20,20,20,20,14950,265,385,540,5,20,20,20,20,14950,530,385,275,5,20,20,20,20,14950,530,275,385,5,20,20,20,20,14950,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
21,Blocus de ravitaillement homme-bête,Ordre de participer à une action de grande envergure afin de bloquer le ra­vi­tail­le­ment des Sahuagins dans la Noscea occidentale.,14951,265,385,540,5,20,20,20,20,14951,530,385,275,5,20,20,20,20,14951,530,275,385,5,20,20,20,20,14951,385,560,245,5,20,20,20,20,14951,245,560,385,5,20,20,20,20,14951,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
22,Traque de criminel recherché,Un dangereux criminel recherché par les Immortels a été aperçu dans la Noscea. Ordre de coopérer avec un enquêteur uldien afin de le retrouver et de le mettre aux arrêts.,14952,530,275,385,5,20,20,20,20,14952,530,385,275,5,20,20,20,20,14952,245,560,385,5,20,20,20,20,14952,385,560,245,5,20,20,20,20,14952,265,385,540,5,20,20,20,20,14952,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
23,Destruction de ravitaillement impérial,Nos agents de ren­sei­gne­ment ont repéré une unité de ra­vi­tail­le­ment impériale faisant route vers Castrum Occidens. Ordre de l'intercepter avant qu'elle n'atteigne sa destination.,14953,245,560,385,5,20,20,20,20,14953,385,560,245,5,20,20,20,20,14953,265,385,540,5,20,20,20,20,14953,385,265,540,5,20,20,20,20,14953,530,275,385,5,20,20,20,20,14953,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
24,Élimination de créature chimérique,Un imposant minotaure a été repéré sur notre territoire. Ordre de le retrouver et de l'abattre im­mé­dia­te­ment.,14954,265,385,540,5,20,20,20,20,14954,385,265,540,5,20,20,20,20,14954,530,275,385,5,20,20,20,20,14954,530,385,275,5,20,20,20,20,14954,245,560,385,5,20,20,20,20,14954,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
25,Reconnaissance avec les Héritiers,Ordre de coopérer avec Slafswys des Héritiers de la Septième Aube pour enquêter sur les signes avant-coureurs d'une probable invocation de Primordial par les Kobolds.,14946,295,430,600,10,20,20,20,20,14946,430,295,600,10,20,20,20,20,14946,590,305,430,10,20,20,20,20,14946,590,430,305,10,20,20,20,20,14946,275,620,430,10,20,20,20,20,14946,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
26,Manœuvre anti-arme magitek,Une manœuvre d'en­traî­ne­ment avec des appareils magitek qui ont été subtilisés aux Impériaux va avoir lieu. Ordre d'y participer pour mettre au point de nouvelles stratégies de combat contre ces machines.,14947,275,620,430,10,20,20,20,20,14947,430,620,275,10,20,20,20,20,14947,295,430,600,10,20,20,20,20,14947,430,295,600,10,20,20,20,20,14947,590,305,430,10,20,20,20,20,14947,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
27,Opération de libération d'otages civils,Des civils ont été enlevés par des pillards du serpent pour le compte des Sahuagins. Ordre de pénétrer en territoire ennemi et de libérer ces gens avant qu'ils ne soient offerts en sacrifice à Léviathan.,14948,590,305,430,10,20,20,20,20,14948,590,430,305,10,20,20,20,20,14948,275,620,430,10,20,20,20,20,14948,430,620,275,10,20,20,20,20,14948,295,430,600,10,20,20,20,20,14948,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
28,Neutralisation de faction hors-la-loi,Une faction liée aux mercenaires mamool ja a pénétré sur notre territoire et commet des exactions contre la population. Ordre de les intercepter et de les neutraliser au plus vite.,14949,295,430,600,10,20,20,20,20,14949,590,430,305,10,20,20,20,20,14949,590,305,430,10,20,20,20,20,14949,430,620,275,10,20,20,20,20,14949,275,620,430,10,20,20,20,20,14949,430,295,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
29,Arrestation de Survivalistes,"Des Survivalistes, membres d'une secte apocalyptique qui adore Dalamud, tentent de convertir illégalement la population au sein de Limsa Lominsa. Ordre de les retrouver et de les mettre aux arrêts.",14950,275,620,430,10,20,20,20,20,14950,430,295,600,10,20,20,20,20,14950,295,430,600,10,20,20,20,20,14950,590,430,305,10,20,20,20,20,14950,590,305,430,10,20,20,20,20,14950,430,620,275,10,20,20,20,20,37500,3000,15,0,50,20,0,3
30,Annihilation d'être du néant,Un succube a été invoqué sur notre territoire. Ordre de localiser cet être du néant et de l'annihiler.,14951,590,305,430,10,20,20,20,20,14951,430,620,275,10,20,20,20,20,14951,275,620,430,10,20,20,20,20,14951,430,295,600,10,20,20,20,20,14951,295,430,600,10,20,20,20,20,14951,590,430,305,10,20,20,20,20,37500,3000,15,0,50,20,0,3
31,Destruction d'arme magitek,Une arme magitek abandonnée par les Impériaux après en avoir perdu le contrôle est en train de causer des dégâts sur notre territoire. Ordre de rejoindre notre officier sur place et de détruire l'appareil.,14952,430,295,600,10,20,20,20,20,14952,295,430,600,10,20,20,20,20,14952,590,430,305,10,20,20,20,20,14952,590,305,430,10,20,20,20,20,14952,430,620,275,10,20,20,20,20,14952,275,620,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
32,Interruption de tests gobelins,Une faction gobeline appartenant à la Main indigo effectue des expériences avec une nouvelle machine de guerre. Ordre d'intervenir et d'interrompre ces activités illégales et dangereuses.,14953,430,620,275,10,20,20,20,20,14953,275,620,430,10,20,20,20,20,14953,430,295,600,10,20,20,20,20,14953,295,430,600,10,20,20,20,20,14953,590,430,305,10,20,20,20,20,14953,590,305,430,10,20,20,20,20,37500,3000,15,0,50,20,0,3
33,Interpellation d'imposteur,Un individu prétendant être sergent au sein de l'ordre des Deux Vipères menace ouvertement d'honnêtes citoyens. Ordre d'interpeller cet homme avant qu'il ne porte atteinte à l'image de l'Alliance éorzéenne.,14954,590,430,305,10,20,20,20,20,14954,590,305,430,10,20,20,20,20,14954,430,620,275,10,20,20,20,20,14954,275,620,430,10,20,20,20,20,14954,430,295,600,10,20,20,20,20,14954,295,430,600,10,20,20,20,20,37500,3000,15,0,50,20,0,3
34,Destruction des forces spéciales impériales (important),"Nos agents de ren­sei­gne­ment nous ont signalé la présence de forces spéciales garlemaldaises dans la Noscea orientale, en route pour mener l'assaut sur la cité. Ordre de les mettre au plus vite hors d'état de nuire !",0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,0,370,355,345,0,0,0,0,100,40000,5000,17,19,50,0,0,2
