#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Priority,Enemy,Icon,Order,HP,SkillAngle,Unknown1,Scale,InactiveIdle0,InactiveIdle1,InactiveBattle,InactiveWandering,Behavior,Special,Unknown10,Unknown11,WanderingWait,Unknown2,Cost,Unknown3,SkillCost,Unknown4,MinionRace,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Battle,Roulette,IdleAnimation
46,belin bêlant,belin bêlant,0,0,0,1,0,0,464,40,0,4441,1033,680,0,620,100,30,0,0,0,2,0,0,0,10,0,20,10,20,1,1,True,False,True,False,True,False,True,True
47,mini-gluant,mini-gluants,0,0,0,1,0,0,465,41,0,4451,1034,430,30,606,100,30,0,0,0,2,0,0,0,8,0,10,23,20,1,2,True,False,False,True,False,False,True,True
48,mini-mini-mandragore,mini-mini-mandragores,0,0,0,1,1,0,466,42,0,4442,1025,360,120,609,90,10,10,30,0,2,0,0,0,8,0,15,1,20,2,1,True,False,True,False,True,False,True,True
49,Gobelin articulé,Gobelins articulés,0,0,0,1,0,0,467,207,0,4443,7001,435,120,622,100,10,5,0,0,1,0,0,0,8,0,15,26,20,2,3,False,True,False,True,False,False,True,True
50,Sylphe nain,Sylphes nains,0,0,0,1,0,0,468,208,0,4449,7002,490,30,621,100,30,0,0,0,1,0,0,0,8,0,15,13,20,1,3,False,True,True,False,False,False,True,True
51,curseur flottant,curseurs flottants,0,0,0,1,0,0,469,0,0,4444,11501,400,30,621,100,20,0,0,0,1,0,0,0,8,0,15,14,20,2,4,False,False,False,False,False,False,True,True
52,aéronef mécanique,aéronefs mécaniques,0,0,1,1,0,0,470,0,0,4445,11001,465,360,617,100,30,0,0,0,1,0,0,0,8,0,25,11,20,2,4,False,False,False,False,False,False,True,True
53,Qiqirn mécanique,Qiqirns mécaniques,0,0,0,1,0,0,471,206,0,4446,6001,380,0,620,90,30,0,0,0,1,0,0,0,8,0,15,44,30,1,3,False,True,True,False,False,False,True,True
54,bébé chocobo noir,bébés chocobos noirs,0,0,0,1,0,0,505,3,0,4448,5,450,360,634,100,30,0,30,0,2,0,0,0,8,0,25,35,25,1,1,True,False,True,False,True,False,True,True
55,Dalamud mécanique,Dalamud mécaniques,0,0,0,1,0,0,472,0,0,4447,11004,520,0,620,100,30,0,0,0,1,0,0,0,8,0,20,17,30,1,4,False,False,False,False,False,False,True,True
56,gentil flagelleur,gentils flagelleurs,0,0,0,1,0,0,578,49,0,4461,1035,455,120,616,100,30,0,0,0,2,0,0,0,8,0,25,13,20,2,2,True,False,False,False,True,False,True,True
57,perroquet taciturne,perroquets taciturnes,0,0,0,1,0,0,579,50,0,4462,1036,365,0,631,55,30,0,0,0,2,3,0,0,8,0,10,40,30,1,1,True,False,True,False,True,False,True,True
58,Amalj'aa mécanique,Amalj'aa mécaniques,0,0,1,1,0,0,580,213,0,4454,7003,465,360,626,100,30,0,0,0,1,0,0,0,8,0,10,12,20,2,3,False,True,False,True,False,False,True,True
59,Ixal mécanique,Ixali mécaniques,0,0,1,1,0,0,581,214,0,4474,7005,390,0,620,100,30,0,30,0,1,0,0,0,8,0,10,10,20,1,3,False,True,False,True,False,False,True,True
60,poupée kobolde,poupées kobold,0,0,0,1,1,0,699,215,0,4463,7006,440,120,622,100,30,0,0,0,1,0,0,0,8,0,10,13,20,1,3,False,True,False,True,False,False,True,True
61,pantin sahuagin,pantins sahuagins,0,0,0,1,0,0,700,216,0,4464,7007,435,120,605,100,30,0,0,0,1,0,0,0,8,0,15,28,20,1,3,False,True,False,True,False,False,True,True
62,Siman mécanique,Simans mécaniques,0,0,0,1,0,0,577,51,0,4455,13001,410,0,620,100,30,0,0,0,2,0,0,0,8,0,10,10,20,1,2,True,False,False,False,True,False,True,True
63,poupée Shantotto,poupées Shantotto,0,0,0,1,1,0,527,358,0,4456,12111,525,0,620,100,20,0,0,0,1,0,0,0,8,0,25,9,20,1,3,False,True,False,False,False,False,True,True
64,mini-princesse Edvya,mini-princesses Edvya,0,0,0,1,1,0,584,219,0,4457,10007,360,120,622,100,30,0,0,0,1,0,0,0,8,0,15,23,30,1,3,False,True,False,False,False,False,True,True
65,soleil mécanique,soleils mécaniques,0,0,0,1,0,0,585,0,0,4465,11502,440,0,620,100,0,0,0,0,3,8,0,0,8,0,15,10,20,1,4,False,False,False,False,False,False,True,True
66,coussin moelleux,coussins moelleux,0,0,0,1,0,0,586,0,0,4466,11503,390,360,623,100,30,0,0,0,3,12,0,0,8,80,10,30,20,1,4,False,False,False,False,False,False,True,True
67,héros de la Lumière,héros de la Lumière,0,0,0,1,0,0,0,0,0,4458,12011,100,0,0,100,0,0,0,0,1,0,0,0,8,0,10,0,20,1,3,False,True,False,False,False,False,True,False
68,héros de la Lumière,héros de la Lumière,0,0,0,1,0,0,587,223,0,4550,12011,430,30,604,100,10,0,70,0,1,0,0,0,8,0,10,13,20,1,3,False,True,False,False,False,False,True,True
69,héros de la Lumière,héros de la Lumière,0,0,0,1,0,0,623,223,0,4551,12011,420,360,615,100,10,0,70,0,1,0,0,0,8,0,10,27,30,1,3,False,True,False,False,False,False,True,True
70,héros de la Lumière,héros de la Lumière,0,0,0,1,0,0,624,223,0,4552,12011,395,120,610,100,10,0,70,0,1,0,0,0,8,0,10,23,30,1,3,False,True,False,False,False,False,True,True
71,dirigeant miniature,dirigeants miniatures,0,0,0,1,0,0,0,0,0,4459,9015,100,0,0,100,0,0,0,0,1,0,0,0,8,0,20,0,20,1,3,False,True,False,True,False,False,True,False
72,Merlwyb miniature,Merlwyb miniatures,0,0,0,1,1,0,626,224,0,4554,9016,470,0,620,100,10,0,0,0,1,0,0,0,8,0,20,43,20,1,3,False,True,False,True,False,False,True,True
73,Kan-E miniature,Kan-E miniatures,0,0,0,1,1,0,627,224,0,4553,9017,430,360,623,100,10,0,0,0,1,0,0,0,8,0,20,29,30,1,3,False,True,False,True,False,False,True,True
74,Raubahn miniature,Raubahn miniatures,0,0,0,1,0,0,625,224,0,4555,9018,470,120,609,100,10,0,0,0,1,0,0,0,8,0,20,19,30,1,3,False,True,False,True,False,False,True,True
75,prince bébé chocobo,princes bébés chocobos,0,0,0,1,0,0,634,3,0,4460,6,365,30,621,100,30,0,30,0,2,0,0,0,8,0,10,14,20,1,1,True,False,True,False,True,False,True,True
76,Odin mécanique,Odin mécanique,0,0,1,1,0,0,683,230,0,4468,8007,500,120,605,90,5,10,0,0,2,0,0,0,8,80,30,1,20,2,2,False,True,False,True,False,False,True,True
77,guerrier de la Lumière,guerrier de la Lumière,0,0,0,1,0,0,684,235,0,4467,12012,380,30,604,80,10,0,0,0,1,0,0,0,8,0,15,1,20,1,3,False,True,False,True,False,False,True,True
78,bébé Bahamut,bébés Bahamut,0,0,0,1,0,0,685,0,118,4469,2002,410,120,636,100,10,0,0,0,2,0,0,0,8,0,25,1,20,3,2,True,False,False,False,False,False,True,True
79,poupée mog,poupées mogs,0,0,0,1,1,0,688,233,0,4472,10,470,120,614,100,10,0,0,0,1,4,0,0,8,0,20,1,20,1,3,False,True,False,False,False,False,True,True
80,bébé opo-opo,bébés opo-opo,0,0,0,1,0,0,686,52,0,4470,1037,420,120,605,60,30,0,0,0,2,1,0,0,8,0,10,23,30,1,1,True,False,True,False,False,False,True,True
81,balai enchanté,balais enchantés,0,0,0,1,0,0,687,0,0,4471,11504,420,360,623,100,10,0,0,80,2,0,0,0,5,0,25,30,20,1,4,False,False,False,False,False,False,True,True
82,poupée succube,poupées succubes,0,0,0,1,1,0,748,231,0,4475,1038,340,360,617,80,10,0,0,0,1,2,0,0,8,0,10,11,30,1,2,False,True,False,True,False,False,True,True
83,poussin zu,poussins zus,0,0,0,1,0,0,682,54,0,4473,1039,450,0,620,100,30,0,0,0,2,0,0,0,8,0,10,9,20,1,2,True,False,False,False,True,False,True,True
84,Nanamo miniature,Nanamo miniatures,0,0,0,1,1,0,751,266,0,4499,9019,490,0,620,80,10,0,0,0,1,1,0,0,8,0,20,15,20,1,3,False,True,True,False,False,False,True,True
85,pantin Gilgamesh,pantins Gilgamesh,0,0,0,1,0,0,756,68,0,4476,9501,485,360,600,100,10,0,0,0,1,0,0,0,8,0,25,5,30,2,3,False,True,False,True,False,False,True,True
86,Prince oignon,Princes oignons,0,0,0,1,0,0,742,42,0,4477,1025,440,0,620,100,10,20,0,0,2,0,0,0,8,0,15,31,30,1,1,True,False,True,False,True,False,True,True
87,Chevalier aubergine,Chevaliers aubergines,0,0,0,1,0,0,743,42,0,4478,1025,415,360,626,100,15,10,0,0,2,0,0,0,8,0,15,12,20,1,1,True,False,True,False,True,False,True,True
88,Baron ail,Barons aux,0,0,0,1,0,0,744,42,0,4479,1025,435,360,617,100,15,10,0,0,2,0,0,0,8,0,15,11,20,1,1,True,False,True,False,True,False,True,True
89,Roi tomate,Rois tomates,0,0,0,1,0,0,745,42,0,4480,1025,355,0,620,100,10,10,0,0,2,0,0,0,8,0,20,9,20,1,1,True,False,True,False,True,False,True,True
90,Reine mandragore,Reines mandragores,0,0,0,1,1,0,746,42,0,4481,1025,560,360,615,100,25,5,0,0,2,0,0,0,8,0,30,27,30,1,1,True,False,True,False,True,False,True,True
91,Y'shtola miniature,Y'shtola miniatures,0,0,0,1,1,0,750,262,0,4500,9001,435,360,618,100,10,0,0,0,1,0,0,0,8,0,25,12,20,1,3,False,True,False,True,False,False,True,True
92,poupée chevalier oignon,poupées chevaliers oignons,0,0,0,1,1,0,749,240,0,4482,12031,430,0,620,100,10,0,0,0,1,0,0,0,8,90,15,21,20,1,3,False,True,False,True,False,False,True,True
93,coffre au trésor mécanique,coffres au trésor mécaniques,0,0,0,1,0,0,747,56,0,4483,1040,390,30,621,100,5,10,0,0,2,0,0,0,8,0,15,8,20,1,2,True,False,True,False,False,False,True,True
94,petit tapir,petits tapirs,0,0,0,1,0,0,754,57,0,4484,3001,390,120,631,80,30,0,0,0,2,0,0,0,8,0,10,23,30,1,1,True,False,True,False,True,False,True,True
95,ourson de Nanakko,oursons de Nanakko,0,0,1,1,0,0,752,238,0,4485,3002,380,30,604,100,20,0,0,0,1,0,0,0,8,0,10,1,20,1,1,False,True,False,True,False,False,True,True
96,wagonnet mécanique,wagonnets mécaniques,0,0,0,1,0,0,753,0,0,4486,11505,415,360,625,100,10,0,0,0,1,0,0,0,8,0,15,25,20,1,4,False,False,False,False,False,False,True,True
97,écureuil grignoteur,écureuils grignoteurs,0,0,1,1,0,0,755,59,0,4487,3003,450,360,634,100,10,0,0,30,2,1,0,0,8,0,30,36,30,1,1,True,False,True,False,True,False,True,True
98,Minfilia miniature,Minfilia miniatures,0,0,0,1,1,0,797,262,0,4488,9002,400,30,604,100,10,0,0,0,1,0,0,0,8,0,20,1,20,1,3,False,True,False,True,False,False,True,True
99,Thancred miniature,Thancred miniatures,0,0,0,1,0,0,796,262,0,4489,9003,450,360,634,100,10,0,0,0,1,0,0,0,8,0,20,35,30,1,3,False,True,False,True,False,False,True,True
100,micro-drone magitek,micro-drones magitek,0,0,0,1,0,0,1016,0,0,4516,11005,455,30,612,100,10,0,0,0,2,0,0,0,8,0,30,1,20,1,2,False,False,False,False,False,True,True,True
101,nuage noir miniature,nuages noirs miniatures,0,0,0,1,0,0,1017,232,0,4517,2101,540,30,612,80,10,0,0,0,1,2,0,0,8,0,30,4,20,2,2,False,True,False,True,False,False,True,True
102,nanka narquois,nanka narquois,0,0,0,1,0,0,808,60,0,4490,1041,415,360,617,100,30,0,0,0,2,0,0,0,8,0,15,11,20,1,2,True,False,True,False,False,False,True,True
103,petit panda pataud,petits pandas patauds,0,0,0,1,0,0,816,241,0,4491,3004,450,360,634,100,20,0,0,0,1,0,0,0,8,0,15,35,30,1,1,False,True,True,False,False,False,True,True
104,Orthros articulé,Orthros articulés,0,0,1,1,0,0,799,237,0,4504,9503,395,360,624,100,30,0,0,0,1,11,0,0,8,0,20,18,30,1,2,False,True,True,True,False,False,True,True
105,bébé bonhomme de neige,bébés bonshommes de neige,0,0,0,1,0,0,803,220,0,4505,11507,420,0,620,100,20,0,0,0,1,0,0,0,8,0,15,44,30,1,3,False,True,False,True,False,False,True,True
106,bébé chocobo grassouillet,bébés chocobos grassouillets,0,0,0,1,0,0,800,0,0,4506,7,360,0,620,100,1,0,0,0,1,0,0,0,8,90,15,42,20,1,1,False,False,False,False,True,False,True,True
107,Yda miniature,Yda miniatures,0,0,1,1,1,0,878,262,0,4501,9004,460,30,606,100,10,0,0,0,1,0,0,0,8,0,25,1,20,1,3,False,True,False,True,False,False,True,True
108,Papalymo miniature,Papalymo miniatures,0,0,0,1,0,0,879,262,0,4502,9005,420,120,633,100,10,0,0,0,1,0,0,0,8,0,20,20,20,1,3,False,True,False,True,False,False,True,True
109,Urianger miniature,Urianger miniatures,0,0,1,1,0,0,880,262,0,4503,9006,435,120,616,100,10,0,0,0,1,0,0,0,8,0,20,1,20,1,3,False,True,False,True,False,False,True,True
110,gros minou,gros minous,0,0,0,1,0,0,802,61,0,4507,3005,380,360,626,100,10,0,0,0,1,0,0,0,8,0,10,12,20,2,1,True,False,False,False,True,False,True,True
111,petit yéti,petits yétis,0,0,0,1,0,0,801,62,0,4508,1042,410,30,611,100,10,0,0,0,2,0,0,0,8,0,15,1,20,1,2,True,False,True,False,True,False,True,True
112,mini-momie,mini-momies,0,0,0,1,1,0,798,63,0,4509,1043,475,30,613,100,5,10,0,0,2,0,0,0,8,0,15,23,20,2,2,True,False,False,True,False,False,True,True
113,maquette de l'Entreprise,maquettes de l'Entreprise,0,0,0,1,1,0,887,0,0,4497,11002,460,120,629,100,10,0,0,0,1,0,0,0,8,0,20,1,20,2,4,False,False,False,False,False,False,True,True
114,poupée Mog postier,poupées Mog postier,0,0,0,1,1,0,809,233,0,4498,11,370,120,614,100,5,10,0,0,1,4,0,0,8,0,20,14,20,1,3,False,True,False,False,False,False,True,True
115,fretin assassin,fretins assassins,0,0,0,1,0,0,807,64,0,4510,4002,425,30,603,100,10,5,0,0,2,5,0,0,8,0,10,2,20,2,1,True,False,False,True,True,False,True,True
116,cadeau ambulant,cadeaux ambulants,0,0,0,1,0,0,805,65,0,4513,11508,530,0,620,100,10,10,0,0,2,0,0,0,8,0,30,37,20,2,1,True,False,False,True,False,False,True,True
117,petit kappa,petits kappa,0,0,0,1,0,0,886,66,0,4511,12901,430,120,605,60,10,0,0,0,2,0,0,0,8,0,20,13,20,1,1,True,False,False,False,True,False,True,True
118,Louisoix miniature,Louisoix miniatures,0,0,0,1,0,0,881,267,78,4512,9007,410,360,615,100,10,0,0,0,1,0,0,0,8,0,15,27,30,2,3,False,True,False,True,False,False,True,True
119,Midgardsormr,Midgardsormr,0,0,0,1,0,0,883,0,0,4518,9504,435,0,620,100,10,0,0,0,2,2,0,0,8,0,25,33,20,1,1,False,False,False,False,True,False,True,True
120,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
121,pie pimpante,pies pimpantes,0,0,0,1,1,0,1337,10,0,4556,5002,310,0,620,80,30,0,0,0,2,0,0,0,8,0,15,10,20,1,1,True,False,True,False,True,False,True,True
122,Enkidu,Enkidu,0,0,1,1,0,0,888,68,0,4521,9502,480,120,605,100,10,0,0,0,2,0,0,0,8,0,20,28,20,1,1,True,False,False,False,False,False,True,True
123,poupée de méchant Sylphe,poupées de méchant Sylphe,0,0,0,1,1,0,901,208,0,4493,7002,480,360,632,100,30,0,0,0,1,0,0,0,8,0,15,22,20,1,3,False,True,False,True,False,False,True,True
124,poupée du maître fondateur,poupées du maître fondateur,0,0,0,1,1,0,902,213,0,4492,7003,440,0,620,100,30,0,0,0,1,0,0,0,8,0,15,10,20,1,3,False,True,False,True,False,False,True,True
125,Dezul miniature,Dezul miniatures,0,0,0,1,0,0,903,214,0,4494,7004,460,0,620,100,30,0,30,0,1,0,0,0,8,0,15,31,30,1,3,False,True,False,True,False,False,True,True
126,poupée kobolde n°2,poupées koboldes n°2,0,0,0,1,1,0,582,215,0,4495,7006,440,360,600,100,30,0,0,0,1,0,0,0,8,0,10,5,30,1,3,False,True,False,True,False,False,True,True
127,démon des mers mécanique,démons des mers mécaniques,0,0,0,1,0,0,583,216,0,4496,7007,500,0,620,100,30,0,0,0,1,0,0,0,8,0,25,9,20,1,3,False,True,False,True,False,False,True,True
128,bébé chocobo noir volant,bébés chocobos noirs volants,0,0,0,1,0,0,990,3,0,4524,5,405,360,634,100,10,0,0,0,2,0,0,0,8,0,20,35,30,1,1,True,False,True,False,True,False,True,True
129,Kaïn miniature,Kaïn miniatures,0,0,0,1,0,0,989,242,0,4525,12041,440,0,620,80,10,0,0,0,1,0,0,0,8,0,30,46,20,1,3,False,True,False,True,False,True,True,True
130,Alphinaud miniature,Alphinaud miniatures,0,0,1,1,0,0,884,262,0,4519,9008,420,120,633,100,10,0,0,0,1,0,0,0,8,0,10,4,20,1,3,False,True,False,True,False,False,True,True
131,Alisaie miniature,Alisaie miniatures,0,0,1,1,1,0,885,262,0,4520,9009,460,120,616,100,10,0,0,0,1,0,0,0,8,0,15,1,20,2,3,False,True,False,True,False,False,True,True
132,Tataru miniature,Tataru miniatures,0,0,0,1,1,0,892,262,0,4526,9010,440,360,626,100,5,5,0,0,1,0,0,0,8,0,10,12,20,2,3,False,True,False,True,False,False,True,True
133,Cid miniature,Cid miniatures,0,0,0,1,0,0,891,263,0,4527,9011,500,360,634,100,10,5,0,0,1,0,0,0,8,0,30,35,20,2,3,False,True,False,True,False,False,True,True
134,bébé licorne,bébés licornes,0,0,0,1,0,0,890,43,0,4528,3006,415,360,624,100,10,0,0,0,2,0,0,0,8,0,10,18,30,1,1,True,False,True,False,True,False,True,True
135,poupée gundu,poupées gundu,0,0,0,1,1,0,889,87,0,4557,7010,420,0,620,100,10,0,0,0,1,0,0,0,8,0,10,9,20,1,3,False,True,True,False,False,False,True,True
136,atomos atrophié,atomos atrophiés,0,0,1,1,0,0,894,69,0,4529,1044,460,360,632,100,10,0,0,0,2,0,0,0,8,0,25,22,20,1,2,True,False,False,False,False,False,True,True
137,bébé hibou,bébés hiboux,0,0,0,1,0,0,893,70,0,4530,5003,540,0,620,100,0,0,0,0,2,2,0,0,8,0,25,43,20,1,1,True,False,False,False,True,False,True,True
138,vilain petit canard,vilain petit canard,0,0,0,1,0,0,899,71,0,4531,5004,480,30,601,90,20,0,0,0,2,0,0,0,8,0,20,1,20,1,1,True,False,True,False,True,False,True,True
