#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
40.0,14665,242598,163,164,1,1,3,3,3,3,9
41.0,14670,242603,125,126,222,3,2,3,2,3,1
41.1,14671,242604,127,128,117,1,1,1,1,1,1
41.2,14672,242605,130,0,5,1,1,5,2,4,3
41.3,14673,242606,129,0,5,1,1,5,2,4,2
42.0,14674,242607,0,0,204,2,1,3,2,1,4
42.1,14675,242608,152,153,16,2,1,3,2,1,4
42.2,14676,242610,154,0,81,1,2,2,3,3,7
42.3,14677,242609,155,0,81,1,2,2,3,3,7
42.4,14678,242610,174,176,81,1,2,2,3,1,7
42.5,14679,242609,173,175,81,1,2,2,3,1,7
42.6,14680,242611,158,159,223,3,2,4,3,1,4
42.7,14681,242612,177,0,3,1,2,2,3,1,6
42.8,14683,242613,156,157,3,2,1,3,3,1,6
43.0,14684,242614,165,166,2,4,4,5,4,3,3
43.1,14685,242615,167,0,39,2,1,3,1,2,4
43.2,14686,242574,168,0,37,1,1,5,1,1,3
44.0,14688,242618,169,170,1,2,4,4,5,3,5
44.1,14691,242617,171,0,169,3,1,3,1,3,2
44.2,14692,242618,172,178,44,1,2,1,2,1,5
45.0,14693,242619,115,116,1,5,5,5,5,5,0
45.1,14699,242615,117,0,230,2,2,4,3,1,4
