#,Content,UnlockQuest0,UnlockQuest1,UnlockQuest2,Unknown6,Map,ContentLinkType,Unknown2
170,49,67938,0,0,0,0,1,False
171,51,68169,0,0,0,0,1,False
172,68,69131,0,0,0,0,1,False
173,71,69132,0,0,0,0,1,False
174,85,69703,0,0,0,0,1,False
175,79,69704,0,0,0,0,1,False
176,1011916,65973,0,0,0,5796581,7,False
177,45,70847,0,0,0,11505102,8,False
178,4,70941,0,0,0,11875001,9,False
179,41007,67063,67064,67065,0,0,1,True
