#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
32,Accomplir 4 missions d'armurier de classe C différentes sur la lune.,4,11,100,35,2
33,Obtenir un rang or pour 3 missions d'armurier de classe B différentes sur la lune.,3,11,200,36,2
34,Accomplir 3 missions d'orfèvre de classe D différentes sur la lune.,3,15,50,37,2
35,Accomplir 4 missions d'orfèvre de classe C différentes sur la lune.,4,15,100,38,2
36,Obtenir un rang or pour 3 missions d'orfèvre de classe B différentes sur la lune.,3,15,200,39,2
37,Accomplir 3 missions de tanneur de classe D différentes sur la lune.,3,19,50,40,2
38,Accomplir 4 missions de tanneur de classe C différentes sur la lune.,4,19,100,41,2
39,Obtenir un rang or pour 3 missions de tanneur de classe B différentes sur la lune.,3,19,200,42,2
40,Accomplir 3 missions de couturier de classe D différentes sur la lune.,3,23,50,43,2
41,Accomplir 4 missions de couturier de classe C différentes sur la lune.,4,23,100,44,2
42,Obtenir un rang or pour 3 missions de couturier de classe B différentes sur la lune.,3,23,200,45,2
43,Accomplir 3 missions d'alchimiste de classe D différentes sur la lune.,3,27,50,46,2
44,Accomplir 4 missions d'alchimiste de classe C différentes sur la lune.,4,27,100,47,2
45,Obtenir un rang or pour 3 missions d'alchimiste de classe B différentes sur la lune.,3,27,200,48,2
46,Accomplir 3 missions de cuisinier de classe D différentes sur la lune.,3,31,50,49,2
47,Accomplir 4 missions de cuisinier de classe C différentes sur la lune.,4,31,100,50,2
48,Obtenir un rang or pour 3 missions de cuisinier de classe B différentes sur la lune.,3,31,200,51,2
49,Accomplir 3 missions de botaniste de classe D différentes sur la lune.,3,39,50,55,2
50,Accomplir 4 missions de botaniste de classe C différentes sur la lune.,4,39,100,56,2
51,Obtenir un rang or pour 3 missions de botaniste de classe B différentes sur la lune.,3,39,200,57,2
52,Accomplir 3 missions de mineur de classe D différentes sur la lune.,3,35,50,52,2
53,Accomplir 4 missions de mineur de classe C différentes sur la lune.,4,35,100,53,2
54,Obtenir un rang or pour 3 missions de mineur de classe B différentes sur la lune.,3,35,200,54,2
55,Accomplir 3 missions de pêcheur de classe D différentes sur la lune.,3,43,50,58,2
56,Accomplir 4 missions de pêcheur de classe C différentes sur la lune.,4,43,100,59,2
57,Obtenir un rang or pour 3 missions de pêcheur de classe B différentes sur la lune.,3,43,200,60,2
58,Jouer 5 fois à la Roue de la fortune cosmique sur la lune.,5,1,300,61,2
59,Jouer 30 fois à la Roue de la fortune cosmique sur la lune.,30,1,600,62,2
60,Jouer 100 fois à la Roue de la fortune cosmique sur la lune.,100,1,900,63,2
61,Accomplir 5 missions critiques différentes sur la lune.,5,2,1000,19,2
62,Accomplir 15 missions critiques différentes sur la lune.,15,2,2000,20,2
63,Accomplir 33 missions critiques différentes sur la lune.,33,2,3000,21,2
64,Accomplir 10 missions cosmiques sur Phaenna.,10,1,500,6,2
65,Accomplir 50 missions cosmiques sur Phaenna.,50,1,800,7,2
66,Accomplir 100 missions cosmiques sur Phaenna.,100,1,1600,8,2
67,Accomplir 500 missions cosmiques sur Phaenna.,500,1,2500,9,2
68,Accomplir 10 missions cosmiques différentes sur Phaenna.,10,1,500,10,2
69,Accomplir 50 missions cosmiques différentes sur Phaenna.,50,1,1500,11,2
70,Accomplir 100 missions cosmiques différentes sur Phaenna.,100,1,4000,12,2
71,Obtenir un rang or pour 10 missions cosmiques différentes sur Phaenna.,10,1,500,13,2
72,Obtenir un rang or pour 50 missions cosmiques différentes sur Phaenna.,50,1,1500,14,2
73,Obtenir un rang or pour 100 missions cosmiques différentes sur Phaenna.,100,1,4000,15,2
74,Accomplir une mission critique sur Phaenna.,1,47,500,16,2
75,Accomplir 10 missions critiques sur Phaenna.,10,47,1000,17,2
76,Accomplir 30 missions critiques sur Phaenna.,30,47,3000,18,2
77,Accomplir une intervention mécanique sur Phaenna en pilotant une machine.,1,1,1500,22,2
78,Accomplir 5 interventions mécaniques sur Phaenna en pilotant une machine.,5,1,3000,23,2
79,Accomplir 10 interventions mécaniques sur Phaenna en pilotant une machine.,10,1,4500,24,2
80,Accomplir 5 interventions mécaniques sur Phaenna en tant qu'assistant.,5,1,300,25,2
81,Accomplir 20 interventions mécaniques sur Phaenna en tant qu'assistant.,20,1,900,26,2
82,Accomplir 50 interventions mécaniques sur Phaenna en tant qu'assistant.,50,1,2100,27,2
83,Accomplir 5 missions cosmiques de menuisier différentes sur Phaenna.,5,3,75,28,2
84,Accomplir 10 missions cosmiques de menuisier différentes sur Phaenna.,10,3,150,29,2
85,Accomplir 15 missions cosmiques de menuisier différentes sur Phaenna.,15,3,300,30,2
86,Accomplir 5 missions cosmiques de forgeron différentes sur Phaenna.,5,7,75,31,2
87,Accomplir 10 missions cosmiques de forgeron différentes sur Phaenna.,10,7,150,32,2
88,Accomplir 15 missions cosmiques de forgeron différentes sur Phaenna.,15,7,300,33,2
89,Accomplir 5 missions cosmiques d'armurier différentes sur Phaenna.,5,11,75,34,2
90,Accomplir 10 missions cosmiques d'armurier différentes sur Phaenna.,10,11,150,35,2
91,Accomplir 15 missions cosmiques d'armurier différentes sur Phaenna.,15,11,300,36,2
92,Accomplir 5 missions cosmiques d'orfèvre différentes sur Phaenna.,5,15,75,37,2
93,Accomplir 10 missions cosmiques d'orfèvre différentes sur Phaenna.,10,15,150,38,2
94,Accomplir 15 missions cosmiques d'orfèvre différentes sur Phaenna.,15,15,300,39,2
95,Accomplir 5 missions cosmiques de tanneur différentes sur Phaenna.,5,19,75,40,2
96,Accomplir 10 missions cosmiques de tanneur différentes sur Phaenna.,10,19,150,41,2
97,Accomplir 15 missions cosmiques de tanneur différentes sur Phaenna.,15,19,300,42,2
98,Accomplir 5 missions cosmiques de couturier différentes sur Phaenna.,5,23,75,43,2
99,Accomplir 10 missions cosmiques de couturier différentes sur Phaenna.,10,23,150,44,2
100,Accomplir 15 missions cosmiques de couturier différentes sur Phaenna.,15,23,300,45,2
101,Accomplir 5 missions cosmiques d'alchimiste différentes sur Phaenna.,5,27,75,46,2
102,Accomplir 10 missions cosmiques d'alchimiste différentes sur Phaenna.,10,27,150,47,2
103,Accomplir 15 missions cosmiques d'alchimiste différentes sur Phaenna.,15,27,300,48,2
104,Accomplir 5 missions cosmiques de cuisinier différentes sur Phaenna.,5,31,75,49,2
105,Accomplir 10 missions cosmiques de cuisinier différentes sur Phaenna.,10,31,150,50,2
106,Accomplir 15 missions cosmiques de cuisinier différentes sur Phaenna.,15,31,300,51,2
107,Accomplir 5 missions cosmiques de botaniste différentes sur Phaenna.,5,39,75,55,2
108,Accomplir 10 missions cosmiques de botaniste différentes sur Phaenna.,10,39,150,56,2
109,Accomplir 15 missions cosmiques de botaniste différentes sur Phaenna.,15,39,300,57,2
110,Accomplir 5 missions cosmiques de mineur différentes sur Phaenna.,5,35,75,52,2
111,Accomplir 10 missions cosmiques de mineur différentes sur Phaenna.,10,35,150,53,2
112,Accomplir 15 missions cosmiques de mineur différentes sur Phaenna.,15,35,300,54,2
113,Accomplir 5 missions cosmiques de pêcheur différentes sur Phaenna.,5,43,75,58,2
114,Accomplir 10 missions cosmiques de pêcheur différentes sur Phaenna.,10,43,150,59,2
115,Accomplir 15 missions cosmiques de pêcheur différentes sur Phaenna.,15,43,300,60,2
116,Jouer 5 fois à la Roue de la fortune cosmique sur Phaenna.,5,1,500,61,2
117,Jouer 30 fois à la Roue de la fortune cosmique sur Phaenna.,30,1,1000,62,2
118,Jouer 100 fois à la Roue de la fortune cosmique sur Phaenna.,100,1,1500,63,2
119,Accomplir 5 missions critiques différentes sur Phaenna.,5,47,1000,19,2
120,Accomplir 15 missions critiques différentes sur Phaenna.,15,47,2000,20,2
121,Accomplir 33 missions critiques différentes sur Phaenna.,33,47,3000,21,2
122,Accomplir 10 missions cosmiques sur Oizys.,10,1,500,6,2
123,Accomplir 50 missions cosmiques sur Oizys.,50,1,800,7,2
124,Accomplir 100 missions cosmiques sur Oizys.,100,1,1600,8,2
125,Accomplir 500 missions cosmiques sur Oizys.,500,1,2500,9,2
126,Accomplir 10 missions cosmiques différentes sur Oizys.,10,1,500,10,2
127,Accomplir 50 missions cosmiques différentes sur Oizys.,50,1,1500,11,2
128,Accomplir 100 missions cosmiques différentes sur Oizys.,100,1,4000,12,2
129,Obtenir un rang or pour 10 missions cosmiques différentes sur Oizys.,10,1,500,13,2
130,Obtenir un rang or pour 50 missions cosmiques différentes sur Oizys.,50,1,1500,14,2
131,Obtenir un rang or pour 100 missions cosmiques différentes sur Oizys.,100,1,4000,15,2
132,Accomplir une mission critique sur Oizys.,1,48,500,16,2
133,Accomplir 10 missions critiques sur Oizys.,10,48,1000,17,2
134,Accomplir 30 missions critiques sur Oizys.,30,48,3000,18,2
135,Accomplir une intervention mécanique sur Oizys en pilotant une machine.,1,1,1500,22,2
136,Accomplir 5 interventions mécaniques sur Oizys en pilotant une machine.,5,1,3000,23,2
137,Accomplir 10 interventions mécaniques sur Oizys en pilotant une machine.,10,1,4500,24,2
138,Accomplir 5 interventions mécaniques sur Oizys en tant qu'assistant.,5,1,300,25,2
139,Accomplir 20 interventions mécaniques sur Oizys en tant qu'assistant.,20,1,900,26,2
140,Accomplir 50 interventions mécaniques sur Oizys en tant qu'assistant.,50,1,2100,27,2
141,Accomplir 5 missions cosmiques de menuisier différentes sur Oizys.,5,3,75,28,2
142,Accomplir 10 missions cosmiques de menuisier différentes sur Oizys.,10,3,150,29,2
143,Accomplir 15 missions cosmiques de menuisier différentes sur Oizys.,15,3,300,30,2
144,Accomplir 5 missions cosmiques de forgeron différentes sur Oizys.,5,7,75,31,2
145,Accomplir 10 missions cosmiques de forgeron différentes sur Oizys.,10,7,150,32,2
146,Accomplir 15 missions cosmiques de forgeron différentes sur Oizys.,15,7,300,33,2
147,Accomplir 5 missions cosmiques d'armurier différentes sur Oizys.,5,11,75,34,2
148,Accomplir 10 missions cosmiques d'armurier différentes sur Oizys.,10,11,150,35,2
149,Accomplir 15 missions cosmiques d'armurier différentes sur Oizys.,15,11,300,36,2
150,Accomplir 5 missions cosmiques d'orfèvre différentes sur Oizys.,5,15,75,37,2
151,Accomplir 10 missions cosmiques d'orfèvre différentes sur Oizys.,10,15,150,38,2
152,Accomplir 15 missions cosmiques d'orfèvre différentes sur Oizys.,15,15,300,39,2
153,Accomplir 5 missions cosmiques de tanneur différentes sur Oizys.,5,19,75,40,2
154,Accomplir 10 missions cosmiques de tanneur différentes sur Oizys.,10,19,150,41,2
155,Accomplir 15 missions cosmiques de tanneur différentes sur Oizys.,15,19,300,42,2
156,Accomplir 5 missions cosmiques de couturier différentes sur Oizys.,5,23,75,43,2
157,Accomplir 10 missions cosmiques de couturier différentes sur Oizys.,10,23,150,44,2
158,Accomplir 15 missions cosmiques de couturier différentes sur Oizys.,15,23,300,45,2
159,Accomplir 5 missions cosmiques d'alchimiste différentes sur Oizys.,5,27,75,46,2
160,Accomplir 10 missions cosmiques d'alchimiste différentes sur Oizys.,10,27,150,47,2
161,Accomplir 15 missions cosmiques d'alchimiste différentes sur Oizys.,15,27,300,48,2
162,Accomplir 5 missions cosmiques de cuisinier différentes sur Oizys.,5,31,75,49,2
163,Accomplir 10 missions cosmiques de cuisinier différentes sur Oizys.,10,31,150,50,2
164,Accomplir 15 missions cosmiques de cuisinier différentes sur Oizys.,15,31,300,51,2
165,Accomplir 5 missions cosmiques de botaniste différentes sur Oizys.,5,39,75,55,2
166,Accomplir 10 missions cosmiques de botaniste différentes sur Oizys.,10,39,150,56,2
167,Accomplir 15 missions cosmiques de botaniste différentes sur Oizys.,15,39,300,57,2
168,Accomplir 5 missions cosmiques de mineur différentes sur Oizys.,5,35,75,52,2
169,Accomplir 10 missions cosmiques de mineur différentes sur Oizys.,10,35,150,53,2
170,Accomplir 15 missions cosmiques de mineur différentes sur Oizys.,15,35,300,54,2
171,Accomplir 5 missions cosmiques de pêcheur différentes sur Oizys.,5,43,75,58,2
172,Accomplir 10 missions cosmiques de pêcheur différentes sur Oizys.,10,43,150,59,2
173,Accomplir 15 missions cosmiques de pêcheur différentes sur Oizys.,15,43,300,60,2
174,Jouer 5 fois à la Roue de la fortune cosmique sur Oizys.,5,1,500,61,2
175,Jouer 30 fois à la Roue de la fortune cosmique sur Oizys.,30,1,1000,62,2
176,Jouer 100 fois à la Roue de la fortune cosmique sur Oizys.,100,1,1500,63,2
177,Accomplir 5 missions critiques différentes sur Oizys.,5,48,1000,19,2
178,Accomplir 12 missions critiques différentes sur Oizys.,12,48,2000,20,2
179,Accomplir 22 missions critiques différentes sur Oizys.,22,48,3000,21,2
180,Accomplir 10 fouilles archéologiques sur Oizys.,10,48,1000,64,2
181,Accomplir 30 fouilles archéologiques sur Oizys.,30,48,3000,65,2
182,Accomplir 100 fouilles archéologiques sur Oizys.,100,48,5000,66,2
