#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
11,N°11,Énergie et eau potable,"Grâce aux efforts conjugués des artisans et récolteurs venus de tous horizons, nous disposons à présent de nouvelles sources d'énergie et d'eau !

La nouvelle station est capable de produire une très grande quantité d'énergie de foudre, essentielle pour alimenter des vaisseaux spatiaux. En outre, la station hydropurificatrice s'occupe de rendre potable pour tous l'eau qui jaillit des fuites magismologiques, grâce au pouvoir du cristal central.

Ces deux ins­tal­la­tions détiennent la clef de notre survie en environnement cosmique !"
12,N°12,Nouveaux hangars et cosmoport,"Le cosmoport ainsi que les hangars pour nos machines mécaniques ont été entièrement finalisés !

Chacune de ces ins­tal­la­tions est alimentée par la station énergétique grâce à des lignes souterraines qui permettent de ravitailler facilement les machines comme les vaisseaux. D'autre part, des stations comportant des générateurs de taille réduite ont été installées, afin de pallier une éventuelle perturbation du réseau énergétique.

Dans ce projet, il est crucial d'être toujours préparé au pire !"
13,N°13,Ascenseur nadiral,"J'ai l'immense plaisir de vous annoncer la mise en service de l'ascenseur nadiral, grâce auquel vous pouvez désormais traverser la distance qui vous sépare de la grande grotte à ciel ouvert située sous la faille au nord-est de Sinus Ardorum !

Après la découverte de la zone durant une expédition de drones, nous avons décidé d'en faire la pionnière de notre exploration interstellaire en y établissant une voie d'accès afin d'exploiter ses ressources.
Grâce aux efforts de chacun, nous avons pleinement mis à profit les con­nais­san­ces acquises lors de la con­struc­tion du tunnel, et installé un ascenseur capable de supporter le poids des machines les plus lourdes. Tout le monde en est ressorti encore plus motivé qu'avant !

Point important : cette zone du Nadir lunaire est la dernière de celles que vous explorerez au sein de Sinus Ardorum.
Continuez d'avancer sans relâche ! On compte sur vous plus que jamais !"
14,N°14,Cosmo-navette sous terre,"Oyez, oyez ! Le réseau de cosmo-navettes a été étendu à la zone du Nadir lunaire au nord-est de Sinus Ardorum !
Par conséquent, il est désormais possible de l'utiliser pour voyager dans la totalité de la région !

Bien que la con­struc­tion n'ait pas été exempte de difficultés, sa finalisation facilite les déplacements vers la petite grotte à champignons et la cascade de la source magique, ce qui représente une avancée non négligeable.
Je suis convaincu que ce genre d'expérience sera utile pour l'exploration des nombreuses autres planètes qui nous attendent. Voilà pourquoi nous devons continuer à travailler main dans la main !"
15,N°15,Achèvement de Luna Hopopolis,"Comment dire... ? En plein cœur de la station sélénienne... est apparu un dôme tout rond, comme si une autre lune s'était tout à coup mise à flotter à la surface de celle-ci !

Son nom, je vous le donne en mille, est Luna Hopopolis !
Une nouvelle ville faite pour nous rassembler, et qui rebondit sur la surface de la lune pour tenter d'atteindre la myriade d'étoiles brillant dans l'univers... Telle est la si­gni­fi­ca­tion de ce nom.

La forme de la cité a été conçue pour recouvrir le cristal central d'un toit en forme de dôme, afin de réduire le risque d'impact d'une météorite. Sa deuxième priorité est toutefois d'être un lieu où chacun peut se reposer en toute tran­quil­li­té.
Bref, ne vous souciez pas des Loporrites comme moi qui courent dans tous les sens, et n'hésitez pas à venir vous détendre dans une atmosphère de place publique des plus enjouées.

En tout cas, c'est ainsi que s'achève notre exploration de la lune, avec la finalisation de ce tour de force au beau milieu de Sinus Ardorum !
Merci à tous pour votre coopération sans faille !"
16,N°16,Vers les étoiles et au-delà,"Réjouissez-vous ! Toutes les ins­tal­la­tions sont terminées et notre tout nouveau tout beau vaisseau spatial est garé au cosmoport, prêt à partir à tout moment !

En toute franchise, nous n'aurions jamais pensé atteindre un tel résultat aussi vite. C'est comme un rêve pour nous !
Cependant, une chose est sûre : lorsque les gens qui ont pris part à cette aventure, à commencer par notre chef de projet Searchingway, jettent un regard sur le ciel noir au-dessus de leurs têtes... Au moment précis où ils prennent conscience de cette magnificence étoilée, tous nos jours de dur labeur s'en trouvent amplement justifiés !

À présent, il ne nous reste plus qu'à préparer notre prochain voyage vers les étoiles et au-delà, pour une exploration de l'univers sans cesse renouvelée !
J'ai tellement hâte de vous y retrouver, mes amis !"
17,N°1,En route pour Phaenna !,"C'est à nouveau moi, Reportingway, qui ai l'honneur de consigner le prochain bond en avant de notre programme : l'exploration de la planète Phaenna !
Nous nous sommes envolés à bord du Galacticway et avons traversé l'immensité du cosmos pour atteindre notre destination. Si cet astre fut choisi comme première étape en dehors de notre système, c'est avant tout pour son abondance en silicium et son environnement unique. Autant vous dire que tous les explorateurs du projets trépignaient d'avance à l'idée de fouler le sol d'un monde aussi étrange que fascinant !
Grâce aux con­nais­san­ces obtenues à Sinus Ardorum, nos éclaireurs ont réussi à établir sans encombre une base d'opérations baptisée « station Souffleverre ». Nous ne disposons pas encore de suf­fi­sam­ment de ressources sur place, ainsi nos activités demeurent encore limitées. Cependant, avec l'aide des par­ti­ci­pants au projet, il ne fait aucun doute à mes yeux que notre base deviendra rapidement de plus en plus fonctionnelle."
18,N°2,Agrandissement de la station,"Grâce au Galaticway, l'approvisionnement en ressources depuis la lune se déroule sans anicroche ! Et avec l'aide des nombreux par­ti­ci­pants au projet, la station Souffleverre s'est bien développée.
La particularité de cette base reste avant tout dans sa localisation : lovée au sein d'une grotte naturelle, avec de hautes parois rocheuses pour protéger les ins­tal­la­tions des fréquentes pluies de verre. Toutefois, l'espace à notre disposition reste limité, il faudra donc planifier mi­nu­tieu­se­ment l'expansion de notre quartier général pour éviter les mauvaises surprises.
Fort heureusement, un bon nombre de nos ingénieurs ont déjà mis leurs con­nais­san­ces à profit et les débats sur le futur de la station vont bon train. Une telle motivation fait vraiment plaisir à voir !"
19,N°3,Réseau de cosmo-navettes,"La con­struc­tion du réseau de cosmo-navettes a débuté sur Phaenna ! Ce moyen de transport a été conçu au départ pour les planètes où les courants et autres flux éthérés sont instables. Son installation sur un astre aussi éloigné du nôtre servira de véritable baptême du feu !
J'ai cru comprendre que de nombreux chercheurs et ingénieurs du projet souhaitent ardemment mener l'élaboration du réseau jusqu'au bout. À l'inverse des aventuriers de tous bords qui nous ont rejoints, l'idée de passer des heures à cheminer une planète à l'environnement inconnu ne les séduit pas totalement.
Maintenant que les alentours de la station sont desservis, l'exploration devrait se poursuivre plus sereinement pour tous."
20,N°4,Modules d'habitation,"La vie en communauté sur Phaenna vient de faire un grand bond en avant ! Comparé aux habitations à Sinus Ardorum, les ins­tal­la­tions ici proposent des parties communes bien plus spacieuses, et tout l'intérieur semble pensé avec le confort des résidents comme priorité. Les concepteurs se sont d'ailleurs basés sur les travaux effectués pour le fameux projet Lune, et son plan d'exode à grande échelle. Aucun effort n'a été épargné pour fournir ces lieux de vie où chacun pourra se relaxer après une dure journée de labeur.
Nous avions demandé aux chercheurs et techniciens quelles étaient leurs attentes et envies, et la grande majorité souhaitait des quartiers d'habitations dignes de ce nom avant tout. Après d'âpres négociations avec Mumukko, nous avons réussi à obtenir son aval pour la con­struc­tion de ces modules, certes plus compacts que ceux du projet Lune, mais tout en gardant un certain confort."
21,N°5,Énergie et eau potable,"Ça y est, le chantier pour la con­struc­tion d'une centrale électrique et d'une station de purification d'eau adaptées à l'environnement de cette planète est terminé !

La grande majorité des sources d'eau de Phaenna contiennent une quantité faramineuse de silicium, nous ne pouvons donc pas nous en servir telles quelles pour nos activités ici.
C'est pourquoi le filtrage de l'eau par le biais d'une station d'hydropurification est absolument vital ! Quant à la centrale électrique, elle nous est également très utile pour fournir en énergie l'ensemble du projet d'exploration cosmique.
Avec la mise en marche de ces in­dis­pen­sa­bles ins­tal­la­tions, nous allons pouvoir progresser encore dans notre exploration de cette planète, toujours plus vite, toujours plus loin !"
22,N°6,Amélioration du hangar,"Nos machines pilotables sont grandement mises à con­tri­bu­tion sur Phaenna, ce qui est plutôt une bonne chose.
Mais ça signifie également que si nous en perdions ne serait-ce qu'une seule dans un accident, ce serait une catastrophe absolue pour le projet !

C'est pourquoi nous avons choisi d'installer leur hangar à l'entrée du tunnel. De là, nos engins pourront facilement se rendre n'importe où, tout en étant protégés par les parois de la grotte.
Et maintenant que nous avons de beaux conteneurs pour les ranger, ils seront encore plus en sécurité !"
23,N°7,Cosmo-navette : plaines,"Et voilà, le réseau de cosmo-navettes a été étendu aux berges de Salpêtre, longeant les Flots sodocalciques de l'ouest au sud !

On pense que ce canyon s'est formé avec l'érosion des sols causée par la rivière. En tout cas, je peux vous dire que le relief ne nous rend pas la tâche facile pour le transport de ressources et les déplacements du personnel.
C'est pourquoi nous avons cherché à y construire au plus vite une extension de la cosmo-navette, mais le sol de Phaenna étant en verre, et donc fragile, beaucoup d'endroits ne peuvent pas supporter des machines et autres ins­tal­la­tions lourdes ; par conséquent, il nous a fallu du temps pour choisir les bons emplacements.
C'est grâce à l'étude minutieuse du relief par nos techniciens que nous sommes parvenus à réaliser cette petite prouesse !"
24,N°8,Grues d'application,"En bas de la cataracte où se déversent les Flots sodocalciques s'est formé le gouffre aux Capsules, une énorme crevasse dans laquelle se sont accumulées de grosses boules de verre. Isolées de la surface, les profondeurs accueillent un environnement unique qui suscite beaucoup d'excitation et de curiosité parmi les membres du projet. C'est justement pour pouvoir les explorer que nous avons conçu les “grues d'application” !

En réalité, “application” est le nom d'une technique de fabrication du verre, qui consiste à apposer un élément décoratif préalablement chauffé sur le sujet principal d'une création.
Nous nous sommes inspirés de ce concept pour imaginer des grues que l'on “appliquerait” sur les bords solides du gouffre, et qui viendraient soutenir des plateformes permettant de descendre tout au fond !

Ce sont les con­nais­san­ces en matière de géotechnique acquises lors des extensions de la cosmo-navette, ainsi que nos méthodes de con­struc­tion minutieuses établies à Sinus Ardorum pour le tunnel ou l'ascenseur nadiral, qui ont permis de rendre cet ouvrage possible !"
25,N°9,Cosmo-navette : gouffre,"Ça y est, nous sommes parvenus à étendre notre réseau de cosmo-navettes jusqu'au fond du gouffre aux Capsules !

Une telle entreprise était ex­trê­me­ment complexe à réaliser dans un lieu aussi instable où s'accumulent des sphères de verre.
En effet, pour établir une nouvelle ligne, outre la con­struc­tion de deux portails appairés, nous devions calculer très précisément les coordonnées de trajet.
Heu­reu­se­ment, nous avons pu mettre à profit notre expérience acquise jusqu'ici pour déterminer avec justesse la façon dont les sphères et les couches de sédiment s'équilibrent, et trouver ainsi les emplacements idéaux pour les portails !

Nous pouvons être fiers d'avoir réussi un chantier aussi difficile !"
26,N°10,Finalisation de la station,"Grâce aux efforts de tous nos collaborateurs, la station de Souffleverre a atteint un niveau de confort inégalé !

Nos calculs minutieux nous ont permis d'étendre la structure tout en épousant idéalement les parois inégales de l'immense grotte qui l'accueille. Il faut dire qu'il ne s'agit pas d'un simple agrandissement. L'installation d'un réseau complexe de lignes électriques et de tuyauterie a été nécessaire pour le fonc­tion­ne­ment de nos diverses machines et l'accueil des drones, et bien d'autres défis de conception ont dû être relevés ! J'ai encore les oreilles qui sifflent à force d'écouter les innombrables complaintes des ingénieurs impliqués dans le projet... Heu­reu­se­ment, le résultat a dépassé les attentes des plus exigeants.

Les perspectives sont plus qu'encourageantes, et nous pouvons désormais nous tourner vers les prochains plans d'expansion in­dis­pen­sa­bles à nos ambitions d'exploration spatiale. Ne nous arrêtons pas en si bon chemin !"
27,N°11,Aménagement du hangar,"Le verre produit na­tu­rel­le­ment sur Phaenna est une formidable ressource, et il se révèle idéal pour recouvrir les parois des ins­tal­la­tions de la station Souffleverre. Cette fois, c'est le hangar que nous avons aménagé !

Les plaques de verre spéciales que nous utilisons sont esthétiques, aussi résistantes que de l'acier, et même capables de convertir la lumière du soleil en énergie ! Un tel prodige n'aurait pas été possible sans le concours précieux des artisans verriers d'Ætherys qui ont collaboré avec nos ingénieurs pour mettre au point ce matériau ré­vo­lu­tion­nai­re.

Notre hangar est maintenant beau comme un magna rouleur, et nos réserves d'énergie ne vont pas tarder à se remplir !"
28,N°12,Amélioration du cosmoport,"J'ai le plaisir d'annoncer que notre fidèle cosmoport est doté de nouvelles fonctions !

Désormais, en plus de servir à nos allers-retours entre Sinus Ardorum et Phaenna, il sera aussi le point de départ de nos futures expéditions dans les profondeurs de l'espace. En plus, grâce à la station énergétique dont nous l'avons doté, la recharge des véhicules sera grandement accélérée, ce qui nous permettra aussi de transporter les mar­chan­di­ses plus efficacement !

Atterrir dans une grotte et en décoller peut sembler risqué, mais nos ingénieux techniciens ont tracé des couloirs aériens d'une extrême précision pour que les appareils puissent naviguer en toute sécurité. Bien sûr, c'est notre as de l'air Cruisingway qui s'est dévoué pour faire la dé­mon­stra­tion aux autres pilotes !"
29,N°13,Méga panneaux solaires,"Les panneaux solaires dernier cri que nous venons d'installer aux alentours de la station Souffleverre seront désormais la principale source d'énergie de nos grandes ambitions spatiales !

Bien sûr, je n'oublie pas notre fidèle station énergétique qui produit plus que jamais de l'électricité d'une grande pureté à partir de l'éther d'autres éléments. Mais les panneaux solaires, eux, transforment carrément les rayons du soleil du système de Phaenna en une énergie à la puissance inégalée ! C'est la moindre des choses, avec tous nos équipement actifs jour et nuit, dans la base et en dehors.

Je dois dire que je suis toujours im­pres­sion­né par les prouesses techniques dont sont capables nos ingénieurs. Faire fonctionner deux bases aussi importantes et complexes en même temps, ce n'est pas une mince affaire !"
30,N°14,Refroidissement du verre,"La con­struc­tion de la station de mobilisation, qui sert de base pour les drones, nous a permis de mener à bien l'opération de refroidissement du verre en fusion dans la Cheminée de Fusingway !

La planète Phaenna semble connaître de fortes variations géothermiques, ce qui peut entraîner la formation d'évents volcaniques n'importe où, de manière im­pré­vi­si­ble. La Cheminée de Fusingway s'est d'ailleurs révélée être l'une des zones les plus sensibles à ces phénomènes, c'est pourquoi nous avons lancé une opération expérimentale de refroidissement localisé, qui ne devrait pas avoir d'effets indésirables sur l'environnement planétaire.

Grâce à notre excellent travail d'équipe, nous avons réussi à sécuriser cette nouvelle zone d'exploration ! Le verre en fusion, initialement rouge et bouillonnant, est devenu d'un bleu limpide en se solidifiant.
Après avoir solidifié le verre, nos drones se chargent désormais d'administrer des agents de refroidissement depuis les airs, ce qui nous permet d'éviter qu'il entre de nouveau en fusion.
Nous sommes enthousiastes à l'idée de tout ce que nous allons pouvoir apprendre sur la géologie de la planète !"
31,N°15,Cosmo-navette : volcan,"L'extension du réseau de cosmo-navettes jusque dans la Cheminée de Fusingway est désormais terminée !
Par conséquent, il est maintenant possible de l'utiliser pour voyager dans toutes les zones d'exploration !

Nous avons de nouveau utilisé les drones pour refroidir le verre en fusion, ce qui nous a permis de créer des fondations solides pour nos infrastructures.
Ces ins­tal­la­tions peuvent sembler in­si­gni­fiantes, mais chacune d'entre elles contribue à créer un réseau de transport efficace, qui prouve notre savoir-faire technologique !"
32,N°16,Achèvement du Stellascope,"Quelle merveille ! La station Souffleverre est désormais équipée d'un gigantesque télescope astronomique !

Le Stellascope de Phaenna n'est pas seulement capable d'observer des étoiles distantes, il peut aussi mesurer la densité du flux céleste qui les entoure. Cette installation va nous être d'une aide précieuse pour atteindre l'objectif de notre projet d'exploration cosmique : découvrir des formes de vie intelligentes ou des traces de civilisations inconnues. Nous avons d'ores et déjà mobilisé l'ensemble de nos astrologues pour scruter les confins de l'univers et analyser les données fascinantes que nous commençons à collecter !

L'achèvement de ce télescope grâce aux ressources locales représente une étape cruciale, indiquant que notre mission sur Phaenna touche à sa fin.
Je vous remercie tous chaleureusement pour votre aide renouvelée sur cette planète !"
33,N°17,Des étoiles dans les yeux,"Réjouissez-vous, car toutes les ins­tal­la­tions de Phaenna sont terminées ! Le Galacticway n'attend plus que la découverte de notre prochaine destination grâce aux données du Stellascope.

En y repensant, nous avons eu énormément de chance de découvrir une planète comme celle-ci pour débuter notre exploration. Les lentilles que nous sommes parvenus à fabriquer pour le Stellascope grâce au verre qu'on trouve à profusion sur Phaenna vont nous permettre de scruter les confins de l'univers à la recherche d'un autre monde habitable !

Nous avons non seulement quitté le système d'Ætherys, mais nous avons aussi établi une base sur une planète inconnue. J'ai le sentiment que nous sommes maintenant de véritables explorateurs interstellaires... Et notre périple ne fait que commencer !
Continuons de scruter la voûte céleste et bondissons joyeusement vers les étoiles, à la recherche de mondes nouveaux !"
34,N°1,Au tour d'Oizys !,"Une nouvelle planète, et une nouvelle occasion pour moi, Reportingway, de vous raconter les tribulations du projet d'exploration cosmique. J'espère que mes rapports vous plairont !

Bien, d'après les observations du Stellascope que nous avons bâti sur Phaenna, nos équipes de recherche se sont mises d'accord avec le groupe d'étude d'astronomie classique de l'académie de magie pour choisir notre prochaine destination : Oizys. Cette planète a été préférée aux autres astres candidats pour ses conditions gravitationnelles uniques, et surtout, la présence de vestiges témoignant du passage d'une autre civilisation ! Mes oreilles frétillent à l'idée des découvertes pas­sion­nan­tes qui nous attendent.

Nous avons établi notre base principale, la station Terra Firma, autour d'une imposante structure ancienne qui se dresse malgré la terre déchirée autour d'elle par une anomalie gravitationnelle. Nous avons l'intention de tirer profit de cette particularité environnementale, et de continuer à étendre nos ins­tal­la­tions tout autour. Il va sans dire que nous comptons sur votre col­la­bo­ra­tion pour ces projets !"
35,N°2,Modules d'habitation,"Dans le cadre de nos travaux à la station Terra Firma, j'ai la joie de vous annoncer que nous pouvons désormais profiter de modules d'habitation flambant neufs !

Si nos chantiers sur la lune et Phaenna présentaient surtout le défi de construire dans des conditions environnementales rigoureuses, cette fois, c'est différent. En effet, nous avons dû consacrer la majorité de nos efforts à déblayer les débris laissés par nos prédécesseurs afin de pouvoir dresser nos ins­tal­la­tions.

Les pierres qui flottaient dans le secteur ont également dû être déplacées, car elles constituaient un risque pour nos collaborateurs et leurs appareils aux cours de leurs missions. Bien sûr, nous en avons profité pour mesurer précisément le poids et les mouvements de ces corps rocheux, des données qui nous en apprendront sûrement plus sur les étranges phénomènes propres à Oizys !

Pour en revenir aux modules d'habitation, des dispositifs de contrôle gravitationnel ont été installés afin que personne ne se mette à léviter inopinément pendant son sommeil. Sachez que nous consacrons d'importants moyens pour relever les défis inhérents aux particularités de chaque planète, car nous attachons une importance par­ti­cu­liè­re au repos des par­ti­ci­pants au projet d'exploration cosmique !"
36,N°3,Réseau de cosmo-navettes,"La zone de Mégalithopolis et les vastes plaines désertiques qui s'étendent autour sont désormais couvertes par des cosmo-navettes rutilantes ! Une telle efficacité dans la con­struc­tion du réseau n'aurait pas été possible sans le savoir et l'expérience que nous avons acquis lors des chantiers équivalents sur la lune et Phaenna. Encore merci à tous nos collaborateurs qui ont pris part aux travaux !

Mais au fait, vous êtes-vous déjà demandé comment fonctionnaient les cosmo-navettes, exactement ? Les stations sont reliées entre elles par des flux d'éther ultra-condensés, un peu comme des courants éthérés artificiels, si vous préférez. Bien sûr, un tel miracle technologique nécessite d'identifier des coordonnées ex­trê­me­ment précises, et l'environnement d'Oizys ne nous a pas facilité la tâche. En effet, à cause des variations im­pré­vi­si­bles de la gravité, nous avons dû adapter nos ins­tal­la­tions afin qu'elles fonctionnent même lorsque leur position est altérée, une nouvelle prouesse de nos ingénieurs ô combien compétents !

Nous vous invitons donc à faire usage du réseau récemment installé pour mener vos travaux, et poursuivre l'effort d'exploration de cette fascinante planète !"
37,N°4,Énergie et eau potable,"Vous serez ravis d'apprendre que nous disposons à présent d'une centrale électrique et d'une station hydropurificatrice, des infrastructures absolument in­dis­pen­sa­bles à l'avancée de nos recherches sur une planète lointaine !

La con­struc­tion d'ins­tal­la­tions aussi imposantes et complexes est d'ailleurs un véritable défi sur Oizys, en raison des importantes forces d'attraction et de répulsion qui se succèdent en permanence. Nos équipements subissent bien évidemment l'influence des anomalies gravitationnelles locales, mais nous devons faire en sorte d'éviter toute erreur de conception ou de calcul qui pourrait avoir des con­sé­quen­ces fâcheuses pour le projet.

Une fois encore, nos talentueux ingénieurs ont redoublé d'astuce pour assurer nos arrières : grâce à des sorts de gravité déployés sur les fondations des bâtiments, ou encore leurs précieuses batteries, notre approvisionnement en énergie et en eau potable est pour le moment assuré."
38,N°5,Générateurs de gravité,"Grâce aux générateurs de gravité que nous avons installés du côté de L'Ancre, nous allons enfin pouvoir explorer l'imposant Bâtiment ombré !

Ces dispositifs ingénieux appliquent continuellement des sorts de gravité sur la surface du plateau opposé. Ainsi, la force d'attraction des faisceaux qui en résultent attire à eux les roches flottantes des environs pour former une passerelle ! Plutôt ingénieux, non ?

Tout porte à croire que le Bâtiment ombré était autrefois situé à la même altitude que Mégalithopolis et les plaines environnantes avant qu'il soit arraché de la surface d'Oizys. Cela ex­pli­que­rait que des minéraux normalement enfouis pro­fon­dé­ment sous terre sont maintenant exposés, et c'est aussi une occasion unique de découvrir des matériaux rarissimes. Ce nouveau chapitre du projet d'exploration s'annonce passionnant !"
