#,Quest,Map,TerritoryType,Unknown4,Unknown7,Unknown8,Unknown5,Unknown6,QuestSequence
8.42,0,1016,0,0,1,42,0,0,0
8.43,0,1017,0,0,1,43,0,0,0
8.44,0,1017,0,0,1,44,0,0,0
8.45,0,1017,0,0,1,45,0,0,0
8.46,0,1017,0,0,1,46,0,0,0
8.47,0,1018,0,0,1,47,0,0,0
8.48,0,1018,0,0,1,48,0,0,0
8.49,0,1019,0,0,1,49,0,0,0
8.50,0,1019,0,0,1,50,0,0,0
8.51,0,1019,0,0,1,51,0,0,0
8.52,0,1019,0,0,1,52,0,0,0
8.53,0,1020,0,0,1,53,0,0,0
8.54,0,1020,0,0,1,54,0,0,0
8.55,0,1021,0,0,1,55,0,0,0
8.56,0,1021,0,0,1,56,0,0,0
8.57,0,1021,0,0,1,57,0,0,0
8.58,0,1022,0,0,1,58,0,0,0
8.59,0,1022,0,0,1,59,0,0,0
8.60,0,1022,0,0,1,60,0,0,0
8.61,0,1022,0,0,1,61,0,0,0
8.62,0,1031,0,0,1,62,0,0,0
8.63,0,1031,0,0,1,63,0,0,0
9.0,0,0,0,0,0,0,0,0,0
9.1,0,0,0,0,0,0,0,0,0
10.0,0,1066,0,0,1,64,0,0,0
10.1,0,1066,0,0,1,65,0,0,0
10.2,0,1066,0,0,1,66,0,0,0
10.3,0,1067,0,0,1,67,0,0,0
10.4,0,1067,0,0,1,68,0,0,0
10.5,0,1067,0,0,1,69,0,0,0
10.6,0,1067,0,0,1,70,0,0,0
10.7,0,1068,0,0,1,71,0,0,0
10.8,0,1068,0,0,1,72,0,0,0
10.9,0,1068,0,0,1,73,0,0,0
10.10,0,1068,0,0,1,74,0,0,0
10.11,0,1069,0,0,1,75,0,0,0
10.12,0,1069,0,0,1,76,0,0,0
10.13,0,1069,0,0,1,77,0,0,0
10.14,0,1069,0,0,1,78,0,0,0
10.15,0,1070,0,0,1,79,0,0,0
10.16,0,1070,0,0,1,80,0,0,0
10.17,0,1071,0,0,1,81,0,0,0
10.18,0,1071,0,0,1,82,0,0,0
10.19,0,1071,0,0,1,83,0,0,0
10.20,0,1071,0,0,1,84,0,0,0
10.21,0,1072,0,0,1,85,0,0,0
10.22,0,1072,0,0,1,86,0,0,0
10.23,0,1072,0,0,1,87,0,0,0
10.24,0,1073,0,0,1,88,0,0,0
10.25,0,1073,0,0,1,89,0,0,0
10.26,0,1073,0,0,1,90,0,0,0
10.27,0,1073,0,0,1,91,0,0,0
10.28,0,1074,0,0,1,92,0,0,0
10.29,0,1074,0,0,1,93,0,0,0
10.30,0,1075,0,0,1,94,0,0,0
10.31,0,1075,0,0,1,95,0,0,0
10.32,0,1075,0,0,1,96,0,0,0
10.33,0,1076,0,0,1,97,0,0,0
10.34,0,1076,0,0,1,98,0,0,0
10.35,0,1076,0,0,1,99,0,0,0
10.36,0,1076,0,0,1,100,0,0,0
10.37,0,1077,0,0,1,101,0,0,0
10.38,0,1077,0,0,1,102,0,0,0
10.39,0,1077,0,0,1,103,0,0,0
10.40,0,1077,0,0,1,104,0,0,0
10.41,0,1078,0,0,1,105,0,0,0
10.42,0,1078,0,0,1,106,0,0,0
10.43,0,1078,0,0,1,107,0,0,0
10.44,0,1078,0,0,1,108,0,0,0
10.45,0,1079,0,0,1,109,0,0,0
10.46,0,1079,0,0,1,110,0,0,0
10.47,0,1079,0,0,1,111,0,0,0
10.48,0,1079,0,0,1,112,0,0,0
10.49,0,1080,0,0,1,113,0,0,0
10.50,0,1080,0,0,1,114,0,0,0
10.51,0,1081,0,0,1,115,0,0,0
10.52,0,1081,0,0,1,116,0,0,0
10.53,0,1081,0,0,1,117,0,0,0
10.54,0,1081,0,0,1,118,0,0,0
10.55,0,1082,0,0,1,119,0,0,0
10.56,0,1082,0,0,1,120,0,0,0
10.57,0,1083,0,0,1,121,0,0,0
10.58,0,1083,0,0,1,122,0,0,0
10.59,0,1084,0,0,1,123,0,0,0
10.60,0,1084,0,0,1,124,0,0,0
10.61,0,1084,0,0,1,125,0,0,0
10.62,0,1085,0,0,1,126,0,0,0
10.63,0,1085,0,0,1,127,0,0,0
10.64,0,1085,0,0,1,128,0,0,0
10.65,0,1085,0,0,1,129,0,0,0
10.66,0,1086,0,0,1,130,0,0,0
10.67,0,1086,0,0,1,131,0,0,0
11.0,70866,1091,0,0,0,0,0,0,255
11.1,70867,1092,0,0,0,0,0,0,0
11.2,70868,1093,0,0,0,0,0,0,0
11.3,70869,1094,0,0,0,0,0,0,0
11.4,70870,1054,0,0,0,0,0,0,0
12.0,0,1041,0,0,0,0,1,0,0
12.1,0,1087,0,0,0,0,1,1,0
13.0,0,1139,0,0,1,132,0,0,0
13.1,0,1139,0,0,1,133,0,0,0
13.2,0,1139,0,0,1,134,0,0,0
13.3,0,1140,0,0,1,135,0,0,0
13.4,0,1140,0,0,1,136,0,0,0
13.5,0,1140,0,0,1,137,0,0,0
13.6,0,1141,0,0,1,138,0,0,0
13.7,0,1142,0,0,1,139,0,0,0
13.8,0,1142,0,0,1,140,0,0,0
13.9,0,1142,0,0,1,141,0,0,0
13.10,0,1143,0,0,1,142,0,0,0
13.11,0,1143,0,0,1,143,0,0,0
13.12,0,1144,0,0,1,144,0,0,0
13.13,0,1145,0,0,1,145,0,0,0
13.14,0,1145,0,0,1,146,0,0,0
13.15,0,1145,0,0,1,147,0,0,0
13.16,0,1146,0,0,1,148,0,0,0
13.17,0,1146,0,0,1,149,0,0,0
13.18,0,1146,0,0,1,150,0,0,0
13.19,0,1147,0,0,1,151,0,0,0
13.20,0,1147,0,0,1,152,0,0,0
13.21,0,1147,0,0,1,153,0,0,0
13.22,0,1147,0,0,1,154,0,0,0
13.23,0,1148,0,0,1,155,0,0,0
13.24,0,1149,0,0,1,156,0,0,0
13.25,0,1149,0,0,1,157,0,0,0
13.26,0,1149,0,0,1,158,0,0,0
13.27,0,1150,0,0,1,159,0,0,0
13.28,0,1150,0,0,1,160,0,0,0
13.29,0,1150,0,0,1,161,0,0,0
13.30,0,1150,0,0,1,162,0,0,0
13.31,0,1151,0,0,1,163,0,0,0
13.32,0,1152,0,0,1,164,0,0,0
13.33,0,1152,0,0,1,165,0,0,0
13.34,0,1152,0,0,1,166,0,0,0
13.35,0,1153,0,0,1,167,0,0,0
13.36,0,1153,0,0,1,168,0,0,0
13.37,0,1153,0,0,1,169,0,0,0
13.38,0,1153,0,0,1,170,0,0,0
13.39,0,1154,0,0,1,171,0,0,0
13.40,0,1154,0,0,1,172,0,0,0
13.41,0,1154,0,0,1,173,0,0,0
13.42,0,1154,0,0,1,174,0,0,0
13.43,0,1155,0,0,1,175,0,0,0
13.44,0,1155,0,0,1,176,0,0,0
13.45,0,1155,0,0,1,177,0,0,0
13.46,0,1155,0,0,1,178,0,0,0
13.47,0,1156,0,0,1,179,0,0,0
13.48,0,1156,0,0,1,180,0,0,0
13.49,0,1156,0,0,1,181,0,0,0
13.50,0,1157,0,0,1,182,0,0,0
13.51,0,1158,0,0,1,183,0,0,0
13.52,0,1158,0,0,1,184,0,0,0
13.53,0,1158,0,0,1,185,0,0,0
13.54,0,1159,0,0,1,186,0,0,0
13.55,0,1160,0,0,1,187,0,0,0
13.56,0,1160,0,0,1,188,0,0,0
13.57,0,1160,0,0,1,189,0,0,0
13.58,0,1160,0,0,1,190,0,0,0
13.59,0,1160,0,0,1,191,0,0,0
